日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2018-07-20 15:00,5040.00,5165.40,5031.40,5145.20,21097.00,14232,5152.20
2018-07-23 15:00,5117.60,5208.40,5114.00,5191.00,21489.00,12866,5189.80
2018-07-24 15:00,5195.00,5328.00,5195.00,5299.00,21805.00,13444,5295.20
2018-07-25 15:00,5306.60,5332.80,5281.00,5297.80,20350.00,9731,5294.40
2018-07-26 15:00,5297.80,5308.00,5241.60,5261.60,20952.00,10676,5253.20
2018-07-27 15:00,5270.20,5279.80,5205.00,5230.00,20882.00,11181,5245.80
2018-07-30 15:00,5217.00,5245.20,5138.00,5140.40,21166.00,12004,5152.40
2018-07-31 15:00,5145.00,5205.80,5130.00,5157.40,21047.00,10809,5151.80
2018-08-01 15:00,5188.00,5239.80,5056.00,5074.80,21340.00,14046,5088.60
2018-08-02 15:00,5066.60,5075.80,4832.40,4946.40,21352.00,16415,4920.00
2018-08-03 15:00,4950.20,4991.00,4870.00,4878.20,20323.00,13124,4900.00
2018-08-06 15:00,4885.00,4908.80,4755.20,4806.00,20211.00,14422,4802.40
2018-08-07 15:00,4817.20,4944.40,4767.80,4929.00,19810.00,14565,4918.20
2018-08-08 15:00,4919.40,4922.20,4827.20,4855.40,19518.00,13709,4847.20
2018-08-09 15:00,4846.60,5031.40,4833.20,4977.00,19035.00,15715,4997.60
2018-08-10 15:00,4988.20,5027.60,4967.00,5012.80,17726.00,11164,5009.60
2018-08-13 15:00,4971.60,5080.00,4931.40,5046.40,16648.00,14081,5046.40
2018-08-14 15:00,5046.40,5052.20,4997.20,5036.80,13563.00,12435,5023.80
2018-08-15 15:00,5037.00,5037.00,4897.20,4926.00,10569.00,12757,4919.20
2018-08-16 15:00,4864.20,4951.80,4830.20,4871.00,5008.00,10442,4886.00
2018-08-17 15:00,4879.00,4896.60,4701.00,4738.00,34093.00,14459,4748.00
2018-08-20 15:00,4746.00,4797.00,4684.60,4783.60,34943.00,15399,4768.20
2018-08-21 15:00,4788.80,4876.00,4760.20,4825.00,34890.00,14917,4840.40
2018-08-22 15:00,4817.20,4829.00,4772.80,4806.00,33676.00,12547,4791.40
2018-08-23 15:00,4799.60,4859.20,4745.80,4826.20,34455.00,17385,4829.80
2018-08-24 15:00,4810.20,4847.00,4775.20,4809.40,32879.00,13512,4810.20
2018-08-27 15:00,4835.60,4947.00,4820.20,4931.40,32847.00,14100,4934.80
2018-08-28 15:00,4942.80,4957.40,4910.00,4936.80,31335.00,10748,4934.40
2018-08-29 15:00,4934.60,4937.60,4883.00,4918.20,31702.00,11076,4906.80
2018-08-30 15:00,4918.00,4923.20,4826.40,4846.00,31959.00,12858,4848.80
2018-08-31 15:00,4822.00,4836.60,4757.00,4783.40,32094.00,13960,4791.80
2018-09-03 15:00,4767.00,4822.80,4715.40,4819.60,31994.00,13878,4803.60
2018-09-04 15:00,4814.60,4895.20,4798.20,4857.60,31831.00,13815,4875.80
2018-09-05 15:00,4850.00,4867.20,4781.20,4785.00,30704.00,12599,4802.80
2018-09-06 15:00,4775.40,4837.60,4740.00,4767.80,30913.00,13886,4769.40
2018-09-07 15:00,4788.00,4865.00,4720.20,4765.00,31055.00,16556,4754.00
2018-09-10 15:00,4760.00,4770.80,4673.00,4684.20,29571.00,13075,4684.60
2018-09-11 15:00,4687.20,4735.00,4653.80,4694.40,28492.00,13708,4684.60
2018-09-12 15:00,4694.40,4728.40,4656.20,4675.00,27069.00,14078,4674.40
2018-09-13 15:00,4726.80,4769.00,4636.80,4718.00,26360.00,16472,4707.60
2018-09-14 15:00,4722.60,4726.40,4653.40,4654.40,24437.00,13491,4670.20
2018-09-17 15:00,4633.40,4634.20,4574.20,4602.80,21585.00,13249,4601.40
2018-09-18 15:00,4588.60,4698.40,4581.60,4679.40,17957.00,17179,4677.60
2018-09-19 15:00,4679.00,4783.20,4667.00,4734.40,12395.00,15449,4749.00
2018-09-20 15:00,4737.40,4774.80,4730.80,4743.60,6016.00,9068,4737.20
2018-09-21 15:00,4729.20,4829.20,4700.20,4827.80,24752.00,15878,4810.20
2018-09-25 15:00,4786.00,4813.00,4753.20,4793.20,23884.00,11759,4785.40
2018-09-26 15:00,4805.00,4851.60,4767.60,4800.00,24478.00,14400,4806.40
2018-09-27 15:00,4802.40,4818.00,4746.20,4764.60,24103.00,11455,4764.20
2018-09-28 15:00,4772.20,4827.00,4733.60,4820.40,24300.00,13211,4803.00
2018-10-08 15:00,4722.00,4741.60,4640.40,4654.80,23267.00,12383,4657.60
2018-10-09 15:00,4664.20,4690.00,4606.20,4624.80,23091.00,12130,4619.20
2018-10-10 15:00,4631.20,4670.00,4578.20,4639.20,23088.00,13905,4632.00
2018-10-11 15:00,4499.00,4506.00,4243.00,4258.20,23611.00,17959,4283.60
2018-10-12 15:00,4281.60,4303.80,4135.00,4267.20,22694.00,18588,4266.40
2018-10-15 15:00,4273.00,4324.80,4171.00,4178.40,19232.00,16255,4193.40
2018-10-16 15:00,4185.20,4219.80,4067.20,4100.40,16800.00,16173,4089.80
2018-10-17 15:00,4150.80,4165.20,4026.80,4120.60,12393.00,17563,4126.20
2018-10-18 15:00,4109.00,4111.40,4018.40,4033.20,5669.00,11869,4047.80
2018-10-19 15:00,3949.00,4118.20,3937.80,4080.40,20087.00,17297,4099.20
2018-10-22 15:00,4150.00,4373.20,4140.00,4317.60,21506.00,19186,4305.40
2018-10-23 15:00,4318.60,4342.60,4182.00,4219.60,20805.00,16897,4206.20
2018-10-24 15:00,4218.60,4288.80,4173.40,4209.80,21197.00,16874,4215.60
2018-10-25 15:00,4100.00,4230.40,4072.40,4226.00,21932.00,18457,4199.80
2018-10-26 15:00,4249.80,4283.40,4172.40,4199.80,21250.00,16170,4194.80
2018-10-29 15:00,4206.40,4227.20,4104.00,4156.00,21323.00,14534,4131.80
2018-10-30 15:00,4145.20,4232.40,4060.00,4189.60,22709.00,18897,4182.80
2018-10-31 15:00,4202.60,4305.00,4185.20,4252.00,22286.00,17378,4264.40
2018-11-01 15:00,4301.00,4375.00,4273.80,4280.00,23239.00,17894,4291.20
2018-11-02 15:00,4411.00,4447.60,4341.60,4436.00,23157.00,20299,4431.20
2018-11-05 15:00,4421.20,4463.00,4350.60,4430.20,21738.00,17885,4416.80
2018-11-06 15:00,4413.40,4445.00,4365.60,4439.20,20944.00,14661,4427.80
2018-11-07 15:00,4443.00,4488.00,4388.00,4388.40,21493.00,18236,4408.80
2018-11-08 15:00,4447.60,4448.00,4366.20,4370.80,20684.00,15305,4381.80
2018-11-09 15:00,4347.80,4401.60,4338.40,4368.80,19864.00,13550,4375.00
2018-11-12 15:00,4368.00,4496.20,4354.40,4487.20,19091.00,14855,4481.40
2018-11-13 15:00,4440.00,4606.80,4439.80,4571.00,17592.00,17653,4585.00
2018-11-14 15:00,4576.80,4612.40,4533.00,4552.60,13033.00,15405,4549.00
2018-11-15 15:00,4543.60,4628.80,4543.60,4620.00,6536.00,11467,4614.40
2018-11-16 15:00,4625.00,4710.60,4602.80,4647.80,43675.00,19604,4655.00
2018-11-19 15:00,4657.00,4683.60,4594.60,4659.40,43767.00,17760,4646.80
2018-11-20 15:00,4627.60,4635.00,4512.40,4520.00,41766.00,21435,4523.20
2018-11-21 15:00,4480.00,4557.00,4449.20,4536.20,42022.00,19133,4527.20
2018-11-22 15:00,4550.00,4574.80,4484.40,4523.00,41276.00,17226,4535.20
2018-11-23 15:00,4514.00,4521.00,4327.60,4328.20,40988.00,19515,4357.00
2018-11-26 15:00,4338.00,4371.60,4283.60,4315.80,40148.00,17973,4314.20
2018-11-27 15:00,4347.60,4378.60,4307.00,4344.20,40293.00,16618,4325.40
2018-11-28 15:00,4342.40,4419.00,4272.40,4398.00,39803.00,20530,4403.00
2018-11-29 15:00,4447.00,4447.00,4296.60,4312.20,38922.00,18424,4318.80
2018-11-30 15:00,4303.60,4360.00,4238.00,4328.20,39513.00,19625,4325.40
2018-12-03 15:00,4488.60,4524.00,4419.00,4472.00,39697.00,23921,4473.80
2018-12-04 15:00,4458.80,4528.00,4452.20,4514.60,42318.00,24564,4508.80
2018-12-05 15:00,4429.80,4526.00,4429.00,4470.00,43776.00,30742,4480.40
2018-12-06 15:00,4429.00,4460.00,4372.00,4388.20,41688.00,30017,4389.00
2018-12-07 15:00,4408.60,4419.80,4381.80,4386.00,39049.00,21037,4391.80
2018-12-10 15:00,4362.20,4384.60,4325.00,4336.60,39142.00,22266,4343.00
2018-12-11 15:00,4356.40,4389.00,4338.00,4387.20,38299.00,23570,4358.80
2018-12-12 15:00,4401.00,4407.60,4359.80,4371.80,37182.00,24639,4380.40
2018-12-13 15:00,4384.80,4472.80,4354.40,4430.20,36636.00,30522,4436.40
2018-12-14 15:00,4420.20,4431.00,4315.60,4329.60,33996.00,26842,4336.20
2018-12-17 15:00,4320.00,4342.60,4273.00,4321.20,30818.00,27345,4317.60
2018-12-18 15:00,4305.00,4344.40,4241.60,4295.20,27889.00,32004,4300.40
2018-12-19 15:00,4301.00,4305.00,4233.60,4236.20,20677.00,25171,4246.40
2018-12-20 15:00,4231.00,4276.80,4217.80,4264.00,10152.00,20814,4260.00
2018-12-21 15:00,4222.40,4236.00,4157.60,4206.00,38542.00,30552,4178.00
2018-12-24 15:00,4193.40,4266.40,4183.20,4255.00,38153.00,28278,4248.60
2018-12-25 15:00,4209.80,4234.40,4085.00,4195.20,42377.00,37636,4205.00
2018-12-26 15:00,4198.80,4229.00,4158.00,4189.00,39188.00,26253,4188.20
2018-12-27 15:00,4258.20,4258.20,4125.80,4131.00,40334.00,28285,4152.60
2018-12-28 15:00,4143.00,4181.40,4119.20,4120.40,40036.00,28777,4131.00
2019-01-02 15:00,4135.00,4147.00,4086.00,4096.80,39721.00,24735,4102.00
2019-01-03 15:00,4100.00,4169.00,4077.60,4086.60,40862.00,28810,4091.40
2019-01-04 15:00,4062.00,4208.80,4058.00,4207.80,40767.00,33671,4185.20
2019-01-07 15:00,4210.00,4293.80,4196.60,4268.60,39034.00,30648,4277.20
2019-01-08 15:00,4260.00,4286.00,4248.80,4270.80,38271.00,23085,4274.20
2019-01-09 15:00,4288.60,4363.60,4265.00,4273.80,39275.00,33159,4289.80
2019-01-10 15:00,4271.40,4327.00,4262.60,4277.40,36835.00,27192,4285.60
2019-01-11 15:00,4292.40,4320.00,4252.80,4312.00,35885.00,29081,4308.20
2019-01-14 15:00,4312.00,4332.00,4274.60,4290.20,31047.00,23373,4285.60
2019-01-15 15:00,4291.40,4363.60,4266.40,4351.40,29918.00,31618,4346.80
2019-01-16 15:00,4346.80,4373.00,4328.00,4341.00,21645.00,23920,4342.80
2019-01-17 15:00,4338.20,4356.00,4297.60,4307.40,10593.00,21840,4314.40
2019-01-18 15:00,4303.60,4352.00,4279.80,4341.00,30006.00,28956,4339.80
2019-01-21 15:00,4349.60,4404.40,4340.00,4360.00,29447.00,25465,4356.40
2019-01-22 15:00,4356.00,4358.80,4275.60,4294.20,28088.00,22851,4290.00
2019-01-23 15:00,4290.60,4318.20,4276.20,4302.60,27496.00,21956,4301.00
2019-01-24 15:00,4308.00,4368.40,4274.00,4330.80,30595.00,27224,4334.80
2019-01-25 15:00,4336.60,4362.00,4305.20,4310.00,29114.00,25670,4328.00
2019-01-28 15:00,4339.00,4378.80,4286.00,4291.60,29109.00,24321,4297.20
2019-01-29 15:00,4291.00,4291.60,4177.00,4242.40,29366.00,29386,4248.40
2019-01-30 15:00,4215.00,4268.20,4200.60,4201.80,27284.00,23662,4216.80
2019-01-31 15:00,4210.00,4246.60,4137.20,4183.60,27935.00,26675,4167.40
2019-02-01 15:00,4200.00,4315.80,4200.00,4313.20,25952.00,28819,4298.20
2019-02-11 15:00,4318.00,4413.40,4314.80,4406.80,23034.00,22228,4398.40
2019-02-12 15:00,4398.80,4462.80,4398.60,4433.40,20635.00,22654,4427.20
2019-02-13 15:00,4439.80,4537.20,4426.00,4512.00,16631.00,24426,4517.80
2019-02-14 15:00,4501.40,4561.40,4496.00,4533.80,7696.00,15894,4539.80
2019-02-15 15:00,4526.80,4556.00,4491.40,4502.60,59080.00,30372,4507.20
2019-02-18 15:00,4540.20,4687.40,4539.60,4677.00,60738.00,34027,4672.80
2019-02-19 15:00,4692.80,4718.40,4614.40,4659.00,61844.00,42944,4651.20
2019-02-20 15:00,4679.00,4682.80,4618.00,4652.00,60064.00,35271,4658.80
2019-02-21 15:00,4650.00,4762.40,4636.20,4662.00,62841.00,45667,4663.60
2019-02-22 15:00,4651.00,4807.00,4650.20,4804.80,60769.00,43822,4772.40
2019-02-25 15:00,4872.40,5140.00,4840.00,5123.00,61013.00,57459,5067.60
2019-02-26 15:00,5100.00,5174.80,5027.80,5063.20,60175.00,56554,5104.00
2019-02-27 15:00,5084.20,5107.20,4970.00,5017.40,59379.00,49763,5016.00
2019-02-28 15:00,5022.00,5085.00,5002.20,5034.60,55860.00,43118,5023.60
2019-03-01 15:00,5070.60,5086.80,4980.00,5081.20,55455.00,50122,5054.80
2019-03-04 15:00,5123.00,5259.80,5098.20,5144.40,55292.00,56909,5148.60
2019-03-05 15:00,5146.40,5314.00,5141.20,5298.80,52568.00,52240,5268.20
2019-03-06 15:00,5317.00,5414.00,5241.20,5400.00,54274.00,61347,5350.00
2019-03-07 15:00,5387.80,5533.40,5353.00,5442.40,53936.00,63021,5470.20
2019-03-08 15:00,5318.00,5471.60,5258.00,5296.40,53454.00,76037,5324.80
2019-03-11 15:00,5331.40,5463.60,5291.40,5448.80,50157.00,59247,5428.60
2019-03-12 15:00,5491.20,5598.60,5461.20,5546.20,44171.00,61910,5506.00
