date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2020-03-30,2350,2438,2318,2366,85116,10171,0
2020-03-31,2430,2545,2404,2545,89839,18891,0
2020-04-01,2547,2642,2530,2624,199435,21955,0
2020-04-02,2644,2779,2607,2779,206057,26486,0
2020-04-03,2790,2875,2732,2875,323535,35752,0
2020-04-07,2920,3063,2913,3019,430450,48247,0
2020-04-08,2986,3014,2891,2939,494076,49156,0
2020-04-09,2980,3044,2964,3018,457508,45765,0
2020-04-10,2930,3022,2913,3021,310584,46292,0
2020-04-13,3075,3178,3075,3139,400984,57076,0
2020-04-14,3146,3166,3087,3159,327672,59068,0
2020-04-15,3116,3336,3108,3243,803635,82716,0
2020-04-16,3250,3312,3178,3265,738801,82774,0
2020-04-17,3296,3330,3128,3188,727177,74000,0
2020-04-20,3088,3226,3080,3221,500458,75752,0
2020-04-21,3200,3266,3132,3240,767821,91434,0
2020-04-22,3182,3220,3065,3129,995470,81566,0
2020-04-23,3169,3350,3147,3350,744746,94323,0
2020-04-24,3350,3423,3315,3400,784376,97404,0
2020-04-27,3380,3594,3369,3576,887455,118378,0
2020-04-28,3553,3659,3297,3357,1270395,75027,0
2020-04-29,3357,3469,3269,3319,949175,69018,0
2020-04-30,3360,3397,3315,3394,602578,55701,0
2020-05-06,3500,3524,3377,3440,371491,64990,0
2020-05-07,3415,3469,3389,3413,414782,65440,0
2020-05-08,3448,3463,3355,3454,423534,73205,0
2020-05-11,3455,3507,3326,3348,582185,65663,0
2020-05-12,3350,3356,3272,3342,472577,68509,0
2020-05-13,3353,3355,3209,3224,565841,74461,0
2020-05-14,3235,3273,3205,3257,438676,75040,0
2020-05-15,3257,3295,3226,3275,338202,66480,0
2020-05-18,3274,3279,3168,3230,551455,74568,0
2020-05-19,3250,3375,3243,3360,516544,72254,0
2020-05-20,3360,3426,3342,3388,348115,67902,0
2020-05-21,3399,3414,3365,3383,249304,65366,0
2020-05-22,3385,3433,3292,3339,371833,62871,0
2020-05-25,3365,3485,3356,3431,402252,67087,0
2020-05-26,3421,3439,3372,3406,264800,65440,0
2020-05-27,3415,3433,3368,3397,227595,62600,0
2020-05-28,3391,3445,3374,3434,209954,70636,0
2020-05-29,3445,3448,3398,3438,158223,62109,0
2020-06-01,3437,3537,3414,3525,206962,74092,0
2020-06-02,3518,3619,3517,3606,279000,83122,0
2020-06-03,3600,3610,3560,3592,181670,74829,0
2020-06-04,3583,3584,3508,3516,182757,66787,0
2020-06-05,3514,3605,3513,3592,185042,81708,0
2020-06-08,3635,3677,3534,3549,239605,71489,0
2020-06-09,3532,3598,3531,3584,184452,75921,0
2020-06-10,3573,3588,3535,3549,139040,71000,0
2020-06-11,3549,3558,3376,3406,365207,76596,0
2020-06-12,3380,3395,3268,3347,403620,72623,0
2020-06-15,3370,3425,3313,3373,293515,71170,0
2020-06-16,3354,3488,3342,3461,306661,70566,0
2020-06-17,3485,3516,3440,3481,209142,66179,0
2020-06-18,3479,3505,3453,3477,166693,65244,0
2020-06-19,3482,3573,3462,3559,265168,73226,0
2020-06-22,3570,3588,3493,3517,179948,67006,0
2020-06-23,3525,3567,3501,3546,146082,67448,0
2020-06-24,3551,3556,3461,3523,184985,61076,0
2020-06-29,3487,3506,3437,3483,133792,60476,0
2020-06-30,3500,3577,3497,3560,191710,71734,0
2020-07-01,3551,3574,3510,3542,157913,63632,0
2020-07-02,3535,3621,3531,3604,252522,81594,0
2020-07-03,3604,3630,3577,3624,145908,82144,0
2020-07-06,3615,3625,3532,3573,203846,64579,0
2020-07-07,3569,3625,3540,3589,199384,71441,0
2020-07-08,3598,3646,3567,3586,217702,67757,0
2020-07-09,3589,3673,3580,3667,217011,87694,0
2020-07-10,3680,3687,3591,3624,213464,72134,0
2020-07-13,3630,3897,3621,3829,427777,95803,0
