日期/时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2006-12-19,8860,8958,8806,8906,49070,7488
2006-12-20,8944,8970,8906,8958,25586,8882
2006-12-21,8940,8948,8884,8912,19414,8080
2006-12-22,8904,8928,8824,8924,9954,7556
2006-12-25,8918,9140,8912,9098,34790,12402
2006-12-26,9120,9166,9062,9158,37246,12826
2006-12-27,9082,9126,9008,9016,35680,14362
2006-12-28,9000,8896,8850,8856,31982,14786
2006-12-29,8850,8934,8780,8898,32032,11230
2007-01-04,8690,8772,8530,8734,34012,12090
2007-01-05,8660,8804,8612,8782,39672,14180
2007-01-08,8806,8838,8738,8746,36112,13160
2007-01-09,8726,8820,8714,8776,31030,14548
2007-01-10,8790,8814,8740,8744,30790,13634
2007-01-11,8690,8782,8690,8730,22192,12134
2007-01-12,8720,8752,8646,8670,18030,12126
2007-01-15,8720,8770,8680,8696,15790,12264
2007-01-16,8700,8740,8616,8626,18982,12838
2007-01-17,8584,8636,8472,8490,24356,15778
2007-01-18,8530,8530,8356,8376,31146,17806
2007-01-19,8344,8382,8254,8340,46434,16076
2007-01-22,8370,8386,8102,8130,60500,23064
2007-01-23,8060,8186,8056,8162,59258,19874
2007-01-24,8220,8312,8180,8254,54764,16034
2007-01-25,8258,8292,8214,8260,34288,16720
2007-01-26,8252,8290,8232,8282,20720,15900
2007-01-29,8306,8336,8200,8214,30214,17898
2007-01-30,8170,8216,8112,8184,29624,19232
2007-01-31,8280,8314,8238,8272,28588,19512
2007-02-01,8280,8318,8266,8300,25678,19524
2007-02-02,8280,8350,8198,8202,40384,18166
2007-02-05,8250,8268,8156,8188,33256,18694
2007-02-06,8180,8248,8180,8230,23772,18668
2007-02-07,8248,8298,8224,8284,26354,18036
2007-02-08,8246,8294,8218,8262,27676,19166
2007-02-09,8300,8380,8292,8318,42568,21070
2007-02-12,8282,8354,8280,8348,26526,17214
2007-02-13,8302,8354,8302,8340,12760,18626
2007-02-14,8302,8454,8302,8446,45670,24160
2007-02-15,8420,8446,8398,8422,20394,22202
2007-02-16,8420,8440,8402,8438,8254,20386
2007-02-26,8500,8550,8420,8432,27276,21758
2007-02-27,8414,8444,8384,8416,14760,20952
2007-02-28,8372,8432,8342,8422,12848,19798
2007-03-01,8452,8484,8416,8480,15096,18472
2007-03-02,8470,8540,8462,8536,20208,20282
2007-03-05,8500,8530,8454,8478,14890,18530
2007-03-06,8466,8498,8440,8498,8448,17126
2007-03-07,8500,8530,8484,8504,6416,18146
2007-03-08,8530,8530,8480,8498,9336,18318
2007-03-09,8490,8500,8426,8450,9674,17682
2007-03-12,8430,8450,8364,8386,17350,18530
2007-03-13,8400,8424,8382,8394,10530,19408
2007-03-14,8384,8398,8348,8380,9498,18620
2007-03-15,8390,8410,8380,8380,6878,19612
2007-03-16,8356,8386,8330,8384,8728,20206
2007-03-19,8388,8414,8366,8380,8786,20502
2007-03-20,8388,8388,8350,8366,7246,20678
2007-03-21,8370,8388,8360,8364,7860,21636
2007-03-22,8374,8402,8372,8384,10436,21618
2007-03-23,8410,8438,8408,8418,13450,20846
2007-03-26,8428,8428,8384,8388,6506,20314
2007-03-27,8408,8366,8312,8322,10646,21160
2007-03-28,8344,8382,8304,8366,13022,20588
2007-03-29,8368,8372,8332,8336,4688,19756
2007-03-30,8370,8412,8368,8376,13172,18564
2007-04-02,8300,8502,8300,8498,18026,16694
2007-04-03,8496,8598,8494,8570,21584,16590
2007-04-04,8688,8744,8670,8692,15604,15334
2007-04-05,8706,8720,8658,8690,10152,18102
2007-04-06,8684,8724,8636,8662,21424,20762
2007-04-09,8690,8720,8640,8690,17772,25258
2007-04-10,8612,8672,8612,8660,14506,24980
2007-04-11,8670,8708,8650,8682,16956,29048
2007-04-12,8694,8796,8686,8780,39296,38948
2007-04-13,8818,8908,8800,8862,38900,41320
2007-04-16,8882,8998,8882,8962,35982,36852
2007-04-17,8950,8978,8904,8916,15640,37544
2007-04-18,8948,8996,8698,8844,43728,38150
2007-04-19,8854,8870,8672,8776,23884,37918
2007-04-20,8754,8850,8752,8788,19726,38466
2007-04-23,8754,8852,8752,8844,4544,38366
2007-04-24,8928,8930,8870,8878,11392,38640
2007-04-25,8822,8884,8822,8850,7848,38430
2007-04-26,8900,8940,8870,8922,17128,39216
2007-04-27,8920,8958,8880,8888,16610,35448
2007-04-30,8922,8922,8882,8886,11454,30440
2007-05-08,8780,8838,8762,8802,5448,28702
2007-05-09,8802,8840,8750,8782,4684,26690
2007-05-10,8704,8764,8704,8744,3474,25972
2007-05-11,8756,8632,8596,8630,10822,21672
2007-05-14,8768,8946,8736,8932,12558,22656
2007-05-15,8942,9010,8904,8976,15338,25890
2007-05-16,9008,9008,8910,8946,11816,26642
2007-05-17,8918,8946,8856,8890,15156,28568
2007-05-18,8992,8992,8916,8940,11730,29298
2007-05-21,8940,8960,8906,8918,8600,30914
2007-05-22,8946,8976,8900,8928,10534,31512
2007-05-23,8894,8916,8830,8914,11344,30210
2007-05-24,8936,8980,8904,8966,12936,32626
2007-05-25,8902,8992,8902,8990,12472,34220
2007-05-28,8902,8992,8958,8982,14566,33330
2007-05-29,8902,8992,8900,8910,8436,32066
2007-05-30,8902,8910,8876,8884,5854,31894
2007-05-31,8910,8910,8850,8872,4412,31382
2007-06-01,8880,8908,8688,8748,12148,29726
2007-06-04,8750,8780,8650,8660,6714,28046
2007-06-05,8700,8710,8640,8694,7348,26710
2007-06-06,8700,8710,8654,8690,7374,25570
2007-06-07,8688,8688,8554,8566,8850,25936
2007-06-08,8586,8586,8370,8464,14054,21274
2007-06-11,8428,8550,8428,8492,3376,20490
2007-06-12,8490,8518,8458,8468,4912,19866
2007-06-13,8604,8660,8584,8656,2696,10250
2007-06-14,8646,8688,8600,8646,2196,10068
2007-06-15,8662,8716,8630,8706,5442,9312
2007-06-18,8738,8792,8738,8744,4952,10344
2007-06-19,8786,8794,8732,8744,4502,10822
2007-06-20,8730,8742,8652,8652,3584,11902
2007-06-21,8632,8688,8620,8660,2832,11978
2007-06-22,8646,8646,8580,8598,3400,13012
2007-06-25,8580,8618,8536,8542,3016,13532
2007-06-26,8506,8588,8506,8556,2626,13198
2007-06-27,8500,8560,8490,8490,4338,14248
2007-06-28,8490,8500,8396,8408,3690,14728
2007-06-29,8410,8442,8332,8402,3654,14342
2007-07-02,8390,8530,8390,8444,3448,14314
2007-07-03,8450,8514,8450,8510,3736,13388
2007-07-04,8530,8568,8500,8520,3830,13164
2007-07-05,8560,8560,8488,8500,3054,12236
2007-07-06,8510,8536,8496,8516,1894,11882
2007-07-09,8526,8588,8508,8570,3524,11806
2007-07-10,8572,8520,8504,8516,2500,12156
2007-07-11,8518,8578,8510,8578,1856,11846
2007-07-12,8570,8620,8558,8606,3554,11172
2007-07-13,8420,8504,8416,8432,3060,15928
2007-07-16,8420,8504,8416,8432,3060,15928
2007-07-18,8654,8654,8604,8610,2520,12180
2007-07-19,8612,8658,8610,8614,1234,12580
2007-07-20,8626,8714,8626,8678,3170,12866
2007-07-23,8700,8700,8622,8658,1226,12918
2007-07-24,8646,8650,8602,8650,916,12886
2007-07-25,8620,8642,8610,8640,716,12786
2007-07-26,8680,8684,8626,8626,2524,13622
