日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2010-05-28 15:00,7560.00,7590.00,7500.00,7520.00,33416.00,25697,7545.00
2010-05-31 15:00,7510.00,7510.00,7455.00,7465.00,34264.00,17181,7475.00
2010-06-01 15:00,7460.00,7465.00,7270.00,7275.00,36107.00,40656,7340.00
2010-06-02 15:00,7300.00,7320.00,7155.00,7240.00,34181.00,42062,7245.00
2010-06-03 15:00,7300.00,7315.00,7255.00,7290.00,32801.00,24556,7285.00
2010-06-04 15:00,7290.00,7295.00,7220.00,7280.00,33655.00,20770,7255.00
2010-06-07 15:00,7120.00,7120.00,6900.00,6935.00,39559.00,74460,6960.00
2010-06-08 15:00,6970.00,7135.00,6970.00,7115.00,33655.00,52134,7040.00
2010-06-09 15:00,7135.00,7175.00,7065.00,7165.00,33438.00,43934,7120.00
2010-06-10 15:00,7175.00,7215.00,7105.00,7155.00,30508.00,32455,7160.00
2010-06-11 15:00,7200.00,7225.00,7145.00,7160.00,29350.00,18058,7180.00
2010-06-17 15:00,7240.00,7255.00,7155.00,7180.00,29058.00,17286,7205.00
2010-06-18 15:00,7190.00,7205.00,7105.00,7110.00,30670.00,28934,7150.00
2010-06-21 15:00,7180.00,7395.00,7150.00,7305.00,26625.00,42317,7245.00
2010-06-22 15:00,7260.00,7265.00,7210.00,7235.00,25995.00,23275,7235.00
2010-06-23 15:00,7200.00,7240.00,7150.00,7190.00,24337.00,22014,7195.00
2010-06-24 15:00,7170.00,7270.00,7170.00,7205.00,24053.00,26931,7220.00
2010-06-25 15:00,7210.00,7220.00,7150.00,7165.00,24052.00,16270,7180.00
2010-06-28 15:00,7210.00,7220.00,7140.00,7145.00,23895.00,23403,7185.00
2010-06-29 15:00,7110.00,7150.00,7015.00,7065.00,25765.00,21645,7075.00
2010-06-30 15:00,7000.00,7065.00,7000.00,7050.00,25609.00,17469,7030.00
2010-07-01 15:00,7040.00,7060.00,6980.00,6980.00,26315.00,15714,7010.00
2010-07-02 15:00,6950.00,7045.00,6950.00,7040.00,25175.00,17363,7000.00
2010-07-05 15:00,7040.00,7050.00,7015.00,7030.00,24154.00,15370,7030.00
2010-07-06 15:00,7000.00,7000.00,6930.00,6980.00,24525.00,18499,6960.00
2010-07-07 15:00,6960.00,6975.00,6920.00,6925.00,25241.00,10714,6945.00
