日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2011-03-24 15:00,19230.00,19570.00,18830.00,18935.00,4848.00,36720,19095.00
2011-03-25 15:00,18935.00,19135.00,18860.00,18950.00,4247.00,12429,18995.00
2011-03-28 15:00,18900.00,19035.00,18500.00,18605.00,4131.00,8480,18775.00
2011-03-29 15:00,18530.00,18735.00,18485.00,18675.00,3984.00,5309,18635.00
2011-03-30 15:00,18800.00,18850.00,18695.00,18760.00,3660.00,4043,18755.00
2011-03-31 15:00,18700.00,18720.00,18580.00,18665.00,3388.00,1528,18650.00
2011-04-01 15:00,18780.00,18780.00,18570.00,18640.00,3358.00,1275,18665.00
2011-04-06 15:00,18675.00,19360.00,18675.00,19220.00,4681.00,7700,19080.00
2011-04-07 15:00,19200.00,19300.00,19035.00,19075.00,4322.00,5213,19135.00
2011-04-08 15:00,19090.00,19250.00,19005.00,19175.00,4694.00,4217,19145.00
2011-04-11 15:00,19250.00,19440.00,19145.00,19210.00,5121.00,6969,19285.00
2011-04-12 15:00,19000.00,19125.00,18790.00,18800.00,4577.00,4628,18955.00
2011-04-13 15:00,18610.00,18745.00,18540.00,18715.00,4388.00,2783,18645.00
2011-04-14 15:00,18555.00,18690.00,18540.00,18580.00,4287.00,1923,18605.00
2011-04-15 15:00,18605.00,18780.00,18505.00,18580.00,4409.00,4996,18650.00
2011-04-18 15:00,18575.00,18650.00,18525.00,18580.00,4449.00,1667,18585.00
2011-04-19 15:00,18300.00,18350.00,17950.00,17980.00,5106.00,4195,18150.00
2011-04-20 15:00,18065.00,18180.00,18065.00,18165.00,4754.00,1465,18120.03
2011-04-21 15:00,18300.00,18300.00,18140.00,18180.00,4625.00,1252,18200.00
2011-04-22 15:00,18235.00,18235.00,17880.00,17975.00,4753.00,1710,17980.00
2011-04-25 15:00,17980.00,18050.00,17760.00,17760.00,4757.00,1051,17855.00
2011-04-26 15:00,17695.00,17695.00,17420.00,17645.00,4484.00,1753,17540.00
2011-04-27 15:00,17620.00,17790.00,17420.00,17550.00,4388.00,1487,17645.00
2011-04-28 15:00,17555.00,17850.00,17555.00,17755.00,4296.00,1639,17745.00
2011-04-29 15:00,17665.00,17725.00,17530.00,17550.00,4260.00,774,17600.00
2011-05-03 15:00,17550.00,17650.00,17460.00,17530.00,4356.00,951,17545.00
2011-05-04 15:00,17590.00,17595.00,17440.00,17480.00,4273.00,570,17500.00
2011-05-05 15:00,17310.00,17310.00,16450.00,16715.00,4324.00,2035,16980.00
2011-05-06 15:00,16220.00,16440.00,16190.00,16255.00,4475.00,3270,16300.00
2011-05-09 15:00,16330.00,16640.00,16330.00,16620.00,4334.00,1623,16520.00
2011-05-10 15:00,16505.00,16710.00,16465.00,16645.00,4302.00,1380,16560.00
2011-05-11 15:00,16690.00,17200.00,16595.00,16675.00,4304.00,1819,16750.00
2011-05-12 15:00,16450.00,16500.00,16220.00,16220.00,4401.00,2212,16350.00
2011-05-13 15:00,16475.00,16740.00,16340.00,16705.00,4340.00,1918,16575.00
2011-05-16 15:00,16575.00,16655.00,16460.00,16555.00,4351.00,1436,16560.00
2011-05-17 15:00,16505.00,16610.00,16230.00,16570.00,4414.00,1966,16485.00
2011-05-18 15:00,16735.00,16855.00,16620.00,16710.00,4287.00,2609,16715.00
2011-05-19 15:00,17180.00,17180.00,16925.00,16945.00,3933.00,2770,17025.00
2011-05-20 15:00,16995.00,16995.00,16850.00,16935.00,3959.00,1196,16920.00
2011-05-23 15:00,17000.00,17075.00,16565.00,16610.00,3883.00,1801,16770.00
2011-05-24 15:00,16605.00,16800.00,16525.00,16760.00,3742.00,1302,16685.00
2011-05-25 15:00,16870.00,17095.00,16790.00,17090.00,3717.00,1367,16915.00
2011-05-26 15:00,17050.00,17230.00,17050.00,17205.00,3729.00,1566,17150.00
2011-05-27 15:00,17100.00,17340.00,17040.00,17315.00,3814.00,1790,17190.00
2011-05-30 15:00,17230.00,17370.00,17030.00,17040.00,3756.00,1567,17170.00
2011-05-31 15:00,17115.00,17180.00,16895.00,17095.00,4046.00,2142,17010.00
2011-06-01 15:00,17085.00,17085.00,16910.00,16955.00,4165.00,1268,16980.00
2011-06-02 15:00,16840.00,16900.00,16780.00,16880.00,4084.00,992,16835.00
2011-06-03 15:00,16710.00,16980.00,16675.00,16890.00,4288.00,1767,16860.00
2011-06-07 15:00,16890.00,17165.00,16845.00,17030.00,4142.00,2259,17015.00
2011-06-08 15:00,17100.00,17180.00,16865.00,17020.00,4109.00,2019,17050.00
2011-06-09 15:00,17105.00,17130.00,16985.00,16985.00,4075.00,1036,17060.00
2011-06-10 15:00,17080.00,17150.00,16990.00,17070.00,4218.00,1456,17080.00
2011-06-13 15:00,16970.00,17025.00,16835.00,16940.00,4255.00,1328,16950.00
2011-06-14 15:00,16965.00,16975.00,16820.00,16940.00,4523.00,1001,16900.00
2011-06-15 15:00,17030.00,17070.00,16955.00,16980.00,4703.00,1169,17010.00
2011-06-16 15:00,16835.00,16870.00,16680.00,16695.00,4694.00,1405,16785.00
2011-06-17 15:00,16720.00,16780.00,16600.00,16620.00,4698.00,943,16690.00
2011-06-20 15:00,16550.00,16630.00,16455.00,16470.00,4805.00,1043,16525.00
2011-06-21 15:00,16535.00,16890.00,16530.00,16850.00,4517.00,1732,16720.00
2011-06-22 15:00,16800.00,16850.00,16685.00,16720.00,4440.00,1089,16765.00
2011-06-23 15:00,16905.00,16910.00,16715.00,16855.00,4405.00,1680,16810.00
2011-06-24 15:00,16875.00,17045.00,16860.00,17030.00,4408.00,2090,16985.00
2011-06-27 15:00,16910.00,16965.00,16750.00,16770.00,4291.00,1396,16855.00
2011-06-28 15:00,16850.00,16955.00,16820.00,16865.00,4330.00,842,16905.00
2011-06-29 15:00,16940.00,16980.00,16880.00,16975.00,4214.00,1020,16940.00
2011-06-30 15:00,17100.00,17210.00,17050.00,17200.00,4460.00,1425,17125.00
2011-07-01 15:00,17200.00,17235.00,17125.00,17160.00,4682.00,1056,17170.00
2011-07-04 15:00,17205.00,17410.00,17205.00,17350.00,4925.00,1314,17300.00
2011-07-05 15:00,17335.00,17430.00,17215.00,17220.00,5018.00,983,17280.00
2011-07-06 15:00,17280.00,17355.00,17250.00,17315.00,4993.00,806,17300.00
2011-07-07 15:00,17285.00,17385.00,17225.00,17320.00,4962.00,779,17300.00
2011-07-08 15:00,17415.00,17465.00,17300.00,17305.00,4978.00,635,17385.00
2011-07-11 15:00,17220.00,17305.00,17070.00,17170.00,4961.00,934,17225.00
2011-07-12 15:00,17080.00,17185.00,17070.00,17185.00,4869.00,601,17135.00
2011-07-13 15:00,17350.00,17700.00,17310.00,17695.00,5057.00,1657,17490.00
2011-07-14 15:00,17550.00,17595.00,17480.00,17555.00,4968.00,918,17530.00
2011-07-15 15:00,17465.00,17530.00,17415.00,17435.00,4982.00,643,17460.00
2011-07-18 15:00,17485.00,17580.00,17455.00,17520.00,4965.00,651,17530.00
2011-07-19 15:00,17585.00,17740.00,17565.00,17735.00,4865.00,1091,17655.00
2011-07-20 15:00,17740.00,17815.00,17610.00,17685.00,4575.00,946,17685.00
2011-07-21 15:00,17600.00,17650.00,17430.00,17445.00,4510.00,924,17545.00
2011-07-22 15:00,17485.00,17580.00,17485.00,17580.00,4431.00,512,17535.00
2011-07-25 15:00,17530.00,17535.00,17400.00,17410.00,4267.00,712,17485.00
2011-07-26 15:00,17410.00,17695.00,17410.00,17635.00,3980.00,911,17570.00
2011-07-27 15:00,17670.00,17835.00,17645.00,17770.00,3598.00,1310,17740.00
2011-07-28 15:00,17700.00,17725.00,17580.00,17700.00,3383.00,1018,17645.00
2011-07-29 15:00,17635.00,17780.00,17430.00,17540.00,3186.00,1178,17665.00
2011-08-01 15:00,17570.00,17660.00,17530.00,17600.00,2982.00,658,17605.00
2011-08-02 15:00,17450.00,17535.00,17075.00,17190.00,2901.00,824,17265.00
2011-08-03 15:00,17085.00,17280.00,17055.00,17090.00,2725.00,521,17155.00
2011-08-04 15:00,17080.00,17095.00,16870.00,16920.00,2601.00,346,16960.00
2011-08-05 15:00,16560.00,16620.00,15960.00,16270.00,2116.00,848,16235.00
2011-08-08 15:00,15555.00,16175.00,15435.00,16150.00,1809.00,537,15970.00
2011-08-09 15:00,15495.00,16155.00,15200.00,16025.00,2229.00,2430,15765.00
2011-08-10 15:00,16300.00,16605.00,16000.00,16480.00,2307.00,1672,16395.00
2011-08-11 15:00,16560.00,16590.00,16400.00,16525.00,2293.00,991,16505.00
2011-08-12 15:00,16740.00,16755.00,16610.00,16660.00,2333.00,685,16685.00
2011-08-15 15:00,16660.00,16835.00,16660.00,16730.00,2366.00,524,16735.00
2011-08-16 15:00,16835.00,16835.00,16410.00,16450.00,2457.00,660,16580.00
2011-08-17 15:00,16455.00,16695.00,16455.00,16655.00,2328.00,699,16635.00
2011-08-18 15:00,16650.00,16765.00,16625.00,16670.00,2227.00,787,16685.00
2011-08-19 15:00,16420.00,16600.00,16410.00,16600.00,2149.00,931,16545.00
2011-08-22 15:00,16680.00,16730.00,16570.00,16570.00,2120.00,634,16665.00
2011-08-23 15:00,16550.00,16665.00,16530.00,16650.00,2164.00,351,16605.00
2011-08-24 15:00,16790.00,16790.00,16650.00,16690.00,2141.00,402,16705.00
2011-08-25 15:00,16725.00,16815.00,16685.00,16780.00,2084.00,482,16745.00
2011-08-26 15:00,16855.00,16880.00,16720.00,16760.00,2066.00,325,16775.00
2011-08-29 15:00,16895.00,16935.00,16820.00,16860.00,2065.00,347,16855.00
2011-08-30 15:00,16910.00,16995.00,16825.00,16905.00,2096.00,494,16920.00
2011-08-31 15:00,16940.00,16985.00,16885.00,16955.00,2067.00,583,16950.00
2011-09-01 15:00,16945.00,16990.00,16780.00,16785.00,1981.00,575,16895.00
2011-09-02 15:00,16785.00,16815.00,16560.00,16635.00,1950.00,386,16670.00
2011-09-05 15:00,16560.00,16720.00,16505.00,16555.00,1900.00,349,16605.00
2011-09-06 15:00,16515.00,16530.00,16360.00,16445.00,1897.00,352,16435.00
2011-09-07 15:00,16520.00,16665.00,16480.00,16660.00,1855.00,250,16570.00
2011-09-08 15:00,16685.00,16705.00,16585.00,16610.00,1826.00,194,16620.00
2011-09-09 15:00,16620.00,16690.00,16555.00,16600.00,1739.00,268,16615.00
2011-09-13 15:00,16600.00,16600.00,16400.00,16420.00,1675.00,198,16460.00
2011-09-14 15:00,16425.00,16565.00,16280.00,16350.00,1563.00,268,16390.00
2011-09-15 15:00,16345.00,16370.00,16245.00,16275.00,1460.00,209,16315.00
2011-09-16 15:00,16340.00,16360.00,16285.00,16350.00,1384.00,114,16325.00
2011-09-19 15:00,16220.00,16220.00,15760.00,15805.00,1274.00,187,15990.00
2011-09-20 15:00,15575.00,15880.00,15575.00,15750.00,1147.00,240,15725.00
2011-09-21 15:00,15715.00,15815.00,15600.00,15800.00,917.00,338,15740.00
2011-09-22 15:00,15690.00,15690.00,15020.00,15245.00,1388.00,937,15395.00
2011-09-23 15:00,14810.00,14810.00,14470.00,14470.00,1329.00,1159,14620.00
2011-09-26 15:00,14035.00,14275.00,13595.00,13630.00,1621.00,1818,13955.00
2011-09-27 15:00,14205.00,14545.00,14205.00,14385.00,1576.00,1180,14340.00
2011-09-28 15:00,14630.00,14685.00,14250.00,14505.00,1456.00,811,14420.00
2011-09-29 15:00,13895.00,14360.00,13590.00,14360.00,1293.00,851,14095.00
2011-09-30 15:00,14315.00,14880.00,14315.00,14880.00,1242.00,409,14590.00
2011-10-10 15:00,14615.00,14895.00,14615.00,14740.00,1250.00,402,14765.00
2011-10-11 15:00,14950.00,14985.00,14725.00,14770.00,1208.00,303,14845.00
2011-10-12 15:00,14730.00,14935.00,14600.00,14900.00,1162.00,268,14795.00
2011-10-13 15:00,14950.00,15045.00,14855.00,14910.00,1107.00,416,14935.00
2011-10-14 15:00,14900.00,15100.00,14900.00,15085.00,958.00,388,14965.00
2011-10-17 15:00,15090.00,15155.00,14965.00,15040.00,853.00,246,15045.00
2011-10-18 15:00,14635.00,14745.00,14360.00,14430.00,1033.00,502,14580.00
2011-10-19 15:00,14660.00,14660.00,14370.00,14470.00,1010.00,440,14510.00
2011-10-20 15:00,13710.00,14010.00,13700.00,13850.00,1127.00,762,13820.00
2011-10-21 15:00,13850.00,14600.00,13765.00,14235.00,1177.00,864,14175.00
2011-10-24 15:00,14640.00,15025.00,14550.00,15025.00,1070.00,785,14775.00
2011-10-25 15:00,15250.00,15650.00,14860.00,15095.00,1019.00,1270,15200.00
2011-10-26 15:00,14875.00,15195.00,14760.00,15015.00,989.00,485,15015.00
2011-10-27 15:00,15080.00,15150.00,14950.00,15105.00,996.00,345,15045.00
2011-10-28 15:00,15580.00,15725.00,15360.00,15435.00,984.00,424,15465.00
2011-10-31 15:00,15565.00,15565.00,15185.00,15345.00,993.00,380,15370.00
2011-11-01 15:00,15450.00,15450.00,15275.00,15315.00,1013.00,310,15360.00
2011-11-02 15:00,15015.00,15340.00,15015.00,15285.00,994.00,338,15170.00
2011-11-03 15:00,15230.00,15260.00,15080.00,15115.00,1000.00,173,15190.00
2011-11-04 15:00,15215.00,15535.00,15215.00,15480.00,966.00,285,15410.00
2011-11-07 15:00,15480.00,15480.00,15350.00,15405.00,984.00,183,15390.00
2011-11-08 15:00,15415.00,15450.00,15300.00,15335.00,953.00,167,15360.00
2011-11-09 15:00,15450.00,15510.00,15385.00,15425.00,954.00,157,15440.00
