日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2015-03-27 15:00,101870.00,102710.00,100650.00,101080.00,7182.00,14430,101180.00
2015-03-30 15:00,99010.00,100000.00,96820.00,98430.00,17093.00,33342,98390.00
2015-03-31 15:00,98000.00,98200.00,93840.00,95040.00,27444.00,52800,95949.98
2015-04-01 15:00,93940.00,94130.00,91270.00,92500.00,35480.00,79476,92869.94
2015-04-02 15:00,92870.00,96600.00,92550.00,96160.00,40362.00,101424,94320.02
2015-04-03 15:00,96000.00,97800.00,95660.00,97300.00,40499.00,75141,96530.00
2015-04-07 15:00,97500.00,97980.00,95950.00,96420.00,41771.00,37844,96789.99
2015-04-08 15:00,94500.00,95630.00,93300.00,93950.00,47551.00,91544,94449.99
2015-04-09 15:00,94450.00,95260.00,93880.00,94300.00,49542.00,80487,94500.00
2015-04-10 15:00,94500.00,94970.00,93180.00,94540.00,52814.00,68861,94080.00
2015-04-13 15:00,94280.00,95670.00,93700.00,95230.00,56429.00,90107,94720.01
2015-04-14 15:00,94780.00,95070.00,92810.00,93100.00,63845.00,99575,93739.98
2015-04-15 15:00,92700.00,95000.00,92640.00,94730.00,66129.00,110053,93970.04
2015-04-16 15:00,94610.00,95900.00,94260.00,95400.00,65812.00,97960,95090.00
2015-04-17 15:00,96280.00,96660.00,95010.00,95850.00,63642.00,84351,95900.00
2015-04-20 15:00,95980.00,96550.00,95200.00,95410.00,58205.00,74052,95909.97
2015-04-21 15:00,95330.00,96800.00,94900.00,95880.00,55276.00,70465,95910.00
2015-04-22 15:00,95910.00,96720.00,95750.00,96330.00,55258.00,61951,96260.00
2015-04-23 15:00,96120.00,96500.00,95600.00,95860.00,55323.00,50533,96139.99
2015-04-24 15:00,95840.00,97900.00,95700.00,97830.00,56908.00,59090,96660.14
2015-04-27 15:00,98000.00,101490.00,97990.00,101490.00,58145.00,120952,100090.00
2015-04-28 15:00,102490.00,104530.00,101420.00,102650.00,55979.00,142861,103110.00
2015-04-29 15:00,102350.00,104400.00,100500.00,101020.00,55667.00,158817,102439.94
2015-04-30 15:00,101190.00,106980.00,101160.00,106010.00,62985.00,276375,104070.03
2015-05-04 15:00,106010.00,108900.00,105450.00,107580.00,64351.00,139422,107000.03
2015-05-05 15:00,107850.00,109230.00,106160.00,107960.00,66813.00,259133,107990.00
2015-05-06 15:00,110000.00,113380.00,109690.00,113380.00,67091.00,304512,112100.00
2015-05-07 15:00,114580.00,115300.00,111050.00,112500.00,61839.00,484526,112960.00
2015-05-08 15:00,113700.00,114100.00,110000.00,112300.00,59278.00,439208,111810.00
2015-05-11 15:00,111810.00,114430.00,111060.00,113880.00,64027.00,364027,112550.05
2015-05-12 15:00,113300.00,115060.00,111270.00,111600.00,63268.00,435848,113269.92
2015-05-13 15:00,112280.00,113650.00,110780.00,111750.00,61934.00,376307,112189.99
2015-05-14 15:00,112100.00,112100.00,107060.00,109400.00,60692.00,380271,109779.99
2015-05-15 15:00,108980.00,110960.00,108540.00,110210.00,65348.00,304645,109450.01
2015-05-18 15:00,109390.00,109690.00,108200.00,108610.00,60646.00,272047,109160.00
2015-05-19 15:00,108300.00,108890.00,106160.00,106430.00,58181.00,233539,107730.00
2015-05-20 15:00,105500.00,105990.00,102340.00,102340.00,53838.00,159478,103570.00
2015-05-21 15:00,100490.00,102550.00,100170.00,101070.00,53092.00,240099,101470.00
2015-05-22 15:00,100960.00,103370.00,96710.00,100070.00,54904.00,370931,101629.93
2015-05-25 15:00,98900.00,100580.00,98110.00,99480.00,57449.00,305116,99659.99
2015-05-26 15:00,99670.00,101900.00,99660.00,100010.00,57597.00,275139,101059.93
2015-05-27 15:00,99990.00,101180.00,99200.00,100670.00,59782.00,203024,100470.00
2015-05-28 15:00,100420.00,102040.00,100400.00,101130.00,58244.00,272611,101220.00
2015-05-29 15:00,101000.00,101680.00,97740.00,99200.00,58230.00,231462,99860.00
2015-06-01 15:00,98860.00,99290.00,97800.00,98040.00,54333.00,122984,98559.98
2015-06-02 15:00,98350.00,100600.00,98120.00,100480.00,42799.00,137189,99740.13
2015-06-03 15:00,100380.00,101100.00,99040.00,99060.00,95888.00,204626,100229.98
2015-06-04 15:00,99200.00,99940.00,97690.00,98530.00,96593.00,186579,98999.99
2015-06-05 15:00,98650.00,99480.00,98060.00,98390.00,101748.00,174835,98819.98
2015-06-08 15:00,98750.00,100600.00,98330.00,100570.00,108723.00,246860,99400.02
2015-06-09 15:00,100850.00,102180.00,100660.00,100910.00,107297.00,301278,101449.99
2015-06-10 15:00,101360.00,101770.00,100570.00,101330.00,105190.00,199220,101250.00
2015-06-11 15:00,101850.00,102200.00,101300.00,101500.00,100759.00,161881,101690.00
2015-06-12 15:00,101600.00,101640.00,97800.00,98070.00,99932.00,242634,99689.99
2015-06-15 15:00,98400.00,98880.00,97400.00,97580.00,103321.00,157375,98180.00
2015-06-16 15:00,97400.00,98050.00,95340.00,95700.00,106969.00,193031,96959.98
2015-06-17 15:00,96000.00,96360.00,94700.00,95280.00,106482.00,199986,95539.99
2015-06-18 15:00,96300.00,96810.00,95830.00,96300.00,101577.00,163707,96260.00
