日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2014-12-19 15:00,2800.00,2834.00,2784.00,2793.00,2464.00,14562,2806.00
2014-12-22 15:00,2795.00,2800.00,2727.00,2738.00,4066.00,13085,2755.00
2014-12-23 15:00,2736.00,2760.00,2715.00,2740.00,4332.00,9363,2745.00
2014-12-24 15:00,2747.00,2760.00,2741.00,2752.00,3861.00,4142,2752.00
2014-12-25 15:00,2750.00,2750.00,2665.00,2727.00,4396.00,10130,2724.00
2014-12-26 15:00,2727.00,2738.00,2718.00,2721.00,4558.00,4579,2726.00
2014-12-29 15:00,2722.00,2737.00,2720.00,2731.00,4264.00,2703,2729.00
2014-12-30 15:00,2727.00,2733.00,2710.00,2721.00,4098.00,4528,2721.00
2014-12-31 15:00,2728.00,2728.00,2708.00,2713.00,3760.00,2640,2718.00
2015-01-05 15:00,2718.00,2718.00,2678.00,2684.00,4895.00,6704,2691.00
2015-01-06 15:00,2689.00,2697.00,2624.00,2630.00,7138.00,14441,2652.00
2015-01-07 15:00,2640.00,2651.00,2625.00,2643.00,6072.00,8253,2639.00
2015-01-08 15:00,2640.00,2657.00,2636.00,2652.00,6115.00,5429,2648.00
2015-01-09 15:00,2652.00,2662.00,2637.00,2648.00,6379.00,6139,2648.00
2015-01-12 15:00,2649.00,2660.00,2648.00,2658.00,6273.00,4226,2653.00
2015-01-13 15:00,2658.00,2661.00,2638.00,2658.00,6647.00,5115,2646.00
2015-01-14 15:00,2646.00,2665.00,2646.00,2647.00,6232.00,4338,2654.00
2015-01-15 15:00,2645.00,2663.00,2640.00,2662.00,6268.00,3702,2654.00
2015-01-16 15:00,2660.00,2693.00,2655.00,2684.00,6092.00,5970,2675.00
2015-01-19 15:00,2690.00,2714.00,2680.00,2701.00,5482.00,4642,2700.00
2015-01-20 15:00,2700.00,2708.00,2694.00,2702.00,5580.00,2071,2700.00
2015-01-21 15:00,2704.00,2723.00,2702.00,2711.00,5420.00,3593,2712.00
2015-01-22 15:00,2713.00,2714.00,2672.00,2694.00,5990.00,5118,2687.00
2015-01-23 15:00,2690.00,2703.00,2681.00,2686.00,6308.00,2456,2691.00
2015-01-26 15:00,2695.00,2703.00,2660.00,2694.00,6197.00,2527,2690.00
2015-01-27 15:00,2695.00,2736.00,2693.00,2728.00,5925.00,6343,2724.00
2015-01-28 15:00,2725.00,2763.00,2704.00,2759.00,6385.00,6581,2737.00
2015-01-29 15:00,2760.00,2828.00,2750.00,2780.00,6760.00,11566,2784.00
2015-01-30 15:00,2780.00,2795.00,2766.00,2778.00,6814.00,7459,2782.00
2015-02-02 15:00,2781.00,2812.00,2765.00,2796.00,6740.00,5872,2785.00
2015-02-03 15:00,2795.00,2806.00,2782.00,2792.00,6986.00,4978,2795.00
2015-02-04 15:00,2801.00,2817.00,2785.00,2797.00,7110.00,5521,2800.00
2015-02-05 15:00,2800.00,2858.00,2792.00,2814.00,8995.00,27870,2830.00
2015-02-06 15:00,2821.00,2839.00,2815.00,2839.00,8457.00,6790,2827.00
2015-02-09 15:00,2842.00,2873.00,2833.00,2862.00,11069.00,21009,2857.00
2015-02-10 15:00,2868.00,2880.00,2854.00,2879.00,12125.00,17960,2868.00
2015-02-11 15:00,2875.00,2878.00,2858.00,2862.00,11541.00,10828,2868.00
2015-02-12 15:00,2862.00,2867.00,2830.00,2840.00,10044.00,15044,2845.00
2015-02-13 15:00,2840.00,2872.00,2837.00,2856.00,9820.00,10944,2854.00
2015-02-16 15:00,2858.00,2860.00,2845.00,2858.00,9153.00,4174,2852.00
2015-02-17 15:00,2855.00,2855.00,2817.00,2825.00,8301.00,6800,2831.00
2015-02-25 15:00,2824.00,2843.00,2802.00,2810.00,8253.00,5354,2820.00
2015-02-26 15:00,2809.00,2838.00,2806.00,2828.00,8635.00,7014,2821.00
2015-02-27 15:00,2828.00,2865.00,2827.00,2856.00,9341.00,8032,2849.00
2015-03-02 15:00,2856.00,2875.00,2856.00,2861.00,9437.00,4701,2864.00
2015-03-03 15:00,2859.00,2860.00,2818.00,2842.00,8343.00,5715,2835.00
2015-03-04 15:00,2842.00,2873.00,2835.00,2871.00,10032.00,9644,2862.00
2015-03-05 15:00,2864.00,2869.00,2843.00,2848.00,8757.00,9473,2858.00
2015-03-06 15:00,2845.00,2863.00,2834.00,2838.00,7977.00,5471,2844.00
2015-03-09 15:00,2836.00,2865.00,2834.00,2863.00,9109.00,8666,2850.00
2015-03-10 15:00,2862.00,2935.00,2861.00,2914.00,20165.00,48677,2902.00
2015-03-11 15:00,2913.00,2975.00,2913.00,2959.00,24158.00,60628,2953.00
