日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2014-03-21 15:00,3252.00,3336.00,3230.00,3324.00,26015.00,93739,3300.00
2014-03-24 15:00,3314.00,3330.00,3266.00,3330.00,23808.00,43405,3304.03
2014-03-25 15:00,3326.00,3400.00,3320.00,3378.00,30628.00,59927,3358.00
2014-03-26 15:00,3370.00,3382.00,3354.00,3376.00,30280.00,18938,3368.00
2014-03-27 15:00,3368.00,3386.00,3350.00,3362.00,30715.00,20115,3364.00
2014-03-28 15:00,3376.00,3386.00,3360.00,3382.00,31540.00,17145,3372.00
2014-03-31 15:00,3396.00,3422.00,3382.00,3410.00,32820.00,30485,3402.00
2014-04-01 15:00,3412.00,3418.00,3396.00,3414.00,32068.00,8948,3406.00
2014-04-02 15:00,3410.00,3426.00,3388.00,3390.00,34350.00,14285,3404.00
2014-04-03 15:00,3384.00,3414.00,3382.00,3410.00,34205.00,10353,3398.00
2014-04-04 15:00,3412.00,3440.00,3402.00,3440.00,35047.00,10680,3422.00
2014-04-08 15:00,3450.00,3488.00,3442.00,3480.00,40436.00,20143,3468.00
2014-04-09 15:00,3488.00,3488.00,3444.00,3452.00,40917.00,16451,3461.99
2014-04-10 15:00,3450.00,3470.00,3442.00,3446.00,40616.00,9815,3456.00
2014-04-11 15:00,3430.00,3452.00,3430.00,3434.00,38420.00,6550,3440.00
2014-04-14 15:00,3432.00,3464.00,3432.00,3438.00,38510.00,6321,3446.00
2014-04-15 15:00,3442.00,3448.00,3418.00,3448.00,37762.00,10362,3430.00
2014-04-16 15:00,3446.00,3446.00,3410.00,3418.00,34076.00,9269,3418.00
2014-04-17 15:00,3428.00,3428.00,3410.00,3412.00,33702.00,2795,3418.00
2014-04-18 15:00,3410.00,3412.00,3346.00,3354.00,33249.00,25880,3370.00
2014-04-21 15:00,3340.00,3364.00,3340.00,3340.00,32418.00,4146,3350.00
2014-04-22 15:00,3340.00,3366.00,3324.00,3354.00,30475.00,11979,3344.00
2014-04-23 15:00,3358.00,3388.00,3336.00,3380.00,29460.00,9922,3358.00
2014-04-24 15:00,3376.00,3396.00,3366.00,3390.00,29043.00,6324,3380.00
2014-04-25 15:00,3398.00,3400.00,3372.00,3378.00,29285.00,4283,3382.00
2014-04-28 15:00,3372.00,3372.00,3334.00,3336.00,28315.00,8677,3342.00
2014-04-29 15:00,3334.00,3374.00,3334.00,3360.00,27846.00,4368,3358.00
2014-04-30 15:00,3370.00,3370.00,3338.00,3344.00,27605.00,4974,3344.00
2014-05-05 15:00,3334.00,3362.00,3224.00,3352.00,26863.00,5784,3340.00
2014-05-06 15:00,3342.00,3364.00,3336.00,3344.00,26490.00,2361,3350.00
2014-05-07 15:00,3338.00,3358.00,3330.00,3332.00,26392.00,4766,3340.00
2014-05-08 15:00,3330.00,3338.00,3310.00,3312.00,24822.00,6649,3320.00
2014-05-09 15:00,3312.00,3330.00,3302.00,3318.00,24675.00,4806,3318.00
2014-05-12 15:00,3332.00,3336.00,3298.00,3336.00,24132.00,5756,3316.00
2014-05-13 15:00,3336.00,3346.00,3320.00,3326.00,23913.00,3347,3332.00
2014-05-14 15:00,3326.00,3330.00,3314.00,3324.00,22508.00,3872,3318.00
2014-05-15 15:00,3324.00,3328.00,3298.00,3300.00,22369.00,2333,3312.00
2014-05-16 15:00,3294.00,3300.00,3240.00,3272.00,22089.00,5949,3272.00
2014-05-19 15:00,3262.00,3284.00,3250.00,3264.00,21930.00,3701,3268.00
2014-05-20 15:00,3260.00,3276.00,3254.00,3262.00,21896.00,1613,3264.00
2014-05-21 15:00,3264.00,3284.00,3254.00,3274.00,22028.00,2538,3266.00
2014-05-22 15:00,3272.00,3314.00,3272.00,3280.00,22015.00,2835,3292.00
2014-05-23 15:00,3286.00,3294.00,3276.00,3282.00,21923.00,1239,3284.00
2014-05-26 15:00,3288.00,3330.00,3286.00,3326.00,21979.00,3263,3316.00
2014-05-27 15:00,3332.00,3370.00,3320.00,3340.00,23904.00,8607,3348.00
2014-05-28 15:00,3300.00,3342.00,3300.00,3312.00,23700.00,3344,3324.00
2014-05-29 15:00,3308.00,3324.00,3300.00,3308.00,23502.00,2848,3310.00
2014-05-30 15:00,3300.00,3300.00,3252.00,3264.00,23206.00,5945,3270.00
2014-06-03 15:00,3256.00,3290.00,3246.00,3268.00,22996.00,5747,3270.00
2014-06-04 15:00,3268.00,3276.00,3260.00,3262.00,23068.00,3911,3268.00
2014-06-05 15:00,3268.00,3284.00,3252.00,3270.00,22093.00,6525,3264.00
2014-06-06 15:00,3276.00,3282.00,3260.00,3282.00,21718.00,2606,3270.00
2014-06-09 15:00,3278.00,3282.00,3254.00,3262.00,19969.00,5531,3266.00
2014-06-10 15:00,3262.00,3272.00,3230.00,3268.00,19716.00,4445,3252.00
2014-06-11 15:00,3270.00,3278.00,3254.00,3260.00,19698.00,2646,3262.00
2014-06-12 15:00,3252.00,3256.00,3230.00,3246.00,19826.00,6006,3244.00
2014-06-13 15:00,3238.00,3258.00,3230.00,3248.00,20335.00,6497,3246.00
2014-06-16 15:00,3250.00,3250.00,3216.00,3226.00,22719.00,9355,3228.00
2014-06-17 15:00,3218.00,3246.00,3208.00,3238.00,22080.00,3941,3230.00
2014-06-18 15:00,3240.00,3276.00,3232.00,3264.00,22596.00,9549,3258.01
2014-06-19 15:00,3266.00,3280.00,3260.00,3264.00,23735.00,8578,3272.00
2014-06-20 15:00,3270.00,3286.00,3254.00,3278.00,25424.00,9546,3270.00
2014-06-23 15:00,3282.00,3304.00,3278.00,3298.00,24781.00,4371,3292.00
2014-06-24 15:00,3300.00,3300.00,3278.00,3282.00,24411.00,3260,3282.00
2014-06-25 15:00,3290.00,3292.00,3272.00,3288.00,24609.00,3402,3284.00
2014-06-26 15:00,3296.00,3320.00,3288.00,3320.00,22859.00,5725,3310.00
2014-06-27 15:00,3322.00,3328.00,3302.00,3304.00,23033.00,2407,3314.00
2014-06-30 15:00,3300.00,3308.00,3286.00,3286.00,22380.00,2466,3290.00
2014-07-01 15:00,3288.00,3296.00,3276.00,3294.00,22230.00,1962,3282.00
2014-07-02 15:00,3294.00,3312.00,3278.00,3308.00,21623.00,3686,3298.00
2014-07-03 15:00,3312.00,3328.00,3306.00,3310.00,21952.00,3117,3316.00
2014-07-04 15:00,3308.00,3314.00,3296.00,3306.00,21462.00,2936,3306.00
2014-07-07 15:00,3312.00,3312.00,3284.00,3294.00,20837.00,2586,3296.00
2014-07-08 15:00,3294.00,3314.00,3286.00,3312.00,21572.00,3235,3298.00
2014-07-09 15:00,3310.00,3316.00,3292.00,3298.00,21560.00,2615,3307.99
2014-07-10 15:00,3302.00,3340.00,3296.00,3328.00,21534.00,4854,3322.00
2014-07-11 15:00,3338.00,3344.00,3320.00,3342.00,22291.00,3918,3332.00
2014-07-14 15:00,3348.00,3366.00,3344.00,3364.00,22327.00,6141,3356.01
2014-07-15 15:00,3362.00,3388.00,3356.00,3360.00,22820.00,3870,3364.00
2014-07-16 15:00,3358.00,3362.00,3344.00,3344.00,22025.00,2535,3352.00
2014-07-17 15:00,3300.00,3350.00,3300.00,3328.00,20861.00,3091,3329.99
2014-07-18 15:00,3328.00,3328.00,3270.00,3276.00,19338.00,6494,3300.00
2014-07-21 15:00,3266.00,3294.00,3266.00,3284.00,19231.00,2207,3284.00
2014-07-22 15:00,3270.00,3302.00,3270.00,3286.00,18817.00,2070,3290.00
2014-07-23 15:00,3284.00,3290.00,3276.00,3278.00,18936.00,1808,3280.00
2014-07-24 15:00,3280.00,3294.00,3278.00,3288.00,18962.00,1389,3284.00
2014-07-25 15:00,3286.00,3306.00,3284.00,3294.00,18488.00,2269,3292.00
2014-07-28 15:00,3288.00,3310.00,3282.00,3300.00,17358.00,3548,3294.00
2014-07-29 15:00,3302.00,3328.00,3302.00,3320.00,16358.00,3512,3314.00
2014-07-30 15:00,3318.00,3318.00,3288.00,3300.00,16057.00,1476,3302.00
2014-07-31 15:00,3304.00,3310.00,3276.00,3290.00,15303.00,1943,3294.00
2014-08-01 15:00,3290.00,3294.00,3268.00,3282.00,15967.00,3704,3280.00
2014-08-04 15:00,3280.00,3300.00,3276.00,3290.00,15063.00,2948,3292.00
2014-08-05 15:00,3280.00,3384.00,3280.00,3310.00,13430.00,5636,3322.00
2014-08-06 15:00,3320.00,3340.00,3304.00,3334.00,12114.00,4658,3328.00
2014-08-07 15:00,3340.00,3350.00,3330.00,3340.00,11635.00,2128,3340.00
2014-08-08 15:00,3330.00,3342.00,3308.00,3320.00,9800.00,5152,3328.00
2014-08-11 15:00,3332.00,3332.00,3310.00,3314.00,9118.00,1541,3320.00
2014-08-12 15:00,3308.00,3356.00,3302.00,3324.00,8645.00,1597,3312.01
2014-08-13 15:00,3326.00,3342.00,3308.00,3310.00,8279.00,1671,3320.00
2014-08-14 15:00,3310.00,3310.00,3272.00,3278.00,8009.00,2605,3297.99
2014-08-15 15:00,3270.00,3320.00,3218.00,3298.00,7796.00,2380,3270.26
2014-08-18 15:00,3302.00,3306.00,3268.00,3278.00,7377.00,1567,3282.00
2014-08-19 15:00,3274.00,3298.00,3274.00,3290.00,7163.00,744,3286.00
2014-08-20 15:00,3280.00,3300.00,3268.00,3268.00,6425.00,1544,3274.00
2014-08-21 15:00,3270.00,3280.00,3254.00,3274.00,6000.00,941,3266.00
2014-08-22 15:00,3308.00,3308.00,3212.00,3212.00,6244.00,1651,3253.95
2014-08-25 15:00,3208.00,3240.00,3180.00,3190.00,6141.00,1822,3214.00
2014-08-26 15:00,3196.00,3214.00,3164.00,3176.00,6449.00,1551,3190.00
2014-08-27 15:00,3184.00,3220.00,3156.00,3170.00,5616.00,2252,3182.00
2014-08-28 15:00,3180.00,3180.00,3124.00,3132.00,5226.00,1616,3148.00
2014-08-29 15:00,3126.00,3170.00,3126.00,3164.00,4674.00,1394,3154.01
2014-09-01 15:00,3122.00,3146.00,3100.00,3110.00,7514.00,4135,3129.94
2014-09-02 15:00,3100.00,3126.00,3086.00,3098.00,8553.00,4794,3100.00
2014-09-03 15:00,3086.00,3092.00,3052.00,3072.00,12298.00,6663,3068.00
2014-09-04 15:00,3070.00,3070.00,3036.00,3036.00,13702.00,4065,3052.00
2014-09-05 15:00,3050.00,3050.00,3026.00,3032.00,13694.00,3380,3036.00
2014-09-09 15:00,3030.00,3030.00,2952.00,2956.00,17143.00,7039,2986.00
2014-09-10 15:00,2950.00,3008.00,2908.00,2976.00,16605.00,7876,2956.00
2014-09-11 15:00,2972.00,2976.00,2922.00,2938.00,18143.00,6567,2942.00
2014-09-12 15:00,2942.00,2972.00,2926.00,2968.00,18363.00,4638,2950.00
2014-09-15 15:00,2958.00,3000.00,2958.00,2996.00,18737.00,5009,2986.00
2014-09-16 15:00,3000.00,3010.00,2948.00,2950.00,19029.00,7421,2976.00
2014-09-17 15:00,2980.00,2986.00,2944.00,2962.00,19648.00,5311,2956.00
2014-09-18 15:00,2960.00,2970.00,2930.00,2934.00,19394.00,6317,2940.00
2014-09-19 15:00,2914.00,2932.00,2872.00,2882.00,16870.00,9124,2898.00
2014-09-22 15:00,2882.00,2882.00,2790.00,2792.00,15162.00,11134,2824.00
2014-09-23 15:00,2790.00,2850.00,2786.00,2808.00,14665.00,7975,2822.00
2014-09-24 15:00,2818.00,2844.00,2816.00,2832.00,15718.00,6389,2834.00
2014-09-25 15:00,2834.00,2834.00,2786.00,2790.00,16459.00,10714,2806.00
2014-09-26 15:00,2790.00,2864.00,2780.00,2836.00,16183.00,7887,2832.00
