日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2013-10-18 15:00,1561.00,1568.00,1553.00,1561.00,125119.00,159729,1561.00
2013-10-21 15:00,1560.00,1592.00,1558.00,1589.00,121314.00,206122,1578.00
2013-10-22 15:00,1590.00,1591.00,1573.00,1576.00,117643.00,114959,1580.00
2013-10-23 15:00,1576.00,1579.00,1558.00,1570.00,125592.00,115144,1567.00
2013-10-24 15:00,1566.00,1567.00,1540.00,1543.00,116563.00,96120,1549.00
2013-10-25 15:00,1541.00,1552.00,1520.00,1521.00,118804.00,87625,1536.00
2013-10-28 15:00,1520.00,1533.00,1519.00,1526.00,109785.00,49366,1525.00
2013-10-29 15:00,1526.00,1530.00,1506.00,1522.00,95010.00,73333,1518.00
2013-10-30 15:00,1601.00,1619.00,1596.00,1615.00,121918.00,266573,1608.00
2013-10-31 15:00,1611.00,1618.00,1593.00,1601.00,121491.00,316280,1606.00
2013-11-01 15:00,1599.00,1626.00,1596.00,1625.00,124629.00,279639,1614.00
2013-11-04 15:00,1622.00,1631.00,1602.00,1605.00,122730.00,279142,1611.00
2013-11-05 15:00,1604.00,1606.00,1586.00,1600.00,123870.00,292582,1595.00
2013-11-06 15:00,1599.00,1606.00,1584.00,1590.00,129596.00,297321,1596.00
2013-11-07 15:00,1590.00,1603.00,1586.00,1593.00,130583.00,247850,1595.00
2013-11-08 15:00,1593.00,1595.00,1567.00,1567.00,132836.00,317921,1583.00
2013-11-11 15:00,1571.00,1577.00,1565.00,1571.00,123589.00,197841,1571.00
2013-11-12 15:00,1572.00,1589.00,1564.00,1587.00,127226.00,285392,1577.00
2013-11-13 15:00,1584.00,1601.00,1581.00,1597.00,127086.00,295549,1591.00
2013-11-14 15:00,1599.00,1608.00,1591.00,1598.00,129076.00,220921,1598.00
2013-11-15 15:00,1600.00,1606.00,1583.00,1585.00,123394.00,227526,1594.00
2013-11-18 15:00,1591.00,1598.00,1583.00,1593.00,127174.00,265016,1590.00
2013-11-19 15:00,1590.00,1618.00,1589.00,1618.00,137275.00,242792,1601.00
2013-11-20 15:00,1620.00,1630.00,1613.00,1620.00,121655.00,289596,1621.00
2013-11-21 15:00,1618.00,1622.00,1606.00,1607.00,120450.00,238922,1612.00
2013-11-22 15:00,1610.00,1624.00,1609.00,1612.00,117783.00,218878,1614.00
2013-11-25 15:00,1617.00,1620.00,1604.00,1609.00,120895.00,219812,1612.00
2013-11-26 15:00,1611.00,1633.00,1608.00,1620.00,132554.00,316617,1621.00
2013-11-27 15:00,1618.00,1620.00,1606.00,1612.00,118185.00,254778,1612.00
2013-11-28 15:00,1610.00,1624.00,1609.00,1617.00,119999.00,210261,1617.00
2013-11-29 15:00,1620.00,1623.00,1613.00,1616.00,117233.00,159852,1617.00
2013-12-02 15:00,1615.00,1632.00,1614.00,1629.00,127353.00,256004,1623.00
2013-12-03 15:00,1626.00,1630.00,1620.00,1625.00,118815.00,195573,1624.00
2013-12-04 15:00,1626.00,1646.00,1625.00,1637.00,119103.00,276148,1637.00
2013-12-05 15:00,1640.00,1645.00,1621.00,1622.00,118803.00,227263,1636.00
2013-12-06 15:00,1620.00,1624.00,1611.00,1618.00,119990.00,245896,1617.00
2013-12-09 15:00,1619.00,1627.00,1613.00,1618.00,114389.00,140051,1620.00
2013-12-10 15:00,1618.00,1623.00,1616.00,1618.00,112488.00,139487,1619.00
2013-12-11 15:00,1618.00,1619.00,1607.00,1613.00,119537.00,196924,1612.00
2013-12-12 15:00,1615.00,1627.00,1608.00,1608.00,120704.00,235219,1616.00
2013-12-13 15:00,1605.00,1605.00,1552.00,1558.00,111971.00,386094,1568.00
2013-12-16 15:00,1559.00,1567.00,1549.00,1557.00,118011.00,222478,1558.00
2013-12-17 15:00,1564.00,1573.00,1555.00,1558.00,107240.00,235050,1564.00
2013-12-18 15:00,1558.00,1565.00,1544.00,1562.00,101358.00,262991,1554.00
2013-12-19 15:00,1566.00,1571.00,1548.00,1557.00,99566.00,218519,1560.00
2013-12-20 15:00,1555.00,1557.00,1534.00,1536.00,95573.00,235335,1547.00
2013-12-23 15:00,1536.00,1536.00,1515.00,1516.00,102856.00,206722,1522.00
2013-12-24 15:00,1517.00,1530.00,1513.00,1523.00,109219.00,185899,1521.00
2013-12-25 15:00,1526.00,1532.00,1505.00,1515.00,110707.00,218925,1518.00
2013-12-26 15:00,1513.00,1516.00,1507.00,1510.00,109008.00,147851,1511.00
2013-12-27 15:00,1511.00,1519.00,1503.00,1510.00,105903.00,237775,1510.00
2013-12-30 15:00,1511.00,1517.00,1485.00,1487.00,110615.00,225813,1505.00
2013-12-31 15:00,1481.00,1484.00,1452.00,1458.00,96846.00,407863,1466.00
2014-01-02 15:00,1456.00,1465.00,1449.00,1454.00,101052.00,206586,1457.00
2014-01-03 15:00,1451.00,1453.00,1421.00,1426.00,101090.00,228305,1435.00
2014-01-06 15:00,1422.00,1433.00,1412.00,1416.00,99350.00,272390,1420.00
2014-01-07 15:00,1418.00,1424.00,1407.00,1411.00,106412.00,299612,1414.00
2014-01-08 15:00,1409.00,1418.00,1406.00,1410.00,100892.00,161941,1411.00
2014-01-09 15:00,1407.00,1422.00,1369.00,1372.00,121125.00,380096,1394.00
2014-01-10 15:00,1370.00,1388.00,1364.00,1382.00,118453.00,326641,1375.00
2014-01-13 15:00,1385.00,1400.00,1367.00,1372.00,112428.00,305490,1380.00
2014-01-14 15:00,1365.00,1394.00,1365.00,1391.00,110601.00,294219,1382.00
2014-01-15 15:00,1389.00,1394.00,1380.00,1388.00,105921.00,228611,1386.00
2014-01-16 15:00,1393.00,1396.00,1380.00,1384.00,110399.00,245079,1387.00
2014-01-17 15:00,1381.00,1382.00,1365.00,1375.00,112386.00,273529,1372.00
2014-01-20 15:00,1372.00,1380.00,1337.00,1346.00,109215.00,392829,1352.00
2014-01-21 15:00,1348.00,1352.00,1337.00,1342.00,111125.00,211255,1342.00
2014-01-22 15:00,1337.00,1364.00,1332.00,1340.00,111633.00,334870,1345.00
2014-01-23 15:00,1338.00,1358.00,1336.00,1355.00,103444.00,271563,1347.00
2014-01-24 15:00,1351.00,1373.00,1342.00,1370.00,95453.00,407910,1359.00
2014-01-27 15:00,1363.00,1368.00,1352.00,1358.00,88875.00,165537,1358.00
2014-01-28 15:00,1354.00,1356.00,1326.00,1333.00,86078.00,180733,1341.00
2014-01-29 15:00,1335.00,1356.00,1328.00,1348.00,73914.00,181246,1345.00
2014-01-30 15:00,1345.00,1355.00,1344.00,1350.00,68173.00,87915,1349.00
2014-02-07 15:00,1351.00,1354.00,1302.00,1327.00,72824.00,139486,1327.00
2014-02-10 15:00,1329.00,1345.00,1321.00,1338.00,88928.00,266518,1333.00
2014-02-11 15:00,1334.00,1340.00,1319.00,1321.00,97960.00,220209,1329.00
2014-02-12 15:00,1322.00,1328.00,1314.00,1324.00,102657.00,163591,1321.00
2014-02-13 15:00,1321.00,1331.00,1319.00,1320.00,97251.00,170668,1324.00
2014-02-14 15:00,1322.00,1326.00,1313.00,1316.00,106050.00,155536,1319.00
2014-02-17 15:00,1315.00,1362.00,1311.00,1354.00,95190.00,401187,1341.00
2014-02-18 15:00,1352.00,1355.00,1333.00,1336.00,98389.00,200463,1341.00
2014-02-19 15:00,1340.00,1356.00,1338.00,1346.00,103602.00,291721,1348.00
2014-02-20 15:00,1344.00,1347.00,1328.00,1334.00,94394.00,218572,1337.00
2014-02-21 15:00,1337.00,1339.00,1323.00,1328.00,97698.00,177653,1330.00
2014-02-24 15:00,1322.00,1325.00,1277.00,1277.00,100836.00,345474,1292.00
2014-02-25 15:00,1280.00,1289.00,1275.00,1279.00,95736.00,261910,1282.00
2014-02-26 15:00,1277.00,1290.00,1269.00,1283.00,99156.00,291334,1281.00
2014-02-27 15:00,1281.00,1289.00,1278.00,1284.00,99200.00,175675,1283.00
2014-02-28 15:00,1282.00,1289.00,1264.00,1273.00,95909.00,298815,1276.00
2014-03-03 15:00,1270.00,1271.00,1255.00,1258.00,100428.00,257795,1260.00
2014-03-04 15:00,1257.00,1260.00,1229.00,1238.00,94607.00,287576,1242.00
2014-03-05 15:00,1242.00,1257.00,1226.00,1238.00,96981.00,427729,1240.00
2014-03-06 15:00,1232.00,1238.00,1224.00,1224.00,97145.00,242069,1231.00
2014-03-07 15:00,1222.00,1228.00,1182.00,1182.00,86374.00,392852,1205.00
2014-03-10 15:00,1160.00,1170.00,1157.00,1157.00,78974.00,88233,1162.00
2014-03-11 15:00,1125.00,1157.00,1101.00,1136.00,62865.00,393456,1133.00
2014-03-12 15:00,1171.00,1236.00,1165.00,1220.00,109465.00,736756,1207.00
2014-03-13 15:00,1219.00,1229.00,1213.00,1226.00,110822.00,392078,1221.00
2014-03-14 15:00,1222.00,1224.00,1184.00,1209.00,116494.00,461040,1202.00
2014-03-17 15:00,1211.00,1220.00,1194.00,1203.00,123957.00,435962,1204.00
2014-03-18 15:00,1204.00,1226.00,1195.00,1214.00,132632.00,506088,1210.00
2014-03-19 15:00,1210.00,1217.00,1201.00,1207.00,129120.00,303231,1208.00
2014-03-20 15:00,1215.00,1223.00,1192.00,1194.00,130204.00,493980,1210.00
2014-03-21 15:00,1186.00,1193.00,1163.00,1167.00,141108.00,576300,1178.00
2014-03-24 15:00,1165.00,1184.00,1160.00,1183.00,138992.00,422062,1170.00
2014-03-25 15:00,1183.00,1216.00,1180.00,1216.00,129274.00,308584,1197.00
2014-03-26 15:00,1230.00,1230.00,1200.00,1204.00,124623.00,421961,1211.00
2014-03-27 15:00,1200.00,1224.00,1192.00,1202.00,140987.00,632452,1207.00
2014-03-28 15:00,1202.00,1228.00,1201.00,1223.00,135392.00,465090,1214.00
2014-03-31 15:00,1225.00,1242.00,1215.00,1220.00,127785.00,530022,1229.00
2014-04-01 15:00,1223.00,1227.00,1211.00,1225.00,128489.00,320476,1220.00
2014-04-02 15:00,1230.00,1235.00,1217.00,1219.00,137054.00,303556,1223.00
2014-04-03 15:00,1216.00,1255.00,1215.00,1236.00,134376.00,530316,1232.00
2014-04-04 15:00,1239.00,1266.00,1235.00,1263.00,150958.00,435618,1249.00
2014-04-08 15:00,1265.00,1304.00,1263.00,1280.00,157889.00,460150,1281.00
2014-04-09 15:00,1282.00,1284.00,1259.00,1264.00,160152.00,250754,1273.00
2014-04-10 15:00,1263.00,1281.00,1245.00,1250.00,151650.00,394641,1261.00
2014-04-11 15:00,1250.00,1258.00,1243.00,1253.00,148371.00,234929,1252.00
2014-04-14 15:00,1252.00,1278.00,1242.00,1254.00,156748.00,438538,1258.00
2014-04-15 15:00,1253.00,1271.00,1248.00,1270.00,147011.00,311703,1257.00
2014-04-16 15:00,1267.00,1273.00,1251.00,1262.00,152582.00,418822,1262.00
2014-04-17 15:00,1260.00,1269.00,1250.00,1250.00,161663.00,254810,1259.00
2014-04-18 15:00,1248.00,1249.00,1197.00,1198.00,154627.00,515246,1211.00
2014-04-21 15:00,1198.00,1208.00,1189.00,1189.00,155428.00,264485,1198.00
2014-04-22 15:00,1187.00,1210.00,1183.00,1202.00,153491.00,344808,1197.00
2014-04-23 15:00,1206.00,1211.00,1163.00,1199.00,155557.00,454685,1190.00
2014-04-24 15:00,1199.00,1215.00,1192.00,1206.00,160179.00,416926,1202.00
2014-04-25 15:00,1210.00,1214.00,1201.00,1207.00,155092.00,257832,1206.00
2014-04-28 15:00,1203.00,1203.00,1167.00,1182.00,144438.00,357429,1181.00
2014-04-29 15:00,1186.00,1200.00,1183.00,1186.00,149079.00,289096,1191.00
2014-04-30 15:00,1187.00,1191.00,1165.00,1166.00,153866.00,272185,1175.00
2014-05-05 15:00,1163.00,1183.00,1153.00,1181.00,145001.00,299749,1172.00
2014-05-06 15:00,1183.00,1189.00,1173.00,1175.00,150296.00,238295,1180.00
2014-05-07 15:00,1173.00,1196.00,1171.00,1175.00,151310.00,332517,1183.00
2014-05-08 15:00,1175.00,1184.00,1170.00,1178.00,151943.00,226699,1176.00
