日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2013-10-18 15:00,2818.00,2820.00,2808.00,2815.00,2062.00,607,2813.00
2013-10-21 15:00,2809.00,2821.00,2809.00,2814.00,2051.00,337,2816.00
2013-10-22 15:00,2813.00,2816.00,2747.00,2748.00,2386.00,2573,2776.00
2013-10-23 15:00,2754.00,2768.00,2743.00,2758.00,2259.00,1004,2755.00
2013-10-24 15:00,2750.00,2794.00,2747.00,2781.00,2104.00,1044,2777.00
2013-10-25 15:00,2784.00,2787.00,2750.00,2760.00,2109.00,710,2771.00
2013-10-28 15:00,2765.00,2801.00,2764.00,2794.00,2003.00,601,2782.00
2013-10-29 15:00,2798.00,2819.00,2792.00,2818.00,2037.00,1231,2809.00
2013-10-30 15:00,2818.00,2846.00,2806.00,2846.00,1848.00,1052,2827.00
2013-10-31 15:00,2841.00,2847.00,2836.00,2843.00,1839.00,760,2842.00
2013-11-01 15:00,2836.00,2850.00,2810.00,2837.00,1789.00,1217,2828.00
2013-11-04 15:00,2840.00,2849.00,2829.00,2841.00,1789.00,525,2836.00
2013-11-05 15:00,2833.00,2878.00,2832.00,2871.00,1815.00,1306,2859.00
2013-11-06 15:00,2870.00,2881.00,2860.00,2871.00,1771.00,778,2870.00
2013-11-07 15:00,2865.00,2873.00,2858.00,2858.00,1586.00,586,2866.00
2013-11-08 15:00,2856.00,2860.00,2835.00,2840.00,1499.00,612,2846.00
2013-11-11 15:00,2844.00,2894.00,2844.00,2891.00,2018.00,1763,2875.00
2013-11-12 15:00,2895.00,2904.00,2877.00,2902.00,2246.00,2061,2892.00
2013-11-13 15:00,2903.00,2903.00,2891.00,2902.00,2303.00,728,2898.00
2013-11-14 15:00,2902.00,2945.00,2895.00,2943.00,2789.00,2644,2926.00
2013-11-15 15:00,2942.00,2955.00,2921.00,2923.00,2508.00,2639,2938.00
2013-11-18 15:00,2929.00,2990.00,2928.00,2989.00,3397.00,5208,2971.00
2013-11-19 15:00,2986.00,2994.00,2971.00,2992.00,3609.00,3271,2984.00
2013-11-20 15:00,2992.00,3032.00,2990.00,3027.00,4858.00,6668,3020.00
2013-11-21 15:00,3027.00,3049.00,3018.00,3045.00,5101.00,4932,3037.00
2013-11-22 15:00,3051.00,3153.00,3044.00,3147.00,6323.00,15866,3104.00
2013-11-25 15:00,3160.00,3175.00,3128.00,3143.00,5943.00,19148,3147.00
2013-11-26 15:00,3143.00,3151.00,3113.00,3140.00,5300.00,9464,3134.00
2013-11-27 15:00,3140.00,3175.00,3124.00,3143.00,5956.00,12393,3144.00
2013-11-28 15:00,3155.00,3156.00,3134.00,3137.00,5786.00,5441,3141.00
2013-11-29 15:00,3140.00,3154.00,3117.00,3149.00,5910.00,8560,3132.00
2013-12-02 15:00,3153.00,3177.00,3133.00,3162.00,5804.00,9287,3155.00
2013-12-03 15:00,3169.00,3282.00,3158.00,3269.00,8062.00,34407,3241.00
2013-12-04 15:00,3290.00,3309.00,3272.00,3298.00,8964.00,23030,3289.00
2013-12-05 15:00,3310.00,3337.00,3288.00,3334.00,9629.00,25208,3311.00
2013-12-06 15:00,3333.00,3444.00,3325.00,3444.00,12232.00,50734,3391.00
2013-12-09 15:00,3460.00,3595.00,3460.00,3595.00,10223.00,45678,3523.00
2013-12-10 15:00,3373.00,3404.00,3333.00,3360.00,20067.00,109740,3363.00
2013-12-11 15:00,3360.00,3364.00,3228.00,3247.00,18588.00,142354,3273.00
2013-12-12 15:00,3248.00,3290.00,3212.00,3232.00,21156.00,147727,3246.00
2013-12-13 15:00,3217.00,3266.00,3196.00,3244.00,23168.00,165925,3232.00
2013-12-16 15:00,3240.00,3253.00,3136.00,3159.00,22557.00,153878,3177.00
2013-12-17 15:00,3158.00,3167.00,3090.00,3093.00,24668.00,168938,3130.00
2013-12-18 15:00,3094.00,3115.00,3065.00,3100.00,21454.00,150208,3094.00
