日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2014-02-28 15:00,10680.00,10720.00,10604.00,10657.00,10628.00,48791,10670.00
2014-03-03 15:00,10696.00,10790.00,10602.00,10632.00,9164.00,22363,10652.00
2014-03-04 15:00,10632.00,10717.00,10602.00,10706.00,10892.00,11936,10660.00
2014-03-05 15:00,10359.00,10360.00,10262.00,10299.00,11617.00,8828,10303.00
2014-03-06 15:00,10700.00,10700.00,10560.00,10640.00,14449.00,18584,10630.00
2014-03-07 15:00,10200.00,10200.00,10129.00,10175.00,18923.00,22665,10164.00
2014-03-10 15:00,10025.00,10150.00,10000.00,10077.00,23268.00,39680,10067.00
2014-03-11 15:00,10096.00,10350.00,10050.00,10180.00,19642.00,34706,10167.00
2014-03-12 15:00,10090.00,10193.00,10061.00,10191.00,24658.00,23107,10138.00
2014-03-13 15:00,10200.00,10236.00,10165.00,10209.00,24972.00,12901,10198.00
2014-03-14 15:00,10200.00,10210.00,10120.00,10171.00,26012.00,22764,10163.00
2014-03-17 15:00,10165.00,10290.00,10140.00,10171.00,26322.00,13060,10182.00
2014-03-18 15:00,10125.00,10290.00,10125.00,10284.00,25906.00,28443,10237.00
2014-03-19 15:00,10300.00,10348.00,10214.00,10214.00,24335.00,18105,10278.00
2014-03-20 15:00,10220.00,10260.00,10195.00,10240.00,21901.00,12559,10230.00
2014-03-21 15:00,10206.00,10295.00,10202.00,10285.00,22044.00,11884,10247.00
2014-03-24 15:00,10280.00,10324.00,10241.00,10310.00,23742.00,12417,10290.00
2014-03-25 15:00,10315.00,10436.00,10290.00,10406.00,22585.00,26464,10371.00
2014-03-26 15:00,10389.00,10560.00,10385.00,10527.00,26345.00,59410,10499.00
2014-03-27 15:00,10530.00,10530.00,10474.00,10492.00,25841.00,23114,10500.00
2014-03-28 15:00,10500.00,10625.00,10492.00,10620.00,29211.00,37613,10556.00
2014-03-31 15:00,10618.00,10650.00,10563.00,10582.00,29017.00,20699,10602.00
2014-04-01 15:00,10590.00,10724.00,10555.00,10705.00,35867.00,50014,10667.00
2014-04-02 15:00,10681.00,10707.00,10650.00,10672.00,38138.00,24210,10677.00
2014-04-03 15:00,10680.00,10705.00,10606.00,10685.00,40253.00,35068,10664.00
2014-04-04 15:00,10685.00,10832.00,10685.00,10818.00,43914.00,47299,10791.00
2014-04-08 15:00,10810.00,10838.00,10725.00,10756.00,45333.00,35997,10761.00
2014-04-09 15:00,10790.00,10790.00,10660.00,10733.00,46295.00,43156,10703.00
2014-04-10 15:00,10750.00,10805.00,10682.00,10682.00,47248.00,37681,10749.00
2014-04-11 15:00,10670.00,10720.00,10619.00,10701.00,47866.00,31274,10690.00
2014-04-14 15:00,10750.00,10774.00,10680.00,10758.00,51122.00,36856,10739.00
2014-04-15 15:00,10766.00,10826.00,10728.00,10793.00,54126.00,44721,10782.00
2014-04-16 15:00,10783.00,10806.00,10746.00,10772.00,54496.00,27144,10773.00
2014-04-17 15:00,10770.00,10900.00,10760.00,10875.00,56892.00,57008,10854.00
2014-04-18 15:00,10886.00,10887.00,10792.00,10874.00,54055.00,40289,10846.00
2014-04-21 15:00,10875.00,10938.00,10834.00,10887.00,54848.00,27426,10886.00
2014-04-22 15:00,10890.00,11040.00,10861.00,10975.00,61594.00,72924,10969.00
2014-04-23 15:00,10985.00,10986.00,10867.00,10925.00,61632.00,45331,10917.00
2014-04-24 15:00,10924.00,10949.00,10815.00,10893.00,60562.00,62719,10879.00
2014-04-25 15:00,10900.00,10919.00,10685.00,10703.00,61109.00,63330,10782.00
2014-04-28 15:00,10710.00,10728.00,10660.00,10706.00,58525.00,33722,10696.00
2014-04-29 15:00,10700.00,10770.00,10656.00,10758.00,59016.00,45105,10725.00
2014-04-30 15:00,10762.00,10775.00,10713.00,10747.00,62916.00,39742,10743.00
2014-05-05 15:00,10750.00,10848.00,10675.00,10847.00,62682.00,62811,10747.00
2014-05-06 15:00,10832.00,10890.00,10808.00,10850.00,62155.00,66550,10846.00
2014-05-07 15:00,10850.00,10965.00,10823.00,10932.00,56414.00,85524,10920.00
2014-05-08 15:00,10955.00,10955.00,10843.00,10872.00,53206.00,45811,10887.00
2014-05-09 15:00,10884.00,10884.00,10750.00,10771.00,54323.00,51431,10796.00
2014-05-12 15:00,10790.00,10830.00,10714.00,10751.00,52141.00,62870,10768.00
2014-05-13 15:00,10773.00,10786.00,10725.00,10780.00,50471.00,41194,10753.00
2014-05-14 15:00,10810.00,10815.00,10718.00,10752.00,51709.00,45690,10761.00
2014-05-15 15:00,10740.00,10740.00,10667.00,10676.00,54798.00,55692,10694.00
2014-05-16 15:00,10665.00,10692.00,10600.00,10691.00,59951.00,56562,10640.00
2014-05-19 15:00,10688.00,10750.00,10640.00,10697.00,63915.00,57563,10693.00
2014-05-20 15:00,10680.00,10705.00,10623.00,10695.00,66873.00,47694,10661.00
2014-05-21 15:00,10681.00,10790.00,10655.00,10765.00,68238.00,77580,10742.00
2014-05-22 15:00,10765.00,10926.00,10755.00,10922.00,72573.00,80775,10832.00
2014-05-23 15:00,10914.00,11050.00,10883.00,11039.00,68357.00,111120,10969.00
2014-05-26 15:00,11038.00,11081.00,10967.00,11056.00,70180.00,81503,11025.00
2014-05-27 15:00,11041.00,11049.00,10825.00,10830.00,59591.00,86806,10922.00
2014-05-28 15:00,10827.00,10874.00,10765.00,10872.00,55928.00,46014,10833.00
2014-05-29 15:00,10840.00,10978.00,10840.00,10934.00,55928.00,66776,10920.00
2014-05-30 15:00,10933.00,10994.00,10871.00,10985.00,56356.00,62470,10943.00
2014-06-03 15:00,11000.00,11078.00,10970.00,11073.00,60017.00,66488,11030.00
2014-06-04 15:00,11070.00,11146.00,11045.00,11065.00,60433.00,87216,11103.00
2014-06-05 15:00,11060.00,11162.00,11034.00,11132.00,63061.00,91179,11100.00
2014-06-06 15:00,11130.00,11168.00,11084.00,11119.00,61302.00,72744,11120.00
2014-06-09 15:00,11095.00,11146.00,11038.00,11089.00,62804.00,64827,11075.00
2014-06-10 15:00,11110.00,11372.00,11110.00,11364.00,75590.00,161855,11225.00
2014-06-11 15:00,11350.00,11435.00,11291.00,11329.00,74654.00,249221,11353.00
2014-06-12 15:00,11310.00,11387.00,11255.00,11351.00,73239.00,129509,11338.00
2014-06-13 15:00,11400.00,11532.00,11367.00,11392.00,70527.00,173517,11457.00
2014-06-16 15:00,11404.00,11449.00,11311.00,11422.00,68797.00,125327,11392.00
2014-06-17 15:00,11400.00,11439.00,11217.00,11255.00,60891.00,151647,11313.00
2014-06-18 15:00,11265.00,11295.00,11156.00,11205.00,61350.00,152829,11226.00
2014-06-19 15:00,11230.00,11255.00,11141.00,11159.00,58891.00,89077,11195.00
2014-06-20 15:00,11175.00,11243.00,11124.00,11223.00,59756.00,78253,11176.00
2014-06-23 15:00,11202.00,11236.00,10900.00,10900.00,67593.00,175686,11037.00
2014-06-24 15:00,10900.00,10948.00,10869.00,10917.00,63470.00,107740,10918.00
2014-06-25 15:00,10900.00,10945.00,10835.00,10907.00,61234.00,127776,10894.00
2014-06-26 15:00,10907.00,10967.00,10855.00,10904.00,62242.00,99213,10915.00
2014-06-27 15:00,10887.00,10998.00,10882.00,10955.00,63295.00,101252,10957.00
2014-06-30 15:00,10950.00,11041.00,10925.00,11006.00,61091.00,90358,10996.00
2014-07-01 15:00,11039.00,11238.00,10990.00,11220.00,62633.00,155544,11114.00
2014-07-02 15:00,11220.00,11259.00,10960.00,11179.00,54197.00,153652,11149.00
2014-07-03 15:00,11183.00,11266.00,11142.00,11202.00,55138.00,117880,11207.00
2014-07-04 15:00,11218.00,11323.00,11193.00,11301.00,59536.00,128546,11281.00
2014-07-07 15:00,11300.00,11353.00,11205.00,11316.00,60479.00,109642,11283.00
2014-07-08 15:00,11310.00,11325.00,11148.00,11270.00,61373.00,113255,11239.00
2014-07-09 15:00,11269.00,11293.00,11025.00,11154.00,62088.00,119251,11195.00
2014-07-10 15:00,11120.00,11195.00,11091.00,11161.00,61933.00,55173,11144.00
2014-07-11 15:00,11218.00,11218.00,11126.00,11199.00,61457.00,76924,11175.00
2014-07-14 15:00,11137.00,11214.00,11120.00,11192.00,59325.00,63263,11173.01
2014-07-15 15:00,11200.00,11284.00,11168.00,11188.00,60763.00,105356,11234.00
2014-07-16 15:00,11150.00,11240.00,11078.00,11236.00,64342.00,105073,11153.00
2014-07-17 15:00,11242.00,11265.00,11108.00,11108.00,62157.00,95986,11183.99
2014-07-18 15:00,11120.00,11127.00,10979.00,11073.00,50692.00,122750,11047.00
2014-07-21 15:00,11040.00,11108.00,11016.00,11081.00,51615.00,62637,11058.00
2014-07-22 15:00,11101.00,11127.00,11036.00,11043.00,51729.00,59760,11068.00
2014-07-23 15:00,11025.00,11151.00,11020.00,11150.00,52274.00,69575,11100.00
2014-07-24 15:00,11163.00,11188.00,11124.00,11128.00,51039.00,48235,11153.00
2014-07-25 15:00,11130.00,11248.00,11108.00,11248.00,52246.00,66147,11177.00
2014-07-28 15:00,11225.00,11302.00,11215.00,11286.00,51619.00,53484,11266.00
2014-07-29 15:00,11285.00,11374.00,11270.00,11345.00,48276.00,42382,11322.00
2014-07-30 15:00,10680.00,10717.00,10650.00,10687.00,54594.00,44928,10682.00
2014-07-31 15:00,10678.00,10685.00,10621.00,10666.00,55056.00,37452,10650.00
2014-08-01 15:00,10648.00,10731.00,10600.00,10605.00,56061.00,80808,10666.00
2014-08-04 15:00,10585.00,10647.00,10554.00,10613.00,55849.00,48030,10605.00
2014-08-05 15:00,10650.00,10650.00,10466.00,10514.00,56449.00,92822,10546.00
2014-08-06 15:00,10485.00,10582.00,10485.00,10565.00,57166.00,51821,10539.00
2014-08-07 15:00,10562.00,10570.00,10492.00,10536.00,57927.00,51474,10530.00
2014-08-08 15:00,10536.00,10560.00,10425.00,10488.00,57909.00,71134,10470.00
2014-08-11 15:00,10498.00,10588.00,10488.00,10547.00,55887.00,57685,10554.00
2014-08-12 15:00,10540.00,10544.00,10466.00,10472.00,54373.00,53912,10491.00
2014-08-13 15:00,10459.00,10464.00,10381.00,10442.00,55922.00,58073,10432.00
2014-08-14 15:00,10440.00,10498.00,10390.00,10458.00,59174.00,90977,10445.00
2014-08-15 15:00,10438.00,10540.00,10406.00,10537.00,58747.00,68142,10470.01
2014-08-18 15:00,10546.00,10576.00,10507.00,10572.00,61317.00,57077,10546.00
2014-08-19 15:00,10580.00,10600.00,10540.00,10579.00,62608.00,52637,10578.00
2014-08-20 15:00,10570.00,10570.00,10471.00,10495.00,64096.00,80797,10509.00
2014-08-21 15:00,10526.00,10648.00,10520.00,10645.00,71247.00,73822,10581.00
2014-08-22 15:00,10650.00,10664.00,10612.00,10636.00,71432.00,69791,10637.00
2014-08-25 15:00,10640.00,10648.00,10573.00,10646.00,73044.00,53614,10611.00
2014-08-26 15:00,10643.00,10684.00,10587.00,10636.00,74075.00,77192,10633.00
2014-08-27 15:00,10630.00,10656.00,10607.00,10622.00,73397.00,66426,10632.00
2014-08-28 15:00,10607.00,10630.00,10556.00,10577.00,73055.00,65345,10589.00
2014-08-29 15:00,10580.00,10599.00,10517.00,10535.00,75255.00,79751,10553.00
2014-09-01 15:00,10550.00,10574.00,10482.00,10511.00,79379.00,59384,10518.00
2014-09-02 15:00,10514.00,10621.00,10504.00,10620.00,75125.00,68648,10560.00
2014-09-03 15:00,10599.00,10622.00,10568.00,10622.00,81531.00,60228,10595.02
2014-09-04 15:00,10646.00,10763.00,10628.00,10683.00,113756.00,192328,10705.00
2014-09-05 15:00,10689.00,10691.00,10551.00,10570.00,106220.00,102343,10612.00
2014-09-09 15:00,10560.00,10574.00,10475.00,10490.00,102379.00,104364,10516.00
2014-09-10 15:00,10486.00,10531.00,10421.00,10427.00,100945.00,72601,10482.00
2014-09-11 15:00,10401.00,10428.00,10358.00,10418.00,100360.00,79942,10394.00
2014-09-12 15:00,10432.00,10447.00,10288.00,10355.00,101308.00,96730,10353.00
2014-09-15 15:00,10340.00,10404.00,10321.00,10385.00,99564.00,59492,10364.00
2014-09-16 15:00,10395.00,10469.00,10364.00,10416.00,97034.00,72817,10417.00
2014-09-17 15:00,10450.00,10479.00,10331.00,10335.00,99234.00,69044,10396.00
2014-09-18 15:00,10310.00,10333.00,10246.00,10260.00,102499.00,85838,10276.00
2014-09-19 15:00,10240.00,10280.00,10188.00,10223.00,101471.00,75574,10241.00
2014-09-22 15:00,10210.00,10222.00,10006.00,10053.00,95793.00,99122,10092.00
2014-09-23 15:00,10045.00,10095.00,9897.00,9999.00,99048.00,120174,9993.00
2014-09-24 15:00,9998.00,10108.00,9966.00,10106.00,101117.00,93750,10036.00
2014-09-25 15:00,10121.00,10200.00,10057.00,10162.00,102602.00,103536,10124.00
2014-09-26 15:00,10142.00,10220.00,10081.00,10200.00,98092.00,100366,10158.00
2014-09-29 15:00,10210.00,10317.00,10110.00,10313.00,93772.00,86042,10195.00
2014-09-30 15:00,10330.00,10360.00,10261.00,10348.00,90360.00,68635,10314.00
2014-10-08 15:00,10200.00,10200.00,9990.00,10018.00,95717.00,113507,10071.00
2014-10-09 15:00,10020.00,10064.00,9970.00,10025.00,98456.00,87822,10016.00
2014-10-10 15:00,9950.00,9950.00,9630.00,9660.00,103763.00,158457,9709.00
2014-10-13 15:00,9660.00,9840.00,9650.00,9762.00,97446.00,100788,9767.00
2014-10-14 15:00,9780.00,9888.00,9771.00,9861.00,91988.00,94902,9821.00
2014-10-15 15:00,9698.00,9967.00,9605.00,9877.00,86576.00,159761,9780.00
2014-10-16 15:00,9823.00,9836.00,9690.00,9762.00,93706.00,131011,9763.00
2014-10-17 15:00,9830.00,9870.00,9464.00,9482.00,104634.00,234353,9626.00
2014-10-20 15:00,9490.00,9559.00,9405.00,9413.00,105426.00,186766,9467.00
2014-10-21 15:00,9401.00,9455.00,9340.00,9413.00,101307.00,186482,9390.00
2014-10-22 15:00,9480.00,9499.00,9426.00,9456.00,99273.00,99134,9464.00
