date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2023-07-28,10750,10880,10560,10755,82745,15177,10720
2023-07-31,10790,11105,10765,10985,98875,26887,10965
2023-08-01,10990,11045,10855,10970,28220,32618,10955
2023-08-02,10980,11125,10910,11115,34104,40458,11010
2023-08-03,11110,11450,11105,11320,125082,50425,11315
2023-08-04,11390,11440,11250,11360,41173,52551,11325
2023-08-07,11390,11420,11255,11385,40097,55892,11320
2023-08-08,11510,11510,11270,11280,33336,58286,11370
2023-08-09,11225,11380,11175,11365,21325,59772,11305
2023-08-10,11365,11375,11220,11230,22536,61759,11310
2023-08-11,11200,11380,11200,11335,24133,64156,11310
2023-08-14,11335,11370,11230,11300,20017,66777,11295
2023-08-15,11295,11420,11285,11320,21199,69476,11335
2023-08-16,11300,11350,11230,11295,19124,72243,11295
2023-08-17,11300,11380,11250,11315,19886,74564,11315
2023-08-18,11330,11445,11270,11275,31607,75511,11350
2023-08-21,11285,11420,11275,11420,27737,75520,11355
2023-08-22,11430,11560,11320,11440,26211,75477,11405
2023-08-23,11420,11725,11405,11530,52583,78025,11535
2023-08-24,11550,11670,11520,11580,63012,79707,11605
2023-08-25,11610,11900,11545,11875,58503,87981,11700
2023-08-28,11900,12200,11820,11935,53594,91436,0
2023-08-29,11945,12115,11825,12070,35585,94611,12000
2023-08-30,12030,12145,11950,12100,40845,95440,12070
2023-08-31,12130,12180,12020,12145,33493,93387,12090
2023-09-01,12250,13295,12190,13295,110900,112433,12780
2023-09-04,13900,14440,13590,13680,436755,113280,14115
2023-09-05,13745,14575,13570,14385,695790,131897,14305
2023-09-06,14300,14600,14020,14180,546732,134842,14300
2023-09-07,14200,14285,13465,14080,467651,136399,13930
2023-09-08,14080,14360,13515,13550,508994,127557,13850
2023-09-11,13625,13855,13340,13675,237916,124473,13640
2023-09-12,13745,14240,13730,14140,287302,132632,14035
2023-09-13,14140,14170,13590,13745,201718,124504,13855
2023-09-14,13820,13950,13580,13920,161526,129664,13755
2023-09-15,14000,14065,13710,13860,142188,125997,13850
2023-09-18,13900,13980,13665,13855,110107,121960,13820
2023-09-19,13895,14030,13725,13740,98674,120067,13875
2023-09-20,13740,13920,13565,13605,87657,121243,13740
2023-09-21,13500,13565,13150,13230,121727,115026,13405
2023-09-22,13300,13530,13280,13515,63709,111770,13400
2023-09-25,13530,13595,13070,13235,70314,106714,13340
2023-09-26,13245,13245,12785,12860,83263,104531,12970
2023-09-27,12840,12890,12645,12775,72612,101412,12750
2023-09-28,12820,13085,12755,12765,76802,93608,12890
2023-10-09,12550,12745,12445,12650,31325,95622,12650
2023-10-10,12600,12895,12390,12425,98599,97924,12680
2023-10-11,12515,12760,12435,12705,78976,100894,12605
2023-10-12,12700,12960,12650,12910,127318,105433,12845
2023-10-13,12965,13215,12890,13130,142880,106050,13100
2023-10-16,13380,13380,12955,13080,95828,102878,13130
2023-10-17,13100,13220,12820,12890,99415,99809,13000
2023-10-18,12890,12950,12530,12590,111515,101075,12730
2023-10-19,12650,12730,12555,12665,86695,97104,12635
2023-10-20,12720,13045,12645,12750,164364,90910,12870
2023-10-23,12800,13000,12660,12975,96655,88973,12815
2023-10-24,12995,13040,12710,12780,88742,86944,12835
2023-10-25,12820,12990,12770,12980,85964,77193,12885
2023-10-26,13000,13230,12830,12925,165410,62829,13055
2023-10-27,12900,13115,12855,13095,86728,55368,12970
2023-10-30,13060,13130,12860,13025,77991,50902,12985
2023-10-31,12960,13080,12660,12920,90618,46245,12880
2023-11-01,12955,13090,12840,13045,60194,46985,12955
2023-11-02,13100,13165,12930,12990,51197,45194,13035
2023-11-03,13000,13160,12970,12980,48385,45961,13065
2023-11-06,13010,13045,12720,12900,59579,43673,12880
2023-11-07,12900,12930,12410,12495,71583,50375,12675
2023-11-08,12420,12750,12420,12695,53442,46408,12600
2023-11-09,12625,12695,12510,12585,40237,46576,12595
2023-11-10,12600,12700,12210,12380,85859,49635,12450
2023-11-13,12385,12435,12265,12365,43438,48203,12340
2023-11-14,12345,12470,12320,12365,47306,50438,12400
2023-11-15,12375,12545,12325,12495,36516,49435,12405
2023-11-16,12455,12505,12360,12485,32259,49285,12425
2023-11-17,12485,12620,12310,12330,59303,46191,12435
2023-11-20,12410,12445,12230,12350,35089,46087,12360
2023-11-21,12360,12460,12150,12245,46303,46728,12285
2023-11-22,12245,12350,11945,12025,54316,41448,12075
2023-11-23,12095,12260,12010,12185,42812,37722,12150
2023-11-24,12180,12335,12115,12310,28198,35151,12205
2023-11-27,12255,12490,12255,12470,34810,29577,12385
2023-11-28,12500,12630,12385,12500,38983,24277,12500
2023-11-29,12500,12520,12160,12220,25918,22223,12345
2023-11-30,12260,12290,11775,12120,60380,22139,12030
2023-12-01,12095,12290,11930,12000,29858,19741,12100
2023-12-04,11925,12025,11790,11915,25309,19539,11915
2023-12-05,11925,11925,11530,11630,29501,21199,11730
2023-12-06,11685,11805,11385,11750,39358,19145,11590
2023-12-07,11730,11825,11620,11740,20650,18529,11740
2023-12-08,11740,11895,11650,11810,35098,19563,11780
2023-12-11,11805,11840,11665,11760,16081,19190,11755
2023-12-12,11790,11800,11565,11730,17905,18466,11700
2023-12-13,11710,11735,11465,11560,21708,18449,11565
2023-12-14,11600,11655,11490,11635,13445,18038,11570
2023-12-15,11600,11715,11575,11610,12594,16844,11635
2023-12-18,11635,11845,11525,11720,21049,16338,11705
2023-12-19,11725,11775,11670,11715,9700,15644,11720
2023-12-20,11710,11855,11540,11785,19583,14813,11715
2023-12-21,11800,12125,11790,11905,39516,15280,11985
2023-12-22,11930,12085,11920,11980,20618,14832,11990
2023-12-25,12075,12850,12025,12565,77240,16323,12500
2023-12-26,12575,12935,12430,12525,92838,16429,12715
2023-12-27,12570,12680,12355,12655,34877,15400,12515
2023-12-28,12655,12770,12525,12625,27758,14632,12645
2023-12-29,12630,12785,12550,12590,29440,13214,12680
2024-01-02,12800,12880,12615,12720,22526,12092,12735
2024-01-03,12805,12845,12510,12545,24394,23564,12700
2024-01-04,12590,12595,12320,12355,21780,21904,12435
2024-01-05,12385,12660,12260,12400,32329,21968,12470
2024-01-08,12400,12425,12015,12120,27376,21805,12195
2024-01-09,12125,12240,11950,12025,20886,20934,12100
2024-01-10,12040,12120,11925,12080,15904,20266,12020
2024-01-11,12155,12255,12050,12215,17860,20311,12160
2024-01-12,12270,12405,12240,12355,24476,19260,12320
2024-01-15,12390,12440,12300,12320,18988,18370,12370
2024-01-16,12300,12415,12200,12360,18003,17697,12310
2024-01-17,12370,12395,12140,12140,14873,16891,12280
2024-01-18,12140,12270,12015,12170,17504,17168,12135
2024-01-19,12140,12220,12030,12175,13278,16631,12125
2024-01-22,12170,12195,11885,11960,19757,16832,12045
2024-01-23,11955,12025,11855,11985,16563,16412,11935
2024-01-24,11995,12160,11995,12155,16142,15220,12090
2024-01-25,12160,12250,12100,12210,14325,14576,12175
2024-01-26,12215,12275,12135,12180,12264,15006,12195
2024-01-29,12190,12620,12190,12460,47514,17315,12410
2024-01-30,12455,12525,12360,12420,16347,15316,12420
2024-01-31,12500,12640,12390,12600,32053,15770,12525
2024-02-01,12640,12650,12520,12585,13536,15045,12575
2024-02-02,12590,12610,12280,12390,22514,14198,12415
2024-02-05,12380,12585,12320,12485,14952,13843,12500
2024-02-06,12500,12545,12350,12360,11542,13288,12465
2024-02-07,12370,12790,12350,12790,25154,14030,12590
2024-02-08,12800,12845,12545,12635,17064,12060,12655
2024-02-19,12880,13000,12725,12835,13221,12842,12870
2024-02-20,12825,12960,12795,12885,9294,12795,12870
2024-02-21,12880,13035,12805,12910,17225,12564,12905
2024-02-22,12895,13120,12880,13075,15859,11803,12990
2024-02-23,13100,13185,12985,13140,16273,9051,13080
2024-02-26,13190,13370,13150,13225,29776,21256,13275
2024-02-27,13285,13690,13215,13505,46289,24971,13490
2024-02-28,13510,13635,13375,13430,32365,23937,13495
2024-02-29,13485,13485,13150,13295,32601,21274,13275
2024-03-01,13295,13365,13120,13205,20670,20526,13250
2024-03-04,13200,13320,13085,13140,21088,19363,13200
2024-03-05,13130,13180,12970,12980,17809,18053,13060
2024-03-06,13060,13255,13000,13200,16223,18311,13120
2024-03-07,13210,13275,13035,13120,13548,17435,13185
2024-03-08,13125,13470,13050,13405,21184,18013,13250
2024-03-11,13415,13470,13150,13240,20444,16567,13295
2024-03-12,13185,13295,13070,13090,14252,14864,13165
2024-03-13,13140,13325,13090,13170,13718,14067,13220
2024-03-14,13210,13470,13075,13300,29229,12356,13245
2024-03-15,13300,13540,13255,13535,26365,11226,13390
2024-03-18,13535,14545,13390,14120,107909,13596,14050
2024-03-19,14120,14180,13735,13900,36333,10284,13960
2024-03-20,13930,14110,13830,13935,33055,22966,13965
2024-03-21,13900,13900,13560,13595,39837,22213,13720
2024-03-22,13580,13690,13360,13520,33048,20992,13535
2024-03-25,13580,13680,13420,13500,23878,21018,13540
2024-03-26,13520,13610,13385,13425,18145,20142,13510
2024-03-27,13430,13525,13190,13300,22154,20238,13320
2024-03-28,13290,13330,13175,13290,12785,19405,13270
2024-03-29,13280,13390,13185,13340,15062,18069,13295
2024-04-01,13350,13590,13340,13575,22878,17385,13455
2024-04-02,13540,13580,13365,13420,14373,16439,13455
2024-04-03,13430,13620,13265,13270,20497,15534,13430
2024-04-08,13280,13615,13070,13570,17488,14395,13440
2024-04-09,13530,13795,13530,13765,19146,14546,13680
2024-04-10,13740,13770,13565,13640,13210,13032,13680
2024-04-11,13605,13630,13395,13490,13265,12602,13495
2024-04-12,13475,13490,13125,13235,21551,12675,13260
2024-04-15,13200,13320,13090,13215,14074,12125,13210
2024-04-16,13250,13285,13030,13065,18145,12111,13135
