日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2018-12-10 15:00,5600.00,5781.00,5550.00,5674.00,34763.00,337338,5687.00
2018-12-11 15:00,5618.00,5680.00,5497.00,5541.00,41561.00,240977,5569.00
2018-12-12 15:00,5580.00,5598.00,5513.00,5544.00,44256.00,150993,5551.00
2018-12-13 15:00,5519.00,5646.00,5475.00,5591.00,44994.00,178462,5560.00
2018-12-14 15:00,5647.00,5666.00,5583.00,5606.00,46865.00,93932,5620.00
2018-12-17 15:00,5592.00,5637.00,5566.00,5618.00,49596.00,61887,5615.00
2018-12-18 15:00,5588.00,5628.00,5570.00,5627.00,47831.00,61376,5602.00
2018-12-19 15:00,5579.00,5635.00,5551.00,5620.00,44420.00,73894,5590.00
2018-12-20 15:00,5628.00,5635.00,5564.00,5576.00,45048.00,49598,5599.00
2018-12-21 15:00,5561.00,5576.00,5320.00,5418.00,55850.00,275542,5410.00
2018-12-24 15:00,5380.00,5385.00,5306.00,5332.00,61480.00,126470,5344.00
2018-12-25 15:00,5200.00,5231.00,5128.00,5174.00,60073.00,158313,5174.00
2018-12-26 15:00,5200.00,5229.00,5128.00,5152.00,60505.00,136210,5169.00
2018-12-27 15:00,5301.00,5377.00,5135.00,5135.00,71043.00,157777,5215.00
2018-12-28 15:00,5141.00,5166.00,5088.00,5134.00,62970.00,165545,5122.00
2019-01-02 15:00,5105.00,5134.00,5046.00,5051.00,72217.00,122708,5084.00
2019-01-03 15:00,5093.00,5152.00,5068.00,5127.00,73291.00,133101,5111.00
2019-01-04 15:00,5150.00,5181.00,5094.00,5152.00,72764.00,141912,5137.00
2019-01-07 15:00,5167.00,5200.00,5125.00,5133.00,83520.00,109827,5155.00
2019-01-08 15:00,5140.00,5168.00,5066.00,5080.00,94088.00,164400,5100.00
2019-01-09 15:00,5136.00,5187.00,5111.00,5122.00,96407.00,176816,5153.00
2019-01-10 15:00,5162.00,5168.00,5087.00,5092.00,106957.00,146054,5137.00
2019-01-11 15:00,5080.00,5135.00,5067.00,5117.00,112648.00,153952,5100.00
2019-01-14 15:00,5125.00,5177.00,5096.00,5143.00,113378.00,164698,5135.00
2019-01-15 15:00,5141.00,5236.00,5129.00,5221.00,119263.00,245201,5188.00
2019-01-16 15:00,5225.00,5243.00,5193.00,5226.00,120230.00,138063,5216.00
2019-01-17 15:00,5210.00,5225.00,5155.00,5159.00,126512.00,125749,5182.00
2019-01-18 15:00,5139.00,5176.00,5117.00,5156.00,146094.00,211768,5151.00
2019-01-21 15:00,5219.00,5323.00,5188.00,5273.00,154876.00,356396,5262.00
2019-01-22 15:00,5273.00,5457.00,5260.00,5277.00,151034.00,374422,5340.00
