日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2023-07-26 15:15,101.29,101.35,101.29,101.34,55821.00,37077,101.33
2023-07-27 15:15,101.35,101.40,101.34,101.38,55875.00,24791,101.39
2023-07-28 15:15,101.38,101.38,101.32,101.35,53804.00,34583,101.34
2023-07-31 15:15,101.32,101.34,101.30,101.33,52037.00,25338,101.33
2023-08-01 15:15,101.34,101.40,101.34,101.36,53631.00,38860,101.37
2023-08-02 15:15,101.36,101.39,101.36,101.38,52823.00,25313,101.38
2023-08-03 15:15,101.38,101.42,101.38,101.40,52257.00,31370,101.40
2023-08-04 15:15,101.40,101.44,101.38,101.39,50636.00,41959,101.39
2023-08-07 15:15,101.40,101.41,101.37,101.39,49080.00,16714,101.39
2023-08-08 15:15,101.39,101.40,101.36,101.38,46108.00,32617,101.38
2023-08-09 15:15,101.38,101.39,101.37,101.38,45088.00,11343,101.38
2023-08-10 15:15,101.37,101.39,101.36,101.36,44202.00,18633,101.36
2023-08-11 15:15,101.37,101.39,101.36,101.38,44084.00,16985,101.38
2023-08-14 15:15,101.40,101.43,101.40,101.41,41649.00,21670,101.42
2023-08-15 15:15,101.45,101.57,101.45,101.46,39162.00,32878,101.46
2023-08-16 15:15,101.47,101.50,101.46,101.47,36434.00,23519,101.47
2023-08-17 15:15,101.49,101.49,101.44,101.45,35180.00,30478,101.44
2023-08-18 15:15,101.46,101.47,101.44,101.46,33723.00,22454,101.46
2023-08-21 15:15,101.47,101.49,101.46,101.47,31489.00,43903,101.47
2023-08-22 15:15,101.47,101.50,101.44,101.45,29159.00,24804,101.46
2023-08-23 15:15,101.44,101.47,101.43,101.46,27887.00,14277,101.43
2023-08-24 15:15,101.40,101.42,101.39,101.40,44635.00,16802,101.40
2023-08-25 15:15,101.39,101.42,101.33,101.33,45742.00,21039,101.34
2023-08-28 15:15,101.26,101.32,101.22,101.32,47559.00,25390,101.31
2023-08-29 15:15,101.32,101.32,101.23,101.25,49729.00,26854,101.25
2023-08-30 15:15,101.25,101.36,101.24,101.33,50410.00,33331,101.35
2023-08-31 15:15,101.35,101.38,101.32,101.37,50534.00,31931,101.35
2023-09-01 15:15,101.36,101.36,101.28,101.28,50905.00,21026,101.31
2023-09-04 15:15,101.22,101.28,101.21,101.26,52348.00,33013,101.25
2023-09-05 15:15,101.27,101.30,101.25,101.25,54378.00,30566,101.26
2023-09-06 15:15,101.25,101.26,101.16,101.16,59755.00,42366,101.17
