date,open,high,low,close,volume,open_interest
2024-11-18,759.5,780.0,750.0,764.0,89550.0,10593.0
2024-11-19,765.0,778.0,761.5,772.0,66189.0,11420.0
2024-11-20,770.0,775.0,764.5,770.0,25015.0,10048.0
2024-11-21,772.5,814.5,768.0,814.5,201745.0,34955.0
2024-11-22,816.5,827.0,802.0,809.5,282985.0,27376.0
2024-11-25,809.0,815.5,790.5,797.5,192107.0,26222.0
2024-11-26,793.5,806.0,793.0,797.0,91770.0,27029.0
2024-11-27,798.0,801.0,792.0,796.5,58989.0,24904.0
2024-11-28,796.5,815.0,794.0,797.5,124809.0,23903.0
2024-11-29,796.5,805.0,796.0,801.5,38599.0,20915.0
2024-12-02,801.5,806.5,797.0,801.0,23717.0,20372.0
2024-12-03,800.0,802.0,796.0,800.5,19275.0,17436.0
2024-12-04,799.0,810.0,798.5,800.0,29412.0,17101.0
2024-12-05,800.5,803.0,783.5,795.0,18780.0,15065.0
2024-12-06,794.5,796.0,789.0,793.0,13243.0,13715.0
2024-12-09,794.5,800.0,794.0,795.5,10050.0,13541.0
2024-12-10,806.0,812.0,799.0,804.0,19829.0,13150.0
2024-12-11,803.0,806.0,801.0,803.5,7793.0,11193.0
2024-12-12,804.0,807.0,802.0,804.5,6282.0,11209.0
2024-12-13,800.5,802.5,798.0,801.0,7307.0,10903.0
2024-12-16,802.5,806.0,801.0,803.0,6200.0,10705.0
2024-12-17,803.0,819.5,802.0,807.5,20534.0,12745.0
2024-12-18,808.5,814.0,806.5,808.5,12072.0,12298.0
2024-12-19,809.0,813.0,808.0,810.5,9166.0,13191.0
2024-12-20,812.0,829.5,810.5,829.0,23325.0,18469.0
2024-12-23,825.5,839.0,819.0,823.0,68630.0,20154.0
2024-12-24,823.5,831.0,822.0,829.0,18255.0,21716.0
2024-12-25,829.5,834.5,822.0,823.5,18936.0,19732.0
2024-12-26,822.0,826.5,814.0,816.0,22407.0,18291.0
2024-12-27,816.0,828.0,815.5,824.5,17417.0,16613.0
2024-12-30,824.0,827.5,819.0,823.5,8709.0,15869.0
2024-12-31,823.0,831.5,820.0,827.5,15589.0,16802.0
2025-01-02,828.5,837.5,825.0,829.0,25704.0,18483.0
2025-01-03,829.0,832.0,823.0,829.0,14157.0,17173.0
2025-01-06,829.0,846.0,828.0,840.5,42290.0,24438.0
2025-01-07,839.0,849.0,836.0,848.0,35604.0,27689.0
2025-01-08,847.5,858.5,844.0,849.5,42102.0,28772.0
2025-01-09,848.5,852.5,843.0,847.0,23967.0,27475.0
2025-01-10,846.5,863.5,845.5,862.0,35287.0,31970.0
