日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2018-08-29 15:00,513.50,514.10,508.10,508.50,15269.00,125139,511.30
2018-08-30 15:00,513.00,523.60,510.70,522.80,16398.00,159037,515.70
2018-08-31 15:00,523.50,525.30,519.10,524.00,16810.00,112067,522.80
2018-09-03 15:00,522.90,524.40,518.00,521.20,16185.00,121064,521.50
2018-09-04 15:00,522.00,527.00,520.20,523.90,15850.00,116757,523.40
2018-09-05 15:00,530.30,532.50,520.40,521.30,16865.00,174152,525.70
2018-09-06 15:00,520.50,524.30,518.70,520.00,17564.00,140204,520.90
2018-09-07 15:00,521.80,522.60,512.00,516.80,16915.00,165999,517.20
2018-09-10 15:00,516.70,525.40,510.90,524.50,17505.00,152477,516.30
2018-09-11 15:00,523.20,525.00,518.30,524.30,17358.00,146271,522.20
2018-09-12 15:00,522.80,540.30,522.20,535.90,18956.00,176777,531.00
2018-09-13 15:00,537.10,540.50,530.20,533.30,19309.00,166350,535.70
2018-09-14 15:00,531.50,533.40,523.50,525.80,18984.00,146749,528.70
2018-09-17 15:00,525.30,530.50,521.20,527.80,20054.00,167906,525.70
2018-09-18 15:00,529.50,530.60,522.40,523.30,21744.00,136055,526.20
2018-09-19 15:00,530.00,532.90,525.90,528.70,21077.00,153652,528.90
2018-09-20 15:00,527.40,537.60,525.70,535.90,24359.00,170054,531.30
2018-09-21 15:00,533.00,534.80,529.20,532.10,21871.00,133769,531.80
2018-09-25 15:00,542.70,552.30,541.60,549.10,23368.00,57189,548.90
2018-09-26 15:00,550.80,555.50,550.60,554.20,24693.00,136443,553.20
2018-09-27 15:00,551.00,560.00,550.10,557.70,23433.00,151250,553.90
2018-09-28 15:00,556.80,564.60,551.30,563.60,22026.00,123481,556.00
2018-10-08 15:00,572.60,575.00,565.60,572.50,21572.00,45589,569.80
2018-10-09 15:00,569.20,598.00,569.20,592.90,21700.00,183071,581.50
2018-10-10 15:00,594.10,598.50,585.10,597.30,21304.00,174869,592.40
2018-10-11 15:00,595.30,597.30,567.30,574.20,19964.00,210702,583.50
2018-10-12 15:00,574.60,576.60,560.40,573.30,19258.00,194114,570.40
2018-10-15 15:00,571.70,575.30,561.30,573.10,18464.00,167987,569.40
2018-10-16 15:00,572.50,573.60,555.30,560.00,17767.00,185198,565.30
2018-10-17 15:00,557.10,566.20,553.00,566.00,17149.00,170555,557.10
2018-10-18 15:00,560.90,561.80,547.30,554.70,16724.00,204115,553.90
2018-10-19 15:00,545.60,559.70,545.60,551.80,16559.00,168773,553.20
2018-10-22 15:00,555.70,561.90,552.40,559.30,18946.00,170947,557.00
2018-10-23 15:00,555.60,557.70,551.00,554.10,19079.00,169779,554.50
2018-10-24 15:00,546.40,547.60,531.10,536.20,19934.00,199480,539.40
2018-10-25 15:00,539.80,543.70,531.10,536.30,20361.00,202978,538.60
2018-10-26 15:00,541.60,542.70,535.50,538.30,19985.00,156043,539.50
2018-10-29 15:00,538.00,545.20,535.00,536.10,19521.00,165357,539.50
2018-10-30 15:00,536.50,543.00,535.60,541.40,19405.00,130339,538.90
2018-10-31 15:00,535.00,536.60,524.70,535.10,16945.00,171646,531.30
