日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2013-10-18 15:00,11325.00,11405.00,11285.00,11395.00,202058.00,247789,11355.00
2013-10-21 15:00,11390.00,11490.00,11275.00,11340.00,178453.00,302550,11325.00
2013-10-22 15:00,11330.00,11330.00,11195.00,11230.00,174258.00,307261,11245.00
2013-10-23 15:00,11240.00,11280.00,11190.00,11250.00,161662.00,210097,11235.00
2013-10-24 15:00,11230.00,11320.00,11155.00,11310.00,170113.00,237759,11235.00
2013-10-25 15:00,11320.00,11325.00,11165.00,11180.00,142509.00,274373,11215.00
2013-10-28 15:00,11240.00,11295.00,11180.00,11290.00,151603.00,201092,11245.00
2013-10-29 15:00,11310.00,11470.00,11280.00,11470.00,179086.00,310076,11385.00
2013-10-30 15:00,11460.00,11515.00,11415.00,11500.00,178521.00,276119,11460.00
2013-10-31 15:00,11470.00,11530.00,11360.00,11385.00,167456.00,360226,11440.00
2013-11-01 15:00,11380.00,11490.00,11355.00,11480.00,161711.00,206512,11420.00
2013-11-04 15:00,11450.00,11450.00,11330.00,11395.00,160821.00,286354,11385.00
2013-11-05 15:00,11400.00,11430.00,11355.00,11410.00,165370.00,185483,11395.00
2013-11-06 15:00,11380.00,11395.00,11280.00,11290.00,147860.00,229922,11315.00
2013-11-07 15:00,11300.00,11330.00,11240.00,11280.00,124741.00,213654,11285.00
2013-11-08 15:00,11260.00,11305.00,11220.00,11230.00,115032.00,175543,11265.00
2013-11-11 15:00,11240.00,11290.00,11215.00,11280.00,120024.00,142811,11250.00
2013-11-12 15:00,11290.00,11415.00,11255.00,11390.00,117435.00,127648,11320.00
2013-11-13 15:00,11340.00,11430.00,11340.00,11425.00,117443.00,98954,11390.00
2013-11-14 15:00,10950.00,10990.00,10885.00,10900.00,136673.00,228805,10930.00
2013-11-15 15:00,10915.00,10955.00,10865.00,10875.00,131715.00,171405,10905.00
2013-11-18 15:00,10875.00,10950.00,10870.00,10900.00,134627.00,173481,10910.00
2013-11-19 15:00,10875.00,10900.00,10785.00,10820.00,129631.00,207205,10830.00
2013-11-20 15:00,10830.00,10905.00,10795.00,10890.00,120877.00,222759,10850.00
2013-11-21 15:00,10875.00,10925.00,10865.00,10900.00,115377.00,168527,10890.00
2013-11-22 15:00,10945.00,11010.00,10885.00,10890.00,127856.00,306674,10945.00
2013-11-25 15:00,10890.00,10985.00,10875.00,10975.00,144870.00,195480,10925.00
2013-11-26 15:00,11000.00,11130.00,10975.00,11100.00,174867.00,436025,11065.00
2013-11-27 15:00,11080.00,11160.00,11065.00,11155.00,190899.00,247876,11105.00
2013-11-28 15:00,11130.00,11175.00,11115.00,11155.00,189587.00,232167,11145.00
2013-11-29 15:00,11165.00,11185.00,11105.00,11175.00,191086.00,180114,11145.00
2013-12-02 15:00,11190.00,11245.00,11155.00,11240.00,203561.00,225513,11195.00
2013-12-03 15:00,11250.00,11260.00,11170.00,11225.00,194844.00,215472,11205.00
2013-12-04 15:00,11260.00,11315.00,11225.00,11300.00,208028.00,239228,11270.00
2013-12-05 15:00,11305.00,11310.00,11265.00,11275.00,197900.00,113578,11285.00
2013-12-06 15:00,11280.00,11295.00,11210.00,11295.00,192494.00,160756,11245.00
2013-12-09 15:00,11295.00,11365.00,11285.00,11360.00,208507.00,172136,11335.00
2013-12-10 15:00,11355.00,11355.00,11250.00,11280.00,192254.00,150575,11290.00
2013-12-11 15:00,11300.00,11300.00,11175.00,11190.00,183248.00,133990,11225.00
2013-12-12 15:00,11180.00,11225.00,11145.00,11190.00,178843.00,123612,11185.00
2013-12-13 15:00,11170.00,11225.00,11130.00,11205.00,179360.00,187242,11180.00
2013-12-16 15:00,11210.00,11215.00,11105.00,11135.00,174414.00,177863,11150.00
2013-12-17 15:00,11150.00,11235.00,11130.00,11175.00,172504.00,215201,11190.00
2013-12-18 15:00,11185.00,11190.00,11050.00,11070.00,162381.00,203032,11100.00
2013-12-19 15:00,11065.00,11095.00,11005.00,11005.00,157110.00,158558,11050.00
2013-12-20 15:00,11030.00,11085.00,10985.00,11070.00,152641.00,154223,11040.00
2013-12-23 15:00,11090.00,11105.00,11005.00,11010.00,146399.00,152866,11045.00
2013-12-24 15:00,11010.00,11015.00,10895.00,10960.00,164412.00,206751,10940.00
2013-12-25 15:00,10980.00,11105.00,10970.00,11100.00,149790.00,210460,11040.00
2013-12-26 15:00,11100.00,11185.00,11090.00,11180.00,154613.00,177320,11140.00
2013-12-27 15:00,11180.00,11200.00,11120.00,11200.00,140996.00,148497,11160.00
2013-12-30 15:00,11205.00,11235.00,11150.00,11205.00,139104.00,142803,11195.00
2013-12-31 15:00,11190.00,11210.00,11100.00,11100.00,138392.00,151854,11150.00
2014-01-02 15:00,11080.00,11095.00,11015.00,11095.00,148482.00,156358,11055.00
2014-01-03 15:00,11020.00,11085.00,10980.00,11070.00,166836.00,254626,11040.00
2014-01-06 15:00,11050.00,11085.00,11000.00,11050.00,179397.00,231708,11045.00
2014-01-07 15:00,11060.00,11060.00,10915.00,10945.00,201801.00,285532,10955.00
2014-01-08 15:00,10960.00,10990.00,10880.00,10960.00,199678.00,217677,10940.00
2014-01-09 15:00,10930.00,11375.00,10905.00,11130.00,168672.00,415814,11105.00
2014-01-10 15:00,11100.00,11125.00,10945.00,10965.00,166436.00,265797,11020.00
2014-01-13 15:00,10975.00,10995.00,10855.00,10860.00,188506.00,243828,10925.00
2014-01-14 15:00,10845.00,10990.00,10835.00,10990.00,187467.00,268858,10905.00
2014-01-15 15:00,10990.00,11045.00,10945.00,11030.00,184212.00,186180,10985.00
2014-01-16 15:00,11060.00,11095.00,11020.00,11050.00,176068.00,159087,11055.00
2014-01-17 15:00,11040.00,11080.00,10950.00,11060.00,178400.00,174318,11005.00
2014-01-20 15:00,11055.00,11150.00,11045.00,11110.00,184739.00,160228,11095.00
2014-01-21 15:00,11100.00,11115.00,10935.00,10950.00,173788.00,201563,11000.00
2014-01-22 15:00,10955.00,10980.00,10880.00,10940.00,174404.00,196165,10925.00
2014-01-23 15:00,10955.00,10995.00,10925.00,10995.00,180712.00,131608,10960.00
2014-01-24 15:00,10980.00,11025.00,10950.00,10955.00,171469.00,130265,10985.00
2014-01-27 15:00,10935.00,10975.00,10900.00,10975.00,165760.00,99652,10935.00
2014-01-28 15:00,10955.00,11010.00,10945.00,10990.00,161031.00,120633,10985.00
2014-01-29 15:00,10990.00,11045.00,10970.00,11045.00,140785.00,81888,11005.00
2014-01-30 15:00,11035.00,11070.00,10935.00,10955.00,131039.00,79968,10985.00
2014-02-07 15:00,10965.00,11005.00,10920.00,10935.00,138155.00,80585,10960.00
2014-02-10 15:00,10955.00,10965.00,10790.00,10835.00,172720.00,262388,10850.00
2014-02-11 15:00,10835.00,10860.00,10730.00,10745.00,190160.00,184033,10785.00
2014-02-12 15:00,10765.00,10805.00,10730.00,10765.00,196979.00,143383,10765.00
2014-02-13 15:00,10735.00,10775.00,10690.00,10705.00,207716.00,152913,10715.00
2014-02-14 15:00,10700.00,10700.00,10630.00,10635.00,204523.00,133860,10660.00
2014-02-17 15:00,10605.00,10775.00,10590.00,10655.00,199728.00,199419,10670.00
2014-02-18 15:00,10650.00,10665.00,10495.00,10510.00,221809.00,195314,10555.00
2014-02-19 15:00,10570.00,10615.00,10505.00,10600.00,220488.00,175490,10560.00
2014-02-20 15:00,10625.00,10710.00,10615.00,10710.00,212282.00,223842,10665.00
2014-02-21 15:00,10725.00,10785.00,10680.00,10745.00,212104.00,200639,10735.00
2014-02-24 15:00,10745.00,10780.00,10635.00,10775.00,205943.00,234630,10700.00
2014-02-25 15:00,10795.00,10880.00,10765.00,10825.00,192759.00,181500,10810.00
2014-02-26 15:00,10800.00,10845.00,10745.00,10785.00,190030.00,155379,10775.00
2014-02-27 15:00,10785.00,10825.00,10720.00,10825.00,186161.00,138358,10775.00
2014-02-28 15:00,10835.00,10840.00,10745.00,10765.00,173177.00,126850,10780.00
2014-03-03 15:00,10820.00,10835.00,10665.00,10670.00,157505.00,161299,10735.00
2014-03-04 15:00,10680.00,10715.00,10635.00,10705.00,153288.00,103795,10680.00
2014-03-05 15:00,10710.00,10745.00,10610.00,10620.00,155338.00,156855,10660.00
2014-03-06 15:00,10600.00,10600.00,10500.00,10525.00,130867.00,136082,10540.00
2014-03-07 15:00,10530.00,10555.00,10450.00,10535.00,119290.00,104453,10510.00
2014-03-10 15:00,10155.00,10240.00,9995.00,10145.00,193744.00,323968,10095.00
2014-03-11 15:00,10130.00,10345.00,10075.00,10235.00,180698.00,271469,10205.00
2014-03-12 15:00,10130.00,10285.00,10100.00,10270.00,198022.00,259040,10170.00
