date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2023-09-15,10000,10050,9410,9468,235242,30735,9620
2023-09-18,9450,9468,9290,9346,123567,35656,9374
2023-09-19,9370,9436,9290,9326,98362,38861,9364
2023-09-20,9358,9564,9254,9310,217136,47627,9414
2023-09-21,9344,9346,9132,9134,100829,45964,9238
2023-09-22,9172,9280,9162,9218,85025,42487,9224
2023-09-25,9254,9300,9066,9130,85762,42236,9168
2023-09-26,9120,9130,8890,8930,81098,46773,9022
2023-09-27,8950,9040,8912,8980,48233,41127,8976
2023-09-28,9018,9166,8968,9006,60168,33209,9074
2023-10-09,8746,8826,8586,8620,53455,43936,8680
2023-10-10,8640,8650,8488,8500,52618,47778,8570
2023-10-11,8506,8526,8404,8458,74368,53859,8458
2023-10-12,8438,8462,8292,8390,83094,60530,8368
2023-10-13,8436,8486,8316,8404,91310,62214,8400
2023-10-16,8502,8518,8402,8444,90508,63872,8466
2023-10-17,8460,8506,8280,8362,81194,66189,8398
2023-10-18,8332,8498,8332,8420,86598,66680,8436
2023-10-19,8402,8466,8318,8400,78807,66750,8396
2023-10-20,8388,8530,8350,8410,90202,63958,8448
2023-10-23,8406,8432,8234,8318,81920,65595,8324
2023-10-24,8336,8544,8298,8530,89732,65482,8400
2023-10-25,8500,8590,8406,8460,164517,67143,8482
2023-10-26,8480,8564,8464,8510,71013,65909,8502
2023-10-27,8474,8596,8430,8554,91193,63537,8498
2023-10-30,8552,8668,8520,8630,72051,65204,8596
2023-10-31,8614,8688,8506,8638,84397,64595,8610
2023-11-01,8624,8668,8566,8596,56331,62918,8618
2023-11-02,8650,8650,8500,8564,47360,61475,8568
2023-11-03,8574,8696,8550,8652,52730,60070,8626
2023-11-06,8666,8700,8502,8558,97422,67820,8574
2023-11-07,8570,8616,8466,8496,69903,66215,8556
2023-11-08,8478,8492,8352,8462,71098,69082,8434
2023-11-09,8428,8562,8380,8432,80455,72143,8480
2023-11-10,8450,8528,8426,8470,59710,74406,8476
2023-11-13,8498,8538,8378,8452,65886,72019,8448
2023-11-14,8466,8606,8426,8566,63398,73646,8528
2023-11-15,8540,8628,8528,8624,55339,74552,8576
2023-11-16,8608,8780,8544,8778,63738,79042,8634
2023-11-17,8776,8840,8630,8672,113917,84519,8736
2023-11-20,8694,8772,8648,8708,67124,89060,8712
2023-11-21,8722,8762,8430,8452,81928,81361,8594
2023-11-22,8466,8510,8388,8416,54777,77388,8456
2023-11-23,8400,8448,8324,8410,45119,76719,8384
2023-11-24,8410,8448,8368,8408,36107,76379,8408
2023-11-27,8404,8430,8272,8298,70021,77447,8328
2023-11-28,8296,8328,8252,8258,37103,77765,8290
2023-11-29,8280,8330,8206,8254,60764,79137,8268
2023-11-30,8272,8476,8262,8442,91686,69619,8356
2023-12-01,8446,8484,8262,8318,63217,66977,8378
2023-12-04,8320,8402,8252,8278,50667,67580,8328
2023-12-05,8280,8310,8190,8274,48732,68428,8254
2023-12-06,8270,8342,8110,8310,84547,70213,8224
2023-12-07,8290,8310,8170,8270,50637,69488,8254
2023-12-08,8246,8394,8244,8338,57559,71805,8338
2023-12-11,8340,8386,8282,8336,57392,73709,8346
2023-12-12,8326,8426,8268,8356,72177,78311,8354
2023-12-13,8346,8358,8132,8136,97062,94084,8226
2023-12-14,8160,8214,8092,8098,82410,103334,8154
2023-12-15,8160,8300,8132,8244,89144,85609,8220
2023-12-18,8260,8330,8200,8308,47826,82096,8262
2023-12-19,8300,8378,8300,8318,41594,79041,8342
2023-12-20,8322,8512,8320,8492,63446,82436,8424
2023-12-21,8512,8614,8450,8598,78399,80557,8524
2023-12-22,8580,8674,8530,8604,80112,80780,8598
2023-12-25,8614,8626,8498,8570,57315,81522,8560
2023-12-26,8568,8620,8530,8544,43853,82282,8570
2023-12-27,8558,8662,8546,8648,59599,86972,8620
2023-12-28,8648,8724,8588,8674,63938,90250,8654
2023-12-29,8650,8666,8532,8590,53743,89466,8590
2024-01-02,8602,8742,8592,8614,48313,89678,8660
2024-01-03,8602,8670,8478,8522,60611,90417,8552
2024-01-04,8540,8638,8500,8528,61505,93080,8560
2024-01-05,8526,8600,8452,8558,71390,93058,8522
2024-01-08,8548,8646,8362,8370,105868,87007,8496
2024-01-09,8352,8362,8266,8274,62475,88006,8316
2024-01-10,8322,8372,8300,8318,56514,81247,8332
2024-01-11,8328,8360,8250,8314,55927,81898,8306
2024-01-12,8336,8428,8308,8364,59450,83351,8370
2024-01-15,8366,8432,8320,8360,52342,81419,8378
2024-01-16,8338,8478,8316,8440,59446,82780,8418
2024-01-17,8450,8480,8396,8428,52230,77738,8440
2024-01-18,8406,8518,8374,8474,66650,79803,8462
2024-01-19,8468,8576,8460,8566,50111,83054,8518
2024-01-22,8530,8614,8510,8592,57163,81167,8570
2024-01-23,8596,8670,8540,8662,44181,84592,8606
2024-01-24,8646,8754,8634,8730,59445,92616,8684
2024-01-25,8720,8750,8600,8610,89796,90362,8664
2024-01-26,8620,8748,8620,8670,71550,90241,8672
2024-01-29,8670,8718,8610,8660,45824,87156,8662
2024-01-30,8660,8670,8592,8654,38583,85493,8632
2024-01-31,8636,8670,8550,8598,50904,85960,8594
2024-02-01,8598,8602,8450,8462,58129,87450,8518
2024-02-02,8462,8480,8366,8412,49383,86048,8424
2024-02-05,8410,8438,8360,8404,35129,84084,8394
2024-02-06,8392,8478,8372,8454,30981,82010,8424
2024-02-07,8466,8508,8436,8476,31497,81923,8472
2024-02-08,8488,8550,8456,8480,35348,79641,8500
2024-02-19,8546,8628,8530,8550,36955,83047,8586
2024-02-20,8570,8594,8460,8506,44176,85290,8544
2024-02-21,8486,8582,8460,8522,49907,85751,8518
2024-02-22,8520,8620,8500,8592,46061,89911,8572
2024-02-23,8578,8648,8532,8550,56402,91163,8596
2024-02-26,8540,8590,8478,8488,54079,90847,8532
2024-02-27,8488,8608,8466,8598,48334,92953,8538
2024-02-28,8594,8660,8572,8596,51613,92809,8616
2024-02-29,8600,8638,8554,8606,45740,96764,8598
2024-03-01,8612,8620,8520,8562,42730,96633,8562
2024-03-04,8588,8650,8492,8520,80857,97035,8572
2024-03-05,8520,8522,8350,8360,100914,110687,8420
2024-03-06,8372,8448,8362,8416,79788,93218,8402
2024-03-07,8416,8430,8360,8378,38111,97689,8396
2024-03-08,8344,8368,8306,8334,79231,109221,8332
2024-03-11,8308,8362,8266,8316,56632,110481,8308
2024-03-12,8320,8380,8302,8322,49543,110961,8336
2024-03-13,8318,8350,8292,8324,41579,108903,8322
2024-03-14,8372,8464,8320,8458,80252,97561,8394
2024-03-15,8480,8558,8460,8520,83699,86857,8516
2024-03-18,8510,8536,8436,8522,51885,81513,8494
2024-03-19,8520,8580,8508,8562,47707,78883,8548
2024-03-20,8582,8582,8460,8462,40853,78415,8512
2024-03-21,8418,8418,8302,8330,73650,74141,8348
2024-03-22,8326,8368,8308,8344,34904,74512,8336
2024-03-25,8372,8424,8348,8358,51697,72547,8382
2024-03-26,8384,8458,8368,8374,44208,68552,8414
2024-03-27,8418,8476,8404,8430,41874,65123,8444
2024-03-28,8424,8510,8400,8478,35291,63000,8464
2024-03-29,8504,8520,8424,8444,33151,58574,8472
2024-04-01,8460,8550,8428,8528,35019,55527,8500
2024-04-02,8518,8644,8502,8630,41097,57218,8578
2024-04-03,8848,8896,8776,8818,71172,81335,8830
