日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2019-08-09 15:00,1745.00,1788.00,1702.00,1702.00,39409.00,329700,1749.00
2019-08-12 15:00,1690.00,1726.00,1679.00,1716.00,46940.00,273286,1699.00
2019-08-13 15:00,1705.00,1767.00,1702.00,1767.00,65184.00,323053,1743.00
2019-08-14 15:00,1770.00,1783.00,1716.00,1732.00,45871.00,290445,1745.00
2019-08-15 15:00,1738.00,1753.00,1724.00,1738.00,45735.00,179507,1739.00
2019-08-16 15:00,1737.00,1754.00,1732.00,1739.00,42512.00,77779,1743.00
2019-08-19 15:00,1743.00,1750.00,1730.00,1741.00,41096.00,57448,1741.00
2019-08-20 15:00,1741.00,1749.00,1736.00,1741.00,37785.00,28274,1740.00
2019-08-21 15:00,1738.00,1738.00,1706.00,1718.00,36178.00,93364,1717.00
2019-08-22 15:00,1722.00,1730.00,1718.00,1723.00,33404.00,30033,1724.00
2019-08-23 15:00,1725.00,1727.00,1714.00,1720.00,33065.00,19843,1720.00
2019-08-26 15:00,1715.00,1748.00,1712.00,1736.00,31630.00,42046,1735.00
2019-08-27 15:00,1734.00,1758.00,1731.00,1738.00,32270.00,59580,1747.00
2019-08-28 15:00,1744.00,1758.00,1738.00,1750.00,32717.00,31912,1749.00
2019-08-29 15:00,1749.00,1815.00,1749.00,1786.00,44468.00,230619,1792.00
2019-08-30 15:00,1795.00,1804.00,1781.00,1789.00,44023.00,82202,1793.00
2019-09-02 15:00,1793.00,1826.00,1781.00,1796.00,47215.00,74814,1802.00
2019-09-03 15:00,1798.00,1806.00,1785.00,1791.00,46027.00,46397,1794.00
2019-09-04 15:00,1796.00,1843.00,1793.00,1813.00,48988.00,151475,1822.00
2019-09-05 15:00,1814.00,1830.00,1807.00,1812.00,46435.00,63608,1819.00
2019-09-06 15:00,1815.00,1827.00,1810.00,1820.00,46709.00,44717,1818.00
2019-09-09 15:00,1832.00,1840.00,1817.00,1823.00,48312.00,43276,1827.00
2019-09-10 15:00,1826.00,1835.00,1803.00,1811.00,45696.00,56929,1816.00
2019-09-11 15:00,1811.00,1820.00,1808.00,1817.00,43411.00,25368,1814.00
2019-09-12 15:00,1818.00,1822.00,1811.00,1815.00,41762.00,18217,1816.00
2019-09-16 15:00,1819.00,1825.00,1775.00,1790.00,37988.00,46656,1799.00
2019-09-17 15:00,1791.00,1796.00,1778.00,1781.00,35075.00,30147,1785.00
2019-09-18 15:00,1782.00,1786.00,1764.00,1785.00,32800.00,34551,1776.00
2019-09-19 15:00,1784.00,1794.00,1774.00,1778.00,34152.00,30474,1785.00
2019-09-20 15:00,1780.00,1780.00,1752.00,1760.00,35640.00,43493,1762.00
2019-09-23 15:00,1764.00,1769.00,1756.00,1763.00,37239.00,23177,1762.00
2019-09-24 15:00,1764.00,1776.00,1759.00,1772.00,34936.00,25419,1769.00
2019-09-25 15:00,1774.00,1775.00,1754.00,1756.00,37050.00,21751,1761.00
2019-09-26 15:00,1757.00,1765.00,1744.00,1758.00,35309.00,19875,1756.00
2019-09-27 15:00,1751.00,1757.00,1747.00,1749.00,32891.00,11222,1752.00
2019-09-30 15:00,1754.00,1764.00,1749.00,1755.00,31945.00,11882,1758.00
2019-10-08 15:00,1750.00,1764.00,1728.00,1753.00,32700.00,19203,1748.00
2019-10-09 15:00,1754.00,1773.00,1752.00,1769.00,36901.00,27604,1765.00
2019-10-10 15:00,1769.00,1779.00,1756.00,1758.00,37194.00,17769,1767.00
2019-10-11 15:00,1760.00,1763.00,1748.00,1752.00,37534.00,13233,1754.00
2019-10-14 15:00,1750.00,1753.00,1734.00,1739.00,40565.00,15454,1744.00
2019-10-15 15:00,1730.00,1738.00,1730.00,1737.00,41900.00,10433,1734.00
2019-10-16 15:00,1737.00,1742.00,1730.00,1730.00,42348.00,10951,1737.00
2019-10-17 15:00,1728.00,1728.00,1711.00,1715.00,44757.00,21331,1718.00
2019-10-18 15:00,1715.00,1725.00,1711.00,1714.00,45251.00,11679,1717.00
2019-10-21 15:00,1715.00,1715.00,1699.00,1700.00,47348.00,17486,1706.00
2019-10-22 15:00,1701.00,1704.00,1673.00,1683.00,56121.00,49981,1683.00
2019-10-23 15:00,1685.00,1686.00,1675.00,1679.00,56772.00,19156,1680.00
2019-10-24 15:00,1683.00,1692.00,1678.00,1683.00,56684.00,20164,1684.00
2019-10-25 15:00,1681.00,1687.00,1678.00,1680.00,57601.00,16219,1682.00
2019-10-28 15:00,1682.00,1692.00,1679.00,1685.00,55728.00,16175,1685.00
2019-10-29 15:00,1686.00,1695.00,1680.00,1686.00,54550.00,18171,1686.00
2019-10-30 15:00,1685.00,1695.00,1682.00,1690.00,54154.00,15083,1690.00
2019-10-31 15:00,1690.00,1697.00,1686.00,1686.00,54627.00,14399,1691.00
2019-11-01 15:00,1686.00,1690.00,1681.00,1687.00,53817.00,12310,1685.00
2019-11-04 15:00,1687.00,1689.00,1680.00,1682.00,54193.00,9446,1684.00
2019-11-05 15:00,1684.00,1706.00,1682.00,1702.00,56140.00,27994,1695.00
2019-11-06 15:00,1701.00,1706.00,1682.00,1683.00,54228.00,18515,1694.00
2019-11-07 15:00,1686.00,1689.00,1667.00,1668.00,58787.00,34455,1676.00
2019-11-08 15:00,1670.00,1672.00,1638.00,1643.00,62545.00,40350,1649.00
2019-11-11 15:00,1646.00,1648.00,1634.00,1636.00,62882.00,21684,1641.00
2019-11-12 15:00,1640.00,1655.00,1634.00,1646.00,61099.00,18632,1643.00
2019-11-13 15:00,1643.00,1660.00,1642.00,1649.00,59813.00,17431,1651.00
2019-11-14 15:00,1649.00,1655.00,1630.00,1635.00,60543.00,25410,1640.00
2019-11-15 15:00,1636.00,1649.00,1632.00,1647.00,53873.00,26685,1641.00
2019-11-18 15:00,1642.00,1645.00,1600.00,1605.00,58377.00,60698,1617.00
2019-11-19 15:00,1598.00,1611.00,1582.00,1604.00,55203.00,40342,1592.00
2019-11-20 15:00,1605.00,1620.00,1593.00,1601.00,52687.00,30073,1607.00
2019-11-21 15:00,1606.00,1606.00,1594.00,1600.00,53147.00,13582,1600.00
2019-11-22 15:00,1604.00,1635.00,1602.00,1624.00,49664.00,41399,1620.00
2019-11-25 15:00,1635.00,1670.00,1633.00,1660.00,42639.00,49694,1652.00
2019-11-26 15:00,1659.00,1664.00,1646.00,1655.00,40270.00,27931,1656.00
2019-11-27 15:00,1656.00,1675.00,1656.00,1673.00,40338.00,24215,1667.00
2019-11-28 15:00,1675.00,1679.00,1660.00,1672.00,40641.00,21267,1668.00
2019-11-29 15:00,1670.00,1677.00,1662.00,1675.00,36294.00,25196,1670.00
2019-12-02 15:00,1670.00,1673.00,1658.00,1661.00,35969.00,18088,1664.00
2019-12-03 15:00,1663.00,1671.00,1658.00,1661.00,35301.00,12459,1662.00
2019-12-04 15:00,1665.00,1698.00,1664.00,1682.00,31642.00,23674,1677.00
2019-12-05 15:00,1684.00,1724.00,1679.00,1720.00,26415.00,44114,1707.00
2019-12-06 15:00,1717.00,1734.00,1712.00,1726.00,26277.00,22463,1722.00
2019-12-09 15:00,1732.00,1748.00,1726.00,1742.00,26258.00,19369,1739.00
2019-12-10 15:00,1739.00,1753.00,1734.00,1741.00,25187.00,20768,1742.00
2019-12-11 15:00,1732.00,1738.00,1720.00,1732.00,25686.00,17849,1730.00
2019-12-12 15:00,1731.00,1732.00,1714.00,1717.00,18581.00,15117,1725.00
2019-12-13 15:00,1720.00,1727.00,1701.00,1710.00,13384.00,13427,1711.00
2019-12-16 15:00,1735.00,1742.00,1720.00,1729.00,32690.00,19217,1733.00
2019-12-17 15:00,1728.00,1736.00,1722.00,1729.00,34542.00,17274,1731.00
2019-12-18 15:00,1726.00,1727.00,1707.00,1708.00,35847.00,22726,1717.00
2019-12-19 15:00,1710.00,1727.00,1707.00,1727.00,34917.00,20338,1716.00
2019-12-20 15:00,1730.00,1730.00,1715.00,1715.00,35471.00,12740,1723.00
2019-12-23 15:00,1720.00,1724.00,1713.00,1716.00,37062.00,11733,1718.00
2019-12-24 15:00,1711.00,1718.00,1696.00,1700.00,43386.00,26332,1705.00
2019-12-25 15:00,1703.00,1708.00,1700.00,1705.00,44412.00,12613,1705.00
2019-12-26 15:00,1704.00,1715.00,1702.00,1714.00,44664.00,14579,1709.00
2019-12-27 15:00,1711.00,1722.00,1709.00,1711.00,45041.00,19338,1715.00
2019-12-30 15:00,1711.00,1720.00,1701.00,1715.00,50047.00,22682,1712.00
2019-12-31 15:00,1712.00,1729.00,1711.00,1723.00,52734.00,20938,1722.00
2020-01-02 15:00,1722.00,1731.00,1716.00,1716.00,53300.00,21569,1723.00
2020-01-03 15:00,1716.00,1719.00,1705.00,1714.00,52847.00,26539,1712.00
2020-01-06 15:00,1716.00,1735.00,1716.00,1728.00,51200.00,25760,1726.00
2020-01-07 15:00,1727.00,1747.00,1727.00,1742.00,52363.00,29579,1738.00
2020-01-08 15:00,1750.00,1776.00,1730.00,1745.00,43008.00,48711,1750.00
2020-01-09 15:00,1740.00,1742.00,1730.00,1731.00,43029.00,18107,1736.00
2020-01-10 15:00,1733.00,1746.00,1732.00,1738.00,42677.00,20439,1741.00
2020-01-13 15:00,1738.00,1770.00,1737.00,1762.00,44329.00,41275,1758.00
2020-01-14 15:00,1758.00,1773.00,1751.00,1755.00,42499.00,27204,1764.00
2020-01-15 15:00,1758.00,1761.00,1752.00,1758.00,44747.00,19226,1756.00
2020-01-16 15:00,1762.00,1767.00,1753.00,1757.00,44892.00,11668,1758.00
2020-01-17 15:00,1756.00,1760.00,1745.00,1746.00,43641.00,13294,1750.00
2020-01-20 15:00,1748.00,1754.00,1741.00,1749.00,44057.00,9310,1748.00
2020-01-21 15:00,1750.00,1758.00,1717.00,1720.00,40516.00,29795,1736.00
2020-01-22 15:00,1720.00,1720.00,1705.00,1716.00,38953.00,20650,1714.00
2020-01-23 15:00,1713.00,1716.00,1705.00,1710.00,38719.00,12093,1710.00
2020-02-03 15:00,1615.00,1670.00,1610.00,1650.00,42390.00,27631,1643.00
2020-02-04 15:00,1655.00,1699.00,1654.00,1692.00,52029.00,40978,1689.00
2020-02-05 15:00,1684.00,1717.00,1683.00,1702.00,54684.00,29080,1702.00
2020-02-06 15:00,1703.00,1713.00,1696.00,1708.00,54532.00,20124,1705.00
2020-02-07 15:00,1702.00,1715.00,1702.00,1713.00,55305.00,15018,1710.00
2020-02-10 15:00,1715.00,1729.00,1712.00,1719.00,55293.00,24089,1721.00
2020-02-11 15:00,1715.00,1738.00,1715.00,1736.00,61908.00,28591,1730.00
2020-02-12 15:00,1736.00,1748.00,1728.00,1735.00,64094.00,38857,1737.00
2020-02-13 15:00,1737.00,1741.00,1723.00,1732.00,62134.00,29420,1729.00
2020-02-14 15:00,1732.00,1738.00,1720.00,1737.00,64142.00,32514,1729.00
2020-02-17 15:00,1741.00,1755.00,1738.00,1753.00,64728.00,36980,1747.00
2020-02-18 15:00,1759.00,1760.00,1750.00,1753.00,70508.00,27430,1755.00
2020-02-19 15:00,1753.00,1758.00,1746.00,1756.00,71975.00,16249,1753.00
2020-02-20 15:00,1756.00,1760.00,1736.00,1747.00,71764.00,27848,1746.00
2020-02-21 15:00,1750.00,1804.00,1746.00,1793.00,83084.00,95247,1777.00
2020-02-24 15:00,1801.00,1818.00,1790.00,1807.00,83637.00,92544,1805.00
2020-02-25 15:00,1799.00,1820.00,1787.00,1809.00,89171.00,74260,1804.00
2020-02-26 15:00,1805.00,1817.00,1781.00,1789.00,86540.00,63887,1799.00
2020-02-27 15:00,1781.00,1786.00,1750.00,1754.00,68289.00,88064,1764.00
2020-02-28 15:00,1743.00,1773.00,1733.00,1749.00,62282.00,74110,1756.00
2020-03-02 15:00,1762.00,1783.00,1760.00,1767.00,67144.00,59131,1772.00
2020-03-03 15:00,1780.00,1784.00,1766.00,1777.00,64031.00,42375,1774.00
2020-03-04 15:00,1780.00,1831.00,1780.00,1816.00,82414.00,139378,1809.00
2020-03-05 15:00,1820.00,1825.00,1804.00,1810.00,77138.00,62026,1814.00
