date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2022-12-22,19100,19720,18160,18310,28742,4710,18540
2022-12-23,18180,18220,17060,17060,30354,7629,17425
2022-12-26,16940,17435,16825,17170,23991,7922,17185
2022-12-27,17200,17410,17130,17165,13350,8685,17285
2022-12-28,17100,17575,16960,17425,21736,8197,17365
2022-12-29,17390,17665,17325,17515,12999,7813,17495
2022-12-30,17535,18520,17535,17895,37967,7708,18070
2023-01-03,17870,18040,17600,17770,15386,7390,17815
2023-01-04,17715,18050,17555,17640,14744,7502,17850
2023-01-05,17615,17800,17500,17585,10709,7552,17640
2023-01-06,17530,17825,17530,17820,8604,7712,17675
2023-01-09,17850,17920,17670,17695,12281,12581,17785
2023-01-10,17705,17785,17460,17475,14945,19286,17690
2023-01-11,17460,17555,17315,17350,20389,28032,17435
2023-01-12,17330,17770,17270,17445,34783,38561,17525
2023-01-13,17450,17690,17420,17520,31521,52350,17555
2023-01-16,17450,17670,17450,17515,23451,59021,17530
2023-01-17,17530,17800,17530,17615,37276,73217,17635
2023-01-18,17650,17825,17620,17710,43134,81677,17720
2023-01-19,17720,18375,17650,18330,45507,89496,17885
2023-01-20,18400,18625,18105,18590,54931,91870,18360
2023-01-30,18660,18720,17980,18075,32749,94836,18290
2023-01-31,18065,18260,17820,17860,36851,99965,18075
2023-02-01,17860,18060,17660,17900,48186,103413,17840
2023-02-02,17840,18020,17575,17625,46937,105227,17855
2023-02-03,17670,17820,17500,17745,61844,84586,17680
2023-02-06,17695,17820,17625,17765,24588,67793,17710
2023-02-07,17780,17850,17655,17715,24892,57889,17745
2023-02-08,17740,18025,17680,17875,36280,51702,17805
2023-02-09,17875,18105,17820,18020,23555,53909,17985
2023-02-10,18000,18105,17775,17955,19541,54190,17940
2023-02-13,17955,18080,17850,17920,17928,53361,17975
2023-02-14,17930,18035,17900,17945,18859,51783,17975
2023-02-15,18000,18110,17865,17885,25670,50866,17960
2023-02-16,17950,17950,17585,17630,32027,47060,17805
2023-02-17,17630,17750,17360,17375,27627,47877,17610
2023-02-20,17300,17495,17260,17470,32048,48666,17380
2023-02-21,17555,17800,17550,17675,34830,46597,17630
2023-02-22,17650,17755,17505,17575,41633,47406,17645
2023-02-23,17620,17700,17570,17620,39303,46217,17635
2023-02-24,17635,17680,17555,17635,44344,45607,17605
2023-02-27,17615,17745,17460,17480,42878,46391,17600
2023-02-28,17500,17580,17420,17520,68158,44252,17495
2023-03-01,17500,17595,17485,17540,29733,45681,17540
2023-03-02,17550,17620,17510,17525,30400,47030,17540
2023-03-03,17510,17560,17480,17490,53516,44830,17520
2023-03-06,17490,17520,17290,17300,36285,47066,17430
2023-03-07,17300,17410,17100,17130,38319,50572,17310
2023-03-08,17140,17330,17010,17175,23780,50393,17115
2023-03-09,17195,17220,17010,17075,38897,51650,17090
2023-03-10,17085,17115,16865,16960,42969,51827,16990
2023-03-13,16960,17040,16820,16970,37179,52516,16930
2023-03-14,16940,17060,16860,16905,27612,51114,16950
2023-03-15,16880,16960,16710,16740,28714,51155,16875
2023-03-16,16690,16710,15950,15975,45330,53627,16330
2023-03-17,16060,16310,16010,16120,44038,54550,16175
2023-03-20,16160,16295,16020,16080,34958,52766,16185
2023-03-21,16200,16330,15785,15870,45907,58019,15970
2023-03-22,15870,16030,15745,15965,49933,58933,15865
2023-03-23,15990,16070,15850,15895,34570,58690,15950
2023-03-24,15920,15980,15750,15895,42570,60439,15890
2023-03-27,15900,16065,15880,15915,34828,60151,15950
2023-03-28,15950,15995,15865,15910,42609,60224,15925
2023-03-29,15640,15890,15480,15750,55338,61440,15765
2023-03-30,15710,15790,15650,15730,34111,62460,15705
