ts_code,M0_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,vol,amount,oi
CY.ZCE,CY1801.ZCE,2017-08-18,,,,,,,,78284.0,904858.3,7634.0
CY.ZCE,CY1801.ZCE,2017-08-21,,,,,,,,25088.0,288665.08,8476.0
CY.ZCE,CY1801.ZCE,2017-08-22,,,,,,,,13782.0,158806.28,7516.0
CY.ZCE,CY1801.ZCE,2017-08-23,,,,,,,,9078.0,104813.7,6958.0
CY.ZCE,CY1801.ZCE,2017-08-24,,,,,,,,4510.0,52007.56,6420.0
CY.ZCE,CY1801.ZCE,2017-08-25,,,,,,,,3012.0,34725.5,5830.0
CY.ZCE,CY1801.ZCE,2017-08-28,,,,,,,,3914.0,45132.21,5684.0
CY.ZCE,CY1801.ZCE,2017-08-29,,,,,,,,2572.0,29683.86,5352.0
CY.ZCE,CY1801.ZCE,2017-08-30,,,,,,,,1842.0,21220.79,5314.0
CY.ZCE,CY1801.ZCE,2017-08-31,,,,,,,,1784.0,20559.33,4908.0
CY.ZCE,CY1801.ZCE,2017-09-01,,,,,,,,2186.0,25201.58,4792.0
CY.ZCE,CY1801.ZCE,2017-09-04,,,,,,,,14420.0,168539.31,6228.0
CY.ZCE,CY1801.ZCE,2017-09-05,,,,,,,,5994.0,70110.75,5966.0
CY.ZCE,CY1801.ZCE,2017-09-06,,,,,,,,6078.0,71212.61,5762.0
CY.ZCE,CY1801.ZCE,2017-09-07,,,,,,,,4074.0,47490.75,5270.0
CY.ZCE,CY1801.ZCE,2017-09-08,,,,,,,,5524.0,63930.91,4380.0
CY.ZCE,CY1801.ZCE,2017-09-11,,,,,,,,15894.0,184752.71,4024.0
CY.ZCE,CY1801.ZCE,2017-09-12,,,,,,,,2178.0,25299.48,3876.0
CY.ZCE,CY1801.ZCE,2017-09-13,,,,,,,,3018.0,34971.95,3580.0
CY.ZCE,CY1801.ZCE,2017-09-14,,,,,,,,1432.0,16563.33,3482.0
CY.ZCE,CY1801.ZCE,2017-09-15,,,,,,,,1498.0,17279.72,3390.0
CY.ZCE,CY1801.ZCE,2017-09-18,,,,,,,,1904.0,21939.3,3038.0
CY.ZCE,CY1801.ZCE,2017-09-19,,,,,,,,1962.0,22661.95,2674.0
CY.ZCE,CY1801.ZCE,2017-09-20,,,,,,,,3342.0,38868.45,2334.0
CY.ZCE,CY1801.ZCE,2017-09-21,,,,,,,,1426.0,16606.9,2034.0
CY.ZCE,CY1801.ZCE,2017-09-22,,,,,,,,1880.0,21805.54,1952.0
CY.ZCE,CY1801.ZCE,2017-09-25,,,,,,,,974.0,11299.43,1880.0
CY.ZCE,CY1801.ZCE,2017-09-26,,,,,,,,1508.0,17563.9,1952.0
CY.ZCE,CY1801.ZCE,2017-09-27,,,,,,,,1778.0,20593.74,1910.0
CY.ZCE,CY1801.ZCE,2017-09-28,,,,,,,,1928.0,22186.62,2080.0
CY.ZCE,CY1801.ZCE,2017-09-29,,,,,,,,1072.0,12303.56,1848.0
CY.ZCE,CY1801.ZCE,2017-10-09,,,,,,,,582.0,6669.31,1820.0
CY.ZCE,CY1801.ZCE,2017-10-10,,,,,,,,658.0,7550.54,1796.0
CY.ZCE,CY1801.ZCE,2017-10-11,,,,,,,,604.0,6928.93,1732.0
CY.ZCE,CY1801.ZCE,2017-10-12,,,,,,,,1104.0,12649.58,1736.0
CY.ZCE,CY1801.ZCE,2017-10-13,,,,,,,,826.0,9478.71,1650.0
CY.ZCE,CY1801.ZCE,2017-10-16,,,,,,,,980.0,11291.33,1596.0
CY.ZCE,CY1801.ZCE,2017-10-17,,,,,,,,404.0,4650.94,1540.0
CY.ZCE,CY1801.ZCE,2017-10-18,,,,,,,,332.0,3825.33,1518.0
CY.ZCE,CY1801.ZCE,2017-10-19,,,,,,,,532.0,6106.01,1564.0
CY.ZCE,CY1801.ZCE,2017-10-20,,,,,,,,854.0,9758.6,1590.0
CY.ZCE,CY1801.ZCE,2017-10-23,,,,,,,,654.0,7473.64,1596.0
CY.ZCE,CY1801.ZCE,2017-10-24,,,,,,,,504.0,5777.79,1566.0
CY.ZCE,CY1801.ZCE,2017-10-25,,,,,,,,254.0,2911.97,1508.0
CY.ZCE,CY1801.ZCE,2017-10-26,,,,,,,,200.0,2293.76,1474.0
CY.ZCE,CY1801.ZCE,2017-10-27,,,,,,,,228.0,2606.14,1490.0
CY.ZCE,CY1801.ZCE,2017-10-30,,,,,,,,262.0,3000.92,1420.0
CY.ZCE,CY1801.ZCE,2017-10-31,,,,,,,,274.0,3135.44,1400.0
CY.ZCE,CY1801.ZCE,2017-11-01,,,,,,,,426.0,4895.36,1348.0
CY.ZCE,CY1801.ZCE,2017-11-02,,,,,,,,302.0,3470.49,1308.0
CY.ZCE,CY1801.ZCE,2017-11-03,,,,,,,,450.0,5183.21,1194.0
CY.ZCE,CY1801.ZCE,2017-11-06,,,,,,,,322.0,3712.84,1184.0
CY.ZCE,CY1801.ZCE,2017-11-07,,,,,,,,430.0,4963.53,1104.0
CY.ZCE,CY1801.ZCE,2017-11-08,,,,,,,,262.0,3023.33,1066.0
CY.ZCE,CY1801.ZCE,2017-11-09,,,,,,,,136.0,1566.84,1050.0
CY.ZCE,CY1801.ZCE,2017-11-10,,,,,,,,86.0,991.62,1028.0
CY.ZCE,CY1801.ZCE,2017-11-13,,,,,,,,290.0,3353.22,1018.0
