ts_code,M0_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,vol,amount,oi
CF.ZCE,CF1505.ZCE,2015-01-05,17809.135518568328,18191.833749205252,17822.803312519645,17877.474488324922,17617.786403249866,17809.135518568328,17781.79993066569,247762.0,1611413.81,473520.0
CF.ZCE,CF1505.ZCE,2015-01-06,17918.47787017888,17781.79993066569,17795.46772461701,17973.14904598415,17788.633827641348,17918.47787017888,17891.14228227624,174140.0,1139770.33,478214.0
CF.ZCE,CF1505.ZCE,2015-01-07,17863.8066943736,17891.14228227624,17932.145664130196,18055.155809692067,17836.471106470966,17863.8066943736,17945.813458081517,193080.0,1267357.12,474024.0
CF.ZCE,CF1505.ZCE,2015-01-08,17966.315149008493,17945.813458081517,17877.474488324922,18014.152427838108,17815.969415543987,17966.315149008493,17938.979561105854,174134.0,1142867.39,479466.0
CF.ZCE,CF1505.ZCE,2015-01-09,17918.47787017888,17938.979561105854,17993.65073691113,18027.82022178943,17877.474488324922,17918.47787017888,17945.813458081517,132142.0,867407.98,469210.0
CF.ZCE,CF1505.ZCE,2015-01-12,17884.30838530058,17945.813458081517,17945.813458081517,17973.14904598415,17843.305003446625,17884.30838530058,17911.64397320322,143944.0,943140.01,469506.0
CF.ZCE,CF1505.ZCE,2015-01-13,17645.121991152504,17911.64397320322,17836.471106470966,17877.474488324922,17638.288094176845,17645.121991152504,17740.796548811733,284468.0,1846131.73,436884.0
CF.ZCE,CF1505.ZCE,2015-01-14,17617.786403249866,17740.796548811733,17631.454197201183,17727.128754860416,17576.78302139591,17617.786403249866,17645.121991152504,199174.0,1285716.94,422086.0
CF.ZCE,CF1505.ZCE,2015-01-15,17727.128754860416,17645.121991152504,17597.284712322886,17761.298239738713,17576.78302139591,17727.128754860416,17665.62368207948,203934.0,1317968.84,420962.0
CF.ZCE,CF1505.ZCE,2015-01-16,17938.979561105854,17665.62368207948,17727.128754860416,18102.99308852168,17727.128754860416,17938.979561105854,17952.647355057175,274904.0,1805233.91,407034.0
CF.ZCE,CF1505.ZCE,2015-01-19,17959.481252032834,17952.647355057175,17911.64397320322,17993.65073691113,17850.138900422284,17959.481252032834,17925.311767154537,162822.0,1067743.71,402958.0
