日期/时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2005-01-04,12445,12485,12380,12385,29474,31878
2005-01-05,12395,12470,12360,12460,40760,33702
2005-01-06,12540,12695,12505,12680,50866,36358
2005-01-07,12690,12690,12615,12635,37968,35382
2005-01-10,12705,12775,12630,12635,41532,34480
2005-01-11,12705,12740,12595,12615,31592,32636
2005-01-12,12570,12675,12550,12675,27792,33370
2005-01-13,12675,12770,12660,12755,33030,31752
2005-01-14,12725,12795,12705,12770,21558,31804
2005-01-17,12755,12770,12695,12740,19310,30592
2005-01-18,12715,12795,12715,12770,19524,29870
2005-01-19,12790,12850,12790,12830,20154,30032
2005-01-20,13075,13090,13025,13055,22370,24162
2005-01-21,13015,13040,12980,13030,15598,23664
2005-01-24,12965,13145,12925,13120,22334,25892
2005-01-25,13080,13210,13050,13190,24332,27888
2005-01-26,13205,13230,13115,13165,22712,28750
2005-01-27,13150,13215,13120,13175,24928,30594
2005-01-28,12930,13090,12930,12990,39372,28810
2005-01-31,12965,13095,12950,13085,26306,29210
2005-02-01,13100,13185,13080,13180,25728,30332
2005-02-02,13335,13335,13255,13265,15770,15826
2005-02-03,13165,13215,13150,13200,18802,29706
2005-02-04,13140,13225,13130,13220,13844,29294
2005-02-16,13395,13445,13320,13410,20040,30024
2005-02-17,13395,13465,13375,13440,17010,30806
2005-02-18,13425,13540,13410,13510,20202,28520
2005-02-21,13555,13575,13400,13405,26374,27184
2005-02-22,13405,13565,13375,13550,26248,27036
2005-02-23,13650,13765,13635,13715,32474,27146
2005-02-24,13700,13750,13660,13725,29656,26960
2005-02-25,13690,13740,13675,13705,22126,26492
2005-02-28,13880,13905,13785,13825,25984,27178
2005-03-01,13880,13960,13770,13840,27102,27040
2005-03-02,13660,13725,13640,13725,26748,8382
2005-03-03,13825,13890,13815,13870,20826,25360
2005-03-04,13880,13985,13840,13980,20906,23738
2005-03-07,14200,14240,14155,14230,20970,26222
2005-03-08,14260,14345,14260,14345,19108,16810
2005-03-09,14300,14370,14270,14360,20732,26740
2005-03-10,14430,14430,14330,14335,15744,27358
2005-03-11,14305,14385,13910,13915,36338,28562
2005-03-14,14020,14275,13840,14255,49338,30560
2005-03-15,14220,14260,14165,14240,29258,29414
2005-03-16,14280,14580,14200,14450,33850,31222
2005-03-17,14460,14510,14285,14345,38304,30942
2005-03-18,14050,14195,13920,13975,34306,28992
2005-03-21,13850,13960,13810,13915,24072,18116
2005-03-22,13950,13985,13810,13880,29002,30282
2005-03-23,13980,14050,13840,13845,33890,30114
2005-03-24,13800,13910,13710,13810,28660,30390
2005-03-25,13920,14320,13880,14220,51310,31714
2005-03-28,14200,14335,14160,14280,44560,31610
2005-03-29,14420,14480,14270,14330,42172,32630
2005-03-30,14295,14355,14240,14305,27236,31390
2005-03-31,14320,14375,14260,14270,28444,30330
2005-04-01,14100,14300,14040,14050,23232,14562
2005-04-04,14205,14375,14205,14365,24370,31032
2005-04-05,14530,14540,14420,14460,18044,30928
2005-04-06,14225,14280,14225,14250,19314,29576
2005-04-07,14450,14550,14425,14550,17568,33638
2005-04-08,14515,14580,14425,14475,22042,33012
2005-04-11,14575,14780,14540,14780,46598,42348
2005-04-12,14770,14800,14700,14755,29150,44032
2005-04-13,14700,14700,14185,14460,50780,42078
2005-04-14,14320,14390,14180,14265,38748,42626
2005-04-15,14330,14420,14310,14395,27712,42192
2005-04-18,14400,14450,14370,14390,22144,42170
2005-04-19,14500,14580,14480,14565,31904,41100
2005-04-20,14710,14730,14620,14625,25132,42338
2005-04-21,14690,14690,14460,14510,34668,41862
2005-04-22,14755,14800,14650,14750,24504,16096
2005-04-25,14350,14495,14350,14410,27768,20216
2005-04-26,14620,14620,14450,14460,27962,18214
2005-04-27,14680,14695,14575,14650,24876,41076
2005-04-28,14430,14475,14400,14460,26088,16276
2005-04-29,14690,14755,14670,14700,21240,37836
2005-05-09,14380,14440,14340,14390,24814,13182
2005-05-10,14450,14450,14345,14355,25120,11200
2005-05-11,15110,15110,14850,14885,23532,20922
2005-05-12,15075,15215,15060,15150,20672,10614
2005-05-13,14340,14390,14065,14190,30648,32416
2005-05-16,14680,14755,14610,14730,27728,26036
2005-05-17,14680,14800,14620,14735,35090,27240
2005-05-18,14750,14915,14740,14910,25300,28054
2005-05-19,15060,15060,14970,15005,23206,13742
2005-05-20,14700,14720,14590,14605,34742,30482
2005-05-23,14700,14700,14130,14180,36454,33134
2005-05-24,14250,14290,14120,14190,29548,32912
2005-05-25,14150,14175,13720,13905,59506,37314
2005-05-26,14000,14100,13930,14005,46958,38498
2005-05-27,14200,14295,14140,14280,34854,14878
2005-05-30,14045,14390,13910,14285,51148,39460
2005-05-31,14320,14375,14135,14170,45056,40740
2005-06-01,14000,14000,13760,13760,41320,42060
2005-06-02,13850,13955,13795,13925,38172,41056
2005-06-03,14140,14195,14095,14160,33408,16714
2005-06-06,13955,14235,13915,14190,51844,42322
2005-06-07,14000,14180,13930,14090,50136,42882
2005-06-08,14010,14180,14010,14155,43840,44408
2005-06-09,14125,14260,14125,14165,39112,45498
2005-06-10,14150,14200,14090,14175,29892,45786
2005-06-13,14335,14450,14275,14285,45704,47992
2005-06-14,14345,14360,14240,14305,43934,47160
2005-06-15,14660,14680,14610,14675,28638,7168
2005-06-16,14270,14315,14255,14270,27404,45634
2005-06-17,14280,14305,14150,14160,36540,45440
2005-06-20,14565,14615,14505,14595,29376,29582
2005-06-21,14670,14685,14530,14555,24960,31686
2005-06-22,14595,14600,14475,14500,23454,32470
2005-06-23,14425,14460,14200,14245,25752,32330
2005-06-24,14495,14545,14410,14520,20250,1058
2005-06-27,14600,14600,14455,14460,24052,9254
2005-06-28,14080,14190,14015,14025,24458,38706
2005-06-29,13920,13980,13875,13945,22132,38788
2005-06-30,14290,14310,14180,14205,18748,34140
2005-07-01,14270,14395,14155,14390,17796,34376
2005-07-04,14375,14580,14350,14580,33968,37382
2005-07-05,14305,14320,14210,14255,24802,37736
2005-07-06,14595,14630,14480,14560,29238,40248
2005-07-07,14470,14505,14395,14460,22998,41098
2005-07-08,14470,14595,14470,14590,27520,43140
2005-07-11,14565,14785,14540,14755,46180,46982
2005-07-12,14740,14825,14640,14815,48286,50628
2005-07-13,14505,14645,14430,14465,57474,48796
2005-07-14,14500,14595,14485,14575,43518,49344
2005-07-15,14590,14620,14515,14520,32108,47976
2005-07-18,14490,14545,14350,14395,36566,47970
