日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2013-10-18 15:00,5736.00,5780.00,5702.00,5778.00,288998.00,114001,5742.00
2013-10-21 15:00,5850.00,5938.00,5808.00,5906.00,270375.00,197644,5896.00
2013-10-22 15:00,5938.00,5938.00,5852.00,5862.00,250687.00,118491,5882.00
2013-10-23 15:00,5908.00,5952.00,5872.00,5920.00,239123.00,166412,5912.00
2013-10-24 15:00,5954.00,5958.00,5866.00,5894.00,232999.00,127694,5902.00
2013-10-25 15:00,5882.00,5884.00,5832.00,5858.00,220242.00,121397,5858.00
2013-10-28 15:00,5850.00,5892.00,5834.00,5848.00,216040.00,83613,5860.00
2013-10-29 15:00,5838.00,5882.00,5820.00,5878.00,205508.00,86742,5854.00
2013-10-30 15:00,6180.00,6332.00,6166.00,6332.00,245562.00,528586,6258.00
2013-10-31 15:00,6308.00,6332.00,6264.00,6292.00,233552.00,443347,6300.00
2013-11-01 15:00,6310.00,6374.00,6284.00,6374.00,233466.00,432144,6320.00
2013-11-04 15:00,6368.00,6372.00,6284.00,6318.00,223772.00,350814,6318.00
2013-11-05 15:00,6284.00,6322.00,6232.00,6290.00,226003.00,377375,6278.00
2013-11-06 15:00,6264.00,6300.00,6252.00,6270.00,228969.00,283375,6276.00
2013-11-07 15:00,6252.00,6306.00,6234.00,6260.00,231838.00,376788,6270.00
2013-11-08 15:00,6256.00,6274.00,6192.00,6228.00,234496.00,334629,6228.00
2013-11-11 15:00,6228.00,6300.00,6174.00,6184.00,217055.00,387542,6218.00
2013-11-12 15:00,6194.00,6228.00,6142.00,6226.00,216774.00,383684,6182.00
2013-11-13 15:00,6282.00,6326.00,6260.00,6314.00,234000.00,475584,6296.00
2013-11-14 15:00,6310.00,6344.00,6282.00,6332.00,238451.00,312205,6304.00
2013-11-15 15:00,6302.00,6342.00,6270.00,6280.00,237146.00,419931,6304.00
2013-11-18 15:00,6250.00,6282.00,6236.00,6242.00,229425.00,258660,6256.00
2013-11-19 15:00,6230.00,6264.00,6206.00,6216.00,227220.00,372134,6234.00
2013-11-20 15:00,6208.00,6270.00,6192.00,6268.00,244118.00,302959,6224.00
2013-11-21 15:00,6260.00,6406.00,6260.00,6370.00,279087.00,639006,6342.00
2013-11-22 15:00,6430.00,6488.00,6424.00,6440.00,281877.00,458994,6452.00
2013-11-25 15:00,6430.00,6494.00,6400.00,6450.00,292950.00,416020,6450.00
2013-11-26 15:00,6410.00,6436.00,6288.00,6294.00,250609.00,592168,6354.00
2013-11-27 15:00,6294.00,6330.00,6268.00,6314.00,244264.00,405510,6294.00
