日期/时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2005-01-04,12040,12090,11945,12025,3856,9330
2005-01-05,12000,12055,11965,12045,2698,9690
2005-01-06,12050,12100,12025,12085,2188,9498
2005-01-07,12105,12105,11980,12000,3198,9938
2005-01-10,11980,12035,11950,12010,3358,10640
2005-01-11,12010,12025,11925,11970,3722,11172
2005-01-12,11970,12220,11890,12220,22374,14380
2005-01-13,12205,12260,12130,12170,22126,14340
2005-01-14,12155,12250,12120,12165,12514,14372
2005-01-17,12150,12210,12000,12000,8282,13584
2005-01-18,12000,12045,11920,11995,7426,12888
2005-01-19,12010,12060,11975,12000,4998,11820
2005-01-20,12010,12075,12000,12020,3154,11236
2005-01-21,12010,12130,12010,12115,2218,10230
2005-01-24,12205,12350,12170,12185,4922,4370
2005-01-25,12070,12080,11995,12030,2470,7412
2005-01-26,12220,12230,12090,12105,2120,4288
2005-01-27,12005,12050,12005,12040,2720,6476
2005-01-28,12180,12285,12165,12265,2666,4228
2005-01-31,12275,12320,12225,12275,2360,4346
2005-02-01,12260,12310,12255,12285,1904,4474
2005-02-02,12265,12455,12265,12440,6600,5016
2005-02-03,12460,12590,12450,12550,7050,5172
2005-02-04,12485,12655,12485,12605,4870,4794
2005-02-16,12670,12905,12670,12870,4996,4716
2005-02-17,12870,12880,12740,12750,7928,6666
2005-02-18,12750,12865,12695,12695,7966,7692
2005-02-21,12700,12745,12645,12700,6538,7932
2005-02-22,12720,12930,12720,12930,15486,11292
2005-02-23,13010,13180,12865,12890,18028,11152
2005-02-24,12950,13150,12890,13095,17334,12482
2005-02-25,13045,13220,13015,13160,19656,13796
2005-02-28,13240,13330,13155,13210,19850,14172
2005-03-01,13180,13230,13070,13095,13416,14478
2005-03-02,13090,13250,13080,13220,15434,14522
2005-03-03,13300,13310,13090,13100,15426,14712
2005-03-04,13160,13180,12905,13060,21208,14398
2005-03-07,13090,13125,12960,13000,16230,14964
2005-03-08,13015,13060,12970,13020,9528,15320
2005-03-09,13060,13250,13040,13160,21028,15652
2005-03-10,13160,13235,13130,13150,11642,15802
2005-03-11,13150,13175,12980,13005,11912,14960
2005-03-14,13070,13180,13025,13150,11756,14008
2005-03-15,13390,13695,13355,13695,22264,13796
2005-03-16,13795,14290,13750,14160,38298,19492
2005-03-17,14250,14470,14100,14165,37714,21146
2005-03-18,14065,14200,13860,13860,22032,23118
2005-03-21,13505,13620,13230,13230,45436,19920
2005-03-22,13060,13300,12910,13100,46156,19812
2005-03-23,13100,13205,12950,12960,21428,19448
2005-03-24,12940,13100,12845,13090,31968,19610
2005-03-25,13105,13170,13055,13080,23830,19032
2005-03-28,13115,13280,12960,12995,26966,18092
2005-03-29,13060,13380,12885,13365,56888,21472
2005-03-30,13425,13535,13290,13535,84372,24916
2005-03-31,13605,13635,13300,13330,74470,24906
2005-04-01,13350,13550,13240,13365,72008,25618
2005-04-04,13400,13520,13360,13415,51298,24634
2005-04-05,13475,13505,13385,13415,23842,19970
2005-04-06,13595,13690,13520,13560,24412,12924
2005-04-07,13610,13710,13590,13645,24000,15662
2005-04-08,13605,13615,13235,13235,30720,14170
2005-04-11,13070,13250,13035,13140,24658,13414
2005-04-12,13200,13225,12920,13060,26630,14466
2005-04-13,12900,12975,12685,12745,44044,15656
2005-04-14,12700,12855,12650,12780,33110,15898
2005-04-15,12780,12835,12710,12745,22816,16670
2005-04-18,12680,12895,12680,12825,32106,17912
2005-04-19,12850,13070,12810,12985,48124,18970
2005-04-20,13095,13160,13025,13025,36630,20084
2005-04-21,12995,12995,12700,12700,29122,17226
2005-04-22,12780,12805,12680,12725,30036,16948
2005-04-25,12775,12795,12705,12730,12810,16572
2005-04-26,12680,12680,12520,12540,24002,17056
2005-04-27,12555,12655,12545,12605,17046,16364
2005-04-28,12540,12750,12540,12680,30440,14172
2005-04-29,12680,12710,12585,12625,11946,12484
2005-05-09,12690,12895,12670,12845,21872,13338
2005-05-10,12900,12920,12730,12775,24276,12800
2005-05-11,12795,12810,12670,12705,17480,12520
2005-05-12,12655,12790,12655,12745,14486,12902
2005-05-13,12705,12830,12585,12815,27114,13098
2005-05-16,12860,12990,12830,12920,26986,14170
2005-05-17,12900,12965,12830,12955,22882,13788
2005-05-18,12980,13120,12950,13110,33370,12586
2005-05-19,13060,13120,12990,13000,18788,11214
2005-05-20,13135,13245,13100,13140,15872,7692
2005-05-23,13205,13365,13205,13335,16590,9782
2005-05-24,13450,13450,13235,13280,24302,10548
2005-05-25,13110,13200,13080,13175,16030,9402
2005-05-26,13245,13510,13210,13480,20072,10640
2005-05-27,13510,13575,13425,13555,35198,12370
2005-05-30,13575,13665,13445,13555,26472,13236
2005-05-31,13600,13660,13510,13540,31872,13030
2005-06-01,13520,13625,13440,13625,19586,12464
2005-06-02,13715,13780,13660,13700,21868,11746
2005-06-03,13710,13780,13655,13780,18138,12000
2005-06-06,13950,14130,13870,14130,16878,12408
2005-06-07,14005,14225,13955,14150,25886,12528
2005-06-08,14150,14210,14005,14070,29170,14744
2005-06-09,13950,14080,13880,13880,22416,13956
2005-06-10,13930,14160,13930,14160,23788,14706
2005-06-13,14160,14180,13980,14010,18384,13164
2005-06-14,14150,14175,13715,13960,19984,9764
2005-06-15,14055,14085,13925,13970,13728,6362
2005-06-16,13990,14045,13760,13825,17858,7258
2005-06-17,13840,13960,13820,13950,15632,7770
2005-06-20,14080,14190,14000,14130,22454,10018
2005-06-21,14080,14130,14000,14080,20340,10360
2005-06-22,14095,14300,14080,14255,27852,13642
2005-06-23,14300,14385,14205,14265,35470,14116
2005-06-24,14310,14440,14270,14385,30668,13480
2005-06-27,14405,14480,14360,14405,23910,14510
2005-06-28,14360,14445,14270,14415,25486,14816
2005-06-29,14370,14520,14360,14495,25086,15204
2005-06-30,14540,14635,14450,14465,28212,14454
2005-07-01,14500,14770,14475,14740,48694,16826
2005-07-04,14860,15055,14860,15055,22830,15678
2005-07-05,15120,15150,14945,15065,43754,14600
2005-07-06,15125,15295,15110,15275,26212,14798
2005-07-07,15580,15660,15530,15660,19162,14434
2005-07-08,15570,15970,15515,15930,45510,14810
2005-07-11,15900,16030,15815,15850,34580,14294
2005-07-12,15950,16200,15855,16160,40020,14422
2005-07-13,16280,16295,15555,15735,66714,12174
2005-07-14,15800,16040,15680,15955,47484,10856
2005-07-15,16225,16245,16045,16150,72816,12146
2005-07-18,16140,16270,16090,16265,49352,14832
2005-07-19,16300,16420,16195,16355,63588,15440
2005-07-20,16325,16405,15960,16240,85436,14616
2005-07-21,16200,16320,16105,16305,68420,15592
2005-07-22,16110,16675,16015,16605,62176,16930
2005-07-25,16580,16920,16565,16920,60014,18530
2005-07-26,16940,17390,16890,17125,165240,23008
2005-07-27,17200,17205,16750,16855,112464,23006
2005-07-28,16725,17190,16680,17165,131446,25478
2005-07-29,17290,17345,16565,16775,184582,23676
2005-08-01,16960,16975,16600,16650,122788,22304
2005-08-02,16740,16790,16285,16285,120364,21254
2005-08-03,16400,16660,16160,16470,175828,21830
2005-08-04,16360,16420,16035,16130,159490,22820
2005-08-05,16060,16410,15955,16355,175738,26690
2005-08-08,16300,16440,16225,16290,142556,26410
2005-08-09,16245,16305,15990,16055,135770,22686
2005-08-10,15900,16040,15770,15855,137174,22506
2005-08-11,15915,16250,15915,16070,133594,20958
2005-08-12,16130,16130,15700,15780,81400,20082
2005-08-15,15990,15990,15640,15815,95148,15942
2005-08-16,15870,16020,15725,15960,137482,22412
2005-08-17,16050,16135,15705,15835,168542,22494
2005-08-18,15825,15930,15710,15880,153320,26298
2005-08-19,15810,15885,15700,15705,109952,24012
2005-08-22,15840,15880,15775,15865,111102,26520
2005-08-23,15955,16010,15855,15940,101790,25454
2005-08-24,15910,16090,15860,16070,123656,27574
2005-08-25,16070,16155,16025,16075,126220,27650
2005-08-26,16080,16100,15915,15930,91536,25916
2005-08-29,15980,16155,15960,16110,95210,26602
2005-08-30,16070,16180,16045,16090,81136,27534
2005-08-31,16285,16475,16240,16470,108916,28552
2005-09-01,16430,16590,16365,16510,130980,28192
2005-09-02,16550,16620,16515,16595,85642,29840
2005-09-05,16660,17035,16660,16985,123422,31824
2005-09-06,17020,17060,16885,17000,143732,32698
2005-09-07,16890,16955,16800,16925,106964,33370
2005-09-08,17055,17260,17055,17180,117236,36030
2005-09-09,17170,17190,17045,17125,115596,35732
2005-09-12,17000,17050,16710,16730,149918,33860
2005-09-13,16630,16690,16390,16410,164302,28772
2005-09-14,16570,16725,16460,16495,97236,23470
2005-09-15,16970,17020,16815,16940,88822,16470
2005-09-16,16800,16800,16650,16720,92112,16640
2005-09-19,16685,16700,16465,16515,81228,18248
2005-09-20,16820,16860,16745,16785,89468,19090
2005-09-21,16685,16990,16605,16935,147966,23690
2005-09-22,17065,17220,17035,17220,132324,28446
2005-09-23,17160,17215,17070,17100,123012,27008
2005-09-26,16985,17240,16955,17115,174590,30442
2005-09-27,17320,17410,17275,17295,133320,31658
2005-09-28,17270,17520,17240,17515,148748,37126
2005-09-29,17655,17850,17630,17780,161408,34782
2005-09-30,17750,17780,17540,17600,110428,31338
2005-10-10,17900,18190,17900,18190,80888,34802
2005-10-11,18315,18420,17980,18125,137378,33894
2005-10-12,18300,18380,18070,18180,135808,33058
2005-10-13,17990,18300,17950,18180,136398,30048
2005-10-14,18050,18175,17985,18005,75648,28052
2005-10-17,18405,18615,18360,18615,57874,19484
2005-10-18,18690,18735,18435,18465,88612,23992
2005-10-19,18400,18435,18045,18045,86622,24148
2005-10-20,17800,18175,17700,18085,195936,30032
2005-10-21,18160,18170,17450,17640,200384,27498
2005-10-24,17860,17905,17660,17685,136342,28066
2005-10-25,17600,17820,17545,17750,139474,27956
2005-10-26,17810,18040,17605,17680,174700,28930
2005-10-27,17620,17775,17390,17460,194592,31078
2005-10-28,17520,17715,17420,17700,170752,26542
2005-10-31,17595,17655,17510,17560,115642,26764
2005-11-01,17580,17790,17555,17730,114126,28820
2005-11-02,17680,17760,17595,17735,94994,28266
2005-11-03,17730,17835,17620,17680,125252,29552
2005-11-04,17800,17840,17530,17550,102304,29454
2005-11-07,17450,17450,17135,17135,81034,30254
2005-11-08,16935,17080,16895,17000,130666,29626
2005-11-09,17060,17090,16755,16920,150816,30592
2005-11-10,16900,17005,16840,16950,106190,29032
2005-11-11,16840,17070,16800,17060,124356,31434
2005-11-14,17105,17140,16940,17090,115336,31626
2005-11-15,17080,17080,16900,16970,107270,31956
2005-11-16,16950,17075,16880,16990,114036,31804
