date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2023-06-19,2730,2766,2680,2721,91505,11188,2713
2023-06-20,2713,2747,2712,2731,62189,10400,2733
2023-06-21,2726,2742,2715,2738,51494,7871,2731
2023-06-26,2730,2816,2721,2802,109336,36851,2780
2023-06-27,2797,2837,2766,2788,166881,56895,2801
2023-06-28,2791,2805,2775,2791,93064,70248,2788
2023-06-29,2782,2811,2782,2799,76690,81331,2795
2023-06-30,2794,2824,2793,2812,75550,80875,2807
2023-07-03,2812,2831,2811,2826,55043,86524,2820
2023-07-04,2820,2835,2810,2816,53993,91724,2824
2023-07-05,2816,2832,2815,2825,34750,92545,2824
2023-07-06,2824,2845,2816,2834,44365,98721,2831
2023-07-07,2830,2840,2826,2828,40786,101645,2831
2023-07-10,2827,2832,2802,2819,60664,101022,2814
2023-07-11,2823,2828,2815,2819,24002,102931,2821
2023-07-12,2816,2822,2783,2796,64753,106873,2799
2023-07-13,2803,2813,2777,2792,60909,108390,2798
2023-07-14,2798,2805,2777,2785,65374,106420,2793
2023-07-17,2788,2797,2736,2781,121555,103880,2765
2023-07-18,2776,2822,2776,2807,83402,104460,2806
2023-07-19,2803,2826,2803,2821,39959,105538,2817
2023-07-20,2820,2908,2817,2881,166378,113120,2867
2023-07-21,2888,2895,2853,2868,81280,113437,2867
2023-07-24,2868,2884,2863,2879,76305,117256,2872
2023-07-25,2879,2892,2857,2887,71454,117507,2876
2023-07-26,2892,2909,2877,2879,79179,113806,2893
2023-07-27,2871,2899,2865,2890,57100,109476,2887
2023-07-28,2893,2900,2874,2880,55795,100070,2886
2023-07-31,2882,2895,2872,2884,40890,93410,2884
2023-08-01,2890,2930,2883,2929,75662,96291,2912
2023-08-02,2920,2938,2914,2922,53148,93364,2925
2023-08-03,2910,2922,2875,2895,56211,88183,2896
2023-08-04,2894,2904,2869,2871,44485,84493,2886
2023-08-07,2865,2891,2865,2880,43233,80490,2880
2023-08-08,2878,2892,2872,2872,30554,74578,2882
2023-08-09,2861,2880,2854,2876,35374,72350,2872
2023-08-10,2882,2887,2873,2879,48618,69970,2879
2023-08-11,2881,2907,2870,2900,59569,68505,2895
2023-08-14,2912,2912,2877,2883,57099,67007,2891
2023-08-15,2876,2901,2870,2900,34061,65788,2887
2023-08-16,2894,2900,2880,2881,29243,64087,2891
2023-08-17,2878,2905,2875,2902,44592,61843,2893
2023-08-18,2910,2919,2888,2895,49561,60726,2905
2023-08-21,2891,2926,2891,2922,44193,61014,2910
2023-08-22,2927,2930,2913,2926,47988,61145,2922
2023-08-23,2927,2984,2915,2960,98935,64654,2952
2023-08-24,2960,2974,2942,2945,72351,63143,2956
2023-08-25,2940,2980,2936,2970,69169,61026,2959
2023-08-28,2969,2977,2937,2953,51257,57973,2961
2023-08-29,2962,2962,2941,2958,38911,54944,2951
2023-08-30,2955,2983,2955,2976,51352,57293,2971
2023-08-31,2981,2997,2965,2981,62592,52081,2983
2023-09-01,2980,3038,2956,3016,105069,55689,2994
2023-09-04,3017,3203,3013,3086,273606,66466,3138
2023-09-05,3084,3168,3074,3134,254063,72214,3133
2023-09-06,3130,3161,3095,3119,170859,75690,3132
2023-09-07,3111,3135,3084,3093,135076,77011,3110
2023-09-08,3091,3099,3010,3042,106839,75268,3062
2023-09-11,3053,3079,3027,3070,61948,75472,3057
2023-09-12,3069,3127,3051,3060,69368,73934,3097
2023-09-13,3068,3077,2999,3033,79122,74193,3037
2023-09-14,3028,3105,3016,3100,81018,75676,3048
2023-09-15,3100,3167,3030,3036,166949,73787,3087
2023-09-18,3018,3063,3003,3048,69869,73071,3034
2023-09-19,3050,3093,3023,3070,99425,71725,3062
2023-09-20,3069,3083,3043,3069,62525,70954,3066
2023-09-21,3071,3113,3038,3038,111348,68200,3080
2023-09-22,3035,3096,3010,3083,79738,63943,3054
2023-09-25,3079,3095,3029,3050,78450,56665,3063
2023-09-26,3063,3065,3030,3033,63907,36421,3051
2023-09-27,3106,3106,3005,3040,60698,29752,3037
2023-09-28,3030,3090,3030,3064,38947,25291,3063
2023-10-09,3082,3082,3006,3029,19646,22964,3028
2023-10-10,3020,3038,2955,2978,69600,63186,2991
2023-10-11,2973,3063,2957,3042,98591,73092,3016
2023-10-12,3040,3062,3022,3053,74619,76683,3038
2023-10-13,3052,3071,3006,3035,76651,73748,3031
2023-10-16,3042,3149,3028,3144,120840,92488,3083
2023-10-17,3152,3192,3060,3095,219647,93614,3122
2023-10-18,3092,3125,3070,3102,91565,92911,3096
2023-10-19,3112,3135,3100,3125,124322,96741,3118
2023-10-20,3120,3132,3062,3075,118430,87779,3088
2023-10-23,3079,3090,3037,3049,108080,84879,3065
2023-10-24,3049,3082,3035,3082,79777,79752,3056
2023-10-25,3084,3108,3076,3100,84635,74029,3092
2023-10-26,3109,3144,3080,3094,114522,39628,3111
2023-10-27,3082,3096,3062,3082,53069,30407,3075
2023-10-30,3070,3088,3050,3074,50236,25592,3074
2023-10-31,3082,3086,3030,3046,47589,22610,3053
2023-11-01,3039,3048,3015,3030,28067,19807,3030
2023-11-02,3025,3041,3008,3032,39515,69280,3029
2023-11-03,3035,3054,3022,3041,49381,72814,3040
2023-11-06,3045,3085,3035,3070,54807,79571,3063
2023-11-07,3072,3088,3035,3036,38603,79328,3069
2023-11-08,3034,3040,3004,3027,50226,80672,3021
2023-11-09,3026,3026,2967,2984,48276,80216,3001
2023-11-10,2987,3015,2942,2965,59358,78516,2984
2023-11-13,2966,2966,2883,2884,108406,85622,2916
2023-11-14,2886,2926,2860,2908,70425,87697,2898
2023-11-15,2910,2954,2900,2931,52155,87323,2934
2023-11-16,2966,2982,2940,2973,51009,85917,2966
2023-11-17,2971,2986,2934,2963,46895,82561,2957
2023-11-20,2968,3005,2935,2992,51815,82453,2965
2023-11-21,2993,2999,2935,2944,46999,78799,2966
2023-11-22,2938,2946,2901,2916,62633,77280,2924
2023-11-23,2910,2927,2893,2919,44751,77712,2909
2023-11-24,2920,2964,2920,2942,44437,67461,2939
2023-11-27,2941,2955,2922,2948,55046,35679,2940
2023-11-28,2948,2981,2927,2949,40363,29086,2952
2023-11-29,2945,2978,2933,2949,24438,24709,2953
2023-11-30,2956,2958,2901,2948,36467,17855,2927
2023-12-01,2945,2958,2884,2892,27421,13207,2927
2023-12-04,2905,2955,2881,2926,40482,62288,2931
2023-12-05,2927,2944,2882,2891,48324,67964,2910
2023-12-06,2882,2913,2838,2865,86571,74487,2869
2023-12-07,2867,2880,2847,2867,45266,75943,2864
2023-12-08,2870,2905,2854,2886,37610,73938,2877
2023-12-11,2884,2908,2848,2858,40011,76681,2877
2023-12-12,2855,2880,2828,2868,45949,77657,2851
2023-12-13,2871,2886,2840,2856,39601,77532,2862
2023-12-14,2858,2902,2850,2898,41158,73900,2878
2023-12-15,2908,2929,2893,2911,42486,70577,2911
2023-12-18,2924,2948,2903,2924,39486,70283,2918
2023-12-19,2926,2929,2913,2917,26413,68023,2920
2023-12-20,2914,2967,2908,2964,44364,66720,2937
2023-12-21,2961,3015,2945,3007,58009,62964,2976
2023-12-22,3015,3184,3015,3184,104482,70793,3108
2023-12-25,3216,3329,3152,3175,428828,65514,3250
2023-12-26,3178,3235,3153,3203,231940,45404,3196
2023-12-27,3199,3256,3176,3224,228935,34570,3218
2023-12-28,3233,3330,3220,3304,247618,38754,3272
2023-12-29,3302,3375,3286,3348,218446,42389,3323
2024-01-02,3354,3588,3337,3588,168808,61232,3469
2024-01-03,3650,3838,3516,3541,951252,61063,3660
2024-01-04,3542,3635,3403,3403,718674,65280,3534
2024-01-05,3391,3455,3335,3428,419805,64652,3394
2024-01-08,3416,3475,3315,3373,251858,56605,3410
2024-01-09,3353,3379,3187,3240,209403,54345,3268
2024-01-10,3260,3325,3206,3259,146792,49158,3254
2024-01-11,3273,3414,3227,3404,206134,60031,3309
2024-01-12,3410,3424,3332,3346,202172,56746,3369
2024-01-15,3351,3362,3248,3265,139928,51264,3307
2024-01-16,3260,3295,3179,3229,102033,45343,3237
2024-01-17,3228,3257,3208,3236,60322,41036,3235
2024-01-18,3227,3266,3198,3245,63796,37169,3237
2024-01-19,3235,3259,3216,3238,40135,34040,3233
2024-01-22,3227,3246,3160,3199,46243,30414,3213
2024-01-23,3200,3250,3182,3232,29249,26207,3221
2024-01-24,3250,3324,3230,3300,67691,26954,3296
2024-01-25,3299,3325,3240,3270,29019,21989,3280
2024-01-26,3290,3297,3212,3220,25139,15844,3258
2024-01-29,3234,3267,3204,3243,46885,40053,3234
2024-01-30,3251,3262,3209,3229,32385,39178,3233
2024-01-31,3240,3249,3158,3197,44508,40525,3204
2024-02-01,3213,3216,3158,3198,30207,38155,3191
2024-02-02,3201,3219,3125,3134,40154,38457,3170
2024-02-05,3121,3166,3118,3139,21335,35544,3143
2024-02-06,3142,3149,3089,3135,26408,33455,3117
2024-02-07,3145,3171,3125,3149,15812,29886,3143
2024-02-08,3160,3193,3131,3140,20561,26234,3161
2024-02-19,3146,3176,3105,3122,9894,26360,3135
2024-02-20,3126,3174,3114,3144,15494,25218,3145
2024-02-21,3143,3252,3102,3223,39365,24499,3190
2024-02-22,3242,3245,3182,3213,22726,17874,3212
2024-02-23,3228,3333,3213,3307,116005,44146,3288
2024-02-26,3301,3330,3252,3279,98855,44219,3292
2024-02-27,3279,3299,3264,3275,59858,46552,3281
2024-02-28,3267,3294,3215,3227,68139,45730,3254
2024-02-29,3225,3236,3170,3223,87757,44229,3198
2024-03-01,3238,3255,3188,3217,63363,41188,3226
2024-03-04,3217,3252,3179,3204,62024,39768,3219
2024-03-05,3200,3238,3191,3213,51621,37863,3217
2024-03-06,3225,3228,3187,3207,41535,37647,3207
2024-03-07,3210,3246,3204,3213,51394,36087,3223
2024-03-08,3233,3313,3220,3295,108273,40358,3277
2024-03-11,3281,3305,3203,3234,66281,34674,3253
2024-03-12,3248,3267,3208,3231,48585,33572,3238
2024-03-13,3242,3246,3218,3238,30288,31524,3232
2024-03-14,3248,3327,3230,3250,79099,29863,3270
2024-03-15,3253,3296,3236,3282,53466,29180,3271
2024-03-18,3285,3367,3241,3362,75391,31169,3290
2024-03-19,3350,3390,3291,3313,94833,26046,3343
2024-03-20,3309,3345,3300,3314,39999,23760,3324
2024-03-21,3330,3388,3318,3381,97064,63691,3359
2024-03-22,3381,3405,3321,3335,109359,57812,3360
2024-03-25,3326,3349,3276,3290,78687,51097,3310
2024-03-26,3290,3313,3274,3281,63001,48347,3293
2024-03-27,3293,3313,3270,3303,59174,47048,3291
2024-03-28,3304,3305,3253,3287,61047,44512,3278
2024-03-29,3282,3315,3271,3295,53636,44199,3292
2024-04-01,3307,3362,3297,3352,61422,47061,3327
2024-04-02,3362,3362,3309,3326,41226,43818,3329
2024-04-03,3342,3344,3310,3318,43246,39908,3327
2024-04-08,3346,3376,3276,3344,45812,37484,3329
2024-04-09,3347,3365,3294,3339,49462,34462,3329
2024-04-10,3341,3388,3337,3372,53844,34557,3364
2024-04-11,3370,3377,3313,3344,47593,31308,3338
2024-04-12,3345,3365,3326,3359,36775,28524,3349
2024-04-15,3384,3575,3361,3480,206867,28693,3494
2024-04-16,3465,3483,3413,3436,61810,25226,3443
2024-04-17,3432,3531,3400,3508,82486,23812,3481
2024-04-18,3533,3554,3493,3547,101442,63207,3529
2024-04-19,3555,3566,3504,3515,86772,62777,3531
2024-04-22,3503,3516,3458,3460,87923,59673,3486
2024-04-23,3473,3492,3447,3469,59905,56803,3468
2024-04-24,3451,3522,3428,3511,56024,57122,3483
2024-04-25,3520,3694,3512,3679,267658,69845,3614
2024-04-26,3690,3800,3652,3787,292228,80534,3714
2024-04-29,3800,3859,3705,3742,415279,68648,3785
2024-04-30,3750,3763,3688,3752,217295,55685,3725
2024-05-06,3726,3864,3726,3858,102435,61392,3808
2024-05-07,3865,3865,3751,3774,157059,54385,3808
2024-05-08,3768,3779,3711,3717,108581,49351,3737
2024-05-09,3710,3815,3705,3797,172086,50837,3777
2024-05-10,3797,3832,3746,3803,154344,44445,3786
2024-05-13,3780,3790,3672,3751,108965,37949,3738
2024-05-14,3766,3797,3683,3689,87647,33805,3730
2024-05-15,3674,3694,3640,3669,59893,28696,3668
2024-05-16,3700,3791,3681,3748,170473,102152,3737
2024-05-17,3730,3790,3721,3779,129673,105660,3764
2024-05-20,3793,3995,3775,3899,327769,120088,3886
2024-05-21,3856,4158,3840,4094,497031,131355,4059
2024-05-22,4150,4266,4064,4149,725455,131974,4177
2024-05-23,4100,4135,3940,3977,476198,123395,4029
2024-05-24,3997,4127,3993,4093,472343,126506,4077
2024-05-27,4122,4190,4025,4062,543634,102141,4117
2024-05-28,4093,4145,4026,4032,364349,87557,4100
2024-05-29,4053,4074,3942,4043,335026,81155,4002
2024-05-30,4094,4110,3930,3957,396383,79603,4043
2024-05-31,3930,3979,3895,3944,263362,74855,3939
2024-06-03,3999,4000,3712,3787,465611,67600,3827
2024-06-04,3802,3818,3735,3795,261772,65620,3767
2024-06-05,3769,3847,3746,3790,297757,64777,3812
2024-06-06,3795,3864,3754,3860,229350,64690,3805
2024-06-07,3860,3908,3814,3828,223963,54828,3862
2024-06-11,3784,3823,3764,3781,82937,51247,3793
2024-06-12,3777,3900,3774,3870,206013,55485,3844
2024-06-13,3906,3918,3800,3877,202249,53691,3860
2024-06-14,3880,3890,3790,3853,186698,50254,3838
2024-06-17,3843,3852,3701,3703,253242,51838,3759
2024-06-18,3699,3758,3691,3718,126917,46450,3725
2024-06-19,3715,3791,3688,3760,153678,43848,3756
2024-06-20,3760,3852,3755,3832,123254,41332,3795
