date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2013-10-09,4678,4678,4612,4620,240,48,4642
2013-10-10,4460,4522,4452,4502,204880,54008,4494
2013-10-11,4510,4524,4456,4466,180100,60936,4492
2013-10-14,4476,4490,4434,4444,148998,67386,4456
2013-10-15,4448,4494,4436,4442,201544,63700,4462
2013-10-16,4428,4484,4428,4432,206374,67078,4452
2013-10-17,4448,4460,4408,4410,142864,73002,4434
2013-10-18,4412,4430,4402,4404,88740,75164,4414
2013-10-21,4410,4466,4406,4452,154962,58838,4448
2013-10-22,4444,4454,4428,4440,57890,56140,4436
2013-10-23,4432,4444,4408,4436,85280,54076,4426
2013-10-24,4434,4482,4426,4458,161110,53534,4458
2013-10-25,4460,4464,4406,4406,115570,40222,4420
2013-10-28,4410,4412,4250,4268,355282,93932,4306
2013-10-29,4266,4288,4248,4270,231734,92778,4264
2013-10-30,4270,4328,4228,4316,391474,60394,4278
2013-10-31,4308,4324,4288,4292,128838,53198,4304
2013-11-01,4288,4340,4256,4310,191472,42912,4306
2013-11-04,4280,4336,4276,4314,93718,42202,4314
2013-11-05,4310,4332,4264,4308,125920,39746,4296
2013-11-06,4300,4316,4290,4308,71154,41692,4304
2013-11-07,4312,4324,4268,4274,113300,61360,4292
2013-11-08,4272,4284,4252,4260,103258,67934,4266
2013-11-11,4262,4286,4254,4278,61468,63250,4272
2013-11-12,4272,4308,4268,4304,88114,50388,4290
2013-11-13,4280,4290,4262,4286,65264,52474,4274
2013-11-14,4298,4302,4264,4266,51534,56440,4284
2013-11-15,4266,4284,4246,4270,105770,56028,4268
2013-11-18,4278,4314,4272,4292,49598,51044,4294
2013-11-19,4280,4306,4264,4296,72202,53148,4284
2013-11-21,4306,4312,4288,4298,33340,50446,4300
2013-11-22,4312,4350,4308,4338,75342,50256,4322
2013-11-25,4336,4368,4316,4356,84024,51864,4338
2013-11-26,4360,4444,4350,4370,221656,47304,4400
2013-11-27,4366,4384,4332,4336,76758,43306,4348
2013-11-28,4330,4358,4318,4346,47474,38930,4340
2013-11-29,4352,4366,4332,4352,41974,36782,4348
2013-12-02,4362,4372,4340,4354,46012,38472,4352
2013-12-03,4360,4410,4352,4382,81870,41354,4380
2013-12-04,4408,4412,4378,4388,93100,46282,4396
2013-12-05,4398,4406,4372,4376,57462,39522,4386
2013-12-06,4382,4430,4360,4424,135882,59890,4402
2013-12-09,4426,4442,4376,4396,119214,46882,4406
2013-12-10,4398,4408,4380,4388,50566,46356,4392
2013-12-11,4390,4404,4380,4390,33290,44676,4390
2013-12-12,4398,4420,4372,4388,79410,49622,4392
2013-12-13,4388,4388,4302,4370,86970,46132,4352
2013-12-16,4378,4382,4334,4360,34804,42952,4358
2013-12-17,4360,4364,4328,4330,35108,42262,4344
2013-12-18,4330,4340,4314,4334,22778,41638,4328
2013-12-19,4334,4350,4326,4326,14012,40540,4336
2013-12-20,4326,4350,4314,4316,30948,43002,4328
2013-12-23,4314,4330,4306,4330,22338,41614,4320
2013-12-24,4328,4334,4316,4326,15596,41882,4326
2013-12-25,4326,4356,4324,4338,16528,43250,4336
2013-12-26,4342,4344,4268,4282,66716,51334,4304
2013-12-27,4276,4328,4262,4316,57464,43832,4298
