日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2008-01-09 15:00,230.95,230.99,221.88,223.30,8171.00,51682,224.74
2008-01-10 15:00,222.50,222.85,213.70,215.12,11747.00,43992,217.68
2008-01-11 15:00,218.00,219.23,215.50,218.10,12712.00,42709,217.79
2008-01-14 15:00,218.85,220.25,217.60,220.10,13857.00,30388,219.28
2008-01-15 15:00,220.70,224.60,220.30,223.80,14933.00,44121,223.11
2008-01-16 15:00,220.60,220.60,215.40,215.89,14791.00,47181,217.51
2008-01-17 15:00,214.03,216.80,213.50,216.47,15458.00,30981,215.50
2008-01-18 15:00,214.00,214.90,212.42,214.70,14769.00,29003,213.72
2008-01-21 15:00,214.70,216.33,213.80,214.20,15147.00,21755,215.20
2008-01-22 15:00,208.00,209.50,204.72,206.42,14663.00,39266,207.58
2008-01-23 15:00,212.00,214.25,210.90,212.51,13298.00,30494,212.59
2008-01-24 15:00,213.02,217.08,212.61,216.70,15078.00,28981,214.41
2008-01-25 15:00,220.10,221.40,218.32,219.80,16214.00,36312,219.81
2008-01-28 15:00,219.60,221.97,219.20,220.33,16591.00,31356,220.68
2008-01-29 15:00,223.60,224.30,222.56,222.56,17084.00,23826,223.37
2008-01-30 15:00,221.00,222.05,220.01,220.10,17864.00,18115,221.06
2008-01-31 15:00,220.00,221.04,218.22,219.35,16541.00,21501,219.48
2008-02-01 15:00,220.61,221.00,218.56,218.75,16467.00,14363,219.73
2008-02-04 15:00,216.00,216.94,215.00,215.60,16144.00,15694,215.70
2008-02-05 15:00,215.50,215.58,214.70,215.26,16401.00,8728,215.08
2008-02-13 15:00,216.01,216.16,213.50,213.69,17073.00,11030,214.24
2008-02-14 15:00,214.60,216.18,214.43,216.10,17520.00,14901,215.21
2008-02-15 15:00,216.00,216.51,215.33,216.25,17639.00,11063,215.99
2008-02-18 15:00,215.20,215.70,214.20,215.48,18034.00,11420,214.97
2008-02-19 15:00,215.51,218.38,215.50,218.38,22157.00,21328,216.83
2008-02-20 15:00,222.00,222.25,219.51,219.81,21855.00,25059,220.79
2008-02-21 15:00,221.81,224.10,221.81,223.58,22055.00,25178,222.90
2008-02-22 15:00,221.50,224.45,221.50,222.45,21230.00,20489,223.01
2008-02-25 15:00,223.60,225.80,223.00,225.78,23267.00,19806,224.57
2008-02-26 15:00,222.96,222.96,218.92,219.43,18510.00,23499,220.14
2008-02-27 15:00,224.90,226.00,224.02,224.68,18634.00,18594,225.00
2008-02-28 15:00,225.00,225.50,223.42,223.50,18782.00,11394,224.48
2008-02-29 15:00,226.00,226.50,225.23,225.43,18075.00,15627,225.75
2008-03-03 15:00,226.55,228.99,226.23,228.45,20498.00,20585,227.84
2008-03-04 15:00,229.02,229.85,226.73,227.20,19031.00,15937,228.12
2008-03-05 15:00,224.00,224.99,223.50,224.75,18547.00,11954,224.32
2008-03-06 15:00,227.00,228.69,227.00,227.95,18043.00,11041,228.07
2008-03-07 15:00,226.50,227.63,226.50,227.58,17808.00,7470,227.24
2008-03-10 15:00,226.00,226.00,224.63,225.20,17608.00,7569,225.25
2008-03-11 15:00,225.00,225.47,224.11,224.60,18291.00,6592,224.95
2008-03-12 15:00,224.97,225.25,223.79,224.26,17559.00,7150,224.46
2008-03-13 15:00,226.51,226.98,225.35,226.48,18439.00,9891,226.19
2008-03-14 15:00,228.00,228.60,227.57,227.87,20200.00,11582,228.00
2008-03-17 15:00,231.22,233.59,231.22,232.36,20758.00,21241,232.46
2008-03-18 15:00,226.00,228.19,226.00,227.58,19183.00,17654,227.22
2008-03-19 15:00,225.50,226.29,225.50,226.20,19651.00,9436,225.85
2008-03-20 15:00,214.55,214.55,214.55,214.55,18230.00,3265,214.55
2008-03-21 15:00,209.48,210.47,207.52,210.11,17840.00,12194,209.17
2008-03-24 15:00,209.75,209.99,206.31,206.81,18587.00,13351,208.41
2008-03-25 15:00,209.00,210.85,208.10,210.19,18186.00,12829,209.59
2008-03-26 15:00,212.97,213.45,211.58,211.80,18609.00,13139,212.66
2008-03-27 15:00,213.98,214.50,213.10,213.30,17447.00,9063,213.74
2008-03-28 15:00,213.11,213.28,211.20,211.76,17585.00,6983,211.93
2008-03-31 15:00,209.02,209.47,208.41,208.98,18527.00,7194,209.08
2008-04-01 15:00,206.23,206.37,198.88,203.22,17400.00,16967,203.32
2008-04-02 15:00,200.18,202.00,198.11,199.13,15974.00,18208,199.66
2008-04-03 15:00,202.00,202.45,201.13,202.35,15914.00,9876,201.87
2008-04-07 15:00,205.00,205.50,204.05,205.36,15376.00,7159,204.73
2008-04-08 15:00,206.45,206.99,204.03,204.81,15087.00,11480,205.59
2008-04-09 15:00,204.82,204.95,202.86,203.35,14740.00,10219,203.79
2008-04-10 15:00,208.00,208.09,206.86,207.50,13699.00,9207,207.33
2008-04-11 15:00,206.00,206.00,204.16,204.56,13731.00,8541,205.03
2008-04-14 15:00,201.50,205.50,201.50,205.40,13464.00,7758,203.73
2008-04-15 15:00,206.20,208.65,205.80,208.62,12752.00,10397,207.63
2008-04-16 15:00,206.70,207.50,205.70,207.03,11979.00,8144,206.73
2008-04-17 15:00,209.80,211.09,209.38,210.66,10784.00,8039,210.32
2008-04-18 15:00,209.00,210.70,209.00,210.15,10533.00,4641,210.08
2008-04-21 15:00,206.00,206.80,204.26,204.50,9173.00,7523,205.22
2008-04-22 15:00,203.50,204.78,203.50,203.77,8774.00,3603,204.06
2008-04-23 15:00,204.80,205.44,204.21,204.50,8130.00,2841,204.66
2008-04-24 15:00,200.30,201.49,200.10,201.49,10739.00,5071,200.90
