日期/时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2011-03-24,19230,19570,18830,18935,73440,9696
2011-03-25,18935,19135,18860,18950,24858,8494
2011-03-28,18900,19035,18500,18605,16960,8262
2011-03-29,18530,18735,18485,18675,10618,7968
2011-03-30,18800,18850,18695,18760,8086,7320
2011-03-31,18700,18720,18580,18665,3056,6776
2011-04-01,18780,18780,18570,18640,2550,6716
2011-04-06,18675,19360,18675,19220,15400,9362
2011-04-07,19200,19300,19035,19075,10426,8644
2011-04-08,19090,19235,19005,19175,8434,9388
2011-04-11,19250,19440,19145,19210,13938,10242
2011-04-12,19000,19125,18790,18800,9256,9154
2011-04-13,18610,18745,18540,18715,5566,8776
2011-04-14,18555,18690,18540,18580,3846,8574
2011-04-15,18605,18780,18505,18580,9992,8818
2011-04-18,18575,18650,18525,18580,3334,8898
2011-04-19,18300,18350,17950,17980,8390,10212
2011-04-20,18065,18180,18065,18165,2930,9508
2011-04-21,18300,18300,18140,18180,2504,9250
2011-04-22,18235,18235,17880,17975,3420,9506
2011-04-25,17980,18050,17760,17760,2102,9514
2011-04-26,17695,17695,17420,17645,3506,8968
2011-04-27,17620,17790,17420,17550,2974,8776
2011-04-28,17555,17850,17555,17755,3278,8592
2011-04-29,17665,17725,17530,17550,1548,8520
2011-05-03,17550,17650,17460,17530,1902,8712
2011-05-04,17590,17595,17440,17480,1140,8546
2011-05-05,17310,17310,16450,16715,4070,8648
2011-05-06,16220,16440,16190,16255,6540,8950
2011-05-09,16330,16640,16330,16620,3246,8668
2011-05-10,16505,16710,16465,16645,2760,8604
2011-05-11,16690,17200,16595,16675,3638,8608
2011-05-12,16450,16500,16220,16220,4424,8802
2011-05-13,16475,16740,16340,16705,3836,8680
2011-05-16,16575,16655,16460,16555,2872,8702
2011-05-17,16505,16610,16230,16570,3932,8828
2011-05-18,16735,16855,16620,16710,5218,8574
2011-05-19,17180,17180,16925,16945,5540,7866
2011-05-20,16995,16995,16850,16935,2392,7918
2011-05-23,17000,17075,16565,16610,3602,7766
2011-05-24,16605,16800,16525,16760,2604,7484
2011-05-25,16870,17095,16790,17090,2734,7434
2011-05-26,17050,17230,17050,17205,3132,7458
2011-05-27,17100,17340,17040,17315,3580,7628
2011-05-30,17230,17370,17030,17040,3134,7512
2011-05-31,17115,17180,16895,17095,4284,8092
2011-06-01,17085,17085,16910,16955,2536,8330
2011-06-02,16840,16900,16780,16880,1984,8168
2011-06-03,16710,16980,16675,16890,3534,8576
2011-06-07,16890,17165,16845,17020,4518,8284
2011-06-08,17100,17180,16865,17020,4038,8218
2011-06-09,17105,17130,16985,16985,2072,8150
2011-06-10,17080,17150,16990,17070,2912,8436
2011-06-13,16970,17025,16835,16940,2656,8510
2011-06-14,16965,16975,16820,16940,2002,9046
2011-06-15,17030,17070,16955,16980,2338,9406
2011-06-16,16835,16870,16680,16685,2810,9388
2011-06-17,16720,16780,16600,16620,1886,9396
2011-06-20,16550,16630,16455,16470,2086,9610
2011-06-21,16535,16890,16530,16850,3464,9034
2011-06-22,16800,16850,16685,16720,2178,8880
2011-06-23,16905,16910,16715,16855,3360,8810
2011-06-24,16875,17045,16860,17030,4180,8816
2011-06-27,16910,16965,16750,16770,2792,8582
2011-06-28,16850,16955,16820,16865,1684,8660
2011-06-29,16940,16980,16880,16975,2040,8428
2011-06-30,17100,17210,17050,17200,2850,8920
2011-07-01,17200,17235,17125,17160,2112,9364
2011-07-04,17205,17410,17205,17350,2628,9850
2011-07-05,17335,17430,17215,17220,1966,10036
2011-07-06,17280,17355,17250,17315,1612,9986
2011-07-07,17285,17385,17225,17320,1558,9924
2011-07-08,17415,17465,17300,17300,1270,9956
2011-07-11,17220,17305,17070,17170,1868,9922
2011-07-12,17080,17180,17070,17160,1160,9732
2011-07-13,17350,17700,17310,17695,3314,10114
2011-07-14,17550,17595,17480,17555,1836,9936
2011-07-15,17465,17530,17415,17435,1286,9964
2011-07-18,17485,17580,17455,17520,1302,9930
2011-07-19,17585,17740,17565,17740,2182,9730
2011-07-20,17740,17815,17610,17685,1892,9150
2011-07-21,17600,17650,17430,17445,1848,9020
2011-07-22,17485,17580,17485,17580,1024,8862
2011-07-25,17530,17535,17400,17410,1424,8534
2011-07-26,17410,17695,17410,17635,1822,7960
2011-07-27,17670,17835,17645,17770,2620,7196
2011-07-28,17700,17725,17580,17700,2036,6766
2011-07-29,17635,17780,17430,17540,2356,6372
2011-08-01,17700,17855,17700,17810,1416,3674
2011-08-02,17600,17660,17175,17355,2910,4090
2011-08-03,17260,17435,17195,17200,3220,4126
2011-08-04,17190,17240,17015,17075,2346,3920
2011-08-05,16790,16790,16100,16350,2968,4172
2011-08-08,16075,16270,15580,16250,3136,4170
2011-08-09,15495,16155,15200,16025,4860,4458
2011-08-10,16300,16605,16000,16480,3344,4614
2011-08-11,16560,16590,16400,16525,1982,4586
2011-08-12,16740,16755,16610,16660,1370,4666
2011-08-15,16660,16835,16660,16730,1048,4732
2011-08-16,16835,16835,16410,16450,1320,4914
2011-08-17,16455,16695,16455,16655,1398,4656
2011-08-18,16650,16765,16625,16670,1574,4454
2011-08-19,16420,16600,16410,16600,1862,4298
2011-08-22,16680,16730,16570,16570,1268,4240
2011-08-23,16550,16665,16530,16650,702,4328
2011-08-24,16790,16790,16650,16690,804,4282
2011-08-25,16725,16815,16685,16780,964,4168
2011-08-26,16855,16880,16720,16760,650,4132
2011-08-29,16895,16935,16820,16860,694,4130
2011-08-30,16910,16995,16825,16905,988,4192
2011-08-31,16940,16985,16885,16955,1166,4134
2011-09-01,16945,16990,16780,16785,1150,3962
2011-09-02,16785,16815,16560,16635,772,3900
2011-09-05,16560,16720,16505,16555,698,3800
2011-09-06,16515,16530,16360,16445,704,3794
2011-09-07,16520,16665,16480,16660,500,3710
2011-09-08,16685,16705,16585,16610,388,3652
2011-09-09,16620,16690,16555,16600,536,0
2011-09-13,16795,16795,16520,16645,430,1496
2011-09-14,16635,16675,16430,16485,814,1900
2011-09-15,16480,16525,16345,16345,686,1864
2011-09-16,16420,16480,16420,16450,352,1950
2011-09-19,16280,16335,15885,15935,634,2088
2011-09-20,15750,15930,15750,15895,550,2160
2011-09-21,15860,15975,15750,15975,950,2434
2011-09-22,15690,15690,15020,15245,1874,2776
2011-09-23,14810,14810,14470,14470,2318,2658
2011-09-26,14035,14275,13595,13630,3636,3242
2011-09-27,14205,14545,14205,14385,2360,3152
2011-09-28,14630,14685,14250,14505,1622,2912
2011-09-29,13895,14360,13590,14360,1702,2586
2011-09-30,14315,14880,14315,14880,818,2484
2011-10-10,14615,14895,14615,14740,804,2500
2011-10-11,14950,14985,14725,14770,606,2416
2011-10-12,14730,14935,14600,14900,536,2324
2011-10-13,14950,15045,14855,14910,832,2214
2011-10-14,14900,15100,14900,15085,776,1916
2011-10-17,15070,15360,14975,15040,536,1816
2011-10-18,14635,14745,14360,14430,1004,2066
2011-10-19,14660,14660,14370,14470,880,2020
2011-10-20,13710,14010,13700,13850,1524,2254
2011-10-21,13850,14600,13765,14235,1728,2354
2011-10-24,14640,15025,14550,15025,1570,2140
2011-10-25,15250,15650,14860,15095,2540,2038
2011-10-26,14875,15195,14760,15015,970,1978
2011-10-27,15080,15150,14950,15105,690,1992
2011-10-28,15580,15725,15360,15415,848,1968
2011-10-31,15565,15565,15185,15345,760,1986
2011-11-01,15450,15450,15275,15315,620,2026
2011-11-02,15015,15340,15015,15285,676,1988
2011-11-03,15230,15260,15080,15115,346,2000
2011-11-04,15215,15535,15215,15480,570,1932
2011-11-07,15480,15480,15350,15405,366,1968
2011-11-08,15415,15450,15300,15335,334,1906
2011-11-09,15450,15510,15385,15425,314,1908
2011-11-10,15200,15250,14605,14670,1320,2094
2011-11-11,15005,15025,14610,14910,474,1982
2011-11-14,15235,15595,15235,15500,494,1500
2011-11-15,15455,15490,15315,15325,436,1692
2011-11-16,15405,15435,15240,15265,714,1428
2011-11-17,15295,15420,15170,15395,460,1662
2011-11-18,14900,15280,14900,15230,570,1904
2011-11-21,15250,15400,15250,15350,446,1964
2011-11-22,15205,15350,15175,15350,512,2104
2011-11-23,15445,15450,15235,15240,480,2154
2011-11-24,15240,15305,14935,15190,624,2254
2011-11-25,15180,15195,15000,15150,678,2434
2011-11-28,15270,15500,15270,15410,626,2346
2011-11-29,15450,15490,15380,15420,434,2410
2011-11-30,15395,15445,15270,15280,384,2426
2011-12-01,16185,16185,15730,15770,860,2522
2011-12-05,15710,15710,15600,15640,394,2406
2011-12-06,15600,15615,15510,15595,320,2314
2011-12-07,15750,15795,15650,15795,496,2114
2011-12-08,15715,15765,15660,15730,362,2062
2011-12-09,15540,15680,15535,15640,278,1992
2011-12-12,15715,15715,15590,15660,272,1946
2011-12-13,15515,15575,15500,15540,240,1840
2011-12-14,15490,15490,15255,15320,688,1536
2011-12-15,15000,15145,14810,15035,792,1258
2011-12-16,15150,15300,15080,15280,550,1308
2011-12-19,15205,15230,15060,15100,652,1420
2011-12-20,15105,15165,15060,15095,138,964
2011-12-21,15180,15245,15160,15170,158,1444
2011-12-22,15190,15210,15140,15170,158,802
2011-12-23,15300,15340,15200,15340,460,1404
2011-12-26,15305,15305,15095,15095,390,1426
2011-12-27,15050,15220,15025,15165,184,1356
2011-12-28,15155,15215,15135,15190,206,1296
2011-12-29,15050,15065,15000,15065,280,518
2011-12-30,15240,15290,15180,15285,256,1264
2012-01-04,15405,15490,15285,15300,352,1118
2012-01-05,15280,15445,15000,15320,218,782
2012-01-06,15225,15300,15150,15275,400,1100
2012-01-09,15095,15220,15085,15180,564,1282
2012-01-10,15200,15330,15125,15275,364,1452
2012-01-11,15350,15385,15225,15335,266,1554
2012-01-12,15265,15420,15220,15400,384,1720
2012-01-13,15455,15490,15370,15490,464,1886
2012-01-16,15350,15495,15265,15420,368,2034
2012-01-17,15480,15700,15435,15630,362,1984
2012-01-18,15665,15825,15665,15750,634,1936
2012-01-19,15885,16000,15860,16000,714,2052
2012-01-20,16010,16225,15890,16120,464,2024
2012-01-30,16440,16440,16100,16120,694,1940
2012-01-31,16110,16200,16060,16160,276,1892
2012-02-01,16100,16130,15960,15995,312,1842
2012-02-02,16130,16140,16025,16125,98,1858
2012-02-03,15990,16170,15940,16145,312,1904
2012-02-06,16265,16300,16225,16245,236,1838
2012-02-07,16200,16215,16060,16090,194,670
2012-02-08,16060,16250,16060,16240,156,1870
2012-02-09,16215,16300,16150,16175,458,992
2012-02-10,16270,16270,16155,16180,156,1000
2012-02-13,16080,16190,16040,16090,238,1068
2012-02-14,16040,16040,15830,15870,454,1274
2012-02-15,15825,15975,15825,15890,572,1608
2012-02-16,15815,15815,15530,15595,670,1834
2012-02-17,15755,15755,15585,15600,454,1966
2012-02-20,15600,15795,15600,15685,254,1976
2012-02-21,15715,15830,15695,15820,328,2116
2012-02-22,15895,15930,15775,15820,360,2194
2012-02-23,15830,15930,15830,15900,348,2078
2012-02-24,15950,16025,15940,15990,404,2026
2012-02-27,16150,16195,16105,16125,474,1912
2012-02-28,16195,16360,16180,16295,624,1938
2012-02-29,16255,16385,16220,16315,402,1830
2012-03-01,16150,16195,16050,16050,502,1736
2012-03-02,16095,16210,16095,16210,454,1736
2012-03-05,16160,16205,16120,16130,74,1708
2012-03-06,16060,16100,15900,15900,290,1562
2012-03-07,15660,15700,15620,15630,578,1338
2012-03-08,15740,16025,15740,15850,300,1186
2012-03-09,15900,16020,15895,16020,240,1224
2012-03-12,15970,15975,15870,15940,396,1386
2012-03-13,15980,16050,15975,16045,150,1130
2012-03-14,16170,16170,15910,15920,140,1408
2012-03-15,15820,15890,15760,15850,356,1468
2012-03-16,15965,16020,15905,15995,212,1494
2012-03-19,15895,15900,15835,15865,328,1552
2012-03-20,15905,15910,15805,15860,268,1600
2012-03-21,15760,15760,15655,15730,888,1918
2012-03-22,15760,15760,15600,15605,714,1226
2012-03-23,15510,15600,15510,15600,710,1792
2012-03-26,15645,15680,15540,15595,302,1942
2012-03-27,15680,15680,15610,15625,364,2080
2012-03-28,15570,15625,15450,15475,532,2280
2012-03-29,15440,15475,15380,15385,496,2400
2012-03-30,15450,15570,15450,15570,232,2420
2012-04-05,15350,15570,15350,15530,286,2506
2012-04-06,15660,15680,15360,15680,266,2558
2012-04-09,15645,15720,15580,15580,228,2558
2012-04-10,15525,15670,15525,15600,446,2340
2012-04-11,15470,15530,15430,15450,274,888
2012-04-12,15655,15700,15560,15700,396,776
2012-04-13,15745,15785,15695,15720,420,2050
2012-04-16,15585,15585,15490,15570,256,1016
2012-04-17,15660,15670,15600,15600,266,1928
2012-04-18,15710,15750,15610,15710,300,1090
2012-04-19,15680,15685,15625,15675,114,1124
2012-04-20,15670,15765,15670,15730,266,410
2012-04-23,15740,15820,15740,15760,314,1550
2012-04-24,15715,15770,15700,15740,166,1482
2012-04-25,15770,15770,15705,15720,218,1400
2012-04-26,15750,15815,15735,15815,104,1434
2012-04-27,15855,15900,15820,15835,262,1262
2012-05-02,15815,15950,15815,15935,508,1416
2012-05-03,15825,15925,15825,15830,524,1492
2012-05-04,15795,15800,15770,15800,212,1404
2012-05-07,15700,15720,15680,15710,108,1442
2012-05-08,15715,15800,15705,15740,216,1402
2012-05-09,15700,15730,15615,15665,410,1198
2012-05-10,15610,15695,15580,15660,388,1024
2012-05-11,15650,15680,15560,15600,264,992
2012-05-14,15700,15700,15400,15530,378,1034
2012-05-15,15410,15520,15410,15520,344,1082
2012-05-16,15405,15445,15250,15250,326,642
2012-05-17,15300,15340,15220,15245,566,934
2012-05-18,15150,15185,15060,15060,700,1450
2012-05-21,15195,15285,15190,15260,202,1518
2012-05-22,15255,15265,15200,15210,256,1704
2012-05-23,15100,15190,15055,15075,204,1740
2012-05-24,15190,15190,15010,15130,260,1770
2012-05-25,15140,15155,15115,15155,102,1786
2012-05-28,15200,15300,15165,15300,174,1806
2012-05-29,15260,15270,15230,15240,278,308
2012-05-30,15200,15200,15065,15130,108,1934
2012-05-31,15000,15100,14900,15030,248,2056
2012-06-01,15030,15085,15020,15070,134,2120
2012-06-04,15000,15000,14885,14885,196,2130
2012-06-05,15040,15100,14955,15050,182,2092
2012-06-06,15035,15120,15015,15040,236,644
2012-06-07,15110,15120,15050,15050,110,720
2012-06-08,15055,15070,14975,14995,136,2168
2012-06-11,15115,15150,15065,15095,114,842
2012-06-12,14955,15015,14915,14940,180,962
2012-06-13,15135,15935,15040,15065,236,514
2012-06-14,14955,14990,14955,14970,178,1262
2012-06-15,15095,15125,15060,15105,142,2180
2012-06-18,15280,15280,15135,15150,78,2180
2012-06-19,15015,15065,14995,14995,246,1400
2012-06-20,15060,15075,15040,15060,64,1440
2012-06-21,14950,14950,14850,14900,238,1540
2012-06-25,14780,14830,14780,14800,262,2044
2012-06-26,14720,14730,14470,14470,252,888
2012-06-27,14460,14460,14350,14400,270,1074
2012-06-28,14310,14510,14310,14510,452,1452
2012-06-29,14490,14695,14455,14665,374,1656
2012-07-02,14935,14935,14700,14750,440,1806
2012-07-03,14855,14985,14845,14950,282,1884
2012-07-04,15000,15000,14835,14950,576,1946
2012-07-05,14950,15035,14895,14990,188,1980
2012-07-06,14950,14950,14850,14930,198,2044
2012-07-09,14855,14930,14815,14840,222,2136
2012-07-10,14900,14950,14860,14860,94,2154
2012-07-11,14815,14870,14800,14870,96,2176
2012-07-12,14850,14880,14815,14870,66,2204
2012-07-13,14930,14960,14810,14960,196,2312
2012-07-16,14915,15005,14915,14995,356,2422
2012-07-17,14995,15065,14940,14960,386,2402
2012-07-18,14970,15000,14955,14960,180,2520
2012-07-19,14995,15075,14995,15020,246,2558
2012-07-20,15050,15070,14920,14995,372,2522
2012-07-23,14805,14900,14780,14805,328,2586
2012-07-24,14745,14895,14745,14880,192,2618
2012-07-25,14815,14820,14705,14705,272,2738
2012-07-26,14835,14835,14705,14790,204,2792
2012-07-27,14835,15000,14835,15000,194,2742
2012-07-30,15075,15130,14960,14970,388,2602
2012-07-31,15055,15090,15035,15070,462,2456
2012-08-01,14965,15025,14900,15010,158,2470
2012-08-02,14960,14980,14860,14905,170,2524
2012-08-03,14805,14900,14805,14860,304,2676
