日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
1996-04-02 15:00,25530.00,25600.00,25440.00,25440.00,12750.00,137,25520.00
1996-04-03 15:00,25300.00,25420.00,25250.00,25350.00,12662.50,107,25335.00
1996-04-04 15:00,25120.00,25420.00,25100.00,25380.00,13475.00,119,25260.00
1996-04-05 15:00,25450.00,25450.00,25370.00,25440.00,8562.50,25,25410.00
1996-04-08 15:00,25250.00,25260.00,25250.00,25250.00,7712.50,8,25255.00
1996-04-09 15:00,25390.00,25450.00,25370.00,25420.00,6288.00,46,25410.00
1996-04-10 15:00,25370.00,25550.00,25370.00,25440.00,6575.00,35,25460.00
1996-04-11 15:00,25650.00,25740.00,25650.00,25700.00,5675.00,36,25695.00
1996-04-12 15:00,26180.00,26280.00,26000.00,26150.00,13287.50,279,26140.00
1996-04-15 15:00,26060.00,26090.00,25820.00,25850.00,12637.50,127,25955.00
1996-04-16 15:00,25700.00,25800.00,25700.00,25720.00,12700.00,72,25750.00
1996-04-17 15:00,25850.00,25850.00,25800.00,25820.00,12512.50,24,25825.00
1996-04-18 15:00,25940.00,25960.00,25800.00,25840.00,12250.00,54,25880.00
1996-04-19 15:00,25820.00,25830.00,25800.00,25810.00,12150.00,34,25815.00
1996-04-22 15:00,26100.00,26140.00,26000.00,26110.00,11425.00,101,26070.00
1996-04-23 15:00,26060.00,26190.00,26050.00,26180.00,11237.50,24,26120.00
1996-04-24 15:00,26150.00,26150.00,25930.00,25930.00,11050.00,14,26040.00
1996-04-25 15:00,26150.00,26160.00,26000.00,26010.00,11387.50,63,26080.00
1996-04-26 15:00,25920.00,26040.00,25920.00,25950.00,11800.00,79,25980.00
1996-04-29 15:00,25850.00,25850.00,25780.00,25800.00,11800.00,79,25815.00
1996-04-30 15:00,25800.00,25870.00,25740.00,25860.00,12087.50,52,25805.00
1996-05-06 15:00,26060.00,26180.00,26040.00,26170.00,11750.00,72,26110.00
