日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
1994-10-07 15:00,16250.00,16250.00,15950.00,15950.00,0.00,126,16100.00
1994-10-10 15:00,15900.00,16250.00,15900.00,16240.00,0.00,693,16075.00
1994-10-11 15:00,16150.00,16160.00,16050.00,16150.00,0.00,171,16105.00
1994-10-12 15:00,16245.00,16250.00,16150.00,16150.00,0.00,236,16200.00
1994-10-13 15:00,16250.00,16250.00,16170.00,16170.00,0.00,227,16210.00
1994-10-14 15:00,16380.00,16450.00,16350.00,16420.00,0.00,763,16400.00
1994-10-17 15:00,16680.00,16740.00,16680.00,16740.00,0.00,1049,16710.00
1994-10-18 15:00,17035.00,17070.00,17000.00,17020.00,0.00,789,17035.00
1994-10-19 15:00,17000.00,17050.00,16890.00,16970.00,0.00,616,16970.00
1994-10-20 15:00,17000.00,17200.00,16980.00,17150.00,0.00,470,17090.00
1994-10-21 15:00,17100.00,17420.00,17100.00,17420.00,0.00,478,17260.00
1994-10-24 15:00,17150.00,17300.00,17000.00,17270.00,0.00,628,17150.00
1994-10-25 15:00,17300.00,17480.00,17300.00,17430.00,0.00,530,17390.00
1994-10-26 15:00,17600.00,17770.00,17580.00,17770.00,0.00,343,17675.00
1994-10-27 15:00,18120.00,18120.00,18120.00,18120.00,0.00,7,18120.00
1994-10-28 15:00,18465.00,18480.00,18110.00,18480.00,0.00,661,18295.00
1994-10-31 15:00,18330.00,18800.00,18330.00,18800.00,0.00,418,18565.00
1994-11-01 15:00,18900.00,18980.00,18815.00,18870.00,0.00,418,18897.50
1994-11-02 15:00,19240.00,19240.00,19240.00,19240.00,0.00,217,19240.00
1994-11-03 15:00,18900.00,18900.00,18860.00,18860.00,0.00,388,18880.00
1994-11-04 15:00,18490.00,18490.00,18490.00,18490.00,0.00,20,18490.00
1994-11-07 15:00,18130.00,18130.00,18130.00,18130.00,0.00,1,18130.00
1994-11-08 15:00,17770.00,17770.00,17770.00,17770.00,0.00,0,17770.00
1994-11-09 15:00,17420.00,18120.00,17420.00,18120.00,0.00,3,17770.00
1994-11-10 15:00,17800.00,17900.00,17760.00,17760.00,0.00,534,17830.00
1994-11-11 15:00,16700.00,16960.00,16600.00,16850.00,0.00,164,16780.00
1994-11-14 15:00,17650.00,17730.00,17640.00,17660.00,0.00,120,17685.00
1994-11-15 15:00,18030.00,18030.00,17850.00,18030.00,0.00,99,17940.00
1994-11-16 15:00,18390.00,18390.00,18065.00,18390.00,0.00,125,18227.50
1994-11-17 15:00,18750.00,18750.00,18750.00,18750.00,0.00,344,18750.00
1994-11-18 15:00,18950.00,18950.00,18400.00,18770.00,0.00,5,18675.00
1994-11-21 15:00,18850.00,18850.00,18720.00,18750.00,0.00,251,18785.00
1994-11-22 15:00,18800.00,19110.00,18800.00,19075.00,0.00,107,18955.00
1994-11-23 15:00,18730.00,18730.00,18730.00,18730.00,0.00,116,18730.00
1994-11-24 15:00,18700.00,18700.00,18400.00,18500.00,0.00,145,18550.00
1994-11-25 15:00,18550.00,18550.00,18500.00,18540.00,0.00,145,18525.00
1994-11-28 15:00,18250.00,18340.00,18250.00,18320.00,0.00,41,18295.00
1994-11-29 15:00,17950.00,17950.00,17950.00,17950.00,0.00,46,17950.00
1994-11-30 15:00,18300.00,18300.00,18300.00,18300.00,0.00,8,18300.00
1994-12-01 15:00,18300.00,18475.00,18250.00,18300.00,0.00,1,18362.50
1994-12-02 15:00,18000.00,18300.00,18000.00,18300.00,0.00,47,18150.00
1994-12-05 15:00,18250.00,18300.00,18100.00,18300.00,0.00,32,18200.00
1994-12-06 15:00,18200.00,18320.00,18200.00,18320.00,0.00,23,18260.00
1994-12-07 15:00,18450.00,18480.00,18400.00,18450.00,0.00,15,18440.00
1994-12-08 15:00,18350.00,18350.00,18310.00,18310.00,0.00,52,18330.00
1994-12-09 15:00,18400.00,18400.00,18280.00,18300.00,0.00,7,18340.00
1994-12-12 15:00,18280.00,18350.00,18280.00,18350.00,0.00,20,18315.00
1994-12-13 15:00,18300.00,18300.00,18220.00,18220.00,0.00,10,18260.00
1994-12-14 15:00,18200.00,18200.00,17870.00,17990.00,0.00,17,18035.00
1994-12-15 15:00,18000.00,18100.00,18000.00,18100.00,0.00,93,18050.00
1994-12-16 15:00,18460.00,18460.00,18250.00,18250.00,0.00,33,18355.00
1994-12-19 15:00,18150.00,18180.00,18110.00,18110.00,0.00,18,18145.00
1994-12-20 15:00,18000.00,18100.00,17950.00,18100.00,0.00,33,18025.00
1994-12-21 15:00,17950.00,18080.00,17950.00,18080.00,0.00,5,18015.00
1994-12-22 15:00,18080.00,18100.00,18060.00,18060.00,0.00,6,18080.00
1994-12-23 15:00,18070.00,18090.00,18070.00,18090.00,0.00,4,18080.00
1994-12-26 15:00,18200.00,18200.00,18100.00,18160.00,0.00,28,18150.00
1994-12-27 15:00,18180.00,18300.00,18180.00,18300.00,0.00,23,18240.00
1994-12-28 15:00,18300.00,18400.00,18300.00,18300.00,0.00,8,18350.00
1994-12-29 15:00,18400.00,18410.00,18355.00,18400.00,0.00,28,18382.50
1994-12-30 15:00,18410.00,18420.00,18360.00,18360.00,0.00,6,18390.00
1995-01-03 15:00,18340.00,18360.00,18340.00,18360.00,0.00,16,18350.00
1995-01-04 15:00,18400.00,18450.00,18350.00,18350.00,0.00,13,18400.00
1995-01-05 15:00,18300.00,18350.00,18300.00,18350.00,0.00,3,18325.00
1995-01-06 15:00,18440.00,18500.00,18400.00,18500.00,0.00,18,18450.00
1995-01-09 15:00,18580.00,18680.00,18580.00,18680.00,0.00,4,18630.00
1995-01-10 15:00,18800.00,18980.00,18800.00,18980.00,0.00,30,18890.00
1995-01-11 15:00,18710.00,18710.00,18710.00,18710.00,0.00,2,18710.00
1995-01-12 15:00,18850.00,18850.00,18760.00,18800.00,0.00,28,18805.00
1995-01-13 15:00,18710.00,19100.00,18710.00,19100.00,0.00,7,18905.00
1995-01-18 15:00,18900.00,19050.00,18900.00,19050.00,0.00,12,18975.00
1995-01-19 15:00,19050.00,19050.00,19000.00,19000.00,0.00,12,19025.00
1995-01-20 15:00,19060.00,19060.00,18960.00,18960.00,0.00,17,19010.00
1995-01-23 15:00,19000.00,19000.00,19000.00,19000.00,0.00,5,19000.00
1995-01-24 15:00,18950.00,19000.00,18950.00,18980.00,0.00,22,18975.00
1995-01-25 15:00,19000.00,19080.00,19000.00,19080.00,0.00,17,19040.00
