日期/时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2012-05-10,6190,6196,6082,6142,259996,33726
2012-05-11,6110,6115,6000,6002,206804,55020
2012-05-14,6040,6045,5960,5977,207668,57028
2012-05-15,5895,5910,5711,5843,445150,82238
2012-05-16,5750,5786,5643,5647,599186,108376
2012-05-17,5705,5787,5691,5763,558246,89768
2012-05-18,5808,5881,5768,5863,695576,92162
2012-05-21,5957,5964,5903,5941,405766,97686
2012-05-22,5920,5930,5882,5890,371088,90716
2012-05-23,5800,5818,5759,5791,300170,90202
2012-05-24,5785,5838,5766,5832,301270,85938
2012-05-25,5858,5912,5804,5904,420278,92544
2012-05-28,5940,5992,5916,5989,381418,94920
2012-05-29,5933,5982,5922,5962,349920,93104
2012-05-30,5817,5855,5798,5801,349610,94548
2012-05-31,5836,5878,5826,5851,365958,85856
2012-06-01,5800,5840,5771,5832,296984,86528
2012-06-04,5923,5998,5901,5947,393532,87272
2012-06-05,5954,5985,5921,5931,323394,87988
2012-06-06,6001,6092,5991,6088,343846,89946
2012-06-07,6145,6154,6110,6133,272726,91644
2012-06-08,6005,6023,5905,5935,316480,79718
2012-06-11,6054,6099,6031,6063,207094,77300
2012-06-12,5992,6038,5978,5988,243702,87952
2012-06-13,6050,6083,6040,6081,184636,80188
2012-06-14,6068,6128,6061,6080,189246,82052
2012-06-15,6050,6085,6032,6070,208546,80836
2012-06-18,6087,6095,6003,6010,309918,99022
2012-06-19,6058,6080,6045,6063,168258,76972
2012-06-20,5996,6029,5990,6010,175782,83302
2012-06-21,5900,5925,5893,5911,141540,75606
2012-06-25,5700,5742,5691,5716,162514,89926
2012-06-26,5830,5830,5783,5791,139496,83698
2012-06-27,5767,5771,5725,5745,134318,90242
2012-06-28,5778,5782,5733,5737,120318,88586
2012-06-29,5651,5764,5632,5751,234654,83390
2012-07-02,5831,5835,5785,5796,156980,73088
2012-07-03,5820,5915,5810,5909,186102,68056
2012-07-04,5952,5979,5932,5948,133860,61944
2012-07-05,5960,5995,5944,5993,118224,64576
2012-07-06,5929,5932,5864,5872,148200,64902
2012-07-09,5790,5832,5782,5806,141584,71858
2012-07-10,5813,5834,5795,5798,100886,69612
2012-07-11,5755,5780,5750,5774,95358,69642
2012-07-12,5774,5779,5728,5743,113558,77556
2012-07-13,5770,5830,5764,5828,96844,69356
2012-07-16,5810,5834,5787,5828,90630,63190
2012-07-17,5845,5877,5812,5830,104858,59076
