日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2007-03-26 15:00,28600.00,29600.00,28580.00,29220.00,2320.00,8393,29200.00
2007-03-27 15:00,29550.00,29870.00,29500.00,29725.00,3173.00,8023,29685.00
2007-03-28 15:00,29495.00,29700.00,29420.00,29565.00,3524.00,4253,29535.00
2007-03-29 15:00,29510.00,29560.00,29010.00,29030.00,3994.00,4371,29280.00
2007-03-30 15:00,29430.00,29500.00,29180.00,29390.00,4589.00,6879,29365.00
2007-04-02 15:00,29390.00,29445.00,29250.00,29290.00,4743.00,2951,29330.00
2007-04-03 15:00,28935.00,28980.00,28660.00,28780.00,5184.00,5805,28810.00
2007-04-04 15:00,29250.00,29260.00,28980.00,28985.00,5399.00,4424,29085.00
2007-04-05 15:00,29700.00,30245.00,29540.00,30245.00,6689.00,9292,29935.00
2007-04-06 15:00,30245.00,31515.00,30105.00,31385.00,8597.00,30779,30960.00
2007-04-09 15:00,31550.00,32195.00,31550.00,32195.00,9567.00,16372,31950.00
2007-04-10 15:00,32850.00,33865.00,31980.00,32745.00,12487.00,64238,33005.00
2007-04-11 15:00,32800.00,32990.00,32020.00,32395.00,13286.00,58067,32485.00
2007-04-12 15:00,32535.00,33220.00,32370.00,32955.00,15067.00,56443,32885.00
2007-04-13 15:00,32000.00,32265.00,31600.00,31720.00,13347.00,29206,31905.00
2007-04-16 15:00,32055.00,32360.00,31860.00,32245.00,14213.00,28993,32165.00
2007-04-17 15:00,32100.00,32640.00,31855.00,32160.00,14851.00,37526,32300.00
2007-04-18 15:00,33590.00,33590.00,33400.00,33590.00,13736.00,11803,33560.00
2007-04-19 15:00,33790.00,34030.00,31560.00,32790.00,14566.00,71437,33050.00
2007-04-20 15:00,33000.00,33100.00,31990.00,32960.00,14414.00,63786,32665.00
2007-04-23 15:00,33280.00,33660.00,32400.00,32840.00,15742.00,54459,33190.00
2007-04-24 15:00,33980.00,34100.00,33460.00,34065.00,17475.00,50478,33785.00
2007-04-25 15:00,33335.00,33480.00,32860.00,33070.00,16515.00,62215,33145.00
2007-04-26 15:00,33365.00,33500.00,33120.00,33305.00,17244.00,33561,33330.00
2007-04-27 15:00,32500.00,32700.00,32160.00,32270.00,15704.00,36199,32420.00
2007-04-30 15:00,32310.00,32775.00,32120.00,32700.00,14294.00,25015,32410.00
2007-05-08 15:00,33705.00,33705.00,33705.00,33705.00,14155.00,292,33705.00
2007-05-09 15:00,35590.00,35590.00,34500.00,34555.00,17445.00,48274,34800.00
2007-05-10 15:00,34190.00,34745.00,34105.00,34710.00,19473.00,53808,34445.00
2007-05-11 15:00,33800.00,34000.00,33205.00,33330.00,17349.00,42800,33705.00
2007-05-14 15:00,33860.00,33900.00,33330.00,33410.00,17151.00,35602,33600.00
2007-05-15 15:00,32600.00,32630.00,32255.00,32255.00,15162.00,27524,32365.00
2007-05-16 15:00,32300.00,32530.00,31435.00,31830.00,14783.00,44117,31795.00
2007-05-17 15:00,30525.00,31015.00,30520.00,30520.00,12635.00,28754,30700.00
2007-05-18 15:00,29720.00,30140.00,28900.00,29355.00,11589.00,64344,29545.00
2007-05-21 15:00,29545.00,30725.00,29545.00,30725.00,10479.00,25748,30375.00
2007-05-22 15:00,31350.00,32000.00,30565.00,30895.00,11664.00,64013,31140.00
2007-05-23 15:00,30110.00,30350.00,29920.00,30130.00,11481.00,32428,30170.00
2007-05-24 15:00,29910.00,30600.00,29910.00,30585.00,12667.00,41413,30360.00
2007-05-25 15:00,29310.00,29880.00,29310.00,29800.00,10934.00,26969,29475.00
2007-05-28 15:00,30650.00,30650.00,30650.00,30650.00,10292.00,770,30650.00
2007-05-29 15:00,31200.00,31200.00,30120.00,30245.00,10699.00,27405,30500.00
2007-05-30 15:00,30200.00,30655.00,30005.00,30125.00,9926.00,32989,30320.00
2007-05-31 15:00,30365.00,30780.00,30295.00,30705.00,10458.00,22856,30520.00
2007-06-01 15:00,31010.00,31095.00,30490.00,30590.00,9200.00,20038,30685.00
2007-06-04 15:00,30600.00,30670.00,30150.00,30150.00,8060.00,7011,30390.00
2007-06-05 15:00,30480.00,30780.00,30360.00,30515.00,6807.00,4845,30530.00
2007-06-06 15:00,30600.00,30850.00,30535.00,30675.00,8045.00,15455,30740.00
2007-06-07 15:00,30300.00,30485.00,30010.00,30140.00,8225.00,18783,30225.00
2007-06-08 15:00,30100.00,30250.00,29780.00,29925.00,8643.00,15982,29990.00
2007-06-11 15:00,30010.00,30280.00,29730.00,30270.00,10253.00,24968,30030.00
2007-06-12 15:00,30490.00,30530.00,29960.00,29980.00,9302.00,17784,30230.00
2007-06-13 15:00,29900.00,30050.00,29780.00,29965.00,8767.00,10183,29955.00
2007-06-14 15:00,30010.00,30045.00,29730.00,29780.00,9387.00,8627,29830.00
2007-06-15 15:00,29850.00,29900.00,28820.00,28870.00,9072.00,22994,29220.00
2007-06-18 15:00,29080.00,29360.00,28785.00,29280.00,9732.00,23534,29050.00
2007-06-19 15:00,28980.00,28980.00,28615.00,28750.00,9159.00,17153,28790.00
2007-06-20 15:00,28610.00,29050.00,28580.00,28905.00,9186.00,18164,28835.00
2007-06-21 15:00,28805.00,28880.00,28680.00,28810.00,9054.00,10126,28780.00
2007-06-22 15:00,28480.00,28490.00,28110.00,28160.00,9619.00,19131,28220.00
2007-06-25 15:00,28205.00,28220.00,27090.00,27090.00,11031.00,24744,27540.00
2007-06-26 15:00,27270.00,27290.00,26445.00,26455.00,10469.00,41134,26690.00
2007-06-27 15:00,25900.00,25930.00,25620.00,25620.00,9308.00,9317,25660.00
2007-06-28 15:00,25420.00,26560.00,25390.00,26550.00,7757.00,28826,26030.00
2007-06-29 15:00,26565.00,27015.00,25850.00,26695.00,13354.00,116705,26500.00
2007-07-02 15:00,26415.00,26750.00,26165.00,26620.00,14025.00,81433,26480.00
2007-07-03 15:00,27100.00,27535.00,27000.00,27535.00,14107.00,58302,27235.00
2007-07-04 15:00,27255.00,27440.00,26605.00,26655.00,16986.00,94003,27025.00
2007-07-05 15:00,26900.00,27000.00,26510.00,26670.00,17113.00,79432,26705.00
2007-07-06 15:00,26555.00,26580.00,26150.00,26250.00,18027.00,57894,26290.00
2007-07-09 15:00,26325.00,27070.00,26320.00,26990.00,16519.00,57316,26805.00
2007-07-10 15:00,26810.00,26885.00,26520.00,26565.00,17569.00,58988,26660.00
2007-07-11 15:00,26510.00,26510.00,26215.00,26360.00,17448.00,45493,26335.00
