date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2015-03-27,16025,16060,15880,15905,35290,75124,15970
2015-03-30,119270,119530,115600,118080,2464,834,117721
2015-03-31,117650,119800,115960,118160,4522,1176,117790
2015-04-01,117800,118880,117080,117910,4374,1272,118281
2015-04-02,117970,119080,117970,118700,2716,1038,118540
2015-04-03,118600,119470,118560,118840,1388,1002,118950
2015-04-07,118890,119090,118270,118970,844,904,118630
2015-04-08,118710,118890,117150,117840,844,750,118200
2015-04-09,117570,117980,116500,116790,812,804,117201
2015-04-10,116500,116980,115320,115990,2416,916,115860
2015-04-13,115960,116290,115270,115510,1586,1004,115755
2015-04-14,115550,115650,112500,112500,5576,1884,113689
2015-04-15,112420,114140,112320,113750,4114,1698,113530
2015-04-16,112530,113700,111010,112880,3866,1962,112789
2015-04-17,113000,113000,109300,110000,11322,3584,111113
2015-04-20,112000,112950,111120,111440,10518,2656,111858
2015-04-21,111530,111880,111100,111550,3434,2964,111474
2015-04-22,112190,113290,112190,112940,5868,2736,112875
2015-04-23,113400,113760,112960,113300,3310,2468,113430
2015-04-24,113350,113950,112750,113940,2086,2526,113430
2015-04-27,114400,117960,114400,117960,16990,3096,116539
2015-04-28,117970,118550,116500,117400,31980,4452,117740
2015-04-29,117140,117720,115120,115370,10628,4638,116821
2015-04-30,116000,119890,115380,117750,17756,5586,117360
2015-05-04,118530,119500,117890,118820,8814,6072,118835
2015-05-05,119000,119780,118000,118680,12990,6392,118921
2015-05-06,119640,123670,119600,123400,32668,8600,122030
2015-05-07,123300,125910,121500,122030,51604,7606,123860
2015-05-08,122600,122960,120020,121290,22068,7346,121315
2015-05-11,120890,122690,120710,122400,13824,7580,121670
2015-05-12,121100,121930,119690,119970,17242,7502,121028
2015-05-13,120800,121100,120000,120700,10412,7156,120580
2015-05-14,120700,122480,117800,119500,31286,7222,120460
2015-05-15,119190,119680,118610,119100,11000,7396,119170
2015-05-18,118690,119940,118030,119250,11708,7298,119380
2015-05-19,119520,119650,118070,118140,7572,6732,118920
2015-05-20,117690,117960,114160,115860,27600,6122,115840
2015-05-21,116350,120400,115220,119180,38170,6916,118340
2015-05-22,119500,119730,116900,117980,23976,6632,118654
2015-05-25,117170,119800,116800,117580,25734,6844,118620
2015-05-26,117600,119570,117600,118270,18802,6648,118860
2015-05-27,116760,117570,116200,116510,17848,7100,116872
2015-05-28,116010,117510,115720,116980,15240,6652,116765
2015-05-29,116900,116900,115680,116160,8976,6090,116320
2015-06-01,116090,116350,115670,116210,4358,5708,116010
2015-06-02,116120,117000,115780,116490,3880,5624,116410
2015-06-03,116740,116800,115060,115520,3304,5472,116381
2015-06-04,115330,115900,114500,114750,3236,5216,115077
2015-06-05,114640,114980,114260,114260,1284,5218,114570
2015-06-08,113990,114940,113910,114700,2082,5128,114300
2015-06-09,114710,115600,114710,114930,2194,5114,115110
2015-06-10,115340,115550,114850,115450,1228,5088,115199
2015-06-11,115490,115670,115300,115420,1014,4910,115460
2015-06-12,114420,114700,113520,113700,3152,4014,114110
2015-06-15,113410,113660,112810,113090,1276,3794,113370
2015-06-16,111720,112650,111700,111780,1166,3668,112240
2015-06-17,111990,112230,111210,111730,1016,3574,111680
2015-06-18,112290,112600,111820,112490,768,3462,112290
2015-06-19,113010,114450,112470,113770,1368,3422,113520
2015-06-23,113360,114330,113360,114110,632,3300,114060
2015-06-24,113680,114150,112580,113130,974,3198,113545
2015-06-25,112820,113300,109470,111220,1352,3092,112070
2015-06-26,111280,111920,109800,110110,1698,2950,110740
2015-06-29,109100,110800,109000,109820,1234,3012,110228
2015-06-30,109000,109400,105740,106050,1382,2808,0
2015-07-01,104010,107740,104010,106700,278,2776,105482
2015-07-02,109800,109990,108560,109580,2590,2808,109390
2015-07-03,110370,111140,109950,109990,2342,2902,110649
2015-07-06,107960,109850,106510,107040,2102,2884,107880
2015-07-07,108500,109190,106800,107080,2356,2794,108128
2015-07-08,106000,106430,103710,103710,3868,2882,104207
2015-07-09,104670,110020,104010,107800,3426,2426,105981
2015-07-10,107000,108790,106500,107620,184,2664,107987
2015-07-13,107750,108500,106900,107550,2170,2586,107610
2015-07-14,108300,108500,105000,108500,24,2664,108300
2015-07-15,108500,108900,108100,108500,92,2664,108300
2015-07-16,108500,108900,108100,111110,0,2664,111110
2015-07-17,108500,108900,108100,110820,100,2664,110820
2015-07-20,108500,108900,108100,111920,0,2664,111920
2015-07-22,110780,111190,108560,108800,2200,2098,110310
2015-07-23,108250,108940,108060,108940,1550,2130,108560
2015-07-24,109200,109490,108120,108210,1462,2078,108830
2015-07-27,108280,111400,107030,108170,3556,2084,109280
2015-07-28,108400,109940,107920,109820,1906,2068,108890
2015-07-29,110980,112360,110800,111770,3144,2024,111540
2015-07-30,111260,111780,110120,110180,2828,1958,111150
2015-07-31,109600,111140,109280,109960,1278,1960,110440
2015-08-03,110440,111370,108720,108720,1688,1906,110600
2015-08-04,107800,108860,107500,108750,1578,1744,108400
2015-08-05,108900,109190,106900,107490,1078,1792,107900
2015-08-06,107500,108480,106390,107350,1482,1736,107140
2015-08-07,107600,108080,106790,107410,810,1680,107340
2015-08-10,107100,107960,106510,107810,816,1590,107220
2015-08-11,107400,111350,107260,108490,1200,1506,108920
2015-08-12,108100,108620,107070,108400,1104,1536,107680
2015-08-13,108620,109320,107500,107790,1550,1476,108380
2015-08-14,107620,108210,107200,107200,610,1458,107770
2015-08-17,109200,109200,107060,107390,950,1512,107900
2015-08-18,107330,107770,106800,107160,562,1526,107240
2015-08-19,106710,107360,106550,107280,760,1364,106977
2015-08-20,107560,108680,106680,106940,576,1280,107288
2015-08-21,107100,107450,105310,105380,712,1288,106305
2015-08-24,104000,105790,101980,101980,1358,1264,103707
2015-08-25,100050,101370,100010,100830,460,1234,100661
2015-08-26,100710,102040,100210,100210,566,1104,101226
2015-08-27,99580,100460,98210,100110,478,1060,99753
2015-08-28,100090,102980,99610,101000,1190,1028,101433
2015-08-31,101000,102090,99210,99500,690,916,100512
2015-09-01,100490,100500,99510,99820,76,880,100083
2015-09-02,100500,100580,97210,99600,156,868,99280
2015-09-03,100500,100580,97210,99280,0,868,99280
2015-09-07,100000,100000,97630,100000,104,796,99714
2015-09-08,98240,100150,97630,100150,76,760,99400
2015-09-09,101570,102200,100000,100400,68,756,100850
2015-09-10,100020,100550,100020,100550,16,756,0
2015-09-14,103180,103760,102030,102120,574,830,103211
2015-09-15,102170,102520,101160,101460,432,868,101590
2015-09-16,102150,102400,101560,102190,296,864,101890
2015-09-17,102480,102480,101830,101850,196,870,102176
2015-09-18,101040,101800,101040,101300,328,762,101592
2015-09-21,101310,101310,99520,100550,630,788,100350
2015-09-22,100500,100500,99050,99050,454,776,99820
2015-09-23,99080,99080,97080,98800,544,776,98510
2015-09-24,98500,99570,98090,98740,304,798,98590
2015-09-25,99390,99690,98410,98980,354,764,99100
2015-09-28,99070,99690,97220,97400,466,876,97790
2015-09-29,97050,97520,96220,97100,696,968,97050
2015-09-30,97390,98080,97010,97100,498,1054,97560
2015-10-01,97390,98080,97010,97560,0,1054,97560
2015-10-08,97200,97200,96690,96690,20,436,96916
2015-10-09,98100,99280,97170,99100,1146,1236,98406
2015-10-12,100500,100500,98460,99010,706,1364,99090
2015-10-13,99110,99700,98400,98560,1414,1686,99060
2015-10-14,98210,98700,97290,97510,1070,1896,98017
2015-10-15,97860,101000,97620,99600,2736,2616,99221
2015-10-16,99700,100230,97250,98460,2108,2448,99267
2015-10-19,98410,99320,97280,98010,1976,2332,98377
2015-10-20,97910,98500,97680,98190,788,2442,98053
2015-10-21,98570,99200,98310,98420,2036,2762,98670
2015-10-22,98070,98880,97840,98500,1110,2734,98297
2015-10-23,98400,98680,97500,98490,1914,2680,98117
2015-10-26,98980,99090,97280,97450,2398,2678,97819
2015-10-27,96990,97800,96330,97200,2664,2822,96868
2015-10-28,96900,97470,94700,95070,2088,3134,96141
2015-10-29,94670,95900,94350,94530,4440,3520,95039
2015-10-30,94000,94360,92680,93350,5608,4010,93498
2015-11-02,93060,93920,93040,93610,2946,3688,93563
2015-11-03,93600,94440,93210,93220,1218,3372,93545
2015-11-04,93210,93510,92610,93010,1502,3386,93045
2015-11-05,93010,93850,92800,93210,2090,3262,93218
2015-11-06,93020,93020,91100,91820,3450,3414,91965
2015-11-09,91890,92150,91280,91560,2466,3300,91690
2015-11-10,91440,91580,89820,90770,2568,3296,90717
2015-11-11,90710,90990,89810,90050,2648,3534,90184
2015-11-12,90000,91490,90000,90880,2260,3692,90560
2015-11-13,90000,90850,89550,89870,2730,3614,90268
2015-11-16,90190,90460,89700,89700,1710,3548,90271
2015-11-17,90480,90490,88020,88600,2836,3448,89397
2015-11-18,88660,89280,87540,88000,3416,3878,88297
2015-11-19,88000,88150,85210,85640,5340,4244,86463
2015-11-20,85050,85610,83640,85120,7442,4056,84418
2015-11-23,85310,85490,82630,83190,3100,3914,84476
2015-11-24,81480,81950,80000,81510,8760,3900,80621
2015-11-25,80800,83780,80500,83320,7450,3542,82569
2015-11-26,82890,85910,82110,84230,8380,3588,84135
2015-11-27,84990,87060,84520,84770,10582,3778,85850
2015-11-30,84920,85470,84000,84890,5504,4058,84730
2015-12-01,84710,85800,84620,85260,3288,3938,85339
2015-12-02,85780,86800,85060,85630,2334,4070,85720
2015-12-03,85660,85980,83030,84080,3302,4496,84605
2015-12-04,83450,84500,83450,83850,1376,4432,83982
2015-12-07,84460,85800,84030,85760,1746,4522,84508
2015-12-08,85030,85390,83600,84330,1534,4306,84322
2015-12-09,84450,84970,83600,84430,1472,4160,84250
2015-12-10,84700,85250,84310,84750,1234,4074,84778
2015-12-11,84520,86680,84480,86520,1240,4162,85788
2015-12-14,86280,89240,86280,88730,3350,4228,87852
2015-12-15,88850,89510,88280,88820,2568,3942,88986
2015-12-16,88570,89490,88260,89460,1272,3820,88960
2015-12-17,89850,92440,89400,91420,2426,3762,90540
2015-12-18,91590,94160,91380,94160,3668,3760,92910
2015-12-21,94850,97390,94470,97260,5162,3594,95694
2015-12-22,97430,98580,96020,96670,17050,4462,97480
2015-12-23,96090,96850,93800,94200,19194,4082,95360
2015-12-24,94280,95060,93430,93780,17184,4774,94210
2015-12-25,93470,94040,93240,93630,10156,4720,93710
2015-12-28,93650,93910,91560,91720,9530,5398,92830
2015-12-29,91520,92720,91050,92600,14662,5894,92000
2015-12-30,92800,94840,92800,93910,16860,5680,93950
2015-12-31,93790,94210,92400,93370,17454,5502,93282
2016-01-04,92680,93790,91430,91710,7628,5476,92401
2016-01-05,91640,93250,91280,93000,12748,5546,92377
2016-01-06,92430,93150,92100,92720,10368,5670,92631
2016-01-07,91880,93130,91590,91700,12942,5600,92295
2016-01-08,91500,92880,90110,92630,15172,6036,91616
2016-01-11,92400,93690,92400,93000,14282,6638,93256
2016-01-12,93100,94100,92000,92450,15264,6624,93130
2016-01-13,92510,92960,91510,92600,17358,7348,92242
2016-01-14,92560,93630,91790,93190,13682,6442,92558
2016-01-15,93110,94460,92710,93090,13236,6694,93612
2016-01-18,92880,95500,92300,95060,17028,6892,94243
2016-01-19,95180,95360,94400,94800,12962,6882,94936
2016-01-20,94950,94950,93500,93940,11542,5904,94092
2016-01-21,94110,95680,94110,95240,20734,6410,95040
2016-01-22,95410,96400,95220,96230,15260,6682,95843
2016-01-25,96300,99700,96300,97730,20878,7512,97400
2016-01-26,97650,97970,96800,97700,16062,7890,97390
2016-01-27,98050,100470,98050,100380,33492,9656,99540
2016-01-28,100720,100990,100040,100260,29154,10600,100556
2016-01-29,99600,99890,97690,98250,39550,8838,98790
2016-02-01,100000,100280,97850,98440,39822,8518,99479
2016-02-02,98740,99190,98410,98970,21844,8142,98792
2016-02-03,99220,99440,97940,98680,19432,7628,98606
2016-02-04,98610,99990,98370,99790,16544,7162,99230
2016-02-05,100000,100450,98600,99430,11934,6146,99584
2016-02-15,98000,100300,97030,99930,6436,6948,99608
2016-02-16,99410,100180,99000,99190,12660,7630,99607
2016-02-17,99250,99540,98190,98770,10218,7914,99156
2016-02-18,99990,99990,98580,99340,11414,8182,99423
2016-02-19,99430,100290,98910,100250,13440,9324,99571
2016-02-22,100260,103500,99800,103290,24958,11912,101720
2016-02-23,103700,105680,103410,105520,51802,17678,104840
2016-02-24,105980,106300,104800,105160,54618,17834,105560
2016-02-25,105540,106270,104860,105160,42270,17548,105632
2016-02-26,105490,105500,102260,103950,48600,14698,104260
2016-02-29,104200,105380,102910,103640,51306,14542,104150
2016-03-01,104010,104680,103190,104100,31750,14358,103860
2016-03-02,104630,105020,103870,104710,32300,14214,104370
2016-03-03,104800,108540,104700,108540,74098,20080,107190
2016-03-04,109560,113940,108660,111600,79394,16778,110820
2016-03-07,112800,114690,111810,112890,82964,16924,113330
2016-03-08,113830,117600,111120,113000,103080,16222,114734
2016-03-09,114000,114200,110040,110200,76502,16078,111293
2016-03-10,110330,112650,108060,109000,96310,15506,109850
2016-03-11,109300,111020,107610,109950,70792,15700,109390
2016-03-14,111000,111000,109250,109880,52784,15370,110300
2016-03-15,109800,110560,108280,108720,50468,15650,109050
2016-03-16,108050,109660,108000,109500,41980,15874,109050
2016-03-17,109350,110470,109200,110000,34100,15436,109860
