日期/时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2014-12-22,2795,2800,2727,2738,26170,8132
2014-12-23,2736,2760,2715,2740,18726,8664
2014-12-24,2747,2760,2741,2752,8284,7722
2014-12-25,2750,2750,2665,2727,20260,8792
2014-12-26,2727,2738,2718,2721,9158,9116
2014-12-29,2722,2737,2720,2731,5406,8528
2014-12-30,2727,2733,2710,2721,9056,8196
2014-12-31,2728,2728,2708,2713,5280,7520
2015-01-05,2718,2718,2678,2684,13408,9790
2015-01-06,2689,2697,2624,2630,28882,14276
2015-01-07,2640,2651,2625,2643,16506,12144
2015-01-08,2640,2657,2636,2652,10858,12230
2015-01-09,2652,2662,2637,2648,12278,12758
2015-01-12,2649,2660,2648,2658,8452,12546
2015-01-13,2658,2661,2638,2658,10230,13294
2015-01-14,2646,2665,2646,2647,8676,12464
2015-01-15,2645,2663,2640,2662,7404,12536
2015-01-16,2660,2692,2655,2684,11940,12184
2015-01-19,2690,2714,2680,2701,9284,10964
2015-01-20,2700,2708,2694,2702,4142,11160
2015-01-21,2704,2723,2702,2711,7186,10840
2015-01-22,2713,2714,2672,2694,10236,11980
2015-01-23,2690,2703,2681,2686,4912,12616
2015-01-26,2695,2703,2660,2694,5054,12394
2015-01-27,2695,2736,2693,2728,12686,11850
2015-01-28,2725,2763,2704,2759,13162,12770
2015-01-29,2760,2828,2750,2780,23094,13520
2015-01-30,2780,2795,2766,2778,14918,13628
2015-02-02,2781,2812,2765,2796,11744,13480
2015-02-03,2795,2806,2782,2792,9956,13972
2015-02-04,2801,2817,2785,2797,11042,14220
2015-02-05,2800,2858,2792,2814,55740,17990
2015-02-06,2821,2839,2815,2839,13580,16914
2015-02-09,2842,2873,2833,2862,42018,22138
2015-02-10,2868,2880,2854,2879,35920,24250
2015-02-11,2875,2878,2859,2862,21656,23082
2015-02-12,2862,2867,2831,2840,30088,20088
2015-02-13,2840,2872,2837,2856,21888,19640
2015-02-16,2858,2860,2845,2858,8348,18306
2015-02-17,2855,2855,2817,2825,13600,16602
2015-02-25,2580,2580,2580,2580,2,108
2015-02-26,2809,2838,2806,2828,14028,17270
2015-02-27,2828,2865,2827,2856,16064,18682
2015-03-02,2856,2875,2856,2861,9402,18874
2015-03-03,2859,2860,2818,2842,11430,16686
2015-03-04,2842,2873,2835,2871,19288,20064
2015-03-05,2864,2869,2843,2848,18946,17514
2015-03-06,2845,2863,2834,2838,10942,15954
2015-03-09,2836,2865,2834,2863,17332,18218
2015-03-10,2862,2935,2861,2914,97354,40330
2015-03-11,2913,2975,2913,2959,121256,48316
2015-03-12,2966,2966,2930,2957,66786,46238
2015-03-13,2958,2995,2944,2973,77968,48800
2015-03-16,2969,3006,2962,2988,98416,52990
2015-03-17,2989,2998,2975,2993,38734,53352
2015-03-18,2997,2997,2952,2960,48746,43062
2015-03-19,2969,2973,2942,2952,36680,39252
2015-03-20,2951,2987,2946,2963,47472,39014
2015-03-23,2981,2990,2961,2976,14956,38548
2015-03-24,2985,3060,2979,3036,72272,41254
2015-03-25,3040,3050,3007,3025,36818,39576
2015-03-26,3025,3047,3011,3037,25556,41702
2015-03-27,3041,3089,3021,3073,86776,43870
2015-03-30,3079,3087,3045,3080,27382,45362
2015-03-31,3079,3100,3063,3071,33536,44528
2015-04-01,3065,3069,2980,3010,63596,30346
2015-04-02,3012,3032,2988,3000,21272,28582
2015-04-03,3013,3014,2996,3009,20966,30572
2015-04-07,3014,3014,2976,3000,24478,30830
2015-04-08,3000,3013,2952,2964,63290,37294
2015-04-09,2965,2970,2948,2963,32340,39404
2015-04-10,2961,3003,2960,2997,44112,34322
2015-04-13,2984,3043,2984,3030,73050,38818
