date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2014-03-21,3252,3336,3230,3324,187478,52030,3300
2014-03-24,3314,3330,3266,3330,86810,47616,3304
2014-03-25,3326,3400,3320,3378,119854,61256,3358
2014-03-26,3370,3382,3354,3376,37876,60560,3368
2014-03-27,3368,3386,3350,3362,40230,61430,3364
2014-03-28,3376,3386,3360,3382,34290,63080,3372
2014-03-31,3396,3422,3382,3410,60970,65640,3402
2014-04-01,3412,3418,3396,3414,17896,64136,3406
2014-04-02,3410,3426,3388,3390,28570,68700,3404
2014-04-03,3384,3414,3382,3410,20706,68410,3398
2014-04-04,3412,3440,3402,3440,21360,70094,3422
2014-04-08,3450,3488,3442,3480,40286,80872,3468
2014-04-09,3488,3488,3444,3452,32902,81834,3462
2014-04-10,3450,3470,3442,3446,19630,81232,3456
2014-04-11,3430,3452,3430,3434,13100,76840,3440
2014-04-14,3432,3464,3432,3438,12642,77020,3446
2014-04-15,3442,3448,3418,3448,20724,75524,3430
2014-04-16,3446,3448,3410,3418,18538,68152,3418
2014-04-17,3428,3428,3410,3412,5590,67404,3418
2014-04-18,3410,3412,3346,3354,51760,66498,3370
2014-04-21,3340,3364,3340,3340,8292,64836,3350
2014-04-22,3340,3366,3324,3354,23958,60950,3344
2014-04-23,3358,3388,3336,3380,19844,58920,3358
2014-04-24,3376,3396,3366,3390,12648,58086,3380
2014-04-25,3398,3400,3372,3378,8566,58570,3382
2014-04-28,3372,3378,3334,3336,17354,56630,3342
2014-04-29,3334,3374,3334,3360,8736,55692,3358
2014-04-30,3370,3370,3338,3344,9948,55210,3344
2014-05-01,3332,3332,3332,3332,2,586,3332
2014-05-05,3334,3362,3224,3352,11568,53726,3340
2014-05-06,3342,3364,3336,3344,4722,52980,3350
2014-05-07,3338,3358,3330,3332,9532,52784,3340
2014-05-08,3330,3338,3310,3312,13298,49644,3320
2014-05-09,3312,3330,3302,3318,9612,49350,3318
2014-05-12,3332,3336,3298,3336,11512,48264,3316
2014-05-13,3336,3346,3320,3326,6694,47826,3332
2014-05-14,3326,3330,3314,3324,7744,45016,3318
2014-05-15,3324,3328,3298,3300,4666,44738,3312
2014-05-16,3294,3300,3240,3272,11898,44178,3272
2014-05-19,3262,3284,3250,3264,7402,43860,3268
2014-05-20,3260,3276,3254,3262,3226,43792,3264
