日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2013-03-22 15:00,1280.00,1304.00,1257.00,1267.00,48043.00,422756,1276.00
2013-03-25 15:00,1276.00,1286.00,1251.00,1258.00,69856.00,361011,1266.00
2013-03-26 15:00,1255.00,1276.00,1249.00,1272.00,70772.00,417663,1265.00
2013-03-27 15:00,1279.00,1279.00,1260.00,1261.00,63047.00,249617,1266.00
2013-03-28 15:00,1264.00,1273.00,1248.00,1259.00,49502.00,323133,1263.00
2013-03-29 15:00,1257.00,1268.00,1231.00,1240.00,48012.00,367364,1252.00
2013-04-01 15:00,1235.00,1242.00,1202.00,1202.00,77631.00,355066,1215.00
2013-04-02 15:00,1197.00,1231.00,1192.00,1228.00,65053.00,524724,1209.00
2013-04-03 15:00,1225.00,1233.00,1214.00,1216.00,51557.00,303282,1221.00
2013-04-08 15:00,1199.00,1223.00,1197.00,1220.00,60590.00,277985,1211.00
2013-04-09 15:00,1222.00,1232.00,1213.00,1223.00,71914.00,275849,1223.00
2013-04-10 15:00,1225.00,1227.00,1211.00,1215.00,66843.00,188901,1218.00
2013-04-11 15:00,1209.00,1225.00,1202.00,1206.00,68672.00,201755,1214.00
2013-04-12 15:00,1206.00,1220.00,1203.00,1209.00,68763.00,231093,1212.00
2013-04-15 15:00,1191.00,1195.00,1164.00,1174.00,64487.00,221230,1181.00
2013-04-16 15:00,1160.00,1180.00,1151.00,1179.00,59371.00,163113,1170.00
2013-04-17 15:00,1182.00,1189.00,1148.00,1165.00,60570.00,351061,1163.00
2013-04-18 15:00,1149.00,1169.00,1127.00,1157.00,61826.00,285514,1145.00
2013-04-19 15:00,1160.00,1167.00,1148.00,1163.00,61546.00,214284,1158.00
2013-04-22 15:00,1161.00,1164.00,1146.00,1146.00,56212.00,136989,1150.00
2013-04-23 15:00,1151.00,1153.00,1129.00,1134.00,52215.00,119745,1139.00
2013-04-24 15:00,1134.00,1158.00,1129.00,1145.00,49316.00,205261,1141.00
2013-04-25 15:00,1144.00,1148.00,1137.00,1142.00,43734.00,79222,1142.00
2013-04-26 15:00,1147.00,1155.00,1136.00,1138.00,38036.00,82757,1145.00
2013-05-02 15:00,1123.00,1123.00,1102.00,1119.00,41103.00,55502,1118.00
2013-05-03 15:00,1128.00,1138.00,1124.00,1129.00,45995.00,91090,1129.00
2013-05-06 15:00,1147.00,1149.00,1135.00,1140.00,43440.00,59715,1141.00
2013-05-07 15:00,1135.00,1148.00,1131.00,1134.00,41065.00,54179,1138.00
2013-05-08 15:00,1133.00,1149.00,1132.00,1148.00,42958.00,44563,1140.00
2013-05-09 15:00,1146.00,1150.00,1138.00,1142.00,41572.00,44856,1143.00
2013-05-10 15:00,1142.00,1153.00,1137.00,1150.00,40672.00,43589,1144.00
2013-05-13 15:00,1150.00,1187.00,1146.00,1178.00,45310.00,169611,1172.00
2013-05-14 15:00,1179.00,1185.00,1161.00,1180.00,44654.00,149066,1174.00
2013-05-15 15:00,1176.00,1180.00,1143.00,1145.00,41008.00,156211,1164.00
2013-05-16 15:00,1146.00,1157.00,1125.00,1146.00,41942.00,160533,1144.00
2013-05-17 15:00,1150.00,1165.00,1142.00,1163.00,40233.00,173177,1154.00
2013-05-20 15:00,1161.00,1173.00,1160.00,1162.00,42014.00,103688,1166.00
2013-05-21 15:00,1166.00,1171.00,1151.00,1163.00,43723.00,102250,1160.00
2013-05-22 15:00,1159.00,1175.00,1158.00,1170.00,44020.00,85835,1167.00
2013-05-23 15:00,1159.00,1164.00,1145.00,1145.00,41001.00,87527,1156.00
2013-05-24 15:00,1149.00,1156.00,1143.00,1144.00,41214.00,68121,1151.00
2013-05-27 15:00,1141.00,1141.00,1126.00,1127.00,39687.00,66629,1134.00
2013-05-28 15:00,1128.00,1131.00,1119.00,1125.00,41935.00,61570,1124.00
2013-05-29 15:00,1125.00,1130.00,1108.00,1111.00,46059.00,76845,1121.00
2013-05-30 15:00,1103.00,1114.00,1100.00,1108.00,46458.00,91108,1107.00
2013-05-31 15:00,1115.00,1115.00,1093.00,1094.00,50194.00,81372,1102.00
2013-06-03 15:00,1094.00,1105.00,1084.00,1098.00,48761.00,106571,1093.00
2013-06-04 15:00,1101.00,1102.00,1090.00,1102.00,49541.00,77115,1096.00
2013-06-05 15:00,1105.00,1105.00,1092.00,1100.00,50045.00,70172,1100.00
2013-06-06 15:00,1096.00,1096.00,1056.00,1056.00,65718.00,149782,1067.00
2013-06-07 15:00,1050.00,1054.00,1032.00,1042.00,61900.00,146561,1043.00
2013-06-13 15:00,1033.00,1042.00,1025.00,1035.00,64605.00,93953,1033.00
2013-06-14 15:00,1039.00,1040.00,1024.00,1030.00,71952.00,110132,1031.00
2013-06-17 15:00,1034.00,1059.00,1031.00,1041.00,65700.00,134834,1045.00
2013-06-18 15:00,1045.00,1045.00,1035.00,1041.00,66771.00,71584,1040.00
2013-06-19 15:00,1040.00,1041.00,1023.00,1033.00,77149.00,165083,1029.00
2013-06-20 15:00,1025.00,1027.00,998.00,1005.00,86527.00,191375,1011.00
2013-06-21 15:00,995.00,1015.00,989.00,1006.00,77157.00,132885,1003.00
2013-06-24 15:00,1008.00,1018.00,996.00,998.00,71323.00,128782,1006.00
2013-06-25 15:00,1001.00,1013.00,996.00,1011.00,63184.00,82969,1004.00
2013-06-26 15:00,1015.00,1019.00,1000.00,1004.00,59922.00,51214,1005.00
2013-06-27 15:00,1005.00,1011.00,999.00,1006.00,55164.00,29000,1005.00
2013-06-28 15:00,1004.00,1009.00,1000.00,1001.00,50653.00,17993,1004.00
2013-07-01 15:00,1045.00,1059.00,1028.00,1040.00,70547.00,223967,1040.00
2013-07-02 15:00,1045.00,1046.00,1024.00,1034.00,92694.00,321432,1034.00
2013-07-03 15:00,1033.00,1038.00,1024.00,1031.00,79907.00,196994,1030.00
2013-07-04 15:00,1032.00,1048.00,1025.00,1045.00,92601.00,318893,1038.00
2013-07-05 15:00,1045.00,1049.00,1042.00,1046.00,87043.00,139616,1044.00
2013-07-08 15:00,1045.00,1046.00,1028.00,1037.00,76142.00,125200,1035.00
2013-07-09 15:00,1037.00,1042.00,1027.00,1029.00,79876.00,106030,1035.00
2013-07-10 15:00,1028.00,1066.00,1020.00,1061.00,87204.00,347144,1045.00
2013-07-11 15:00,1066.00,1085.00,1058.00,1064.00,78170.00,398875,1070.00
2013-07-12 15:00,1060.00,1069.00,1053.00,1053.00,72529.00,216769,1060.00
2013-07-15 15:00,1051.00,1058.00,1042.00,1042.00,72787.00,156709,1050.00
2013-07-16 15:00,1045.00,1049.00,1036.00,1046.00,76454.00,154396,1043.00
2013-07-17 15:00,1045.00,1070.00,1044.00,1065.00,86048.00,273720,1059.00
2013-07-18 15:00,1064.00,1072.00,1058.00,1071.00,86983.00,246311,1064.00
2013-07-19 15:00,1075.00,1084.00,1070.00,1076.00,69666.00,211659,1076.00
2013-07-22 15:00,1081.00,1089.00,1070.00,1079.00,73902.00,226192,1081.00
2013-07-23 15:00,1076.00,1084.00,1075.00,1084.00,70459.00,123895,1079.00
2013-07-24 15:00,1085.00,1090.00,1067.00,1077.00,66241.00,212877,1078.00
2013-07-25 15:00,1073.00,1082.00,1069.00,1074.00,67163.00,139646,1074.00
2013-07-26 15:00,1074.00,1077.00,1066.00,1068.00,60716.00,97427,1072.00
2013-07-29 15:00,1062.00,1064.00,1050.00,1053.00,57988.00,83005,1056.00
2013-07-30 15:00,1054.00,1060.00,1046.00,1053.00,59413.00,94122,1052.00
2013-07-31 15:00,1050.00,1061.00,1049.00,1059.00,61815.00,88437,1056.00
2013-08-01 15:00,1065.00,1074.00,1061.00,1070.00,61544.00,103483,1068.00
2013-08-02 15:00,1075.00,1079.00,1071.00,1079.00,63362.00,75531,1075.00
2013-08-05 15:00,1078.00,1088.00,1077.00,1084.00,69633.00,84384,1082.00
2013-08-06 15:00,1085.00,1086.00,1075.00,1081.00,64337.00,81463,1080.00
2013-08-07 15:00,1078.00,1087.00,1073.00,1084.00,66867.00,102055,1081.00
2013-08-08 15:00,1086.00,1115.00,1086.00,1111.00,67005.00,162003,1105.00
2013-08-09 15:00,1110.00,1135.00,1106.00,1132.00,90175.00,212941,1118.00
2013-08-12 15:00,1138.00,1162.00,1135.00,1162.00,100293.00,259784,1148.00
2013-08-13 15:00,1166.00,1183.00,1155.00,1176.00,92073.00,258505,1166.00
2013-08-14 15:00,1173.00,1185.00,1160.00,1166.00,92825.00,305572,1170.00
2013-08-15 15:00,1171.00,1196.00,1166.00,1172.00,116461.00,426191,1178.00
2013-08-16 15:00,1170.00,1178.00,1145.00,1153.00,117383.00,487830,1160.00
2013-08-19 15:00,1150.00,1181.00,1147.00,1162.00,120400.00,337916,1167.00
2013-08-20 15:00,1165.00,1184.00,1157.00,1173.00,133050.00,489488,1170.00
2013-08-21 15:00,1177.00,1181.00,1167.00,1174.00,128740.00,276586,1174.00
2013-08-22 15:00,1171.00,1188.00,1168.00,1171.00,126557.00,323538,1176.00
2013-08-23 15:00,1171.00,1196.00,1171.00,1187.00,141103.00,373779,1187.00
2013-08-26 15:00,1196.00,1222.00,1194.00,1196.00,150608.00,359699,1205.00
2013-08-27 15:00,1190.00,1196.00,1179.00,1183.00,148320.00,255372,1188.00
2013-08-28 15:00,1183.00,1187.00,1141.00,1141.00,150619.00,384044,1171.00
2013-08-29 15:00,1136.00,1144.00,1119.00,1136.00,133787.00,417989,1134.00
2013-08-30 15:00,1135.00,1140.00,1121.00,1134.00,135782.00,270556,1131.00
2013-09-02 15:00,1142.00,1171.00,1142.00,1165.00,132262.00,263244,1154.00
2013-09-03 15:00,1167.00,1172.00,1145.00,1159.00,130207.00,232674,1159.00
2013-09-04 15:00,1163.00,1167.00,1146.00,1153.00,120666.00,209723,1154.00
2013-09-05 15:00,1147.00,1167.00,1147.00,1163.00,119992.00,239010,1159.00
2013-09-06 15:00,1165.00,1170.00,1148.00,1156.00,120964.00,241054,1157.00
2013-09-09 15:00,1164.00,1172.00,1161.00,1167.00,118253.00,160674,1166.00
2013-09-10 15:00,1167.00,1168.00,1150.00,1156.00,119635.00,172729,1156.00
2013-09-11 15:00,1160.00,1160.00,1150.00,1158.00,128797.00,163066,1155.00
2013-09-12 15:00,1158.00,1158.00,1143.00,1145.00,127418.00,168305,1148.00
2013-09-13 15:00,1143.00,1143.00,1133.00,1133.00,127630.00,117974,1138.00
2013-09-16 15:00,1136.00,1147.00,1131.00,1134.00,129713.00,107704,1137.00
2013-09-17 15:00,1130.00,1145.00,1122.00,1142.00,127283.00,180375,1135.00
2013-09-18 15:00,1138.00,1160.00,1135.00,1160.00,133083.00,164800,1146.00
2013-09-23 15:00,1154.00,1172.00,1148.00,1170.00,146038.00,173086,1162.00
2013-09-24 15:00,1169.00,1176.00,1158.00,1163.00,155864.00,193827,1165.00
2013-09-25 15:00,1163.00,1170.00,1156.00,1167.00,173307.00,244693,1163.00
2013-09-26 15:00,1168.00,1168.00,1160.00,1163.00,171224.00,118270,1163.00
2013-09-27 15:00,1163.00,1163.00,1143.00,1146.00,160999.00,123360,1153.00
2013-09-30 15:00,1146.00,1155.00,1134.00,1137.00,145845.00,96145,1142.00
2013-10-08 15:00,1140.00,1143.00,1113.00,1137.00,146549.00,136780,1124.00
2013-10-09 15:00,1135.00,1138.00,1124.00,1127.00,189702.00,172605,1130.00
2013-10-10 15:00,1125.00,1140.00,1122.00,1130.00,186072.00,150834,1130.00
2013-10-11 15:00,1131.00,1139.00,1120.00,1125.00,193423.00,120019,1129.00
2013-10-14 15:00,1124.00,1146.00,1123.00,1146.00,186360.00,111164,1135.00
2013-10-15 15:00,1152.00,1164.00,1134.00,1138.00,190544.00,145011,1147.00
2013-10-16 15:00,1140.00,1141.00,1129.00,1130.00,186950.00,72830,1134.00
2013-10-17 15:00,1134.00,1137.00,1126.00,1128.00,188658.00,73891,1130.00
2013-10-18 15:00,1130.00,1136.00,1126.00,1129.00,187621.00,56487,1130.00
2013-10-21 15:00,1127.00,1145.00,1124.00,1142.00,178773.00,84159,1135.00
