日期/时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2005-01-04,1150,1154,1143,1145,101322,138780
2005-01-05,1141,1152,1141,1151,115404,140670
2005-01-06,1151,1157,1151,1154,116530,149290
2005-01-07,1162,1164,1156,1158,142096,146386
2005-01-10,1158,1159,1152,1155,125086,147406
2005-01-11,1156,1158,1154,1155,126812,144414
2005-01-12,1153,1158,1153,1157,153368,143494
2005-01-13,1150,1156,1149,1155,139970,141514
2005-01-14,1155,1157,1154,1156,130966,136640
2005-01-17,1151,1156,1151,1156,104946,132932
2005-01-18,1158,1158,1154,1156,88976,132630
2005-01-19,1155,1160,1154,1158,132780,133110
2005-01-20,1158,1159,1155,1156,130834,124548
2005-01-21,1157,1158,1155,1156,89508,130480
2005-01-24,1155,1157,1154,1157,133968,123258
2005-01-25,1155,1159,1155,1158,123806,121380
2005-01-26,1159,1160,1157,1157,103634,122550
2005-01-27,1157,1158,1154,1155,104812,120152
2005-01-28,1153,1155,1150,1153,113368,117462
2005-01-31,1153,1153,1147,1148,71516,117188
2005-02-01,1151,1151,1146,1146,77344,121656
2005-02-02,1146,1149,1144,1145,123818,127102
2005-02-03,1144,1150,1144,1149,107156,127008
2005-02-04,1149,1151,1148,1150,93224,123138
2005-02-16,1158,1160,1153,1154,123060,121108
2005-02-17,1152,1154,1148,1153,94920,117104
2005-02-18,1156,1157,1150,1151,91572,116998
2005-02-21,1154,1154,1148,1153,132322,125196
2005-02-22,1152,1162,1152,1161,113530,128096
2005-02-23,1167,1169,1156,1157,118950,125358
2005-02-24,1158,1161,1156,1159,154488,127352
2005-02-25,1157,1159,1156,1156,68536,122830
2005-02-28,1167,1198,1165,1185,191376,142634
2005-03-01,1185,1186,1165,1172,146244,141948
2005-03-02,1167,1188,1166,1178,156960,141450
2005-03-03,1175,1181,1171,1174,132666,138276
2005-03-04,1176,1182,1170,1182,144194,137756
2005-03-07,1185,1192,1181,1186,115476,137228
2005-03-08,1174,1186,1173,1185,126466,137350
2005-03-09,1190,1199,1186,1194,163104,143800
2005-03-10,1196,1221,1196,1214,225174,142030
2005-03-11,1221,1230,1202,1209,165240,130814
2005-03-14,1226,1229,1204,1212,182040,121086
2005-03-15,1261,1296,1255,1285,145266,98150
2005-03-16,1299,1329,1299,1318,185916,114884
2005-03-17,1261,1276,1251,1255,134492,115140
2005-03-18,1295,1299,1250,1270,144608,115740
2005-03-21,1263,1321,1260,1308,176932,134052
2005-03-22,1286,1313,1280,1308,304674,165024
2005-03-23,1306,1319,1295,1299,263286,177228
2005-03-24,1305,1317,1291,1314,210718,191924
2005-03-25,1321,1328,1308,1313,216352,196732
2005-03-28,1328,1331,1305,1313,145334,195150
2005-03-29,1345,1355,1338,1339,177850,115762
2005-03-30,1340,1344,1313,1318,167560,108624
2005-03-31,1328,1335,1320,1327,120358,102108
2005-04-01,1323,1330,1300,1329,138056,121966
2005-04-04,1322,1342,1320,1337,125014,128054
2005-04-05,1338,1341,1327,1329,117642,123456
2005-04-06,1322,1332,1322,1331,85630,123912
2005-04-07,1340,1340,1327,1329,73894,124756
2005-04-08,1327,1331,1324,1328,64046,127772
2005-04-11,1324,1337,1322,1328,83256,123408
2005-04-12,1335,1338,1330,1336,70486,125930
2005-04-13,1332,1334,1325,1328,64950,117372
2005-04-14,1332,1334,1317,1326,89672,126990
2005-04-15,1329,1329,1323,1326,35330,126220
2005-04-18,1323,1326,1316,1321,46788,128312
2005-04-19,1320,1326,1317,1324,41832,122850
2005-04-20,1335,1349,1331,1342,155486,128706
2005-04-21,1340,1340,1319,1323,104696,120558
2005-04-22,1330,1330,1320,1323,39566,114206
2005-04-25,1328,1329,1323,1326,23788,110976
2005-04-26,1323,1326,1316,1321,34498,109488
2005-04-27,1321,1324,1316,1319,27562,112018
2005-04-28,1316,1319,1314,1318,22472,112900
2005-04-29,1315,1317,1313,1314,27374,116922
2005-05-09,1315,1317,1296,1303,66668,127652
2005-05-10,1301,1303,1296,1302,48564,136932
2005-05-11,1300,1302,1297,1298,33944,134030
2005-05-12,1296,1296,1281,1282,66308,141008
2005-05-13,1275,1278,1265,1271,67710,140622
2005-05-16,1269,1278,1268,1277,40064,141894
2005-05-17,1280,1282,1271,1281,37744,141200
2005-05-18,1280,1288,1272,1287,36350,140566
2005-05-19,1290,1292,1285,1291,38160,141126
2005-05-20,1289,1291,1285,1289,30442,141448
2005-05-23,1295,1298,1291,1296,29584,139050
2005-05-24,1305,1306,1294,1296,46688,138798
2005-05-25,1298,1299,1270,1280,74600,137754
2005-05-26,1288,1290,1280,1286,43624,135388
2005-05-27,1291,1295,1288,1292,40710,133764
2005-05-30,1283,1289,1278,1285,41464,126128
2005-05-31,1290,1294,1282,1283,34408,127046
2005-06-01,1280,1283,1278,1280,32446,126952
2005-06-02,1261,1265,1257,1260,36894,109520
2005-06-03,1251,1257,1251,1256,23704,108546
2005-06-06,1290,1301,1286,1298,60224,127634
2005-06-07,1292,1297,1291,1295,34970,127012
2005-06-08,1290,1294,1290,1293,30516,125140
2005-06-09,1288,1298,1286,1295,41540,127432
2005-06-10,1295,1305,1295,1299,67748,132404
2005-06-13,1301,1302,1295,1296,39768,130990
2005-06-14,1300,1300,1293,1294,59884,129876
2005-06-15,1298,1299,1295,1296,56704,127772
2005-06-16,1305,1305,1293,1295,75204,121978
2005-06-17,1295,1297,1292,1296,60062,117894
2005-06-20,1306,1308,1297,1299,71258,112594
2005-06-21,1299,1299,1293,1294,64592,111050
2005-06-22,1299,1299,1294,1297,69706,110670
2005-06-23,1296,1298,1291,1294,78790,108984
2005-06-24,1297,1298,1293,1298,69500,107968
2005-06-27,1302,1302,1293,1294,70002,105172
2005-06-28,1280,1291,1275,1289,87020,97710
2005-06-29,1289,1294,1287,1292,78662,91420
2005-06-30,1293,1295,1285,1288,71656,90446
2005-07-01,1292,1292,1286,1288,67420,85192
2005-07-04,1287,1289,1286,1287,60366,84170
2005-07-05,1289,1289,1280,1284,64338,83316
2005-07-06,1289,1289,1284,1285,89522,81792
2005-07-07,1295,1298,1293,1293,58442,29062
2005-07-08,1286,1287,1282,1287,72342,79796
2005-07-11,1284,1305,1283,1298,71532,82258
2005-07-12,1300,1300,1296,1297,45546,84732
2005-07-13,1299,1299,1292,1293,65282,80240
2005-07-14,1296,1298,1285,1292,75896,79604
2005-07-15,1294,1297,1290,1292,87460,79938
2005-07-18,1296,1299,1286,1287,65844,77868
2005-07-19,1287,1289,1286,1288,56586,76434
2005-07-20,1285,1287,1280,1281,71250,64668
2005-07-21,1282,1285,1280,1283,61522,63726
2005-07-22,1263,1285,1263,1279,60522,72028
2005-07-25,1272,1278,1269,1270,52694,58468
2005-07-26,1260,1261,1255,1259,60642,72704
2005-07-27,1260,1260,1255,1257,71242,72690
2005-07-28,1259,1261,1233,1238,84662,74570
2005-07-29,1250,1269,1234,1256,94986,73146
2005-08-01,1252,1255,1240,1244,79994,75468
2005-08-02,1246,1255,1238,1250,83156,78932
2005-08-03,1228,1234,1214,1220,95504,85516
