date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2012-12-03,1373,1385,1314,1319,694060,82486,1336
2012-12-04,1309,1326,1296,1312,1372500,168904,1311
2012-12-05,1313,1345,1311,1331,1526500,148090,1326
2012-12-06,1333,1338,1320,1325,1005200,166780,1330
2012-12-07,1322,1340,1319,1331,903684,136784,1329
2012-12-10,1331,1344,1331,1336,630420,148910,1338
2012-12-11,1335,1337,1286,1293,1624300,305548,1312
2012-12-12,1289,1306,1283,1299,1755100,223502,1295
2012-12-13,1297,1312,1282,1288,1986800,306254,1296
2012-12-14,1287,1315,1283,1304,1926300,239266,1297
2012-12-17,1307,1335,1307,1327,1997100,230150,1323
2012-12-18,1328,1339,1316,1325,1888500,239250,1325
2012-12-19,1324,1353,1318,1351,2774300,419230,1339
2012-12-20,1348,1356,1342,1350,2593900,391226,1349
2012-12-21,1345,1354,1330,1335,1961200,278578,1339
2012-12-24,1336,1349,1334,1343,1234000,279038,1343
2012-12-25,1344,1363,1339,1352,1561000,278818,1351
2012-12-26,1351,1354,1344,1352,995884,252746,1349
2012-12-27,1358,1367,1349,1352,963506,224072,1356
2012-12-28,1353,1364,1343,1351,1175300,189374,1353
2012-12-31,1352,1365,1349,1363,500112,136002,1357
2013-01-04,1371,1425,1367,1425,1001700,241454,1406
2013-01-07,1440,1468,1433,1445,1558500,217758,1448
2013-01-08,1438,1470,1427,1458,2761400,306490,1450
2013-01-09,1459,1476,1452,1474,2100300,444362,1461
2013-01-10,1479,1484,1456,1463,2311300,376812,1468
2013-01-11,1462,1465,1428,1439,1916200,311804,1444
2013-01-14,1438,1502,1438,1502,1878700,508076,1468
2013-01-15,1520,1527,1490,1497,3006300,387356,1505
2013-01-16,1499,1515,1455,1500,4239900,473158,1490
2013-01-17,1503,1512,1491,1506,3961700,538978,1500
2013-01-18,1520,1521,1488,1496,3867600,431672,1503
2013-01-21,1495,1518,1484,1501,3225400,478024,1502
2013-01-22,1505,1508,1475,1490,3070300,401292,1494
2013-01-23,1492,1496,1472,1481,2053400,401822,1482
2013-01-24,1479,1489,1458,1467,2346400,367110,1473
2013-01-25,1470,1472,1459,1469,1305100,315844,1466
2013-01-28,1471,1496,1468,1491,1274700,341564,1484
2013-01-29,1574,1582,1568,1580,1218900,355930,1575
2013-01-30,1585,1591,1578,1580,1240500,390976,1585
2013-01-31,1578,1601,1577,1585,2457800,457056,1589
2013-02-01,1585,1596,1580,1594,1459100,405030,1587
2013-02-04,1599,1649,1594,1632,2402600,465844,1627
2013-02-05,1628,1646,1624,1635,1865600,476786,1633
2013-02-06,1639,1652,1624,1630,1863300,468858,1638
2013-02-07,1631,1633,1606,1623,1279500,397408,1618
2013-02-08,1620,1635,1618,1634,706434,350360,1628
2013-02-18,1631,1643,1606,1607,1376200,450892,1622
2013-02-19,1606,1616,1597,1613,1627300,512196,1609
2013-02-20,1619,1622,1601,1610,1355600,552484,1612
2013-02-21,1591,1595,1549,1558,2360200,502946,1566
2013-02-22,1558,1569,1539,1553,2350700,517796,1555
2013-02-25,1550,1574,1532,1558,2320500,538436,1559
2013-02-26,1548,1564,1532,1536,2365400,586884,1550
2013-02-27,1548,1562,1543,1558,2115598,564882,1555
2013-02-28,1566,1587,1565,1582,1573926,544704,1575
2013-03-01,1580,1581,1550,1568,1843832,519900,1565
2013-03-04,1557,1564,1502,1518,2940802,593688,1525
2013-03-05,1524,1532,1504,1527,2793004,596258,1520
2013-03-06,1530,1541,1518,1525,2162826,578546,1527
2013-03-07,1521,1521,1508,1518,1751892,566174,1515
2013-03-08,1524,1528,1485,1504,2770430,561120,1503
2013-03-11,1503,1508,1483,1496,2231190,572414,1497
2013-03-12,1500,1505,1481,1487,2384956,497148,1492
2013-03-13,1493,1493,1438,1449,2935302,494998,1459
2013-03-14,1439,1443,1409,1436,2939374,518394,1428
2013-03-15,1442,1480,1428,1451,2561908,435968,1445
2013-03-18,1434,1453,1420,1435,1993548,427578,1439
2013-03-19,1440,1458,1434,1450,1920464,425424,1445
2013-03-20,1445,1478,1445,1476,2296732,504850,1467
2013-03-21,1482,1493,1478,1488,1688500,533044,1485
2013-03-22,1478,1489,1473,1479,1267666,449676,1480
2013-03-25,1483,1492,1481,1484,892888,437400,1486
2013-03-26,1481,1484,1452,1458,1482032,471232,1463
2013-03-27,1463,1465,1453,1455,940674,461902,1458
2013-03-28,1455,1460,1437,1440,1185044,454132,1445
2013-03-29,1430,1443,1415,1437,1111102,415190,1432
2013-04-01,1432,1437,1400,1404,1710124,441440,1416
2013-04-02,1403,1427,1397,1426,1322010,406240,1411
2013-04-03,1424,1441,1421,1429,1287678,392332,1431
2013-04-08,1412,1444,1410,1441,964570,434648,1429
2013-04-09,1446,1454,1439,1449,1150222,450938,1446
2013-04-10,1452,1454,1425,1430,1208702,431576,1438
2013-04-11,1430,1444,1414,1416,1389400,451520,1429
2013-04-12,1413,1427,1413,1420,1333776,418380,1420
2013-04-15,1406,1426,1376,1393,2773348,510630,1400
2013-04-16,1380,1405,1365,1401,1999762,479124,1387
2013-04-17,1403,1411,1331,1340,3793658,613498,1359
2013-04-18,1328,1362,1318,1351,3074468,575698,1343
2013-04-19,1361,1380,1349,1374,2622644,552672,1362
2013-04-22,1371,1386,1359,1362,2222452,565350,1368
2013-04-23,1364,1371,1330,1342,2329574,531992,1343
2013-04-24,1344,1358,1316,1343,2833714,610018,1335
2013-04-25,1346,1358,1333,1352,1958966,578452,1347
2013-04-26,1363,1371,1336,1343,1880060,496800,1352
2013-05-02,1320,1333,1310,1326,999400,539834,1326
2013-05-03,1334,1357,1326,1351,1941850,547594,1343
2013-05-06,1367,1371,1353,1356,1099320,525696,1359
2013-05-07,1353,1403,1348,1386,2746090,472886,1381
2013-05-08,1385,1402,1385,1399,1947396,483356,1392
2013-05-09,1399,1406,1387,1397,1808468,469686,1395
2013-05-10,1395,1424,1385,1419,2573970,501080,1406
2013-05-13,1419,1447,1415,1435,2332100,513554,1431
2013-05-14,1438,1445,1422,1429,2232954,509320,1433
2013-05-15,1432,1432,1404,1407,2706546,492316,1418
2013-05-16,1405,1450,1395,1437,4038712,538616,1426
2013-05-17,1441,1458,1432,1454,2757190,534458,1446
2013-05-20,1452,1460,1443,1445,1970100,521374,1450
2013-05-21,1449,1460,1439,1458,2118600,524384,1450
2013-05-22,1456,1466,1453,1457,1812564,530554,1459
2013-05-23,1450,1452,1426,1428,1924430,514696,1438
