日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2021-01-08 15:00,29500.00,30680.00,26385.00,26810.00,14984.00,91056,28290.00
2021-01-11 15:00,26225.00,26720.00,26030.00,26030.00,17600.00,23026,26260.00
2021-01-12 15:00,25760.00,26210.00,25205.00,25560.00,17194.00,39402,25795.00
2021-01-13 15:00,25830.00,26350.00,25715.00,25870.00,17050.00,16470,25985.00
2021-01-14 15:00,25805.00,26155.00,24860.00,24890.00,18719.00,24216,25475.00
2021-01-15 15:00,25155.00,25155.00,24460.00,24725.00,18594.00,20257,24825.00
2021-01-18 15:00,24825.00,25780.00,24805.00,25140.00,18535.00,19855,25320.00
2021-01-19 15:00,25185.00,25390.00,24880.00,25025.00,17800.00,8816,25065.00
2021-01-20 15:00,25005.00,25090.00,24500.00,24910.00,17573.00,7832,24870.00
2021-01-21 15:00,24910.00,25185.00,24800.00,24870.00,17278.00,6694,25010.00
2021-01-22 15:00,24860.00,25045.00,24530.00,24565.00,17412.00,8147,24770.00
2021-01-25 15:00,24510.00,25300.00,24510.00,24930.00,16900.00,10872,24970.00
2021-01-26 15:00,25100.00,25770.00,24925.00,25555.00,17980.00,17784,25390.00
2021-01-27 15:00,25610.00,25645.00,25200.00,25275.00,17942.00,8352,25385.00
2021-01-28 15:00,25150.00,25535.00,25020.00,25190.00,17581.00,8710,25310.00
2021-01-29 15:00,25295.00,25620.00,25280.00,25570.00,17760.00,8596,25470.00
2021-02-01 15:00,25600.00,25970.00,25420.00,25685.00,18539.00,6161,25640.00
2021-02-02 15:00,25700.00,26040.00,25300.00,25380.00,18831.00,11849,25720.00
2021-02-03 15:00,25300.00,25555.00,25210.00,25315.00,18399.00,7046,25355.00
2021-02-04 15:00,25325.00,25485.00,25250.00,25445.00,18364.00,4078,25380.00
2021-02-05 15:00,25500.00,26175.00,25500.00,26170.00,19213.00,8802,25845.00
2021-02-08 15:00,26225.00,27400.00,26225.00,26900.00,19705.00,13460,26880.00
2021-02-09 15:00,26900.00,27110.00,26400.00,26845.00,19375.00,6343,26805.00
2021-02-10 15:00,26845.00,26870.00,26500.00,26705.00,19412.00,4436,26665.00
2021-02-18 15:00,27000.00,27100.00,26525.00,27000.00,20245.00,5803,26830.00
2021-02-19 15:00,27100.00,28390.00,27055.00,28330.00,21176.00,16334,27910.00
2021-02-22 15:00,28350.00,29430.00,28115.00,29380.00,18856.00,15830,28755.00
2021-02-23 15:00,29350.00,29380.00,28050.00,28980.00,16552.00,16187,28635.00
2021-02-24 15:00,29600.00,29805.00,28600.00,28900.00,15697.00,10008,28985.00
2021-02-25 15:00,29000.00,29140.00,28630.00,28915.00,14880.00,7317,28830.00
2021-02-26 15:00,28800.00,29325.00,28440.00,28970.00,14493.00,8485,28875.00
2021-03-01 15:00,29430.00,29435.00,28800.00,29185.00,14013.00,5271,29100.00
2021-03-02 15:00,29150.00,29250.00,28500.00,28750.00,13518.00,6560,28860.00
2021-03-03 15:00,28945.00,29000.00,28510.00,28785.00,13105.00,3709,28765.00
2021-03-04 15:00,28745.00,29115.00,28550.00,28845.00,12813.00,3695,28910.00
2021-03-05 15:00,28865.00,28880.00,27000.00,28400.00,12650.00,8233,28285.00
2021-03-08 15:00,28550.00,28900.00,28400.00,28545.00,12516.00,3651,28630.00
2021-03-09 15:00,28465.00,28615.00,27820.00,27900.00,12848.00,4897,28235.00
2021-03-10 15:00,27880.00,28300.00,27200.00,28050.00,12582.00,9535,27700.00
2021-03-11 15:00,28000.00,28755.00,27805.00,28595.00,12362.00,5980,28200.00
2021-03-12 15:00,28880.00,28885.00,28485.00,28750.00,12073.00,3588,28700.00
2021-03-15 15:00,28785.00,28995.00,28280.00,28405.00,11681.00,4380,28580.00
2021-03-16 15:00,28370.00,28695.00,28120.00,28450.00,11223.00,2592,28425.00
2021-03-17 15:00,28390.00,28760.00,28310.00,28610.00,11672.00,2806,28550.00
2021-03-18 15:00,28470.00,28630.00,28365.00,28470.00,11048.00,2409,28505.00
2021-03-19 15:00,28205.00,28600.00,28135.00,28505.00,11081.00,2824,28425.00
2021-03-22 15:00,28455.00,28470.00,27935.00,28250.00,10894.00,3574,28205.00
2021-03-23 15:00,28280.00,28325.00,27960.00,28135.00,10459.00,1704,28135.00
2021-03-24 15:00,28000.00,28190.00,27850.00,28000.00,10373.00,1963,28020.00
2021-03-25 15:00,27850.00,27980.00,27520.00,27520.00,10666.00,3065,27705.00
2021-03-26 15:00,27500.00,27570.00,27215.00,27215.00,10898.00,3136,27350.00
2021-03-29 15:00,27000.00,27030.00,26520.00,26555.00,11456.00,5143,26765.00
2021-03-30 15:00,26480.00,27230.00,26310.00,27030.00,11358.00,4615,26920.00
2021-03-31 15:00,26870.00,27130.00,26655.00,26985.00,10842.00,3481,26895.00
2021-04-01 15:00,27110.00,27995.00,26870.00,27940.00,11547.00,6534,27550.00
2021-04-02 15:00,27940.00,27940.00,27535.00,27660.00,10751.00,3255,27680.00
2021-04-06 15:00,27230.00,27495.00,27060.00,27120.00,10764.00,2436,27315.00
2021-04-07 15:00,27050.00,27120.00,26665.00,26810.00,10749.00,3445,26840.00
2021-04-08 15:00,26740.00,27320.00,26615.00,26920.00,10723.00,2583,26955.00
2021-04-09 15:00,26995.00,27070.00,26465.00,26610.00,10638.00,3555,26685.00
2021-04-12 15:00,26830.00,27345.00,26815.00,27095.00,10592.00,4175,27100.00
2021-04-13 15:00,27300.00,27640.00,27120.00,27605.00,10659.00,3436,27365.00
2021-04-14 15:00,27365.00,27700.00,27350.00,27425.00,10478.00,2315,27505.00
2021-04-15 15:00,27280.00,27495.00,27150.00,27190.00,10516.00,2235,27330.00
2021-04-16 15:00,27000.00,27150.00,26785.00,26920.00,10624.00,3478,26925.00
2021-04-19 15:00,26900.00,27245.00,26800.00,27180.00,10694.00,2564,27065.00
2021-04-20 15:00,27180.00,27480.00,27110.00,27110.00,10699.00,1755,27230.00
2021-04-21 15:00,26995.00,27180.00,26755.00,27170.00,10797.00,1761,27055.00
2021-04-22 15:00,27155.00,27330.00,27050.00,27195.00,10839.00,1818,27205.00
2021-04-23 15:00,27195.00,27990.00,27195.00,27720.00,12092.00,6524,27680.00
2021-04-26 15:00,27680.00,27680.00,27330.00,27370.00,11274.00,3446,27440.00
2021-04-27 15:00,27400.00,27440.00,26660.00,27035.00,10971.00,2685,27080.00
2021-04-28 15:00,26875.00,27355.00,26850.00,27250.00,10795.00,2057,27170.00
2021-04-29 15:00,27210.00,27385.00,27075.00,27320.00,10991.00,1601,27200.00
2021-04-30 15:00,27320.00,27480.00,27200.00,27290.00,10822.00,1967,27335.00
2021-05-06 15:00,27000.00,27160.00,26405.00,26700.00,11707.00,5508,26775.00
2021-05-07 15:00,26700.00,26945.00,26485.00,26900.00,11337.00,2773,26805.00
2021-05-10 15:00,26700.00,26750.00,24975.00,25005.00,12337.00,10732,25750.00
2021-05-11 15:00,24960.00,25180.00,24750.00,24950.00,12311.00,5988,24960.00
