日期/时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2014-12-24,1763,1874,1763,1816,67948,7744
2014-12-25,2073,2093,2061,2073,2001700,390908
2014-12-26,2080,2112,2077,2086,1603100,408548
2014-12-29,2089,2095,2035,2050,1756700,392466
2014-12-30,2049,2088,2025,2041,2042600,390976
2014-12-31,2038,2074,2036,2051,1344100,305514
2015-01-05,2030,2057,2001,2007,816934,326002
2015-01-06,1990,2041,1986,2022,1459904,355152
2015-01-07,2014,2053,2000,2022,1956456,365132
2015-01-08,2039,2048,2023,2031,1254914,358318
2015-01-09,2036,2038,2006,2017,1134404,353614
2015-01-12,2009,2022,1944,1945,1922098,496114
2015-01-13,1940,1948,1897,1909,1754696,527402
2015-01-14,1902,1956,1902,1922,2146990,487640
2015-01-15,1929,1967,1915,1964,1804932,460190
2015-01-16,1978,2014,1940,1984,3245946,452762
2015-01-19,1986,2017,1978,2006,2255154,436364
2015-01-20,2005,2012,1981,2004,1538922,449366
2015-01-21,2008,2074,1992,2047,2224040,416774
2015-01-22,2040,2090,2037,2052,2157772,389602
2015-01-23,2063,2077,2033,2056,1699472,387988
2015-01-26,2046,2057,2003,2018,1741602,415664
2015-01-27,2029,2044,2019,2031,1347004,407420
2015-01-28,2030,2087,2027,2077,2328506,545394
2015-01-29,2080,2082,2052,2068,1434250,494440
2015-01-30,2065,2069,2030,2037,1330872,469004
2015-02-02,2043,2110,2020,2077,2024230,485752
2015-02-03,2090,2139,2078,2124,3289656,506060
2015-02-04,2136,2180,2118,2131,2562368,452604
2015-02-05,2133,2142,2109,2127,1856124,443030
2015-02-06,2141,2171,2136,2164,2532620,478944
2015-02-09,2157,2163,2132,2143,1496256,452588
2015-02-10,2147,2158,2124,2131,1338972,443300
2015-02-11,2129,2140,2116,2138,1302640,427228
2015-02-12,2135,2163,2127,2163,1660278,486702
2015-02-13,2167,2227,2161,2227,2582492,481180
2015-02-16,2245,2270,2222,2255,1963642,369770
2015-02-17,2254,2271,2224,2245,1105950,314954
2015-02-26,2281,2348,2271,2347,2685076,588426
2015-02-27,2340,2365,2321,2356,3072800,635970
2015-03-02,2356,2437,2356,2437,3422588,736474
2015-03-03,2448,2537,2408,2415,6061648,598894
2015-03-04,2416,2433,2371,2399,5918212,589298
2015-03-05,2407,2451,2346,2445,8327044,723562
2015-03-06,2448,2473,2416,2441,8520802,805186
2015-03-09,2447,2484,2371,2470,9020298,1013926
2015-03-10,2469,2484,2413,2424,8152542,998042
2015-03-11,2416,2443,2389,2400,7491580,948128
2015-03-12,2405,2476,2386,2476,6740970,1042358
2015-03-13,2479,2481,2434,2443,5297354,925332
2015-03-16,2428,2446,2403,2425,5521300,917688
2015-03-17,2417,2443,2366,2385,7095116,885040
2015-03-18,2370,2396,2318,2322,5443530,854636
2015-03-19,2320,2373,2306,2320,5250016,834528
2015-03-20,2303,2358,2303,2328,4732100,815340
2015-03-23,2337,2367,2313,2334,5016200,794424
2015-03-24,2338,2435,2335,2435,6262400,653060
2015-03-25,2450,2462,2388,2401,3237300,545400
2015-03-26,2414,2444,2400,2434,3904000,595164
2015-03-27,2425,2437,2357,2392,4021100,565594
2015-03-30,2401,2402,2353,2372,2686200,597302
2015-03-31,2374,2426,2360,2406,3925000,602332
2015-04-01,2403,2418,2374,2412,2746900,605414
2015-04-02,2415,2485,2406,2468,4763600,680880
2015-04-03,2448,2455,2382,2404,3287500,525422
2015-04-07,2435,2444,2423,2431,995150,512834
2015-04-08,2424,2448,2408,2432,2465100,507688
2015-04-09,2428,2433,2377,2401,1789400,523944
2015-04-10,2405,2418,2370,2377,1694400,543726
2015-04-13,2377,2439,2367,2425,1402700,487472
2015-04-14,2428,2433,2394,2416,867630,410994
2015-04-15,2413,2436,2413,2419,776416,393264
2015-04-16,2424,2522,2423,2522,982888,398784
2015-04-17,2525,2582,2502,2554,3301800,468072
2015-04-20,2547,2612,2533,2588,3037000,504160
2015-04-21,2577,2578,2577,2578,2473500,592606
2015-04-22,2558,2567,2518,2546,2857700,553822
2015-04-23,2554,2565,2522,2534,2883400,558092
2015-04-24,2547,2583,2545,2570,2809900,538316
2015-04-27,2575,2610,2554,2591,2652500,556896
2015-04-28,2592,2654,2578,2588,3394100,557574
2015-04-29,2606,2607,2527,2546,2988100,530056
2015-04-30,2553,2583,2544,2571,2577600,490660
2015-05-04,2583,2586,2536,2563,1349900,505970
2015-05-05,2573,2580,2551,2564,2152700,487102
2015-05-06,2585,2622,2577,2590,3288700,515938
2015-05-07,2600,2604,2533,2544,2708800,470424
2015-05-08,2544,2544,2482,2511,2975300,481852
2015-05-11,2523,2527,2496,2515,1885300,488630
2015-05-12,2510,2520,2488,2503,1753100,501648
2015-05-13,2515,2524,2496,2506,1599200,484732
2015-05-14,2513,2516,2456,2492,2300200,503470
2015-05-15,2492,2512,2483,2501,1899600,480778
2015-05-18,2490,2498,2474,2488,1573700,461780
2015-05-19,2485,2488,2437,2437,1815700,533566
2015-05-20,2423,2435,2394,2432,2639500,483498
2015-05-21,2436,2468,2428,2457,2253000,467354
2015-05-22,2458,2485,2451,2469,1792900,447460
2015-05-25,2448,2467,2429,2463,1532200,427332
2015-05-26,2459,2510,2457,2457,1893400,375718
2015-05-27,2443,2468,2435,2463,1612200,401808
2015-05-28,2451,2477,2441,2453,1760800,412958
2015-05-29,2429,2493,2429,2477,1986200,448060
2015-06-01,2480,2501,2466,2473,1635900,390704
2015-06-02,2472,2489,2451,2468,1373800,391218
2015-06-03,2465,2495,2445,2450,1790500,419586
2015-06-04,2436,2457,2416,2449,1641000,399364
2015-06-05,2447,2458,2428,2435,1357300,419698
2015-06-08,2442,2455,2431,2454,1054400,404544
2015-06-09,2450,2474,2442,2458,961072,386328
2015-06-10,2466,2485,2463,2485,1132100,400416
2015-06-11,2493,2493,2438,2439,1512200,477846
2015-06-12,2434,2450,2408,2443,1445400,451510
2015-06-15,2445,2467,2439,2467,1225800,435362
2015-06-16,2460,2532,2459,2514,2372000,474088
2015-06-17,2503,2528,2489,2517,1846000,500376
2015-06-18,2529,2536,2486,2490,1770100,554690
2015-06-19,2499,2523,2491,2515,1515200,478508
2015-06-23,2646,2646,2617,2646,6,2
2015-06-24,2481,2515,2471,2509,1225600,427984
2015-06-25,2505,2517,2496,2501,1101600,425768
2015-06-26,2498,2524,2485,2515,1307800,403286
