date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2020-10-12,5798,5832,5750,5832,51327,19362,5808
2020-10-13,5932,6042,5900,6042,538024,77665,6008
2020-10-14,6054,6138,5992,6104,309822,89404,6064
2020-10-15,6126,6270,6112,6266,559919,167776,6204
2020-10-16,6224,6454,6224,6454,1300979,251716,6342
2020-10-19,6462,6596,6432,6596,1458246,316768,6536
2020-10-20,6602,6618,6482,6564,1388290,306556,6546
2020-10-21,6536,6586,6488,6500,794840,288029,6536
2020-10-22,6530,6546,6274,6274,1221706,224512,6372
2020-10-23,6252,6314,6214,6238,646077,174759,6270
2020-10-26,6236,6326,6228,6254,479646,172231,6274
2020-10-27,6218,6286,6136,6144,453060,170317,6212
2020-10-28,6150,6206,6126,6178,356361,163360,6162
2020-10-29,6130,6176,6052,6058,315482,152349,6116
2020-10-30,6008,6102,5990,6016,237954,138240,6044
2020-11-02,6010,6172,6008,6094,380653,142514,6116
2020-11-03,6118,6162,6074,6076,195213,145515,6126
2020-11-04,6110,6114,6026,6066,157732,139596,6080
2020-11-05,6080,6100,5966,5982,159705,147914,6034
2020-11-06,5990,6004,5854,5888,263988,149173,5924
2020-11-09,5880,5926,5858,5902,153150,145719,5894
2020-11-10,6038,6124,5944,6006,334924,137063,6026
2020-11-11,6022,6112,6002,6066,217347,140201,6072
2020-11-12,6080,6136,6038,6048,194634,148000,6088
2020-11-13,6040,6070,5934,5956,168873,145772,5992
2020-11-16,5904,5990,5894,5964,175421,145686,5938
2020-11-17,5990,6032,5940,5968,158023,147265,5988
2020-11-18,5960,6024,5922,6000,149577,147703,5982
2020-11-19,6030,6032,5974,5994,105680,146178,6000
2020-11-20,6000,6050,5972,6006,149135,141034,6020
2020-11-23,6002,6080,5990,6040,108810,143354,6030
2020-11-24,6048,6108,6026,6100,162979,149334,6072
2020-11-25,6094,6144,6066,6100,142038,145102,6106
2020-11-26,6100,6130,6046,6064,101462,144093,6094
2020-11-27,6054,6100,6040,6096,77786,140693,6070
2020-11-30,6104,6130,6006,6016,121528,132433,6076
2020-12-01,6030,6062,6012,6030,62963,133521,6036
2020-12-02,6036,6052,5942,5946,103446,130763,5986
2020-12-03,5944,6014,5908,5988,108400,133235,5974
2020-12-04,5990,6098,5964,6092,169067,123153,6040
2020-12-07,6106,6250,6072,6248,183565,127385,6164
2020-12-08,6244,6286,6168,6182,167934,124591,6234
2020-12-09,6200,6264,6150,6192,126151,120890,6212
2020-12-10,6198,6240,6160,6166,101269,117503,6202
2020-12-11,6184,6270,6160,6228,137450,116593,6208
2020-12-14,6222,6362,6222,6344,168282,121355,6310
2020-12-15,6362,6362,6200,6278,109640,112146,6290
2020-12-16,6290,6312,6246,6270,60191,108722,6280
2020-12-17,6282,6338,6268,6338,77862,113180,6306
2020-12-18,6338,6392,6284,6318,95235,110392,6342
2020-12-21,6320,6336,6208,6266,84230,102287,6272
2020-12-22,6266,6304,6162,6216,112532,92204,6244
2020-12-23,6238,6262,6130,6226,92850,90039,6212
2020-12-24,6260,6290,6216,6290,54709,92485,6258
2020-12-25,6284,6340,6262,6304,90907,94324,6308
2020-12-28,6322,6328,6232,6256,84325,93098,6276
2020-12-29,6282,6286,6162,6184,79914,96048,6222
2020-12-30,6186,6282,6180,6282,85557,90496,6240
2020-12-31,6286,6450,6252,6422,154007,110849,6364
2021-01-04,6400,6560,6400,6538,81076,119217,6492
2021-01-05,6522,6696,6514,6594,242893,130278,6606
2021-01-06,6610,6746,6580,6714,199265,131341,6674
2021-01-07,6702,6866,6666,6848,166757,144270,6770
2021-01-08,6844,6910,6724,6804,177939,134523,6824
2021-01-11,6814,6818,6548,6572,231048,115681,6666
2021-01-12,6576,6662,6512,6646,115900,113051,6588
2021-01-13,6660,6772,6626,6726,152543,113824,6704
2021-01-14,6712,6738,6592,6596,140959,106915,6658
2021-01-15,6582,6682,6546,6576,133221,112056,6612
2021-01-18,6576,6652,6534,6626,107559,112937,6600
2021-01-19,6626,6784,6602,6644,188263,116695,6692
2021-01-20,6656,6712,6608,6658,105982,116012,6668
2021-01-21,6662,6728,6610,6614,131373,116341,6682
2021-01-22,6614,6656,6476,6494,153163,115097,6572
2021-01-25,6456,6538,6456,6512,90273,107240,6502
2021-01-26,6512,6580,6440,6454,75969,104809,6530
2021-01-27,6468,6548,6440,6538,80911,105251,6490
2021-01-28,6508,6546,6424,6458,92218,102132,6480
2021-01-29,6470,6624,6466,6618,109238,99181,6546
2021-02-01,6632,6766,6602,6724,124583,105670,6692
2021-02-02,6750,6808,6710,6748,122483,101117,6764
2021-02-03,6782,6832,6668,6706,144204,101606,6758
2021-02-04,6724,6798,6690,6792,87938,103148,6748
2021-02-05,6786,6820,6738,6776,84605,102138,6784
2021-02-08,6794,7036,6790,7004,197240,124557,6938
2021-02-09,7008,7118,6982,7098,155634,119320,7048
2021-02-10,7096,7144,7040,7144,117712,122182,7094
2021-02-18,7350,7734,7350,7734,171281,142055,7614
2021-02-19,7702,7762,7490,7594,266154,136019,7630
2021-02-22,7594,8078,7530,8024,298198,144433,7868
2021-02-23,7998,8236,7908,7968,326422,134002,8068
2021-02-24,7970,8142,7910,8040,259723,143096,8042
2021-02-25,8158,8526,8070,8506,403889,143864,8342
2021-02-26,8508,8578,8260,8362,355427,140089,8418
2021-03-01,8304,8400,7928,8046,522283,116235,8136
2021-03-02,8016,8062,7712,7824,371043,110290,7882
2021-03-03,7880,7998,7726,7788,290389,107125,7870
2021-03-04,7836,7840,7580,7720,344548,111244,7708
2021-03-05,7700,7874,7616,7780,416678,111700,7760
2021-03-08,7832,8090,7808,7920,340200,105385,7946
2021-03-09,7900,7900,7600,7600,248490,101209,7774
2021-03-10,7640,7684,7306,7370,332635,105526,7490
2021-03-11,7418,7596,7354,7578,266319,100833,7448
2021-03-12,7578,7692,7502,7548,277590,103289,7594
2021-03-15,7540,7618,7384,7436,250308,101413,7498
2021-03-16,7394,7468,7136,7162,284911,112908,7310
2021-03-17,7154,7278,7114,7228,204396,108491,7204
2021-03-18,7172,7286,7124,7264,201682,107314,7224
2021-03-19,7256,7352,6954,7014,370591,99479,7184
2021-03-22,7018,7248,6994,7206,210196,92697,7130
2021-03-23,7220,7284,7136,7208,197358,100062,7216
2021-03-24,7108,7230,7060,7158,236125,99857,7146
2021-03-25,7200,7222,7014,7018,186811,111733,7126
2021-03-26,6982,7014,6810,6974,305234,109763,6928
2021-03-29,6960,7042,6828,6838,221619,114715,6950
2021-03-30,6880,6938,6846,6880,158484,114549,6888
