日期/时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2014-08-12,5810,5956,5808,5912,233812,46588
2014-08-13,5920,5946,5880,5926,119328,46610
2014-08-14,5918,5936,5710,5740,142708,35404
2014-08-15,5740,5780,5730,5774,63946,33498
2014-08-18,5776,5796,5730,5748,48440,33734
2014-08-19,5740,5780,5690,5776,39674,32334
2014-08-20,5778,5778,5514,5730,47588,33542
2014-08-21,5746,5778,5722,5742,15598,33038
2014-08-22,5736,5754,5706,5716,27818,33512
2014-08-25,5710,5742,5676,5738,40176,29610
2014-08-26,5742,5770,5726,5752,15454,24442
2014-08-27,5744,5788,5744,5766,16096,21552
2014-08-28,5760,5780,5734,5780,11954,20416
2014-08-29,5776,5810,5756,5800,16324,19760
2014-09-01,5804,5828,5776,5776,22664,21208
2014-09-02,5772,5798,5714,5762,34782,24782
2014-09-03,5762,5792,5750,5754,10766,24676
2014-09-04,5750,5788,5720,5764,13020,24444
2014-09-05,5768,5784,5736,5752,10634,24888
2014-09-09,5740,5754,5648,5662,35286,32824
2014-09-10,5638,5786,5636,5710,25276,27534
2014-09-11,5708,5714,5686,5698,8168,27304
2014-09-12,5700,5736,5690,5728,5146,25880
2014-09-15,5722,5786,5716,5776,8792,24370
2014-09-16,5788,5808,5758,5764,6570,22790
2014-09-17,5778,5786,5762,5778,2508,22772
2014-09-18,5780,5788,5754,5758,3976,22258
2014-09-19,5760,5762,5694,5700,11852,21826
2014-09-22,5682,5686,5510,5540,20942,22332
2014-09-23,5522,5592,5522,5562,11374,22412
2014-09-24,5570,5640,5556,5590,6288,21070
2014-09-25,5604,5634,5444,5468,30972,23844
2014-09-26,5456,5536,5450,5500,13168,23138
2014-09-29,5500,5540,5462,5538,6662,21986
2014-09-30,5540,5586,5530,5572,6968,18852
2014-10-09,5560,5646,5532,5636,5898,18644
2014-10-10,5634,5642,5584,5594,4890,17962
2014-10-13,5602,5698,5602,5630,13556,16212
2014-10-14,5620,5638,5564,5580,6462,15798
2014-10-15,5584,5608,5532,5536,6656,15832
2014-10-16,5530,5580,5524,5570,6804,14838
2014-10-17,5600,5622,5566,5588,3240,14220
2014-10-20,5590,5620,5570,5620,2064,14028
2014-10-21,5616,5620,5602,5610,1346,13702
2014-10-22,5612,5620,5534,5540,3878,14006
2014-10-23,5534,5596,5530,5580,2328,13558
2014-10-24,5612,5622,5576,5618,2080,12914
2014-10-27,5618,5620,5588,5598,1116,12778
2014-10-28,5604,5610,5572,5606,962,12592
2014-10-29,5600,5626,5600,5614,2024,12358
2014-10-30,5618,5620,5550,5568,2918,11966
2014-10-31,5552,5600,5368,5428,13816,11502
2014-11-03,5420,5432,5368,5390,4352,12310
2014-11-04,5384,5540,5334,5506,20824,9570
2014-11-05,5480,5520,5450,5452,4706,8452
2014-11-06,5460,5510,5440,5492,1588,8126
2014-11-07,5492,5512,5490,5506,1234,7538
2014-11-10,5510,5510,5492,5510,878,7260
2014-11-11,5508,5512,5492,5510,1096,6860
2014-11-12,5510,5512,5494,5508,832,6676
2014-11-13,5506,5508,5470,5508,1438,6532
2014-11-14,5504,5508,5484,5506,318,6442
2014-11-17,5508,5510,5482,5482,482,6224
2014-11-18,5478,5490,5448,5474,2982,6216
2014-11-19,5456,5512,5456,5512,1710,5658
2014-11-20,5500,5510,5470,5508,2044,4206
2014-11-21,5500,5510,5470,5500,1146,3226
2014-11-24,5518,5526,5498,5514,340,3226
2014-11-25,5510,5518,5482,5488,364,3186
2014-11-26,5488,5530,5450,5520,1194,3112
2014-11-27,5530,5542,5502,5538,2926,1896
2014-11-28,5530,5534,5520,5532,712,1374
2014-12-01,5530,5530,5484,5530,354,1264
2014-12-02,5528,5530,5508,5524,526,1070
2014-12-03,5522,5528,5522,5528,252,918
2014-12-04,5528,5546,5490,5494,1126,728
2014-12-05,5470,5510,5422,5468,1256,698
2014-12-08,5440,5478,5408,5464,120,662
2014-12-09,5440,5502,5430,5500,236,610
2014-12-10,5462,5556,5462,5554,250,514
2014-12-11,5556,5598,5542,5542,202,372
2014-12-12,5542,5582,5440,5554,140,330
2014-12-15,5522,5582,5440,5518,54,290
2014-12-16,5500,5562,5500,5544,18,284
2014-12-17,5496,5542,5496,5536,26,272
2014-12-18,5510,5542,5496,5528,40,248
2014-12-19,5528,5540,5524,5532,116,210
2014-12-22,5508,5610,5480,5492,58,146
2014-12-23,5510,5610,5432,5472,54,114
2014-12-24,5428,5510,5428,5452,18,98
2014-12-25,5332,5372,5332,5356,0,104
2014-12-26,5360,5372,5332,5360,16,104
2014-12-29,5370,5370,5330,5350,12,114
2014-12-30,5382,5382,5348,5360,44,118
2014-12-31,5332,5376,5332,5368,10,120
2015-01-05,5300,5376,5300,5344,58,132
2015-01-06,5320,5386,5320,5344,18,136
2015-01-07,5346,5388,5342,5342,26,130
2015-01-08,5368,5388,5338,5350,16,128
