ts_code,M0_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,vol,amount,oi
LC.GFE,LC2401.GFE,2023-07-21,,208807.42283795562,202780.86713816095,202780.86713816095,181772.80325507396,182579.17338391973,187332.51309080003,59519.0,1313781.09,5854.0
LC.GFE,LC2401.GFE,2023-07-24,182579.17338391973,187332.51309080003,182069.886986754,182239.64911914256,177401.428346068,179438.57393473096,179226.37126924522,40662.0,858678.63,7680.0
LC.GFE,LC2401.GFE,2023-07-25,179438.57393473096,179226.37126924522,179099.0496699538,191746.32853290314,179099.0496699538,191746.32853290314,188478.40748442293,61787.0,1372021.67,9213.0
LC.GFE,LC2401.GFE,2023-07-26,191746.32853290314,188478.40748442293,191916.09066529173,204096.52366417248,189327.21814636586,193359.06879059467,195990.38184261767,95688.0,2209709.47,9122.0
LC.GFE,LC2401.GFE,2023-07-27,193359.06879059467,195990.38184261767,198621.6948946407,198706.575960835,189284.7776132687,190897.51787096023,193571.2714560804,44923.0,1024668.31,9603.0
LC.GFE,LC2401.GFE,2023-07-28,190897.51787096023,193571.2714560804,189963.82614282303,195608.41704474337,188478.40748442293,193443.94985678897,193061.98505891464,42934.0,976586.64,9217.0
LC.GFE,LC2401.GFE,2023-07-31,193443.94985678897,193061.98505891464,193783.47412156613,197645.56263340637,193401.5093236918,193571.2714560804,195735.7386440348,33526.0,773251.05,9667.0
LC.GFE,LC2401.GFE,2023-08-01,193571.2714560804,195735.7386440348,194377.64158492617,195226.45224686907,191576.56640051457,193868.3551877604,193910.79572085757,20971.0,479115.9,9785.0
LC.GFE,LC2401.GFE,2023-08-02,193868.3551877604,193910.79572085757,193910.79572085757,195523.53597854907,193486.3903898861,193995.67678705184,194377.64158492617,16109.0,368974.36,9731.0
LC.GFE,LC2401.GFE,2023-08-03,193995.67678705184,194377.64158492617,191831.20959909743,195268.8927799662,190642.87467237737,194929.36851518904,193741.03358846897,19658.0,448787.47,10136.0
LC.GFE,LC2401.GFE,2023-08-04,194929.36851518904,193741.03358846897,196075.26290881197,197433.35996792064,193868.3551877604,194335.201051829,194971.8090482862,12850.0,295181.47,10314.0
LC.GFE,LC2401.GFE,2023-08-07,194335.201051829,194971.8090482862,193104.4255920118,194207.87945253757,186313.94029646853,186568.5834950514,189666.742411143,29799.0,665937.5,12270.0
LC.GFE,LC2401.GFE,2023-08-08,186568.5834950514,189666.742411143,186059.29709788566,187969.1210872572,183597.74617825123,184191.91364161126,185295.36750213703,30145.0,658185.38,13918.0
LC.GFE,LC2401.GFE,2023-08-09,184191.91364161126,185295.36750213703,184573.87843948556,185210.48643594273,182664.05445011402,184870.9621711656,184022.15150922266,25550.0,554019.57,13673.0
LC.GFE,LC2401.GFE,2023-08-10,184870.9621711656,184022.15150922266,184573.87843948556,185889.53496549706,178292.67954110802,178674.64433898235,181985.0059205597,32365.0,694033.52,17113.0
LC.GFE,LC2401.GFE,2023-08-11,178674.64433898235,181985.0059205597,178250.2390080109,179693.21713331382,174260.82889687922,177231.6662136794,176807.26088270795,51821.0,1079437.56,18289.0
LC.GFE,LC2401.GFE,2023-08-14,177231.6662136794,176807.26088270795,175873.56915457075,176128.21235315362,167003.49773726735,167003.49773726735,171077.78891459331,51678.0,1041609.71,23419.0
LC.GFE,LC2401.GFE,2023-08-15,167003.49773726735,171077.78891459331,166366.88974081018,168106.95159779312,164159.9820197586,165093.6737478958,165815.16281054728,78365.0,1531216.96,25479.0
LC.GFE,LC2401.GFE,2023-08-16,165093.6737478958,165815.16281054728,164669.26841692434,170016.77558716468,163014.08762613568,166579.09240629588,167512.78413443308,76180.0,1503553.91,24567.0
LC.GFE,LC2401.GFE,2023-08-17,166579.09240629588,167512.78413443308,166366.88974081018,168361.594796376,163183.84975852424,164669.26841692434,165093.6737478958,67975.0,1322116.74,26791.0
LC.GFE,LC2401.GFE,2023-08-18,164669.26841692434,165093.6737478958,165687.84121125584,167809.8678661131,165178.55481409008,166154.68707532444,166621.53293939304,42991.0,844105.59,24198.0
LC.GFE,LC2401.GFE,2023-08-21,166154.68707532444,166621.53293939304,168064.51106469598,172732.96970538198,166536.65187319875,170738.26464981615,169677.2513223875,58940.0,1178414.41,22723.0
LC.GFE,LC2401.GFE,2023-08-22,170738.26464981615,169677.2513223875,170780.70518291328,173454.45876803345,167300.58146894738,168319.15426327885,169974.33505406752,54479.0,1090958.39,22567.0
LC.GFE,LC2401.GFE,2023-08-23,168319.15426327885,169974.33505406752,168319.15426327885,169931.89452097038,166027.365476033,169762.1323885818,168446.47586257028,40847.0,810758.19,23417.0
LC.GFE,LC2401.GFE,2023-08-24,169762.1323885818,168446.47586257028,170186.53771955325,172308.56437441052,167470.34360133595,169295.2865245132,169719.69185548465,36416.0,728172.71,22465.0
LC.GFE,LC2401.GFE,2023-08-25,169295.2865245132,169719.69185548465,169507.48918999892,170568.50251742755,164839.0305493129,164881.47108241008,167427.9030682388,37956.0,748725.08,24946.0
LC.GFE,LC2401.GFE,2023-08-28,164881.47108241008,167427.9030682388,165942.4844098387,167979.62999850168,155714.31593342667,157624.1399227982,161019.38257056984,83130.0,1577323.55,29119.0
LC.GFE,LC2401.GFE,2023-08-29,157624.1399227982,161019.38257056984,157199.73459182674,160170.57190862694,153380.08661308367,158175.8668530611,157199.73459182674,76982.0,1425832.73,29393.0
LC.GFE,LC2401.GFE,2023-08-30,158175.8668530611,157199.73459182674,159661.28551146117,160255.4529748212,156690.448194661,157963.66418757537,158175.8668530611,59287.0,1104979.65,29534.0
LC.GFE,LC2401.GFE,2023-08-31,157963.66418757537,158175.8668530611,158557.8316509354,158897.35591571257,153507.4082123751,158600.27218403254,156563.12659536957,77568.0,1430952.52,29530.0
LC.GFE,LC2401.GFE,2023-09-01,158600.27218403254,156563.12659536957,159491.5233790726,161825.7526994156,157284.61565802104,158515.39111783824,159533.96391216974,75908.0,1426830.89,29406.0
LC.GFE,LC2401.GFE,2023-09-04,158515.39111783824,159533.96391216974,159321.761246684,162886.76602684424,158854.9153826154,161189.1447029584,161104.26363676414,65613.0,1245619.23,28964.0
LC.GFE,LC2401.GFE,2023-09-05,161189.1447029584,161104.26363676414,162419.92016277564,164584.38735073005,160170.57190862694,161655.990567027,162122.8364310956,65380.0,1248873.42,29405.0
LC.GFE,LC2401.GFE,2023-09-06,161655.990567027,162122.8364310956,162122.8364310956,163353.61189091284,160849.62043818124,161740.8716332213,162207.7174972899,44433.0,849119.84,30278.0
LC.GFE,LC2401.GFE,2023-09-07,161740.8716332213,162207.7174972899,161274.0257691527,161358.906835347,155544.55380103807,156775.3292608553,157624.1399227982,61590.0,1143830.91,32985.0
LC.GFE,LC2401.GFE,2023-09-08,156775.3292608553,157624.1399227982,155502.11326794093,156266.04286368954,149008.71170407766,149815.08183292343,152064.43008707213,112910.0,2022885.33,38903.0
LC.GFE,LC2401.GFE,2023-09-11,149815.08183292343,152064.43008707213,150154.6060977006,152361.51381875217,144934.42052675172,151640.0247561007,150069.7250315063,83768.0,1481120.64,41553.0
LC.GFE,LC2401.GFE,2023-09-12,151640.0247561007,150069.7250315063,151809.78688848927,154356.218874318,150197.04663079773,150876.09516035207,152403.9543518493,86982.0,1562009.7,44536.0
LC.GFE,LC2401.GFE,2023-09-13,150876.09516035207,152403.9543518493,150239.4871638949,152149.31115326643,148456.9847738148,149433.11703504913,150112.16556460346,73753.0,1304548.23,45820.0
LC.GFE,LC2401.GFE,2023-09-14,149433.11703504913,150112.16556460346,148711.62797239766,149475.55756814627,143576.32346764306,143576.32346764306,145995.43385418036,127527.0,2193638.4,52682.0
LC.GFE,LC2401.GFE,2023-09-15,143576.32346764306,145995.43385418036,144722.217861266,145401.26639082032,141751.3805444658,144382.69359648883,143533.88293454592,112996.0,1910807.18,52203.0
LC.GFE,LC2401.GFE,2023-09-18,144382.69359648883,143533.88293454592,143873.40719932306,145146.62319223743,141242.09414730006,141878.70214375723,143406.56133525446,81843.0,1382927.46,55569.0
LC.GFE,LC2401.GFE,2023-09-19,141878.70214375723,143406.56133525446,141242.09414730006,141963.58320995152,134876.01418272825,135300.4195136997,138441.01896288845,129369.0,2110211.1,64943.0
LC.GFE,LC2401.GFE,2023-09-20,135300.4195136997,138441.01896288845,134494.04938485392,135555.06271228255,129952.91234345936,130844.16353849942,132414.4632630938,204819.0,3195395.31,70230.0
LC.GFE,LC2401.GFE,2023-09-21,130844.16353849942,132414.4632630938,130377.31767443081,136234.1112418369,129952.91234345936,135767.2653777683,133305.71445813385,220010.0,3455516.79,66110.0
LC.GFE,LC2401.GFE,2023-09-22,135767.2653777683,133305.71445813385,135809.70591086545,137464.88670165412,131268.56886947088,132541.78486238525,134324.28725246535,251819.0,3986223.21,64039.0
LC.GFE,LC2401.GFE,2023-09-25,132541.78486238525,134324.28725246535,132414.4632630938,136234.1112418369,132202.26059760808,134748.69258343682,134451.60885175678,193857.0,3071140.69,62330.0
LC.GFE,LC2401.GFE,2023-09-26,134748.69258343682,134451.60885175678,134112.08458697962,134366.72778556249,126557.66969568773,126557.66969568773,129868.03127726508,268584.0,4110115.86,69608.0
LC.GFE,LC2401.GFE,2023-09-27,126557.66969568773,129868.03127726508,126472.78862949344,128934.33954912788,123077.5459817218,126005.94276542484,125921.06169923054,322018.0,4777696.88,64804.0
