date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2019-05-06,8820,8900,8620,8665,349204,57284,8745
2019-05-07,8710,8720,8545,8615,301676,70904,8620
2019-05-08,8620,8710,8595,8635,234442,71964,8650
2019-05-09,8635,8690,8580,8620,203022,70710,8640
2019-05-10,8655,8750,8620,8670,188466,65566,8680
2019-05-13,8690,9115,8670,9115,123494,103862,8985
2019-05-14,9125,9575,9125,9505,248471,88938,9425
2019-05-15,9505,9865,9385,9660,240050,111642,9585
2019-05-16,9680,9890,9620,9715,1310602,128334,9750
2019-05-17,9750,9795,9625,9755,832474,120310,9715
2019-05-20,9790,9915,9655,9755,846002,121602,9775
2019-05-21,9775,9905,9700,9840,755190,121068,9810
2019-05-22,9835,10305,9790,10305,1762678,148766,10125
2019-05-23,10335,10415,10255,10350,1183050,158296,10340
2019-05-24,10280,10730,10230,10720,1283538,178858,10490
2019-05-27,10600,10935,10480,10560,1777008,155792,10755
2019-05-28,10605,10690,10295,10405,2051420,142748,10470
2019-05-29,10460,10645,10395,10550,1087784,168440,10510
2019-05-30,10555,10745,10370,10530,1243232,159160,10565
2019-05-31,10520,10590,10340,10485,908096,151478,10440
2019-06-03,10435,10560,10000,10095,1052628,140692,10230
2019-06-04,10145,10190,9955,10150,780736,138258,10055
2019-06-05,10175,10210,10015,10100,569380,136470,10100
2019-06-06,10030,10030,9625,9750,875070,119610,9770
2019-06-10,9655,9890,9605,9815,571092,128688,9775
2019-06-11,9850,9995,9810,9960,536422,125136,9900
2019-06-12,9915,9925,9740,9815,468472,120694,9810
2019-06-13,9850,10305,9850,10305,972664,156654,10185
2019-06-14,10340,10550,10140,10230,955096,121284,10340
2019-06-17,10260,10445,10130,10440,544104,141946,10280
2019-06-18,10390,10450,10075,10120,847530,128026,10230
2019-06-19,10180,10310,10110,10225,597684,121390,10210
2019-06-20,10285,10370,10180,10270,383270,112488,10265
2019-06-21,10360,10515,10285,10475,552382,134984,10400
2019-06-24,10485,10580,10360,10440,340614,124618,10440
2019-06-25,10430,10475,10310,10395,263788,116398,10385
2019-06-26,10410,10445,10320,10415,198816,115136,10385
2019-06-27,10415,10675,10365,10505,488372,126426,10560
2019-06-28,10535,10610,10300,10335,306112,106548,10445
2019-07-01,10380,10380,10185,10285,218390,107400,10260
2019-07-02,10270,10365,10155,10340,242280,102204,10275
2019-07-03,10305,10440,10230,10330,235456,98952,10310
2019-07-04,10365,10430,10310,10380,219044,100096,10370
2019-07-05,10395,10415,10220,10315,186760,93172,10310
2019-07-08,10325,10565,10325,10555,263722,110142,10480
2019-07-09,10625,10645,10425,10490,224112,99714,10515
2019-07-10,10510,10510,10255,10405,256166,96150,10350
2019-07-11,10430,10460,10285,10415,172482,93174,10375
2019-07-12,10430,10535,10335,10485,222456,98114,10445
2019-07-15,10485,10615,10405,10470,214094,94684,10490
2019-07-16,10420,10545,10365,10540,132580,97470,10490
2019-07-18,10435,10480,10335,10360,154826,92812,10395
2019-07-19,10330,10385,10220,10345,163902,88326,10315
2019-07-22,10380,10380,10185,10315,134604,88802,10285
2019-07-23,10265,10315,10170,10215,160144,96164,10245
2019-07-24,10150,10215,9995,10135,217544,97478,10090
2019-07-25,10130,10150,10065,10100,87194,93972,10100
2019-07-26,10080,10235,10025,10230,147524,88426,10130
2019-07-29,10225,10265,10150,10205,81286,84814,10200
2019-07-30,10230,10325,10180,10280,105646,83302,10255
2019-07-31,10290,10340,10240,10275,67444,77950,10280
2019-08-01,10235,10285,10120,10130,105114,81638,10195
2019-08-02,10065,10210,10055,10185,97832,76752,10140
2019-08-05,10225,10270,10030,10125,125128,79524,10150
2019-08-06,10195,10660,10165,10660,383226,127156,10495
2019-08-07,10750,10825,10545,10695,388616,113534,10695
2019-08-08,10755,10945,10635,10780,365566,124832,10760
2019-08-09,10805,10870,10580,10785,285950,117798,10735
2019-08-12,10840,11000,10705,10730,300212,125182,10840
2019-08-13,10770,10770,10610,10645,190880,115536,10670
2019-08-14,10625,10645,10505,10570,168748,105094,10575
2019-08-15,10550,10660,10525,10650,101144,100126,10590
2019-08-16,10755,10850,10695,10745,234214,110112,10760
2019-08-19,10840,10840,10735,10750,115476,114612,10785
2019-08-20,10750,10810,10600,10635,149900,103162,10710
2019-08-21,10635,10750,10545,10745,112074,100000,10635
2019-08-22,10760,10775,10655,10715,91398,102706,10715
2019-08-23,10700,10750,10635,10705,102756,101036,10700
2019-08-26,10700,10840,10565,10595,142454,94990,10660
2019-08-27,10555,10700,10525,10695,97432,90102,10625
2019-08-28,10690,10725,10595,10630,78028,85456,10655
2019-08-29,10655,10820,10645,10760,148988,98548,10755
2019-08-30,10750,10880,10700,10730,119302,93156,10785
2019-09-02,10735,10760,10615,10695,83024,85600,10685
2019-09-03,10715,11220,10690,11220,269516,137572,10965
2019-09-04,11310,11555,11300,11475,410850,140046,11440
2019-09-05,11490,11520,11105,11215,316714,123250,11390
2019-09-06,11170,11255,10820,10820,310438,94752,11060
2019-09-09,10800,10850,10665,10725,221784,90870,10755
2019-09-10,10695,10815,10690,10725,123996,88556,10750
2019-09-11,10680,10780,10335,10430,339650,91780,10545
2019-09-12,10450,10480,10305,10370,234872,85296,10385
2019-09-16,10400,10530,10230,10420,206908,82552,10385
2019-09-17,10425,10505,10365,10490,110488,77644,10445
2019-09-18,10475,10575,10400,10505,164374,76184,10505
2019-09-19,10510,10520,10250,10505,274870,79550,10370
2019-09-20,10495,10495,10355,10425,132324,74444,10435
2019-09-23,10400,10415,10060,10255,338562,88308,10230
2019-09-24,10280,10330,10190,10290,150460,83850,10255
2019-09-25,10305,10320,10170,10290,126348,81566,10245
2019-09-26,10280,10450,10250,10335,140036,77462,10335
2019-09-27,10275,10340,10150,10320,161032,68742,10255
2019-09-30,10350,10395,10155,10250,137644,65312,10245
2019-10-08,10255,10545,10180,10385,164746,65076,10395
2019-10-09,10390,10430,10320,10385,79202,65284,10375
2019-10-10,10405,10450,10340,10385,81866,66968,10405
2019-10-11,10385,10420,10260,10400,125368,65596,10345
2019-10-14,10415,10525,10340,10490,141458,72748,10435
2019-10-15,10455,10580,10400,10500,112132,69226,10460
2019-10-16,10505,10525,10410,10460,77462,66682,10455
2019-10-17,10465,10490,9930,9930,393158,108316,10130
2019-10-18,9925,10070,9770,10010,410986,102862,9885
2019-10-21,10000,10100,9895,10000,228238,97566,9985
2019-10-22,9985,10030,9940,10000,116392,96364,9985
2019-10-23,10025,10485,9955,10485,304166,111050,10305
2019-10-24,10600,10670,10515,10625,327990,86750,10585
2019-10-25,10645,10685,10525,10665,192108,86308,10600
2019-10-28,10720,10750,10450,10680,182086,83170,10600
2019-10-29,10660,10780,10595,10665,180216,81000,10670
2019-10-30,10650,10690,10585,10670,92836,70058,10645
2019-10-31,10680,10730,10580,10650,107236,56314,10640
2019-11-01,10655,10760,10580,10730,80856,50496,10650
2019-11-04,10805,11185,10755,11000,230790,52212,11020
2019-11-05,11015,11075,10870,10955,78778,45550,10975
2019-11-06,10965,10975,10760,10765,72802,39646,10860
2019-11-07,10785,10890,10720,10855,48866,37260,10815
2019-11-08,10915,11080,10870,11045,145250,65596,10980
2019-11-11,11010,11050,10870,10990,122540,66342,10960
2019-11-12,10980,11030,10905,10980,87738,66180,10970
2019-11-13,10960,11115,10890,11045,97528,68884,10980
2019-11-14,11050,11260,11015,11120,275786,86326,11145
2019-11-15,11075,11195,11020,11185,113366,85220,11100
2019-11-18,11160,11175,11010,11105,123456,85094,11090
2019-11-19,11110,11110,10790,10930,192104,77728,10905
2019-11-20,10930,11080,10850,11065,117456,79454,10990
2019-11-21,11050,11050,10910,10960,99564,72500,10960
2019-11-22,10930,10955,10765,10885,124860,72198,10860
2019-11-25,10860,10915,10765,10915,99068,62688,10850
2019-11-26,10875,10925,10825,10870,81284,61922,10860
2019-11-27,10870,10965,10755,10805,117230,59218,10855
2019-11-28,10800,10890,10795,10875,71666,51846,10850
2019-11-29,10885,11110,10810,11070,140840,46828,10925
2019-12-02,11045,11090,10925,10930,74658,34354,11005
2019-12-03,10935,10995,10925,10950,30822,31828,10965
2019-12-04,10940,10980,10810,10910,50590,26324,10890
2019-12-05,10890,10905,10835,10840,21432,23806,10865
2019-12-06,10780,10870,10580,10840,122126,58264,10740
2019-12-09,10850,11045,10770,10855,111070,58538,10890
2019-12-10,10890,10910,10805,10805,58806,56566,10860
2019-12-11,10800,10920,10780,10810,81082,59280,10855
2019-12-12,10810,10890,10805,10875,58586,58398,10855
2019-12-13,10870,10895,10770,10870,78712,58332,10850
2019-12-16,10910,10980,10835,10895,78450,60022,10905
2019-12-17,10890,10930,10860,10860,51624,57780,10895
2019-12-18,10860,10880,10740,10835,99274,64402,10820
2019-12-19,10855,10870,10790,10860,55726,62952,10825
2019-12-20,10865,10925,10840,10905,74486,62508,10890
2019-12-23,10910,10950,10810,10810,75746,62524,10865
2019-12-24,10810,10830,10720,10775,77782,64960,10770
2019-12-25,10785,10825,10710,10800,46656,63096,10775
2019-12-26,10830,10875,10775,10835,49760,60760,10825
2019-12-27,10830,10890,10800,10875,45494,59390,10865
2019-12-30,10875,11015,10800,10900,108482,58066,10875
2019-12-31,10880,10960,10840,10915,87534,59572,10895
2020-01-02,10940,10960,10880,10930,25280,31370,10925
2020-01-03,10930,10970,10860,10905,32463,30415,10915
2020-01-06,10880,10935,10745,10800,62479,31723,10835
2020-01-07,10815,10830,10420,10480,130976,45142,10585
2020-01-08,10490,10530,10335,10440,72014,45842,10420
2020-01-09,10435,10490,10370,10405,43553,45150,10435
2020-01-10,10300,10490,10115,10475,138615,45564,10320
2020-01-13,10515,10585,10360,10425,48800,42507,10440
2020-01-14,10425,10555,10355,10480,49596,40457,10460
2020-01-15,10520,10545,10405,10510,44648,39172,10490
2020-01-16,10520,10585,10440,10510,41662,37875,10505
2020-01-17,10510,10575,10470,10575,30365,36609,10525
2020-01-20,10585,10665,10470,10470,38211,35502,10540
2020-01-21,10495,10545,10450,10515,31349,34424,10500
2020-01-22,10515,10640,10425,10600,43738,32049,10530
2020-01-23,10575,10620,10520,10610,20706,29564,10570
2020-02-03,10150,10360,9910,10105,89416,31495,10125
2020-02-04,10085,10260,9890,10240,38655,29416,10175
2020-02-05,10225,10320,10190,10235,29758,28416,10250
2020-02-06,10240,10290,10205,10280,21874,28323,10250
2020-02-07,10290,10335,10260,10330,26660,28926,10300
2020-02-10,10260,10360,10230,10325,25715,29139,10310
2020-02-11,10350,10400,10310,10385,24902,28447,10365
2020-02-12,10380,10485,10370,10435,26864,28738,10420
2020-02-13,10435,10460,10390,10450,15470,27637,10420
2020-02-14,10430,10460,10350,10420,25899,28876,10405
2020-02-17,10440,10555,10400,10535,29563,30150,10490
2020-02-18,10495,10560,10490,10510,14819,29462,10520
2020-02-19,10490,10550,10490,10500,11612,29217,10520
2020-02-20,10535,10665,10475,10580,34779,29460,10580
2020-02-21,10575,10595,10530,10555,15003,28302,10570
2020-02-24,10580,10585,10440,10465,24534,27159,10495
2020-02-25,10425,10620,10425,10565,31902,26844,10545
2020-02-26,10545,10570,10465,10510,17395,26362,10520
2020-02-27,10520,10535,10275,10385,59886,29645,10385
2020-02-28,10340,10495,10320,10430,56167,28812,10405
2020-03-02,10405,10710,10345,10580,52321,26018,10555
2020-03-03,10555,10600,10460,10520,27770,24589,10520
2020-03-04,10535,10565,10470,10525,18351,23623,10515
2020-03-05,10530,10545,10470,10480,19016,21857,10505
2020-03-06,10450,10465,10350,10395,34130,22246,10405
2020-03-09,10345,10535,10245,10415,33736,20972,10390
2020-03-10,10415,10465,10385,10400,17138,19234,10420
2020-03-11,10390,10450,10270,10315,40026,21991,10350
2020-03-12,10305,10390,10200,10375,32455,21180,10305
2020-03-13,10330,10390,10250,10360,25384,19677,10325
2020-03-16,10355,10410,10290,10300,20987,19217,10345
2020-03-17,10275,10360,10230,10335,20317,17398,10300
2020-03-18,10310,10340,10260,10295,16362,17161,10290
2020-03-19,10265,10290,10020,10215,39403,18627,10150
2020-03-20,10240,10580,10200,10265,31758,13135,10320
2020-03-23,10220,10220,10100,10125,21344,13801,10155
2020-03-24,10120,10205,9810,9980,54998,17692,10000
2020-03-25,9965,10065,9715,9790,51426,21328,9850
2020-03-26,9750,10020,9670,10010,48610,16005,9860
2020-03-27,10000,10215,9985,10190,36833,13310,10130
2020-03-30,10195,10300,10030,10095,21389,11969,10125
2020-03-31,10085,10175,10070,10120,16316,9319,10130
2020-04-01,10150,10235,9965,10070,15295,7581,10085
2020-04-02,10070,10140,10030,10125,7692,6536,10100
2020-04-03,10145,10180,9930,10010,14363,6404,10025
2020-04-07,10055,10085,9925,9975,8875,6255,10020
2020-04-08,9955,10090,9835,10060,10568,5225,9970
2020-04-09,10270,10270,10140,10220,15388,12219,10195
2020-04-10,10175,10205,9980,10030,32546,17918,10075
2020-04-13,10020,10130,9950,10100,28291,17589,10055
2020-04-14,10100,10150,10060,10120,15493,16047,10105
2020-04-15,10095,10140,9990,10010,22510,17572,10060
2020-04-16,10000,10065,9930,10060,19973,16417,10015
2020-04-17,10070,10150,10055,10140,15441,15650,10105
2020-04-20,10115,10180,10035,10050,14555,15433,10110
2020-04-21,10045,10070,9960,9995,19131,15689,10010
2020-04-22,10005,10140,9945,10125,25917,15765,10060
2020-04-23,10090,10135,10070,10095,13821,16180,10100
2020-04-24,10105,10390,10090,10110,88154,17821,10235
2020-04-27,10145,10465,10115,10185,80795,19199,10290
2020-04-28,10200,10240,10135,10185,21277,17128,10180
2020-04-29,10200,10205,10000,10015,21543,15474,10095
2020-04-30,10070,10095,10025,10050,13916,15159,10055
2020-05-06,10025,10165,10005,10110,16086,12857,10115
2020-05-07,10115,10165,10105,10155,12721,13417,10145
2020-05-08,10145,10220,10070,10120,17551,12665,10150
2020-05-11,10140,10195,10125,10175,14841,14496,10165
2020-05-12,10160,10220,10140,10155,15446,13874,10175
2020-05-13,10170,10260,10105,10255,29940,15186,10205
2020-05-14,10230,10280,10195,10205,15359,14190,10225
2020-05-15,10220,10265,10195,10215,14319,13760,10230
2020-05-18,10255,10295,10195,10230,17401,13053,10245
2020-05-19,10240,10265,10190,10200,13788,12546,10225
2020-05-20,10195,10220,10150,10190,10149,11774,10195
