date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2018-11-27,5828,5830,5382,5382,471124,78270,5558
2018-11-28,5300,5314,5142,5184,1027200,101512,5224
2018-11-29,5160,5294,5122,5188,985508,110832,5218
2018-11-30,5208,5220,5114,5148,897506,134838,5169
2018-12-03,5158,5262,4970,4978,1415500,207934,5083
2018-12-04,4978,5114,4978,5058,1129600,188012,5036
2018-12-05,5060,5158,5040,5140,1494300,166492,5102
2018-12-06,5150,5264,5128,5132,1621900,172558,5197
2018-12-07,5112,5208,5086,5138,1295000,175492,5152
2018-12-10,5150,5224,5136,5166,1094200,174892,5185
2018-12-11,5160,5198,5074,5094,1022100,178926,5131
2018-12-12,5112,5152,5104,5138,598704,160768,5128
2018-12-13,5146,5158,5094,5126,689936,148716,5126
2018-12-14,5120,5164,5104,5132,575672,141336,5132
2018-12-17,5110,5150,5108,5132,328890,142682,5128
2018-12-18,5134,5162,5112,5126,294500,144854,5134
2018-12-19,5124,5144,5032,5062,462610,154904,5074
2018-12-20,5068,5082,5044,5066,203714,147294,5062
2018-12-21,5072,5072,5028,5048,269864,148736,5050
2018-12-24,5042,5064,4960,4982,395298,180976,5012
2018-12-25,4982,5038,4966,5000,380598,159952,5002
2018-12-26,4996,5012,4916,4938,473358,171804,4944
2018-12-27,4950,4998,4940,4952,241750,155260,4966
2018-12-28,4944,5058,4938,5048,209158,135666,4984
2019-01-02,5044,5118,5010,5082,319740,162558,5062
2019-01-03,5072,5108,5060,5082,246184,155182,5084
2019-01-04,5084,5236,5072,5140,597336,145862,5160
2019-01-07,5152,5186,5114,5170,332738,137304,5154
2019-01-08,5172,5192,5138,5158,221650,135222,5162
2019-01-09,5160,5340,5156,5304,686342,151822,5272
2019-01-10,5306,5362,5260,5272,686384,145902,5306
2019-01-11,5272,5328,5252,5324,401620,146038,5290
2019-01-14,5320,5378,5280,5294,505772,142160,5322
2019-01-15,5300,5302,5214,5242,463412,139904,5244
2019-01-16,5242,5320,5232,5318,393780,137610,5278
2019-01-17,5310,5342,5284,5316,424606,145666,5316
2019-01-18,5308,5418,5260,5380,713180,145996,5346
2019-01-21,5386,5472,5372,5448,617074,146590,5412
2019-01-22,5436,5530,5416,5430,675002,139224,5472
2019-01-23,5428,5466,5402,5442,447592,142278,5436
2019-01-24,5446,5480,5364,5394,526860,143160,5418
2019-01-25,5382,5456,5358,5410,429936,130228,5406
2019-01-28,5406,5430,5316,5326,455592,132686,5378
2019-01-29,5320,5360,5308,5320,303530,128038,5326
2019-01-30,5330,5372,5310,5316,263144,115214,5340
2019-01-31,5322,5430,5280,5426,450268,106656,5348
2019-02-01,5416,5540,5410,5474,541372,83168,5472
