date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2021-02-01,9866,10630,9866,10504,521558,45054,10346
2021-02-02,10504,10754,10352,10414,566353,44592,10566
2021-02-03,10330,10396,10124,10304,365639,39129,10264
2021-02-04,10348,10416,10232,10302,163381,34081,10308
2021-02-05,10340,10400,10266,10288,102226,27237,10326
2021-02-08,10290,10466,10284,10346,92351,25857,10386
2021-02-09,10380,10444,10354,10376,67913,21307,10394
2021-02-10,10398,10424,10290,10354,43182,18297,10352
2021-02-18,10398,10498,10380,10400,29513,18231,10426
2021-02-19,10416,10422,10216,10368,26687,18047,10332
2021-02-22,10408,10732,10404,10650,56427,21270,10540
2021-02-23,10700,10966,10520,10702,91217,21664,10836
2021-02-24,10750,10798,10564,10710,42202,20897,10702
2021-02-25,10732,10920,10732,10862,36914,21839,10854
2021-02-26,10764,10860,10654,10816,27362,19360,10774
2021-03-01,10898,11288,10896,11128,71843,21879,11144
2021-03-02,11050,11210,10830,10922,47500,20169,11024
2021-03-03,10960,11018,10788,10902,30513,19245,10892
2021-03-04,10920,11022,10840,10936,29730,19203,10942
2021-03-05,10910,10940,10602,10786,21467,16699,10792
2021-03-08,11250,11300,10950,11060,36395,19003,11086
2021-03-09,11000,11064,10796,10812,20262,16718,10896
2021-03-10,10856,10980,10772,10898,21550,16936,10882
2021-03-11,10818,10880,10720,10844,17917,16393,10804
2021-03-12,10956,10956,10804,10852,10752,15939,10862
2021-03-15,10864,10890,10800,10868,10809,15810,10852
2021-03-16,10880,10940,10766,10774,15695,15539,10846
2021-03-17,10738,10762,10630,10702,9253,14948,10722
2021-03-18,10662,10702,10560,10596,13815,14242,10620
2021-03-19,10558,10560,10410,10468,12619,12394,10478
2021-03-22,10510,10600,10454,10480,8503,12264,10504
2021-03-23,10630,10638,10506,10570,9629,11929,10580
2021-03-24,10504,10556,10458,10544,5431,11276,10522
2021-03-25,10552,10684,10536,10642,9441,10707,10616
2021-03-26,10550,10582,10462,10510,9028,10014,10520
2021-03-29,10460,10514,10334,10356,9960,10736,10406
2021-03-30,10374,10430,10350,10422,6630,10256,10402
2021-03-31,10378,10426,10310,10400,6516,9686,10358
2021-04-01,10496,10574,10454,10516,10939,9389,10522
2021-04-02,10482,10534,10468,10510,4255,9156,10504
2021-04-06,10482,10530,10350,10508,3611,9188,10480
2021-04-07,10548,10750,10534,10588,16007,9866,10622
2021-04-08,10532,10606,10524,10576,4715,9757,10570
2021-04-09,10622,10630,10426,10432,7173,9171,10550
2021-04-12,10370,10446,10360,10376,6864,9615,10398
2021-04-13,10372,10390,10268,10340,7951,10278,10322
2021-04-14,10390,10416,10322,10344,4420,10311,10354
2021-04-15,10362,10398,10310,10364,6274,10616,10360
2021-04-16,10380,10446,10380,10434,7477,10643,10418
2021-04-19,10450,10628,10250,10374,6255,10424,10392
2021-04-20,10372,10418,10352,10408,3998,10417,10388
2021-04-21,10422,10430,10326,10350,5863,10628,10366
2021-04-22,10366,10520,10358,10494,13002,11528,10464
2021-04-23,10530,10580,10468,10486,8651,11943,10530
2021-04-26,10520,10578,10450,10466,7164,11796,10500
2021-04-27,10514,10548,10476,10514,8284,12569,10510
2021-04-28,10450,10468,10382,10390,9409,11414,10418
2021-04-29,10450,10458,10368,10412,5746,11162,10416
2021-04-30,10376,10446,10334,10418,5233,10595,10382
2021-05-06,10438,10568,10436,10538,11439,12174,10518
2021-05-07,10560,10646,10550,10572,10760,12919,10604
2021-05-10,10600,10650,10540,10578,8992,12828,10604
2021-05-11,10550,10562,10300,10304,14635,11737,10452
2021-05-12,10350,10374,10082,10292,30777,14480,10240
2021-05-13,10252,10520,10228,10264,16475,13697,10334
2021-05-14,10230,10244,10128,10184,13064,13869,10176
2021-05-17,10244,10288,10158,10238,7858,13317,10214
2021-05-18,10224,10260,10186,10210,5915,13248,10218
2021-05-19,10170,10182,10122,10140,8080,13083,10150
2021-05-20,10000,10266,9902,10196,15703,13378,10144
2021-05-21,10162,10458,10162,10346,40500,16007,10368
2021-05-24,10328,10360,10200,10238,16745,14907,10292
2021-05-25,10250,10300,10230,10280,8999,14878,10272
2021-05-26,10206,10252,10050,10056,16468,15189,10170
2021-05-27,10030,10108,9998,10040,15347,16321,10050
2021-05-28,10122,10158,10050,10062,11596,15624,10100
2021-05-31,10062,10078,9960,10024,15941,16320,10020
2021-06-01,10042,10052,9982,10012,10879,16408,10024
2021-06-02,10026,10118,10006,10050,14460,16007,10066
2021-06-03,10094,10120,10030,10066,9055,16192,10074
2021-06-04,10036,10066,9980,9984,10691,16684,10028
2021-06-07,10010,10018,9348,9398,118861,31063,9516
2021-06-08,9380,9428,9152,9218,94603,34926,9260
2021-06-09,9228,9308,9208,9212,44335,34913,9264
2021-06-10,9200,9306,9186,9270,32827,32067,9256
