date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2017-12-22,7920,8228,7915,8117,735694,21646,8136
2017-12-25,8118,8157,8060,8095,358024,25296,8104
2017-12-26,8105,8144,8079,8090,146420,21018,8105
2017-12-27,8094,8109,8067,8086,67888,17524,8087
2017-12-28,8092,8145,8088,8104,71176,15558,8115
2017-12-29,8106,8122,8078,8088,25762,13754,8095
2018-01-02,8088,8106,8086,8101,16426,12360,8098
2018-01-03,8103,8122,8088,8094,20154,11852,8100
2018-01-04,8098,8114,8076,8092,16652,11252,8094
2018-01-05,8098,8111,8082,8099,9538,10090,8097
2018-01-08,8103,8103,8080,8084,6932,9794,8087
2018-01-09,8086,8090,7933,7966,71128,15934,7988
2018-01-10,7956,7980,7933,7938,30192,16004,7958
2018-01-11,7931,7953,7854,7865,43240,20238,7898
2018-01-12,7821,7855,7784,7787,38852,24070,7817
2018-01-15,7763,7795,7758,7777,26164,25024,7776
2018-01-16,7764,7815,7711,7723,44712,28730,7771
2018-01-17,7736,7744,7658,7670,88156,31314,7689
2018-01-18,7668,7708,7666,7671,48086,32514,7687
2018-01-19,7670,7701,7641,7657,57942,31622,7673
2018-01-22,7682,7708,7667,7697,41406,30488,7686
2018-01-23,7714,7740,7681,7699,54140,28442,7711
2018-01-24,7706,7708,7664,7677,27376,28900,7687
2018-01-25,7687,7701,7657,7661,27324,29692,7679
2018-01-26,7668,7699,7660,7683,30254,27502,7683
2018-01-29,7691,7697,7554,7560,56558,32460,7598
2018-01-30,7551,7568,7510,7512,50684,36340,7540
2018-01-31,7510,7543,7461,7487,88814,36572,7500
2018-02-01,7492,7515,7434,7434,63248,38134,7485
2018-02-02,7448,7462,7367,7372,101222,42932,7420
2018-02-05,7360,7382,7321,7334,105376,48282,7351
2018-02-06,7329,7372,7275,7278,114430,51858,7323
2018-02-07,7278,7293,6956,6956,295794,70608,7113
2018-02-08,6890,6890,6662,6754,430434,52822,6775
2018-02-09,6762,6828,6697,6745,268308,55844,6759
2018-02-12,6751,6941,6731,6803,272840,53656,6814
2018-02-13,6805,6848,6740,6765,196004,53304,6779
2018-02-14,6796,6821,6553,6621,235156,52600,6691
2018-02-22,6591,6623,6480,6481,229594,71708,6520
2018-02-23,6480,6846,6471,6846,509036,71108,6655
2018-02-26,6955,7064,6883,6956,601232,54924,6960
2018-02-27,6945,7150,6889,7083,932914,64128,7016
2018-02-28,7082,7124,7036,7098,878110,66560,7082
2018-03-01,7090,7188,7050,7131,801364,68836,7128
2018-03-02,7115,7168,6976,7016,826852,62484,7099
2018-03-05,7005,7052,6944,7026,955606,61168,6998
2018-03-06,7030,7310,7018,7218,1667622,76480,7193
2018-03-07,7216,7238,7149,7185,918752,68264,7198
2018-03-08,7182,7200,7083,7132,837036,62722,7139
2018-03-09,7132,7249,7114,7212,1062380,63194,7191
2018-03-12,7251,7313,7004,7030,1298964,65806,7083
2018-03-13,7029,7085,6982,7042,926130,59850,7031
2018-03-14,7036,7068,6993,7023,502176,59196,7027
2018-03-15,7004,7004,6892,6923,586156,73462,6930
2018-03-16,6918,7052,6906,7048,611516,72430,6993
2018-03-19,7045,7082,6976,7030,455230,64384,7032
2018-03-20,7015,7029,6945,7000,431310,58194,6993
2018-03-21,7012,7145,7006,7075,607318,60412,7092
2018-03-22,7394,7394,7198,7217,509216,56210,7252
2018-03-23,7190,7368,7145,7345,681390,61242,7282
2018-03-26,7370,7421,7307,7399,402936,65986,7347
2018-03-27,7412,7420,7261,7303,545684,57648,7318
2018-03-28,7306,7357,7253,7332,544064,59120,7310
2018-03-29,7336,7339,7190,7224,544174,53998,7248
2018-03-30,7240,7293,7174,7270,501562,51520,7235
2018-04-02,7302,7445,7237,7419,635948,73706,7386
2018-04-03,7406,7437,7356,7401,400440,61594,7402
2018-04-04,7400,7420,7176,7194,574360,54878,7289
2018-04-09,7264,7346,7200,7319,411800,48220,7296
2018-04-10,7323,7373,7266,7313,370486,49180,7306
2018-04-11,7319,7399,7279,7324,452892,43652,7343
2018-04-12,7050,7086,6978,7083,520134,88142,7031
2018-04-13,7100,7168,7004,7163,606690,102042,7069
2018-04-16,7144,7207,7110,7153,640174,102602,7155
2018-04-17,7130,7132,7027,7116,666602,91362,7073
2018-04-18,7121,7199,7092,7164,560674,101286,7137
2018-04-19,7170,7179,7078,7156,503922,101554,7127
2018-04-20,7130,7207,7094,7174,588000,111636,7144
2018-04-23,7235,7502,7220,7502,1021878,167276,7403
2018-04-24,7502,7557,7471,7528,802598,163418,7515
2018-04-25,7500,7512,7426,7495,711790,149010,7470
2018-04-26,7483,7830,7458,7758,1728794,191088,7711
2018-04-27,7758,7920,7666,7773,1958556,177128,7790
2018-05-02,7890,7987,7792,7937,1446940,208624,7895
2018-05-03,7928,7955,7844,7944,1225858,229762,7891
2018-05-04,7930,7944,7692,7832,1745744,209160,7794
2018-05-07,7840,7920,7806,7861,1152764,216544,7853
2018-05-08,7861,8088,7813,8066,1679998,270036,7963
2018-05-09,8127,8148,8012,8095,1589194,276058,8089
2018-05-10,8095,8138,8026,8081,1347744,275626,8077
2018-05-11,8072,8156,8048,8142,1153924,267250,8081
2018-05-14,8174,8486,8160,8486,2019550,337098,8336
