日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2013-10-18 15:00,7460.00,7508.00,7444.00,7504.00,63078.00,39789,7482.00
2013-10-21 15:00,7560.00,7614.00,7522.00,7556.00,61088.00,53519,7574.00
2013-10-22 15:00,7540.00,7548.00,7436.00,7440.00,58187.00,50620,7482.00
2013-10-23 15:00,7460.00,7498.00,7408.00,7456.00,56976.00,52701,7446.00
2013-10-24 15:00,7454.00,7516.00,7418.00,7458.00,58256.00,44560,7462.00
2013-10-25 15:00,7372.00,7410.00,7360.00,7376.00,75250.00,29814,7388.00
2013-10-28 15:00,7356.00,7376.00,7300.00,7338.00,78304.00,31386,7338.00
2013-10-29 15:00,7300.00,7328.00,7222.00,7258.00,81084.00,70109,7266.00
2013-10-30 15:00,7304.00,7456.00,7294.00,7416.00,87835.00,108858,7382.00
2013-10-31 15:00,7400.00,7436.00,7368.00,7412.00,87584.00,65208,7408.00
2013-11-01 15:00,7404.00,7550.00,7396.00,7546.00,105182.00,118286,7484.00
2013-11-04 15:00,7540.00,7644.00,7532.00,7606.00,119611.00,189181,7588.00
2013-11-05 15:00,7580.00,7598.00,7512.00,7556.00,131691.00,132717,7560.00
2013-11-06 15:00,7540.00,7576.00,7480.00,7482.00,133682.00,103501,7536.00
2013-11-07 15:00,7458.00,7508.00,7452.00,7460.00,134357.00,106475,7480.00
2013-11-08 15:00,7450.00,7502.00,7446.00,7458.00,124326.00,103160,7478.00
2013-11-11 15:00,7472.00,7500.00,7420.00,7422.00,120796.00,68336,7452.00
2013-11-12 15:00,7440.00,7550.00,7426.00,7548.00,134960.00,143391,7492.00
2013-11-13 15:00,7560.00,7590.00,7536.00,7558.00,136002.00,139544,7562.00
2013-11-14 15:00,7560.00,7654.00,7544.00,7638.00,153866.00,187432,7602.00
2013-11-15 15:00,7620.00,7694.00,7606.00,7624.00,166256.00,314973,7652.00
2013-11-18 15:00,7582.00,7590.00,7506.00,7508.00,151951.00,168770,7548.00
