日期/时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2012-12-28,2430,2458,2385,2398,421116,44712
2012-12-31,2399,2399,2336,2340,237194,39290
2013-01-04,2322,2380,2316,2370,193838,38492
2013-01-07,2365,2457,2360,2455,406058,64540
2013-01-08,2470,2500,2438,2480,899582,77626
2013-01-09,2488,2514,2472,2478,696804,94100
2013-01-10,2473,2490,2459,2463,591084,96660
2013-01-11,2465,2525,2463,2509,1621400,165614
2013-01-14,2527,2548,2505,2541,1299700,150852
2013-01-15,2549,2618,2542,2561,1674300,178180
2013-01-16,2565,2595,2542,2586,1070800,192280
2013-01-17,2602,2612,2565,2572,815338,162724
2013-01-18,2580,2612,2561,2573,947392,147836
2013-01-21,2575,2591,2562,2573,568840,137418
2013-01-22,2574,2595,2574,2590,542938,146874
2013-01-23,2591,2604,2573,2576,411626,132690
2013-01-24,2569,2569,2486,2493,771526,152044
2013-01-25,2500,2518,2493,2504,595570,135610
2013-01-28,2513,2524,2484,2521,554936,130358
2013-01-29,2521,2528,2506,2515,375244,125532
2013-01-30,2518,2538,2516,2532,301474,119122
2013-01-31,2542,2550,2533,2537,174358,112210
2013-02-01,2530,2532,2477,2521,639604,118036
2013-02-04,2521,2579,2520,2561,496364,107596
2013-02-05,2558,2614,2549,2586,986150,118314
2013-02-06,2600,2609,2576,2579,308816,107738
2013-02-07,2576,2586,2563,2567,172946,86026
2013-02-08,2463,2510,2460,2477,209840,77300
2013-02-18,2442,2478,2428,2473,178628,102578
2013-02-19,2508,2557,2488,2542,972538,243906
2013-02-20,2556,2562,2543,2545,651392,261594
2013-02-21,2535,2584,2517,2582,1542900,382434
2013-02-22,2580,2639,2565,2572,2491100,401248
2013-02-25,2550,2560,2496,2504,1683200,259830
2013-02-26,2496,2538,2482,2498,1923200,240854
2013-02-27,2518,2538,2494,2514,1649002,255540
2013-02-28,2530,2538,2485,2486,1532204,302016
2013-03-01,2495,2515,2475,2504,1848742,273402
2013-03-04,2497,2513,2480,2496,1036422,263026
2013-03-05,2513,2530,2508,2520,906504,286496
2013-03-06,2519,2526,2480,2497,1362960,286186
2013-03-07,2497,2506,2485,2495,617866,275398
2013-03-08,2506,2510,2491,2493,555146,281428
2013-03-11,2495,2495,2438,2439,1262590,359568
2013-03-12,2445,2445,2406,2409,825834,336730
2013-03-13,2412,2435,2388,2431,1206208,314546
2013-03-14,2415,2450,2401,2442,1392024,318818
2013-03-15,2453,2464,2433,2449,1384360,326162
2013-03-18,2428,2445,2370,2426,893778,307992
2013-03-19,2434,2446,2419,2421,763568,321104
2013-03-20,2416,2430,2410,2426,544530,309114
2013-03-21,2431,2457,2431,2452,446930,286076
2013-03-22,2454,2456,2418,2418,530536,284996
2013-03-25,2421,2430,2404,2409,562204,300540
2013-03-26,2407,2424,2404,2421,348862,267862
2013-03-27,2427,2435,2413,2424,237050,264100
2013-03-28,2428,2431,2386,2388,469982,268856
2013-03-29,2350,2378,2340,2365,390982,231440
2013-04-01,2363,2367,2321,2328,365128,242052
2013-04-02,2336,2350,2323,2340,417420,239100
2013-04-03,2330,2337,2304,2334,440064,218542
2013-04-08,2320,2363,2311,2353,478260,223902
2013-04-09,2356,2368,2345,2350,342182,238802
2013-04-10,2354,2375,2350,2371,409600,228552
2013-04-11,2368,2375,2355,2370,294566,226988
2013-04-12,2378,2410,2375,2409,768530,294338
2013-04-15,2403,2430,2392,2417,1442540,390282
2013-04-16,2393,2435,2372,2430,1568516,405208
2013-04-17,2437,2443,2402,2411,1104508,360612
2013-04-18,2403,2423,2396,2415,1036706,338810
2013-04-19,2420,2426,2397,2403,710028,321126
2013-04-22,2399,2424,2385,2409,835978,336216
2013-04-23,2406,2417,2382,2393,637962,312922
2013-04-24,2388,2391,2334,2344,944866,298738
2013-04-25,2343,2348,2317,2340,550706,260554
2013-04-26,2352,2363,2325,2342,394992,241220
2013-05-02,2330,2355,2321,2347,323828,253028
2013-05-03,2345,2351,2310,2328,922030,301506
2013-05-06,2338,2343,2321,2342,560294,265608
2013-05-07,2332,2356,2332,2343,387610,249474
2013-05-08,2345,2362,2338,2356,353412,244316
2013-05-09,2355,2365,2345,2350,253098,244076
2013-05-10,2357,2365,2348,2355,275738,243342
2013-05-13,2350,2362,2330,2339,457152,242494
2013-05-14,2350,2356,2337,2351,255474,225052
2013-05-15,2351,2387,2351,2373,734810,245466
2013-05-16,2376,2383,2356,2372,465412,232168
2013-05-17,2378,2390,2376,2387,284280,212248
2013-05-20,2398,2406,2388,2391,165486,206016
2013-05-21,2398,2408,2385,2394,150392,200796
2013-05-22,2396,2406,2391,2399,109214,204662
2013-05-23,2408,2412,2386,2389,137214,207054
2013-05-24,2149,2152,2133,2141,93044,204392
2013-05-27,2135,2156,2133,2156,79680,194734
