日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2009-03-27 15:00,3550.00,3663.00,3513.00,3561.00,22774.00,177295,3577.00
2009-03-30 15:00,3550.00,3580.00,3528.00,3544.00,24190.00,72584,3548.00
2009-03-31 15:00,3538.00,3566.00,3531.00,3549.00,22357.00,35296,3549.00
2009-04-01 15:00,3560.00,3561.00,3543.00,3547.00,21038.00,14050,3549.00
2009-04-02 15:00,3545.00,3548.00,3456.00,3473.00,34444.00,117723,3481.00
2009-04-03 15:00,3481.00,3481.00,3436.00,3448.00,37519.00,76188,3456.00
2009-04-07 15:00,3410.00,3518.00,3410.00,3491.00,50241.00,121289,3482.00
2009-04-08 15:00,3480.00,3491.00,3456.00,3463.00,45955.00,73644,3469.00
2009-04-09 15:00,3476.00,3486.00,3460.00,3468.00,47416.00,43844,3472.00
2009-04-10 15:00,3483.00,3499.00,3470.00,3484.00,50082.00,60489,3485.00
2009-04-13 15:00,3485.00,3493.00,3464.00,3469.00,54715.00,54910,3481.00
2009-04-14 15:00,3475.00,3600.00,3469.00,3560.00,75320.00,270323,3558.00
2009-04-15 15:00,3570.00,3590.00,3550.00,3562.00,75748.00,127803,3566.00
2009-04-16 15:00,3582.00,3628.00,3570.00,3596.00,84664.00,125232,3597.00
2009-04-17 15:00,3594.00,3648.00,3581.00,3620.00,109946.00,169625,3622.00
2009-04-20 15:00,3620.00,3648.00,3608.00,3623.00,118914.00,129598,3632.00
2009-04-21 15:00,3580.00,3590.00,3486.00,3524.00,119777.00,166224,3539.00
2009-04-22 15:00,3550.00,3566.00,3508.00,3526.00,116474.00,84262,3536.00
2009-04-23 15:00,3529.00,3531.00,3488.00,3513.00,116493.00,65193,3507.00
2009-04-24 15:00,3513.00,3522.00,3497.00,3501.00,123024.00,50722,3506.00
2009-04-27 15:00,3510.00,3520.00,3492.00,3499.00,127254.00,51236,3505.00
2009-04-28 15:00,3496.00,3515.00,3496.00,3507.00,131267.00,48274,3507.00
2009-04-29 15:00,3507.00,3520.00,3503.00,3520.00,137527.00,51347,3511.00
2009-04-30 15:00,3536.00,3575.00,3523.00,3553.00,148800.00,123456,3543.00
2009-05-04 15:00,3573.00,3660.00,3571.00,3636.00,163051.00,287166,3624.00
2009-05-05 15:00,3636.00,3644.00,3570.00,3577.00,154972.00,87977,3588.00
2009-05-06 15:00,3578.00,3598.00,3573.00,3594.00,156731.00,51894,3591.00
2009-05-07 15:00,3628.00,3630.00,3591.00,3593.00,159545.00,75210,3608.00
2009-05-08 15:00,3599.00,3616.00,3589.00,3614.00,161577.00,51810,3602.00
2009-05-11 15:00,3615.00,3678.00,3606.00,3639.00,169577.00,167541,3649.00
2009-05-12 15:00,3645.00,3660.00,3630.00,3645.00,169723.00,96817,3647.00
2009-05-13 15:00,3655.00,3657.00,3634.00,3639.00,170250.00,59318,3646.00
2009-05-14 15:00,3616.00,3620.00,3590.00,3594.00,168150.00,69786,3598.00
2009-05-15 15:00,3600.00,3618.00,3596.00,3604.00,169039.00,66146,3606.00
2009-05-18 15:00,3595.00,3612.00,3581.00,3608.00,168375.00,52373,3596.00
2009-05-19 15:00,3630.00,3630.00,3611.00,3618.00,167745.00,47810,3617.00
2009-05-20 15:00,3616.00,3644.00,3612.00,3618.00,168740.00,59387,3624.00
