日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2013-10-18 15:00,7148.00,7174.00,7120.00,7168.00,331452.00,273513,7150.00
2013-10-21 15:00,7216.00,7290.00,7216.00,7258.00,336971.00,341737,7254.00
2013-10-22 15:00,7242.00,7248.00,7162.00,7176.00,350887.00,310093,7202.00
2013-10-23 15:00,7208.00,7236.00,7152.00,7216.00,356405.00,391106,7196.00
2013-10-24 15:00,7216.00,7226.00,7168.00,7202.00,360168.00,376979,7194.00
2013-10-25 15:00,7160.00,7204.00,7130.00,7136.00,362445.00,343251,7170.00
2013-10-28 15:00,7120.00,7144.00,7108.00,7130.00,363333.00,224500,7126.00
2013-10-29 15:00,7098.00,7122.00,7026.00,7056.00,366938.00,366679,7072.00
2013-10-30 15:00,7108.00,7268.00,7106.00,7214.00,397379.00,786180,7198.00
2013-10-31 15:00,7200.00,7240.00,7182.00,7212.00,397044.00,463772,7212.00
2013-11-01 15:00,7206.00,7308.00,7200.00,7302.00,436979.00,606327,7250.00
2013-11-04 15:00,7278.00,7330.00,7278.00,7326.00,438025.00,513415,7300.00
2013-11-05 15:00,7282.00,7296.00,7222.00,7268.00,420239.00,429928,7258.00
2013-11-06 15:00,7248.00,7252.00,7202.00,7206.00,416543.00,336740,7224.00
2013-11-07 15:00,7200.00,7226.00,7178.00,7202.00,412321.00,300607,7202.00
2013-11-08 15:00,7176.00,7190.00,7140.00,7160.00,413407.00,325529,7166.00
2013-11-11 15:00,7160.00,7212.00,7128.00,7130.00,421619.00,340324,7152.00
2013-11-12 15:00,7142.00,7196.00,7110.00,7188.00,428237.00,375856,7148.00
2013-11-13 15:00,7226.00,7236.00,7192.00,7222.00,404402.00,375105,7212.00
2013-11-14 15:00,7224.00,7296.00,7224.00,7282.00,422928.00,426254,7252.00
2013-11-15 15:00,7272.00,7324.00,7250.00,7256.00,407902.00,473648,7286.00
2013-11-18 15:00,7212.00,7228.00,7174.00,7178.00,414382.00,364904,7200.00
2013-11-19 15:00,7172.00,7188.00,7146.00,7156.00,422565.00,384883,7166.00
2013-11-20 15:00,7152.00,7186.00,7138.00,7184.00,419404.00,349669,7162.00
2013-11-21 15:00,7188.00,7288.00,7184.00,7272.00,436505.00,567466,7242.00
2013-11-22 15:00,7378.00,7384.00,7300.00,7302.00,437906.00,502142,7342.00
2013-11-25 15:00,7312.00,7352.00,7292.00,7314.00,446152.00,394294,7320.00
2013-11-26 15:00,7290.00,7314.00,7234.00,7240.00,436172.00,431889,7276.00
2013-11-27 15:00,7234.00,7276.00,7224.00,7274.00,438880.00,327131,7250.00
2013-11-28 15:00,7240.00,7282.00,7230.00,7254.00,437712.00,342182,7256.00
2013-11-29 15:00,7266.00,7334.00,7256.00,7330.00,458650.00,417779,7292.00
