日期/时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2005-01-04,2150,2155,2142,2150,58792,63364
2005-01-05,2131,2154,2127,2154,71172,62704
2005-01-06,2152,2168,2146,2167,66174,63948
2005-01-07,2175,2193,2162,2182,125558,61888
2005-01-10,2193,2200,2170,2177,87462,61274
2005-01-11,2196,2200,2182,2185,89982,68346
2005-01-12,2175,2185,2171,2173,59888,67496
2005-01-13,2158,2176,2158,2166,56822,62516
2005-01-14,2173,2179,2149,2152,101698,64886
2005-01-17,2130,2147,2128,2144,70536,69090
2005-01-18,2145,2150,2133,2148,97068,68762
2005-01-19,2141,2149,2138,2148,48676,68706
2005-01-20,2151,2155,2134,2138,50328,69594
2005-01-21,2146,2146,2132,2136,42586,69034
2005-01-24,2130,2156,2127,2155,79694,71630
2005-01-25,2148,2151,2137,2138,43222,71148
2005-01-26,2149,2152,2140,2146,44316,66562
2005-01-27,2143,2145,2135,2140,27990,64782
2005-01-28,2131,2133,2108,2117,84258,67622
2005-01-31,2118,2119,2086,2090,95226,70350
2005-02-01,2098,2102,2092,2098,42160,66892
2005-02-02,2080,2087,2073,2087,51436,64112
2005-02-03,2084,2097,2082,2096,26450,60480
2005-02-04,2088,2100,2086,2093,29572,55110
2005-02-16,2168,2168,2138,2141,53384,53412
2005-02-17,2144,2157,2134,2156,55822,58636
2005-02-18,2180,2198,2180,2187,90224,58992
2005-02-21,2191,2223,2187,2223,95812,74918
2005-02-22,2225,2293,2223,2293,245800,84064
2005-02-23,2327,2350,2298,2308,273168,89764
2005-02-24,2323,2361,2311,2359,345048,98676
2005-02-25,2331,2344,2313,2326,302260,93028
2005-02-28,2410,2422,2410,2422,50928,87024
2005-03-01,2460,2488,2443,2468,380232,93950
2005-03-02,2444,2560,2442,2560,540454,113592
2005-03-03,2580,2600,2545,2567,512330,111636
2005-03-04,2581,2612,2511,2556,734712,115546
2005-03-07,2580,2602,2566,2584,523262,127314
2005-03-08,2525,2536,2498,2523,429588,107596
2005-03-09,2560,2568,2533,2534,244772,115438
2005-03-10,2534,2562,2527,2558,323494,107418
2005-03-11,2585,2623,2585,2612,334558,106780
2005-03-14,2700,2709,2660,2709,203540,113688
2005-03-15,2730,2801,2711,2801,241514,111762
2005-03-16,2862,2871,2854,2871,88722,70840
2005-03-17,2856,2926,2825,2839,257330,53642
2005-03-18,2835,2866,2758,2758,150360,43990
2005-03-21,2720,2734,2699,2713,10958,4712
2005-03-22,2600,2659,2600,2628,76814,32586
2005-03-23,2628,2647,2585,2589,46118,27604
2005-03-24,2606,2674,2606,2643,81876,24988
2005-03-25,2663,2680,2658,2663,50704,25474
2005-03-28,2680,2680,2648,2658,21794,23820
2005-03-29,2645,2663,2641,2642,9538,17608
