date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2025-11-27,377.0,409.85,366.3,370.6,32203,2594,381.6
2025-11-28,373.5,375.7,370.15,371.55,10888,2550,373.25
2025-12-01,380.75,390.4,374.55,382.35,22034,3028,382.8
2025-12-02,375.0,377.65,372.05,374.25,9411,3206,374.4
2025-12-03,381.0,387.35,376.25,381.5,14894,3089,381.95
2025-12-04,382.9,384.4,377.5,379.25,6942,3179,380.9
2025-12-05,377.55,381.95,376.5,381.75,4637,3201,379.65
2025-12-08,380.5,385.5,378.7,383.7,4963,3409,382.25
2025-12-09,383.9,386.45,379.8,380.45,5947,3423,383.5
2025-12-10,388.15,390.0,385.6,387.65,5855,3352,387.9
2025-12-11,382.55,387.2,382.55,385.25,4428,3475,385.3
2025-12-12,389.0,391.9,386.5,389.45,5130,3463,389.2
2025-12-15,390.0,413.65,389.55,407.6,30669,5562,404.7
2025-12-16,410.4,432.05,410.0,423.85,52938,7003,425.4
2025-12-17,432.0,455.15,432.0,455.15,56577,9123,445.45
2025-12-18,463.7,476.6,462.3,476.6,68166,12754,472.3
2025-12-19,484.0,486.95,463.1,480.2,106821,14011,475.2
2025-12-22,498.8,508.45,498.0,508.45,27033,16289,504.7
2025-12-23,512.0,555.15,512.0,532.55,176709,21159,540.65
2025-12-24,577.0,578.45,558.0,578.45,98824,24209,572.9
2025-12-25,516.1,541.0,515.65,529.05,93335,21661,526.6
2025-12-26,560.0,576.6,512.5,515.65,155990,27313,549.0
2025-12-29,502.2,538.0,494.1,494.1,67638,25772,514.3
2025-12-30,450.0,457.1,447.45,447.45,40695,20169,448.8
2025-12-31,436.9,439.05,392.0,425.2,81439,14405,415.9
2026-01-05,467.0,467.0,437.25,452.85,32771,13573,448.75
2026-01-06,461.0,476.5,451.0,471.9,34797,13788,467.95
2026-01-07,498.0,500.0,456.4,475.95,43383,12618,477.75
2026-01-08,475.0,489.0,452.5,460.7,35013,12705,470.75
2026-01-09,468.6,511.8,464.0,499.05,39184,12960,487.6
2026-01-12,516.0,529.6,500.65,505.1,23563,13222,509.85
2026-01-13,494.4,504.9,474.2,483.25,21838,13122,487.7
2026-01-14,499.95,509.95,489.3,495.5,18835,12680,501.8
2026-01-15,480.0,489.3,465.0,478.6,15278,12809,477.55
2026-01-16,480.05,488.0,463.55,469.35,12825,12562,474.9
2026-01-19,490.0,495.0,474.0,477.95,5992,12304,480.55
2026-01-20,480.2,494.3,472.1,490.0,10757,11572,484.8
2026-01-21,505.0,506.45,482.85,485.8,7777,11557,493.1
2026-01-22,476.05,487.65,467.7,483.75,6442,11538,478.9
2026-01-23,505.0,506.15,492.05,497.95,11027,11348,499.0
2026-01-26,527.9,548.55,518.0,534.8,17715,11243,534.1
2026-01-27,508.0,527.7,493.85,523.0,12114,10952,513.25
2026-01-28,514.5,525.0,500.9,504.0,13268,11904,511.5
2026-01-29,524.0,545.5,510.95,526.6,16911,11135,526.55
2026-01-30,511.25,522.0,455.35,464.05,19151,10574,492.5
2026-02-02,414.05,419.45,413.7,413.7,4204,10160,414.8
2026-02-03,418.0,451.05,414.15,450.55,15449,9725,433.7
2026-02-04,455.0,462.05,445.05,461.0,9064,9178,451.6
2026-02-05,455.8,459.6,421.2,442.7,13043,8591,437.25
2026-02-06,416.25,422.55,388.65,410.5,12296,8062,407.25
2026-02-09,436.5,443.0,424.3,438.15,6013,8082,433.65
2026-02-10,431.15,435.85,428.6,429.05,3046,7843,431.85
2026-02-11,432.0,441.85,429.7,439.1,2850,7629,436.5
2026-02-12,431.55,436.65,422.4,430.05,2978,7351,430.15
2026-02-13,411.1,423.7,411.0,416.8,3225,7188,419.3
2026-02-24,436.8,443.5,431.55,438.45,3410,7285,438.25
2026-02-25,444.4,462.75,443.85,457.95,4461,7493,456.9
2026-02-26,459.8,463.1,442.35,446.55,3300,7302,452.3
2026-02-27,442.8,467.75,442.8,464.85,4636,7355,459.05
2026-03-02,461.0,474.25,455.05,463.65,5432,7544,462.4
2026-03-03,457.8,462.4,433.2,433.9,4938,7256,446.2
2026-03-04,421.15,439.65,421.15,433.8,3441,7410,431.95
2026-03-05,433.85,437.4,421.15,428.0,3013,7530,429.2
2026-03-06,423.8,426.55,418.0,421.5,1877,7601,421.9
2026-03-09,408.75,416.6,397.0,412.7,3539,7620,407.2
2026-03-10,422.0,429.0,420.0,423.55,2302,7433,424.55
2026-03-11,421.15,430.0,421.15,424.25,1547,7498,425.45
2026-03-12,421.0,421.4,415.1,416.6,1720,7656,418.25
2026-03-13,418.0,423.1,408.1,408.1,1969,7612,416.15
