日期/时间,开盘价,最高价,最低价,收盘价,成交量,成交额,结算/均价
2013-10-18 15:00,978.00,984.00,962.00,977.00,32521.00,150409,975.00
2013-10-21 15:00,976.00,977.00,960.00,969.00,34065.00,47716,967.00
2013-10-22 15:00,963.00,966.00,948.00,948.00,38002.00,45648,956.00
2013-10-23 15:00,949.00,953.00,936.00,939.00,40581.00,58245,944.00
2013-10-24 15:00,938.00,939.00,916.00,926.00,43936.00,84514,928.00
2013-10-25 15:00,928.00,936.00,917.00,918.00,43236.00,52030,927.00
2013-10-28 15:00,920.00,928.00,917.00,923.00,46740.00,41895,922.00
2013-10-29 15:00,924.00,925.00,913.00,921.00,49529.00,52938,917.00
2013-10-30 15:00,919.00,930.00,916.00,924.00,45631.00,59136,922.00
2013-10-31 15:00,925.00,927.00,920.00,922.00,42410.00,37336,923.00
2013-11-01 15:00,921.00,954.00,921.00,942.00,53791.00,160621,942.00
2013-11-04 15:00,943.00,957.00,942.00,950.00,61149.00,87540,949.00
2013-11-05 15:00,948.00,954.00,943.00,946.00,60971.00,54192,947.00
2013-11-06 15:00,949.00,951.00,942.00,944.00,61825.00,34681,945.00
2013-11-07 15:00,945.00,947.00,939.00,945.00,62479.00,45838,944.00
2013-11-08 15:00,947.00,948.00,936.00,939.00,60266.00,33170,940.00
2013-11-11 15:00,940.00,944.00,934.00,942.00,56171.00,28782,938.00
2013-11-12 15:00,940.00,944.00,936.00,943.00,53969.00,22797,939.00
2013-11-13 15:00,941.00,952.00,940.00,943.00,55406.00,48242,946.00
2013-11-14 15:00,940.00,944.00,937.00,937.00,51723.00,27876,940.00
2013-11-15 15:00,939.00,942.00,930.00,931.00,51376.00,38007,935.00
2013-11-18 15:00,931.00,935.00,925.00,932.00,49689.00,26352,930.00
2013-11-19 15:00,931.00,943.00,930.00,942.00,53452.00,30082,936.00
2013-11-20 15:00,943.00,946.00,940.00,942.00,52114.00,21726,942.00
2013-11-21 15:00,942.00,943.00,932.00,932.00,52545.00,20661,935.00
2013-11-22 15:00,934.00,935.00,929.00,931.00,53046.00,26296,932.00
2013-11-25 15:00,933.00,936.00,928.00,933.00,52094.00,19098,932.00
2013-11-26 15:00,934.00,943.00,934.00,941.00,54081.00,36325,939.00
2013-11-27 15:00,940.00,942.00,933.00,936.00,53268.00,15307,936.00
2013-11-28 15:00,933.00,940.00,933.00,939.00,52864.00,13610,937.00
2013-11-29 15:00,939.00,945.00,939.00,939.00,53209.00,16682,941.00
2013-12-02 15:00,940.00,941.00,934.00,936.00,54372.00,20760,936.00
2013-12-03 15:00,938.00,941.00,936.00,939.00,52668.00,17713,938.00
2013-12-04 15:00,942.00,955.00,941.00,952.00,57191.00,47210,949.00
2013-12-05 15:00,953.00,956.00,944.00,945.00,57269.00,26495,948.00
2013-12-06 15:00,944.00,945.00,938.00,941.00,54215.00,20022,940.00
2013-12-09 15:00,941.00,946.00,940.00,945.00,56189.00,9695,943.00
2013-12-10 15:00,946.00,947.00,942.00,942.00,54863.00,8450,943.00
2013-12-11 15:00,942.00,942.00,934.00,937.00,54066.00,19492,936.00
2013-12-12 15:00,936.00,938.00,930.00,930.00,54472.00,17747,934.00
2013-12-13 15:00,927.00,927.00,905.00,914.00,58370.00,45697,912.00
2013-12-16 15:00,913.00,923.00,912.00,918.00,60656.00,19835,918.00
2013-12-17 15:00,918.00,920.00,908.00,910.00,62356.00,12291,916.00
2013-12-18 15:00,908.00,913.00,902.00,906.00,64094.00,35612,907.00
2013-12-19 15:00,909.00,913.00,907.00,908.00,64133.00,15149,909.00
2013-12-20 15:00,909.00,913.00,901.00,905.00,63595.00,17377,908.00
2013-12-23 15:00,904.00,905.00,885.00,893.00,67862.00,64256,892.00
2013-12-24 15:00,892.00,907.00,892.00,900.00,60578.00,47812,901.00
2013-12-25 15:00,903.00,904.00,898.00,903.00,57104.00,24396,901.00
2013-12-26 15:00,903.00,904.00,885.00,896.00,62058.00,42295,891.00
2013-12-27 15:00,898.00,910.00,896.00,907.00,53961.00,43641,903.00
2013-12-30 15:00,908.00,920.00,908.00,911.00,52025.00,42603,913.00
2013-12-31 15:00,908.00,914.00,899.00,911.00,49323.00,36290,909.00
2014-01-02 15:00,912.00,912.00,899.00,907.00,53940.00,28255,906.00
2014-01-03 15:00,904.00,905.00,887.00,902.00,61179.00,66377,897.00
2014-01-06 15:00,900.00,900.00,888.00,893.00,71321.00,54301,892.00
2014-01-07 15:00,892.00,899.00,887.00,896.00,74517.00,43226,893.00
2014-01-08 15:00,895.00,897.00,884.00,892.00,78632.00,50626,890.00
2014-01-09 15:00,891.00,899.00,884.00,888.00,80803.00,51024,890.00
2014-01-10 15:00,885.00,886.00,870.00,881.00,81689.00,90126,877.00
2014-01-13 15:00,879.00,880.00,868.00,871.00,89053.00,54137,872.00
2014-01-14 15:00,875.00,881.00,866.00,880.00,89051.00,47068,874.00
2014-01-15 15:00,880.00,882.00,875.00,879.00,92352.00,34427,877.00
2014-01-16 15:00,880.00,885.00,875.00,879.00,93255.00,33018,879.00
2014-01-17 15:00,876.00,878.00,870.00,876.00,92206.00,42036,874.00
2014-01-20 15:00,872.00,876.00,859.00,861.00,97511.00,47709,867.00
2014-01-21 15:00,860.00,861.00,843.00,847.00,104255.00,62245,849.00
2014-01-22 15:00,850.00,858.00,845.00,852.00,104493.00,38022,851.00
2014-01-23 15:00,857.00,885.00,855.00,878.00,97052.00,108820,869.00
2014-01-24 15:00,877.00,880.00,871.00,877.00,88150.00,51756,875.00
2014-01-27 15:00,871.00,874.00,861.00,864.00,92335.00,39952,865.00
2014-01-28 15:00,863.00,867.00,857.00,857.00,92174.00,31705,861.00
2014-01-29 15:00,857.00,868.00,856.00,866.00,91991.00,26187,863.00
2014-01-30 15:00,864.00,871.00,860.00,868.00,90933.00,18561,866.00
2014-02-07 15:00,865.00,868.00,853.00,856.00,84392.00,42810,859.00
2014-02-10 15:00,856.00,859.00,846.00,854.00,87214.00,48715,853.00
2014-02-11 15:00,852.00,857.00,845.00,848.00,89945.00,35926,851.00
2014-02-12 15:00,849.00,855.00,844.00,853.00,89344.00,35622,849.00
2014-02-13 15:00,853.00,858.00,850.00,854.00,87939.00,31686,853.00
2014-02-14 15:00,854.00,865.00,854.00,861.00,88926.00,39634,860.00
2014-02-17 15:00,862.00,874.00,862.00,873.00,80443.00,69617,868.00
2014-02-18 15:00,876.00,878.00,860.00,860.00,78313.00,44441,868.00
2014-02-19 15:00,863.00,867.00,860.00,864.00,79188.00,26913,863.00
2014-02-20 15:00,862.00,864.00,852.00,852.00,78574.00,31330,856.00
2014-02-21 15:00,852.00,854.00,846.00,851.00,78217.00,29605,850.00
2014-02-24 15:00,846.00,846.00,817.00,821.00,84933.00,87284,828.00
2014-02-25 15:00,823.00,827.00,812.00,817.00,87449.00,53198,819.00
2014-02-26 15:00,816.00,821.00,811.00,820.00,89213.00,64012,816.00
2014-02-27 15:00,817.00,826.00,816.00,824.00,86134.00,43822,821.00
2014-02-28 15:00,825.00,828.00,811.00,817.00,82724.00,58594,820.00
2014-03-03 15:00,816.00,819.00,804.00,811.00,83634.00,50021,809.00
2014-03-04 15:00,810.00,813.00,804.00,812.00,78648.00,45917,808.00
2014-03-05 15:00,803.00,807.00,788.00,802.00,117794.00,108469,798.00
2014-03-06 15:00,803.00,804.00,785.00,787.00,133224.00,90591,795.00
2014-03-07 15:00,788.00,788.00,764.00,764.00,150772.00,84586,774.00
2014-03-10 15:00,741.00,741.00,728.00,728.00,148406.00,91789,734.00
2014-03-11 15:00,720.00,752.00,707.00,740.00,152514.00,265841,731.00
2014-03-12 15:00,713.00,742.00,705.00,737.00,200769.00,414184,726.00
