date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2025-11-27,441.0,457.15,426.0,430.3,62345,6744,438.15
2025-11-28,435.0,438.45,430.15,435.55,23948,8048,434.4
2025-12-01,447.7,462.25,444.7,451.6,44391,10624,454.15
2025-12-02,446.2,449.75,440.0,442.5,20751,10493,445.1
2025-12-03,442.0,446.0,438.4,440.55,18148,10664,442.4
2025-12-04,444.0,444.8,438.45,439.65,10934,10387,441.7
2025-12-05,438.45,442.85,437.8,442.3,8194,10524,440.3
2025-12-08,440.05,445.6,438.75,443.2,9834,10877,442.15
2025-12-09,439.6,443.65,432.0,436.4,10108,10806,439.7
2025-12-10,445.4,446.5,442.7,444.45,10263,10091,444.55
2025-12-11,444.6,446.3,440.9,442.4,7324,10349,443.65
2025-12-12,446.0,455.0,444.7,452.05,12412,11170,450.85
2025-12-15,457.0,482.4,455.8,482.4,41832,17844,474.1
2025-12-16,482.0,505.6,479.0,485.75,92961,21372,493.05
2025-12-17,500.0,527.55,500.0,527.55,93342,27001,515.2
2025-12-18,529.0,549.9,529.0,542.6,148823,31548,542.8
2025-12-19,540.0,542.15,516.05,533.55,149426,33474,531.3
2025-12-22,560.0,568.45,555.0,568.45,52413,36318,563.6
2025-12-23,600.0,619.95,593.65,619.95,146122,38913,614.65
2025-12-24,657.65,657.65,653.85,657.65,15803,39147,657.3
2025-12-25,625.0,700.9,596.0,686.95,212434,40666,645.35
2025-12-26,708.3,709.85,693.0,705.3,93934,43198,704.8
2025-12-29,677.0,729.5,634.35,634.35,126019,41795,677.95
2025-12-30,589.85,616.0,589.85,589.85,65864,39384,599.45
2025-12-31,570.0,588.7,512.75,527.25,126223,33266,548.4
2026-01-05,612.0,612.0,566.4,583.95,57471,31924,581.8
2026-01-06,596.25,629.75,588.0,616.8,61267,33188,613.65
2026-01-07,650.0,652.85,585.05,598.5,78981,32262,616.4
2026-01-08,591.0,614.85,568.0,575.0,51507,31499,593.2
2026-01-09,584.0,613.3,576.3,599.8,48581,31994,595.1
2026-01-12,630.0,639.0,615.7,622.8,38798,31930,625.85
2026-01-13,614.15,623.35,590.5,605.05,30480,31250,608.35
2026-01-14,623.85,648.6,616.45,630.65,38565,31534,635.15
2026-01-15,616.0,622.9,588.0,609.05,28226,31282,606.4
2026-01-16,618.15,633.85,601.5,610.05,24678,30594,618.05
2026-01-19,625.3,629.0,610.75,615.1,14583,30983,616.7
2026-01-20,616.0,623.2,598.0,619.35,21609,30557,613.25
2026-01-21,655.0,658.1,623.75,628.5,26077,30413,639.75
2026-01-22,611.05,633.9,606.25,633.85,16793,29581,621.35
2026-01-23,686.55,688.6,668.3,685.9,25095,28152,678.95
2026-01-26,720.0,762.85,712.0,744.7,37268,29193,739.8
2026-01-27,678.0,712.15,668.0,705.7,27584,28337,696.0
2026-01-28,711.05,713.3,690.0,694.8,19086,28875,700.5
2026-01-29,710.0,733.85,697.65,714.1,27692,29335,714.85
2026-01-30,696.2,701.95,616.2,630.55,40153,26982,657.3
2026-02-02,552.15,562.3,552.15,552.15,6299,26857,553.35
2026-02-03,535.6,577.0,535.6,572.95,27866,25431,562.05
2026-02-04,583.1,601.75,578.0,599.85,13744,25396,587.05
2026-02-05,592.0,595.0,516.35,540.3,29573,22935,548.85
2026-02-06,495.05,528.0,465.6,506.0,27928,21442,492.9
2026-02-09,540.0,550.0,531.45,545.05,13074,20810,540.2
2026-02-10,536.65,547.1,535.05,537.5,5828,20642,540.8
2026-02-11,539.05,559.1,539.05,551.15,6476,20575,550.7
2026-02-12,541.1,551.8,538.0,544.9,5002,20363,545.15
2026-02-13,520.0,529.65,516.0,523.8,6333,20073,522.9
2026-02-24,549.05,552.65,540.0,551.85,5807,20101,547.5
2026-02-25,556.75,592.6,552.45,586.0,10895,20971,577.95
2026-02-26,593.5,603.5,580.0,589.5,9917,21308,592.15
2026-02-27,583.95,629.6,582.25,623.75,16904,23349,613.85
2026-03-02,619.25,642.3,603.35,626.5,16977,23804,622.85
2026-03-03,613.4,618.8,564.6,570.3,17121,22300,590.35
2026-03-04,552.6,572.2,550.5,563.5,11071,22671,560.4
2026-03-05,570.0,580.65,553.7,563.95,8223,22196,567.3
2026-03-06,559.9,562.7,546.15,560.5,4844,21883,557.3
2026-03-09,534.0,560.5,522.6,549.35,9682,21259,539.55
2026-03-10,560.0,574.7,554.95,562.55,7799,21062,566.6
2026-03-11,568.0,577.85,563.2,565.55,5652,20898,570.0
2026-03-12,560.45,566.0,558.9,564.65,3352,20493,562.5
2026-03-13,561.55,563.9,540.0,541.6,4742,19989,552.05
