ts_code,M0_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,vol,amount,oi
SM.ZCE,SM1501.ZCE,2015-01-12,,,,,,,,386.0,1188.88,7366.0
SM.ZCE,SM1501.ZCE,2015-01-13,,,,,,,,0.0,0.0,7366.0
SM.ZCE,SM1501.ZCE,2015-01-14,,,,,,,,0.0,0.0,7366.0
SM.ZCE,SM1501.ZCE,2015-01-15,,,,,,,,0.0,0.0,7366.0
SM.ZCE,SM1505.ZCE,2015-01-16,,,,,,,,8.0,23.73,252.0
SM.ZCE,SM1505.ZCE,2015-01-19,,,,,,,,24.0,70.03,260.0
SM.ZCE,SM1505.ZCE,2015-01-20,,,,,,,,6.0,17.51,260.0
SM.ZCE,SM1505.ZCE,2015-01-21,,,,,,,,4.0,11.54,260.0
SM.ZCE,SM1505.ZCE,2015-01-22,,,,,,,,0.0,0.0,260.0
SM.ZCE,SM1505.ZCE,2015-01-23,,,,,,,,2.0,5.75,258.0
SM.ZCE,SM1505.ZCE,2015-01-26,,,,,,,,0.0,0.0,258.0
SM.ZCE,SM1505.ZCE,2015-01-27,,,,,,,,8.0,22.74,258.0
SM.ZCE,SM1505.ZCE,2015-01-28,,,,,,,,4070.0,11381.35,4256.0
SM.ZCE,SM1505.ZCE,2015-01-29,,,,,,,,72.0,201.51,4278.0
SM.ZCE,SM1505.ZCE,2015-01-30,,,,,,,,44.0,123.58,4278.0
SM.ZCE,SM1505.ZCE,2015-02-02,,,,,,,,1098.0,3170.54,5308.0
SM.ZCE,SM1505.ZCE,2015-02-03,,,,,,,,858.0,2413.17,5298.0
SM.ZCE,SM1505.ZCE,2015-02-04,,,,,,,,24.0,67.61,5292.0
SM.ZCE,SM1505.ZCE,2015-02-05,,,,,,,,4.0,11.16,5290.0
SM.ZCE,SM1505.ZCE,2015-02-06,,,,,,,,4.0,11.25,5290.0
SM.ZCE,SM1505.ZCE,2015-02-09,,,,,,,,112.0,311.56,5184.0
SM.ZCE,SM1505.ZCE,2015-02-10,,,,,,,,1050.0,2916.49,4768.0
SM.ZCE,SM1505.ZCE,2015-02-11,,,,,,,,2.0,5.63,4766.0
SM.ZCE,SM1505.ZCE,2015-02-12,,,,,,,,18.0,50.73,4756.0
SM.ZCE,SM1505.ZCE,2015-02-13,,,,,,,,0.0,0.0,4756.0
SM.ZCE,SM1505.ZCE,2015-02-16,,,,,,,,2.0,5.65,4756.0
SM.ZCE,SM1505.ZCE,2015-02-17,,,,,,,,6.0,16.76,4750.0
SM.ZCE,SM1505.ZCE,2015-02-25,,,,,,,,0.0,0.0,4750.0
SM.ZCE,SM1505.ZCE,2015-02-26,,,,,,,,0.0,0.0,4750.0
SM.ZCE,SM1505.ZCE,2015-02-27,,,,,,,,0.0,0.0,4750.0
SM.ZCE,SM1505.ZCE,2015-03-02,,,,,,,,2306.0,6369.37,4556.0
SM.ZCE,SM1505.ZCE,2015-03-03,,,,,,,,34.0,95.71,4556.0
SM.ZCE,SM1505.ZCE,2015-03-04,,,,,,,,0.0,0.0,4556.0
SM.ZCE,SM1505.ZCE,2015-03-05,,,,,,,,4.0,11.2,4552.0
SM.ZCE,SM1505.ZCE,2015-03-06,,,,,,,,8.0,22.44,4554.0
SM.ZCE,SM1505.ZCE,2015-03-09,,,,,,,,1038.0,2932.2,4932.0
SM.ZCE,SM1505.ZCE,2015-03-10,,,,,,,,2420.0,6829.67,6632.0
SM.ZCE,SM1505.ZCE,2015-03-11,,,,,,,,3206.0,8883.45,4332.0
SM.ZCE,SM1505.ZCE,2015-03-12,,,,,,,,10.0,28.06,4328.0
SM.ZCE,SM1505.ZCE,2015-03-13,,,,,,,,6.0,16.8,4324.0
SM.ZCE,SM1505.ZCE,2015-03-16,,,,,,,,0.0,0.0,4324.0
SM.ZCE,SM1505.ZCE,2015-03-17,,,,,,,,30.0,84.62,4336.0
SM.ZCE,SM1505.ZCE,2015-03-18,,,,,,,,2.0,5.56,4334.0
SM.ZCE,SM1505.ZCE,2015-03-19,,,,,,,,30.0,84.43,4312.0
SM.ZCE,SM1505.ZCE,2015-03-20,,,,,,,,6.0,16.77,4310.0
SM.ZCE,SM1505.ZCE,2015-03-23,,,,,,,,16.0,44.49,4298.0
SM.ZCE,SM1505.ZCE,2015-03-24,,,,,,,,2.0,5.6,4296.0
SM.ZCE,SM1505.ZCE,2015-03-25,,,,,,,,2.0,5.6,4294.0
SM.ZCE,SM1505.ZCE,2015-03-26,,,,,,,,92.0,256.75,4218.0
SM.ZCE,SM1505.ZCE,2015-03-27,,,,,,,,16.0,43.62,4224.0
SM.ZCE,SM1505.ZCE,2015-03-30,,,,,,,,16.0,44.35,4216.0
SM.ZCE,SM1505.ZCE,2015-03-31,,,,,,,,614.0,1662.24,3614.0
SM.ZCE,SM1505.ZCE,2015-04-01,,,,,,,,0.0,0.0,3614.0
SM.ZCE,SM1505.ZCE,2015-04-02,,,,,,,,2.0,5.34,3616.0
SM.ZCE,SM1505.ZCE,2015-04-03,,,,,,,,18.0,47.93,3616.0
SM.ZCE,SM1505.ZCE,2015-04-07,,,,,,,,184.0,499.52,3612.0
SM.ZCE,SM1505.ZCE,2015-04-08,,,,,,,,2022.0,5489.09,1602.0
SM.ZCE,SM1505.ZCE,2015-04-09,,,,,,,,80.0,215.2,1522.0
SM.ZCE,SM1505.ZCE,2015-04-10,,,,,,,,20.0,52.62,1518.0
SM.ZCE,SM1505.ZCE,2015-04-13,,,,,,,,24.0,62.83,1516.0
SM.ZCE,SM1505.ZCE,2015-04-14,,,,,,,,4.0,10.79,1512.0
SM.ZCE,SM1505.ZCE,2015-04-15,,,,,,,,2.0,5.42,1512.0
SM.ZCE,SM1505.ZCE,2015-04-16,,,,,,,,10.0,26.75,1506.0
SM.ZCE,SM1505.ZCE,2015-04-17,,,,,,,,6.0,16.0,1502.0
SM.ZCE,SM1505.ZCE,2015-04-20,,,,,,,,36.0,95.99,1494.0
SM.ZCE,SM1505.ZCE,2015-04-21,,,,,,,,20.0,53.74,1478.0
SM.ZCE,SM1505.ZCE,2015-04-22,,,,,,,,12.0,32.32,1474.0
SM.ZCE,SM1505.ZCE,2015-04-23,,,,,,,,12.0,32.32,1462.0
SM.ZCE,SM1505.ZCE,2015-04-24,,,,,,,,408.0,1097.58,1058.0
SM.ZCE,SM1505.ZCE,2015-04-27,,,,,,,,78.0,216.55,1072.0
SM.ZCE,SM1505.ZCE,2015-04-28,,,,,,,,90.0,241.28,1014.0
SM.ZCE,SM1505.ZCE,2015-04-29,,,,,,,,1016.0,2703.32,20.0
SM.ZCE,SM1505.ZCE,2015-04-30,,,,,,,,30.0,80.94,0.0
SM.ZCE,SM1505.ZCE,2015-05-04,,,,,,,,0.0,0.0,0.0
SM.ZCE,SM1505.ZCE,2015-05-05,,,,,,,,0.0,0.0,0.0
SM.ZCE,SM1505.ZCE,2015-05-06,,,,,,,,0.0,0.0,0.0
SM.ZCE,SM1505.ZCE,2015-05-07,,,,,,,,0.0,0.0,0.0
