日期/时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2014-08-12,6486,6524,6410,6418,138,2380
2014-08-13,6410,6456,6388,6424,43002,28278
2014-08-14,6416,6466,6352,6396,84352,28028
2014-08-15,6400,6426,6386,6412,28828,22570
2014-08-18,6418,6478,6398,6404,38498,19164
2014-08-19,6394,6408,6364,6386,22378,18616
2014-08-20,6376,6410,6354,6386,14756,18918
2014-08-21,6398,6406,6360,6370,6248,17696
2014-08-22,6366,6398,6366,6392,12830,11538
2014-08-25,6396,6448,6380,6436,24326,11352
2014-08-26,6426,6446,6412,6442,7344,10202
2014-08-27,6484,6484,6398,6398,10064,7906
2014-08-28,6392,6410,6366,6378,8966,8070
2014-08-29,6374,6392,6366,6372,3956,6908
2014-09-01,6370,6388,6368,6378,5250,8340
2014-09-02,6368,6368,6306,6344,5886,9830
2014-09-03,6326,6352,6324,6340,4738,11636
2014-09-04,6340,6360,6318,6342,3934,11500
2014-09-05,6328,6352,6328,6330,2184,12372
2014-09-09,6324,6352,6268,6298,6712,14830
2014-09-10,6282,6310,6156,6300,4424,14596
2014-09-11,6300,6300,6264,6264,1676,14664
2014-09-12,6270,6288,6250,6288,1308,14826
2014-09-15,6260,6346,6260,6346,2590,14088
2014-09-16,6348,6350,6300,6300,1312,14146
2014-09-17,6310,6324,6290,6292,778,14216
2014-09-18,6298,6298,6246,6252,2004,14524
2014-09-19,6248,6248,6112,6126,2160,14922
2014-09-22,6064,6090,6000,6030,5342,15022
2014-09-23,6020,6130,6020,6042,1130,14986
2014-09-24,6042,6108,6030,6100,1252,14922
2014-09-25,6100,6138,5982,6016,4178,16086
2014-09-26,5996,6060,5940,6048,1972,15694
2014-09-29,6088,6088,6016,6070,1066,15406
2014-09-30,6122,6128,6056,6088,470,15192
2014-10-09,6080,6178,6080,6170,1686,15012
2014-10-10,6152,6170,6122,6144,916,14844
2014-10-13,6170,6320,6150,6244,2854,14680
2014-10-14,6288,6288,6170,6202,1098,14296
2014-10-15,6202,6214,6158,6176,968,14316
2014-10-16,6150,6214,6118,6160,938,14222
2014-10-17,6184,6314,6180,6216,1656,14130
2014-10-20,6162,6222,6162,6182,1016,13996
2014-10-21,6170,6204,6170,6194,498,13974
2014-10-22,6170,6212,6140,6140,1006,13944
2014-10-23,6122,6198,6120,6196,730,13888
2014-10-24,6248,6248,6184,6214,962,13642
