日期/时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2013-11-08,4050,4078,3970,3976,264550,38942
2013-11-11,3982,3983,3932,3941,148860,44132
2013-11-12,3940,3970,3932,3951,93396,38812
2013-11-13,3946,3970,3935,3952,62148,36600
2013-11-14,3958,3963,3939,3957,37318,32232
2013-11-15,3955,4015,3954,4013,133512,43098
2013-11-18,4015,4039,4003,4029,108186,50176
2013-11-19,4025,4036,4012,4023,62266,43000
2013-11-21,4039,4039,4005,4010,40740,35924
2013-11-22,4012,4040,4006,4018,40808,35390
2013-11-25,4021,4178,4021,4168,275042,70756
2013-11-26,4170,4180,4145,4162,150308,63964
2013-11-27,4166,4174,4123,4138,119328,59036
2013-11-28,4138,4193,4138,4174,188778,68226
2013-11-29,4179,4185,4156,4172,90070,66538
2013-12-02,4173,4190,4151,4162,58520,66024
2013-12-03,4160,4196,4140,4163,162642,68806
2013-12-04,4166,4176,4150,4153,66138,68428
2013-12-05,4155,4181,4149,4159,86416,66256
2013-12-06,4160,4180,4109,4131,93086,60776
2013-12-09,4138,4150,4130,4134,43026,60958
2013-12-10,4143,4190,4134,4155,141624,64268
2013-12-11,4161,4175,4149,4155,68642,63620
2013-12-12,4159,4172,4144,4153,56068,62124
2013-12-13,4147,4157,4090,4101,78890,59600
2013-12-16,4111,4119,4082,4088,53850,60532
2013-12-17,4091,4125,4091,4107,56850,58862
2013-12-18,4101,4122,4094,4098,40438,59594
2013-12-19,4093,4093,3962,3989,221438,66598
2013-12-20,3971,4000,3967,3982,82202,56724
2013-12-23,3957,3973,3933,3969,69360,57290
2013-12-24,3963,3994,3961,3982,57416,56144
2013-12-25,3985,4023,3980,3995,62000,56212
2013-12-26,4000,4017,3958,3973,67728,55866
2013-12-27,3972,3993,3965,3968,37100,54554
2013-12-30,3970,4006,3967,3984,47234,52060
2013-12-31,3981,4000,3939,3951,60322,54984
2014-01-02,3951,3978,3941,3975,31536,53426
2014-01-03,3998,4036,3980,4015,102594,55466
2014-01-06,4005,4024,3940,3943,76746,56884
2014-01-07,3832,3919,3832,3865,102798,52084
2014-01-08,3869,3884,3843,3857,46162,51118
2014-01-09,3850,3880,3808,3826,65388,54234
2014-01-10,3822,3847,3815,3832,38390,53484
2014-01-13,3830,3860,3816,3826,41632,53012
2014-01-14,3834,3875,3827,3865,40826,50164
2014-01-15,3866,3866,3820,3828,52378,54522
2014-01-17,3770,3785,3751,3778,56748,62420
2014-01-20,3772,3808,3772,3781,49338,59752
2014-01-21,3771,3772,3725,3734,52218,60536
2014-01-22,3730,3731,3666,3696,113068,63354
2014-01-23,3688,3721,3686,3706,39226,62660
2014-01-24,3700,3718,3676,3703,44774,65132
2014-01-27,3688,3735,3685,3726,69218,63276
2014-01-28,3710,3762,3710,3729,92514,59500
2014-01-29,3732,3759,3714,3728,37580,57036
2014-01-30,3727,3752,3724,3741,23578,55398
2014-02-07,3741,3780,3693,3697,44146,62834
2014-02-10,3687,3750,3676,3739,65214,67318
2014-02-11,3740,3767,3718,3720,78840,75432
2014-02-12,3719,3732,3701,3719,36230,74618
2014-02-13,3730,3749,3720,3730,32468,74504
2014-02-14,3735,3834,3708,3831,176542,83726
2014-02-17,3840,3859,3816,3840,97176,77244
2014-02-18,3842,3866,3822,3851,83344,77322
2014-02-19,3868,3876,3838,3850,58342,76518
2014-02-20,3845,3850,3777,3785,74460,74342
2014-02-21,3780,3798,3755,3781,50938,75984
2014-02-24,3785,3817,3756,3795,76830,75752
2014-02-25,3790,3802,3680,3687,82562,75122
2014-02-26,3680,3710,3630,3697,77210,71350
2014-02-27,3708,3726,3682,3693,54504,71370
2014-02-28,3700,3720,3680,3720,46804,68576
2014-03-03,3731,3794,3731,3789,92236,63156
2014-03-04,3789,3849,3780,3847,82222,62146
2014-03-05,3868,3880,3833,3870,67206,60542
2014-03-06,3875,3879,3835,3855,55252,58712
2014-03-10,4016,4090,3999,4080,254154,63938
2014-03-11,4080,4138,4066,4117,190926,59712
2014-03-12,4102,4126,4073,4115,89754,59024
2014-03-14,4236,4266,4180,4218,225102,68484
2014-03-17,4560,4569,4383,4424,121200,63478
2014-03-18,4422,4505,4406,4495,113938,76662
2014-03-19,4508,4527,4478,4500,84944,79588
2014-03-20,4508,4520,4468,4519,79900,79686
2014-03-21,4531,4608,4503,4584,149906,87390
2014-03-24,4590,4605,4551,4587,96830,94740
2014-03-25,4588,4600,4563,4584,89562,96514
2014-03-26,4585,4642,4541,4625,150014,113682
2014-03-27,4629,4651,4610,4632,105638,115294
2014-03-28,4640,4644,4580,4618,139936,111370
